Time,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC,Samsung Note20 Ultra PreOrder 15 TVC
5.6,0.022,0.3338,0.4397,0.4063,0.472,0.4392,0.4195,0.3774,0.3984,0.6201,0.6518,0.636
5.7,-0.0171,0.3315,0.4566,0.4214,0.4746,0.448,0.3955,0.394,0.3948,0.597,0.6482,0.6226
5.8,-0.0634,0.3312,0.4762,0.4361,0.4782,0.4571,0.3749,0.4137,0.3943,0.5774,0.6488,0.6131
5.9,-0.1154,0.3328,0.4973,0.4489,0.4826,0.4657,0.3585,0.4366,0.3976,0.5611,0.6526,0.6069
6,-0.1712,0.3362,0.519,0.4586,0.4873,0.4729,0.3468,0.4629,0.4048,0.5476,0.659,0.6033
6.1,-0.2288,0.341,0.5402,0.464,0.4919,0.4779,0.3405,0.4918,0.4162,0.5367,0.6675,0.6021
6.2,-0.286,0.3472,0.5598,0.4648,0.4958,0.4803,0.3402,0.522,0.4311,0.5284,0.6775,0.603
6.3,-0.341,0.3546,0.5774,0.4615,0.4989,0.4802,0.3462,0.5514,0.4488,0.5221,0.6878,0.6049
6.4,-0.3921,0.3629,0.5929,0.4552,0.5012,0.4782,0.3586,0.5781,0.4683,0.5161,0.6969,0.6065
6.5,-0.4377,0.3718,0.606,0.4469,0.5025,0.4747,0.3764,0.6006,0.4885,0.5088,0.704,0.6064
6.6,-0.4774,0.381,0.6162,0.4375,0.5031,0.4703,0.3982,0.6176,0.5079,0.4996,0.7091,0.6044
6.7,-0.5113,0.3903,0.6239,0.4276,0.5031,0.4653,0.4228,0.6287,0.5258,0.4891,0.7129,0.601
6.8,-0.54,0.3996,0.6304,0.4178,0.5027,0.4602,0.4496,0.6339,0.5417,0.4784,0.7157,0.597
6.9,-0.5635,0.4092,0.6366,0.4086,0.5025,0.4556,0.4783,0.6336,0.556,0.4686,0.7176,0.5931
7,-0.5823,0.4189,0.6429,0.4007,0.503,0.4519,0.5081,0.6287,0.5684,0.4604,0.7191,0.5898
7.1,-0.5969,0.4288,0.6497,0.3947,0.5047,0.4497,0.5378,0.6201,0.579,0.4544,0.7213,0.5878
7.2,-0.6085,0.4393,0.6571,0.3911,0.5077,0.4494,0.566,0.6094,0.5877,0.4508,0.7255,0.5882
7.3,-0.618,0.4507,0.6652,0.3904,0.5119,0.4511,0.5926,0.5977,0.5952,0.4505,0.7331,0.5918
7.4,-0.6254,0.4637,0.674,0.3931,0.5173,0.4552,0.6182,0.5864,0.6023,0.4539,0.7445,0.5992
7.5,-0.6301,0.4782,0.6831,0.3994,0.5237,0.4616,0.643,0.5763,0.6097,0.461,0.7596,0.6103
7.6,-0.632,0.494,0.6923,0.409,0.5309,0.47,0.6665,0.5686,0.6176,0.471,0.7787,0.6249
7.7,-0.6312,0.511,0.7013,0.4222,0.5383,0.4802,0.6877,0.5641,0.6259,0.4835,0.8023,0.6429
7.8,-0.628,0.529,0.7101,0.4392,0.5455,0.4924,0.7065,0.5635,0.635,0.4981,0.8301,0.6641
7.9,-0.6222,0.5483,0.719,0.4607,0.5529,0.5068,0.7233,0.5673,0.6453,0.5153,0.8618,0.6885
8,-0.6131,0.5687,0.7274,0.4866,0.5613,0.524,0.7385,0.5755,0.657,0.5347,0.8962,0.7154
8.1,-0.6002,0.5899,0.7348,0.5161,0.5716,0.5439,0.7518,0.5875,0.6696,0.556,0.9321,0.7441
8.2,-0.584,0.6114,0.7414,0.5488,0.584,0.5664,0.762,0.6028,0.6824,0.5788,0.9681,0.7735
8.3,-0.5659,0.6332,0.747,0.584,0.5982,0.5911,0.7683,0.6209,0.6946,0.602,1.0022,0.8021
8.4,-0.5471,0.6551,0.7515,0.6211,0.614,0.6176,0.77,0.6414,0.7057,0.6241,1.032,0.8281
8.5,-0.5279,0.6766,0.7543,0.6591,0.6317,0.6454,0.7673,0.6639,0.7156,0.6433,1.0563,0.8498
8.6,-0.5091,0.6967,0.7552,0.696,0.6506,0.6733,0.7604,0.6875,0.724,0.6585,1.0737,0.8661
8.7,-0.4918,0.7142,0.7537,0.7294,0.6692,0.6993,0.749,0.7101,0.7296,0.6684,1.0834,0.8759
8.8,-0.4773,0.7284,0.7492,0.7572,0.6859,0.7215,0.7324,0.7295,0.731,0.672,1.0845,0.8783
8.9,-0.465,0.7394,0.7417,0.7787,0.6998,0.7392,0.7104,0.7445,0.7274,0.6683,1.0771,0.8727
9,-0.4535,0.748,0.7316,0.7938,0.7115,0.7527,0.6838,0.7552,0.7195,0.6572,1.0619,0.8595
9.1,-0.4411,0.7546,0.7199,0.8031,0.7223,0.7627,0.655,0.7627,0.7088,0.6403,1.0402,0.8402
9.2,-0.4263,0.7592,0.7078,0.8069,0.7321,0.7695,0.6265,0.7681,0.6973,0.6201,1.0139,0.817
9.3,-0.4091,0.7614,0.6956,0.8055,0.74,0.7727,0.6001,0.7714,0.6857,0.5989,0.9849,0.7919
9.4,-0.3897,0.761,0.6829,0.7995,0.7447,0.7721,0.5759,0.7716,0.6737,0.5779,0.954,0.7659
9.5,-0.3689,0.7583,0.6699,0.79,0.7463,0.7682,0.5534,0.7677,0.6606,0.5583,0.9219,0.7401
9.6,-0.3471,0.7534,0.6577,0.7778,0.7457,0.7617,0.5327,0.76,0.6464,0.5411,0.8892,0.7151
9.7,-0.3249,0.7466,0.6477,0.7637,0.7436,0.7537,0.5148,0.7496,0.6322,0.5268,0.8569,0.6918
9.8,-0.3032,0.7381,0.6408,0.7482,0.7401,0.7441,0.5003,0.7376,0.6189,0.5161,0.826,0.671
9.9,-0.2828,0.7284,0.637,0.7314,0.735,0.7332,0.4896,0.7244,0.607,0.5094,0.7976,0.6535
10,-0.2644,0.7176,0.636,0.7135,0.7285,0.721,0.4825,0.7101,0.5963,0.507,0.7726,0.6398
10.1,-0.2484,0.7057,0.638,0.6947,0.7209,0.7078,0.4791,0.6947,0.5869,0.5092,0.7519,0.6305
10.2,-0.234,0.6923,0.6428,0.6748,0.712,0.6934,0.4792,0.6783,0.5788,0.5155,0.7358,0.6256
10.3,-0.2206,0.6772,0.65,0.654,0.7012,0.6776,0.4825,0.6609,0.5717,0.5255,0.7243,0.6249
10.4,-0.2079,0.6601,0.6586,0.6322,0.6876,0.6599,0.4876,0.6424,0.565,0.5381,0.7168,0.6275
10.5,-0.1963,0.6409,0.6677,0.6096,0.6708,0.6402,0.4932,0.6231,0.5581,0.5519,0.7121,0.632
10.6,-0.1861,0.6202,0.6769,0.5864,0.6511,0.6187,0.4983,0.6034,0.5509,0.5663,0.7091,0.6377
10.7,-0.1768,0.5986,0.6862,0.5629,0.6292,0.596,0.5027,0.5837,0.5432,0.581,0.7068,0.6439
10.8,-0.1676,0.5765,0.6953,0.5395,0.6059,0.5727,0.5062,0.5645,0.5353,0.5958,0.7047,0.6502
10.9,-0.158,0.5541,0.7044,0.5165,0.5814,0.5489,0.5084,0.546,0.5272,0.6101,0.7023,0.6562
11,-0.1473,0.5315,0.7129,0.4941,0.556,0.525,0.509,0.5286,0.5188,0.6231,0.6992,0.6611
11.1,-0.1347,0.5092,0.7204,0.4728,0.5299,0.5014,0.508,0.5126,0.5103,0.6337,0.6945,0.6641
11.2,-0.1194,0.4877,0.7264,0.4535,0.5038,0.4786,0.5061,0.4988,0.5025,0.6416,0.6874,0.6645
11.3,-0.1011,0.4678,0.7306,0.4367,0.4784,0.4576,0.5039,0.4875,0.4957,0.6469,0.6777,0.6623
11.4,-0.0808,0.4498,0.7328,0.4227,0.4546,0.4386,0.5014,0.4787,0.4901,0.6495,0.6661,0.6578
11.5,-0.0598,0.4346,0.7328,0.4118,0.4326,0.4222,0.4986,0.472,0.4853,0.649,0.653,0.651
11.6,-0.0393,0.4233,0.7308,0.405,0.4126,0.4088,0.4956,0.4675,0.4815,0.6456,0.6387,0.6422
11.7,-0.019,0.4171,0.727,0.4033,0.3948,0.3991,0.4929,0.4651,0.479,0.6399,0.6236,0.6318
11.8,0.002,0.4165,0.7215,0.4075,0.3795,0.3935,0.4914,0.465,0.4782,0.6326,0.6082,0.6204
11.9,0.025,0.4214,0.7146,0.4173,0.3665,0.3919,0.492,0.4669,0.4794,0.625,0.5934,0.6092
12,0.0509,0.4307,0.7072,0.4319,0.355,0.3934,0.4947,0.4703,0.4825,0.618,0.5797,0.5989
12.1,0.0801,0.443,0.6993,0.45,0.3444,0.3972,0.4988,0.4745,0.4867,0.6122,0.5671,0.5897
12.2,0.1134,0.457,0.6914,0.4704,0.3343,0.4023,0.5038,0.4793,0.4915,0.6078,0.5555,0.5816
12.3,0.151,0.4717,0.6838,0.4919,0.325,0.4085,0.5095,0.4853,0.4974,0.6055,0.5447,0.5751
12.4,0.1921,0.4859,0.6771,0.513,0.317,0.415,0.5165,0.4933,0.5049,0.6058,0.5352,0.5705
12.5,0.2343,0.4978,0.6714,0.5321,0.3096,0.4209,0.5256,0.5032,0.5144,0.6088,0.5273,0.5681
12.6,0.2743,0.5057,0.6664,0.5477,0.3017,0.4247,0.5362,0.5138,0.525,0.6139,0.5213,0.5676
12.7,0.3098,0.5082,0.6617,0.5585,0.2928,0.4257,0.5475,0.5237,0.5356,0.62,0.5168,0.5684
12.8,0.3384,0.5055,0.6574,0.5641,0.2847,0.4244,0.5586,0.5319,0.5453,0.6258,0.5134,0.5696
12.9,0.3579,0.4986,0.6544,0.5641,0.2798,0.422,0.5701,0.5391,0.5546,0.6314,0.5113,0.5714
13,0.3663,0.4891,0.6536,0.5584,0.2795,0.419,0.5827,0.546,0.5643,0.6371,0.5112,0.5742
13.1,0.363,0.478,0.6555,0.5473,0.2831,0.4152,0.5967,0.5533,0.575,0.6431,0.5132,0.5782
13.2,0.3492,0.4661,0.6596,0.5315,0.2889,0.4102,0.6115,0.5605,0.586,0.6491,0.517,0.583
13.3,0.3265,0.4535,0.6652,0.5118,0.296,0.4039,0.626,0.567,0.5965,0.6543,0.5221,0.5882
13.4,0.2963,0.4401,0.6721,0.4891,0.3035,0.3963,0.6393,0.5726,0.6059,0.6588,0.5287,0.5937
13.5,0.2598,0.4261,0.6804,0.4639,0.3107,0.3873,0.6512,0.5775,0.6144,0.6626,0.5366,0.5996
13.6,0.2184,0.4125,0.6901,0.4372,0.3171,0.3771,0.6618,0.5825,0.6221,0.6661,0.5458,0.6059
13.7,0.174,0.4004,0.7003,0.4104,0.3231,0.3667,0.6713,0.5877,0.6295,0.669,0.5554,0.6122
13.8,0.1286,0.3912,0.7099,0.385,0.3293,0.3572,0.68,0.5927,0.6363,0.6707,0.5647,0.6177
13.9,0.084,0.386,0.7175,0.362,0.3368,0.3494,0.6885,0.5969,0.6427,0.6708,0.5735,0.6221
14,0.0407,0.3852,0.7227,0.3427,0.346,0.3443,0.6979,0.6002,0.649,0.67,0.5823,0.6261
14.1,-0.0012,0.3887,0.7249,0.3276,0.3563,0.342,0.7093,0.6028,0.656,0.6696,0.5913,0.6304
14.2,-0.0413,0.3965,0.7236,0.3172,0.3672,0.3422,0.7234,0.6045,0.6639,0.6704,0.6004,0.6354
14.3,-0.0791,0.4084,0.7177,0.3113,0.3779,0.3446,0.7403,0.6046,0.6724,0.6728,0.6088,0.6408
14.4,-0.1139,0.4244,0.7061,0.3099,0.3876,0.3488,0.7598,0.602,0.6809,0.6766,0.6161,0.6463
14.5,-0.1446,0.444,0.6883,0.3129,0.3955,0.3542,0.782,0.5955,0.6888,0.6815,0.6216,0.6515
14.6,-0.1706,0.4665,0.6648,0.3202,0.4006,0.3604,0.8065,0.584,0.6952,0.6873,0.6252,0.6563
14.7,-0.1915,0.4907,0.6366,0.3312,0.4025,0.3669,0.8326,0.5668,0.6997,0.6941,0.6268,0.6604
14.8,-0.2071,0.5158,0.605,0.3453,0.4012,0.3733,0.8587,0.5442,0.7014,0.701,0.6263,0.6636
14.9,-0.2162,0.5407,0.5719,0.3622,0.3965,0.3793,0.8836,0.517,0.7003,0.7071,0.6238,0.6655
