Time,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC
5.9,-0.1749,0.5736,0.5834,0.6825,0.573,0.6278,0.5137,0.6858,0.5997,0.3574,0.2284,0.2929
6,-0.1512,0.5536,0.5748,0.6879,0.5493,0.6186,0.5048,0.6759,0.5904,0.3379,0.21,0.274
6.1,-0.1266,0.5337,0.5659,0.6949,0.5254,0.6102,0.4967,0.6671,0.5819,0.318,0.1925,0.2552
6.2,-0.104,0.5145,0.5566,0.7024,0.5016,0.602,0.49,0.659,0.5745,0.2982,0.1765,0.2374
6.3,-0.0855,0.496,0.5471,0.7096,0.4786,0.5941,0.485,0.6508,0.5679,0.279,0.1623,0.2206
6.4,-0.0719,0.4782,0.5372,0.716,0.4565,0.5862,0.4816,0.6421,0.5618,0.2608,0.15,0.2054
6.5,-0.0634,0.4609,0.5269,0.7207,0.4356,0.5782,0.48,0.6328,0.5564,0.2437,0.1403,0.192
6.6,-0.0605,0.4444,0.5159,0.7231,0.4163,0.5697,0.4809,0.6231,0.552,0.2278,0.1334,0.1806
6.7,-0.0638,0.429,0.5041,0.7228,0.3994,0.5611,0.485,0.6133,0.5491,0.2132,0.1295,0.1713
6.8,-0.0742,0.4156,0.4918,0.7201,0.3858,0.553,0.4929,0.6034,0.5481,0.2003,0.1286,0.1644
6.9,-0.0917,0.4052,0.4791,0.7154,0.3762,0.5458,0.505,0.5936,0.5493,0.1899,0.131,0.1604
7,-0.1156,0.3982,0.4661,0.7087,0.371,0.5398,0.5212,0.5841,0.5527,0.1826,0.1365,0.1596
7.1,-0.1442,0.3949,0.4533,0.7,0.37,0.535,0.5416,0.575,0.5583,0.1786,0.1448,0.1617
7.2,-0.1757,0.3953,0.4414,0.689,0.3726,0.5308,0.5664,0.5663,0.5663,0.1775,0.1557,0.1666
7.3,-0.2078,0.3991,0.4312,0.6763,0.3784,0.5274,0.5954,0.5583,0.5768,0.1788,0.1694,0.1741
7.4,-0.2376,0.406,0.4233,0.6628,0.3864,0.5246,0.6279,0.5507,0.5893,0.1826,0.1859,0.1842
7.5,-0.2628,0.4154,0.4175,0.6491,0.3956,0.5224,0.6627,0.5432,0.603,0.1891,0.2051,0.1971
7.6,-0.2816,0.4267,0.4135,0.6355,0.4052,0.5204,0.6978,0.5352,0.6165,0.198,0.2267,0.2124
7.7,-0.2935,0.4395,0.4109,0.6225,0.415,0.5187,0.7308,0.5262,0.6285,0.2089,0.2496,0.2292
7.8,-0.2992,0.4531,0.41,0.6099,0.4247,0.5173,0.7593,0.5162,0.6377,0.2206,0.2726,0.2466
7.9,-0.3009,0.4665,0.4106,0.5978,0.434,0.5159,0.781,0.5054,0.6432,0.2329,0.2948,0.2639
8,-0.2999,0.4788,0.4125,0.5867,0.4423,0.5145,0.7944,0.494,0.6442,0.246,0.3158,0.2809
8.1,-0.296,0.4895,0.4155,0.5769,0.4494,0.5132,0.799,0.4824,0.6407,0.2604,0.335,0.2977
8.2,-0.2887,0.4991,0.4192,0.5684,0.4554,0.5119,0.7954,0.4708,0.6331,0.2763,0.3515,0.3139
8.3,-0.2777,0.5081,0.4238,0.5613,0.4604,0.5108,0.7841,0.4596,0.6218,0.2928,0.3645,0.3286
8.4,-0.2645,0.5173,0.4288,0.5557,0.465,0.5104,0.7661,0.4488,0.6075,0.3091,0.3729,0.341
8.5,-0.2504,0.5272,0.4337,0.5521,0.4694,0.5108,0.7421,0.4386,0.5904,0.3245,0.3763,0.3504
8.6,-0.2359,0.538,0.4377,0.5504,0.4735,0.5119,0.713,0.4291,0.571,0.3382,0.3746,0.3564
8.7,-0.2207,0.5499,0.4408,0.5506,0.4767,0.5137,0.6793,0.4205,0.5499,0.3499,0.3681,0.359
8.8,-0.2039,0.5628,0.4438,0.5525,0.4786,0.5156,0.6417,0.4132,0.5274,0.3591,0.3569,0.358
8.9,-0.1845,0.5768,0.4478,0.5562,0.4788,0.5175,0.6008,0.4075,0.5042,0.3658,0.3417,0.3537
9,-0.1621,0.5919,0.4536,0.5619,0.4773,0.5196,0.5577,0.4041,0.4809,0.3706,0.3235,0.347
9.1,-0.1368,0.6085,0.4617,0.5701,0.4746,0.5223,0.5138,0.4036,0.4587,0.3747,0.3035,0.3391
9.2,-0.1089,0.6268,0.4723,0.5809,0.4717,0.5263,0.4708,0.4068,0.4388,0.3787,0.2828,0.3308
9.3,-0.0795,0.647,0.4856,0.5941,0.4691,0.5316,0.4304,0.4137,0.4221,0.383,0.2626,0.3228
9.4,-0.0501,0.6686,0.5018,0.6089,0.4671,0.538,0.3933,0.4241,0.4087,0.3871,0.2437,0.3154
9.5,-0.0233,0.6913,0.5207,0.6254,0.4658,0.5456,0.3598,0.4374,0.3986,0.391,0.2269,0.309
9.6,-0.0014,0.7144,0.5419,0.6442,0.4656,0.5549,0.3299,0.4535,0.3917,0.3946,0.2131,0.3038
9.7,0.0153,0.7371,0.565,0.6652,0.4666,0.5659,0.304,0.4724,0.3882,0.398,0.2024,0.3002
9.8,0.0268,0.759,0.59,0.6877,0.4684,0.5781,0.283,0.4941,0.3885,0.4012,0.1951,0.2981
9.9,0.0324,0.7796,0.6167,0.7107,0.4712,0.5909,0.2672,0.5181,0.3926,0.4037,0.1914,0.2975
10,0.0305,0.799,0.6443,0.7336,0.4747,0.6041,0.2567,0.5432,0.3999,0.4057,0.1912,0.2985
10.1,0.0207,0.8164,0.6709,0.7554,0.4785,0.6169,0.2514,0.5683,0.4099,0.4077,0.1948,0.3013
10.2,0.0037,0.8311,0.695,0.7744,0.4813,0.6278,0.2514,0.5923,0.4218,0.411,0.2023,0.3066
10.3,-0.0195,0.8419,0.7156,0.7884,0.4818,0.6351,0.256,0.6143,0.4351,0.4158,0.214,0.3149
10.4,-0.0487,0.8475,0.7321,0.7959,0.4785,0.6372,0.2643,0.6334,0.4488,0.4215,0.2294,0.3255
10.5,-0.0841,0.846,0.7438,0.7958,0.4708,0.6333,0.2749,0.6486,0.4617,0.4272,0.2479,0.3375
10.6,-0.1248,0.8362,0.7493,0.7877,0.4584,0.6231,0.2864,0.6585,0.4724,0.4322,0.2682,0.3502
10.7,-0.168,0.8182,0.7474,0.7718,0.4421,0.6069,0.2974,0.6622,0.4798,0.4362,0.2889,0.3625
10.8,-0.2095,0.7939,0.737,0.7492,0.423,0.5861,0.3067,0.6595,0.4831,0.4392,0.3084,0.3738
10.9,-0.2456,0.7659,0.7181,0.7221,0.4027,0.5624,0.3135,0.6506,0.4821,0.4411,0.3254,0.3832
11,-0.2739,0.7366,0.6919,0.6926,0.383,0.5378,0.3171,0.6359,0.4765,0.4413,0.3393,0.3903
11.1,-0.293,0.7075,0.6604,0.6623,0.3658,0.5141,0.3173,0.6167,0.467,0.4396,0.3502,0.3949
11.2,-0.3025,0.6795,0.6252,0.632,0.3517,0.4918,0.315,0.5942,0.4546,0.4366,0.3587,0.3976
11.3,-0.3028,0.6538,0.5888,0.6023,0.3406,0.4715,0.3116,0.5699,0.4407,0.433,0.3656,0.3993
11.4,-0.2937,0.6321,0.5537,0.575,0.3331,0.454,0.3083,0.5451,0.4267,0.4296,0.3716,0.4006
11.5,-0.2759,0.6158,0.5221,0.5522,0.3299,0.4411,0.3059,0.5212,0.4135,0.4266,0.3771,0.4018
11.6,-0.2499,0.6048,0.4954,0.535,0.3318,0.4334,0.3044,0.4988,0.4016,0.4239,0.3822,0.403
11.7,-0.2167,0.5982,0.4739,0.5231,0.3383,0.4307,0.3033,0.4783,0.3908,0.4211,0.3871,0.4041
11.8,-0.1771,0.5945,0.4574,0.5155,0.3483,0.4319,0.3027,0.4593,0.381,0.4187,0.3919,0.4053
11.9,-0.1321,0.5929,0.4455,0.5118,0.3611,0.4364,0.3026,0.4422,0.3724,0.4169,0.3966,0.4068
12,-0.0833,0.593,0.4382,0.512,0.3762,0.4441,0.3037,0.4273,0.3655,0.4163,0.4016,0.4089
12.1,-0.0332,0.5948,0.4353,0.5165,0.3942,0.4554,0.3065,0.4157,0.3611,0.4168,0.4071,0.412
12.2,0.0154,0.5981,0.4365,0.5254,0.4153,0.4704,0.312,0.4081,0.36,0.4184,0.4135,0.416
12.3,0.0596,0.6028,0.4409,0.5376,0.4395,0.4885,0.3211,0.4045,0.3628,0.4204,0.421,0.4207
12.4,0.0979,0.6083,0.4476,0.5514,0.4657,0.5086,0.3345,0.4049,0.3697,0.4217,0.429,0.4253
12.5,0.1289,0.6139,0.4553,0.5655,0.4926,0.5291,0.3528,0.4087,0.3808,0.4217,0.4368,0.4293
12.6,0.1521,0.6191,0.4633,0.5787,0.5195,0.5491,0.3761,0.416,0.396,0.4198,0.4432,0.4315
12.7,0.168,0.6234,0.471,0.5901,0.546,0.5681,0.4042,0.4269,0.4155,0.4159,0.4466,0.4313
12.8,0.178,0.6268,0.4783,0.5996,0.5719,0.5858,0.4366,0.4417,0.4392,0.4101,0.4462,0.4281
12.9,0.1842,0.629,0.4853,0.6072,0.597,0.6021,0.4721,0.4605,0.4663,0.4024,0.4412,0.4218
13,0.1885,0.6298,0.492,0.6131,0.6207,0.6169,0.5089,0.4825,0.4957,0.3928,0.4313,0.412
13.1,0.1921,0.629,0.4975,0.6177,0.6425,0.6301,0.545,0.5064,0.5257,0.3818,0.4161,0.3989
13.2,0.1942,0.6269,0.5013,0.6211,0.6624,0.6417,0.5788,0.5304,0.5546,0.3704,0.3957,0.383
13.3,0.193,0.6241,0.5032,0.6228,0.6808,0.6518,0.6091,0.5536,0.5813,0.3596,0.371,0.3653
13.4,0.1866,0.6209,0.5035,0.6222,0.6981,0.6601,0.6355,0.5749,0.6052,0.3497,0.3435,0.3466
13.5,0.1744,0.6171,0.5025,0.6183,0.7142,0.6663,0.657,0.594,0.6255,0.3406,0.3148,0.3277
13.6,0.1565,0.6122,0.5008,0.611,0.7287,0.6699,0.6726,0.6104,0.6415,0.3318,0.2863,0.309
13.7,0.1335,0.6058,0.4983,0.601,0.7406,0.6708,0.6815,0.6235,0.6525,0.3232,0.2589,0.291
13.8,0.1061,0.5977,0.4948,0.5894,0.7492,0.6693,0.6843,0.6332,0.6587,0.315,0.2332,0.2741
13.9,0.0755,0.5881,0.4906,0.5769,0.7543,0.6656,0.6823,0.6396,0.6609,0.3077,0.21,0.2588
14,0.043,0.5777,0.4858,0.5634,0.756,0.6597,0.6768,0.643,0.6599,0.3016,0.1896,0.2456
14.1,0.0097,0.5672,0.4809,0.5489,0.7544,0.6517,0.6687,0.6439,0.6563,0.2968,0.1723,0.2346
14.2,-0.0238,0.5572,0.4764,0.5341,0.75,0.642,0.6585,0.6425,0.6505,0.2933,0.1582,0.2258
14.3,-0.0574,0.5475,0.4725,0.5191,0.7425,0.6308,0.6466,0.6388,0.6427,0.2907,0.1473,0.219
14.4,-0.0909,0.5381,0.4695,0.5037,0.7319,0.6178,0.6334,0.6329,0.6331,0.2888,0.1395,0.2141
14.5,-0.1238,0.5294,0.4671,0.4871,0.7185,0.6028,0.6198,0.6248,0.6223,0.288,0.1347,0.2114
14.6,-0.1552,0.5223,0.465,0.4689,0.7027,0.5858,0.6068,0.6153,0.611,0.2889,0.1327,0.2108
14.7,-0.1839,0.5177,0.4629,0.4494,0.6851,0.5672,0.5947,0.6047,0.5997,0.2922,0.1334,0.2128
14.8,-0.2079,0.5153,0.4603,0.4291,0.6663,0.5477,0.5833,0.5926,0.588,0.2979,0.1365,0.2172
14.9,-0.225,0.5138,0.4565,0.4082,0.646,0.5271,0.5723,0.5785,0.5754,0.3057,0.1417,0.2237
