Time,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC
9.9,-0.0462,0.4717,0.4748,0.4223,0.5489,0.4856,0.5369,0.4892,0.5131,0.4964,0.5894,0.5429
10,-0.0196,0.4988,0.4749,0.4462,0.5531,0.4996,0.5462,0.4902,0.5182,0.4927,0.5692,0.5309
10.1,0.0063,0.5227,0.4751,0.4685,0.5547,0.5116,0.5551,0.4903,0.5227,0.4901,0.5482,0.5192
10.2,0.0318,0.542,0.4758,0.4884,0.5526,0.5205,0.5626,0.489,0.5258,0.4894,0.5275,0.5084
10.3,0.0565,0.5558,0.4775,0.5049,0.5463,0.5256,0.5672,0.4856,0.5264,0.4906,0.5077,0.4992
10.4,0.0799,0.564,0.481,0.5172,0.5363,0.5267,0.5679,0.4799,0.5239,0.4937,0.4893,0.4915
10.5,0.101,0.567,0.4863,0.5253,0.5232,0.5243,0.5644,0.4726,0.5185,0.4983,0.4726,0.4855
10.6,0.1182,0.565,0.493,0.5295,0.5078,0.5187,0.5568,0.4642,0.5105,0.5044,0.4575,0.481
10.7,0.1305,0.5581,0.5003,0.53,0.4903,0.5101,0.5449,0.4551,0.5,0.5113,0.4443,0.4778
10.8,0.1392,0.5466,0.5071,0.527,0.471,0.499,0.5284,0.445,0.4867,0.5181,0.4334,0.4757
10.9,0.1467,0.5312,0.5133,0.5209,0.4504,0.4857,0.5072,0.4339,0.4706,0.5233,0.425,0.4741
11,0.1547,0.5129,0.5188,0.5124,0.4288,0.4706,0.4813,0.422,0.4517,0.5259,0.4197,0.4728
11.1,0.1635,0.4927,0.5233,0.5027,0.4069,0.4548,0.452,0.4096,0.4308,0.525,0.4177,0.4714
11.2,0.1724,0.4718,0.5265,0.4927,0.386,0.4394,0.4211,0.3972,0.4092,0.5206,0.4191,0.4699
11.3,0.1804,0.451,0.5289,0.4833,0.3675,0.4254,0.3908,0.3856,0.3882,0.5125,0.4235,0.468
11.4,0.186,0.4316,0.5316,0.4752,0.3522,0.4137,0.3623,0.3757,0.369,0.5007,0.4299,0.4653
11.5,0.1882,0.4144,0.5351,0.4689,0.3404,0.4046,0.3365,0.3684,0.3525,0.4851,0.4374,0.4613
11.6,0.1858,0.4,0.5389,0.4648,0.3326,0.3987,0.3141,0.3641,0.3391,0.4658,0.4447,0.4553
11.7,0.1786,0.3886,0.5421,0.4634,0.3293,0.3964,0.2962,0.3626,0.3294,0.4432,0.4507,0.447
11.8,0.1676,0.3801,0.5435,0.4651,0.3311,0.3981,0.284,0.3636,0.3238,0.4182,0.4548,0.4365
11.9,0.1538,0.3748,0.5425,0.4699,0.3381,0.404,0.2777,0.3671,0.3224,0.3912,0.4571,0.4241
12,0.1376,0.3729,0.5391,0.4777,0.3503,0.414,0.2772,0.3732,0.3252,0.3631,0.4581,0.4106
12.1,0.1196,0.3743,0.533,0.4879,0.3665,0.4272,0.2819,0.3817,0.3318,0.3354,0.4585,0.3969
12.2,0.1015,0.3782,0.5236,0.4991,0.385,0.4421,0.292,0.3918,0.3419,0.3097,0.459,0.3843
12.3,0.0852,0.3837,0.5106,0.5098,0.4048,0.4573,0.3068,0.4026,0.3547,0.2872,0.4597,0.3735
12.4,0.0712,0.3901,0.4943,0.5179,0.4252,0.4716,0.3245,0.4131,0.3688,0.2681,0.4609,0.3645
12.5,0.0593,0.397,0.4752,0.5222,0.446,0.4841,0.3434,0.4224,0.3829,0.2525,0.4629,0.3577
12.6,0.0489,0.4042,0.4534,0.5228,0.466,0.4944,0.3623,0.4298,0.396,0.2407,0.4661,0.3534
12.7,0.0393,0.4118,0.4295,0.5206,0.4841,0.5023,0.3809,0.435,0.4079,0.2334,0.4708,0.3521
12.8,0.0292,0.4193,0.4043,0.5157,0.4991,0.5074,0.3997,0.4381,0.4189,0.2315,0.4766,0.354
12.9,0.0182,0.4263,0.3792,0.5084,0.5099,0.5091,0.4186,0.4394,0.429,0.2358,0.4829,0.3594
13,0.0064,0.4322,0.3556,0.499,0.5163,0.5076,0.4368,0.4396,0.4382,0.2459,0.4892,0.3675
13.1,-0.0053,0.4369,0.3348,0.4883,0.5184,0.5034,0.4534,0.4397,0.4465,0.2613,0.4946,0.3779
13.2,-0.0164,0.4399,0.3177,0.4769,0.5163,0.4966,0.4678,0.4411,0.4544,0.2813,0.499,0.3901
13.3,-0.0269,0.4409,0.3044,0.4648,0.5099,0.4874,0.4802,0.4444,0.4623,0.3057,0.5021,0.4039
13.4,-0.0365,0.4399,0.2951,0.4523,0.4993,0.4758,0.4906,0.4493,0.4699,0.3336,0.5044,0.419
13.5,-0.0445,0.4375,0.2898,0.4391,0.4848,0.4619,0.4987,0.4549,0.4768,0.3624,0.5061,0.4342
13.6,-0.0504,0.4341,0.2885,0.4247,0.4664,0.4455,0.5044,0.4612,0.4828,0.3893,0.5072,0.4482
13.7,-0.0538,0.4307,0.2915,0.4096,0.4448,0.4272,0.5084,0.4687,0.4886,0.4122,0.5072,0.4597
13.8,-0.0547,0.4283,0.299,0.395,0.4211,0.4081,0.5119,0.478,0.4949,0.4306,0.5057,0.4682
13.9,-0.0532,0.4281,0.3114,0.3819,0.3967,0.3893,0.5151,0.4891,0.5021,0.4447,0.5031,0.4739
14,-0.0497,0.4306,0.3293,0.3708,0.3729,0.3718,0.5183,0.5018,0.51,0.4547,0.5003,0.4775
14.1,-0.044,0.4368,0.3534,0.3622,0.3506,0.3564,0.5216,0.5154,0.5185,0.4611,0.4988,0.48
14.2,-0.0364,0.4474,0.3839,0.3571,0.3307,0.3439,0.5264,0.5296,0.528,0.4648,0.4997,0.4822
14.3,-0.0282,0.4629,0.4202,0.3563,0.3136,0.335,0.5335,0.5443,0.5389,0.4665,0.5028,0.4847
14.4,-0.021,0.483,0.4602,0.3601,0.2994,0.3297,0.5435,0.5585,0.551,0.4672,0.5072,0.4872
14.5,-0.0162,0.5064,0.5015,0.368,0.2883,0.3282,0.5563,0.5711,0.5637,0.4676,0.5121,0.4898
14.6,-0.014,0.5324,0.5422,0.3792,0.2813,0.3303,0.5719,0.5812,0.5765,0.4681,0.5169,0.4925
14.7,-0.014,0.5604,0.5802,0.393,0.2796,0.3363,0.5897,0.5884,0.589,0.4695,0.5217,0.4956
14.8,-0.0152,0.5906,0.613,0.4088,0.2842,0.3465,0.6091,0.5928,0.6009,0.4721,0.5263,0.4992
14.9,-0.0156,0.6222,0.6386,0.4265,0.2948,0.3606,0.6295,0.5943,0.6119,0.4758,0.5304,0.5031
15,-0.013,0.6542,0.6561,0.4455,0.3106,0.3781,0.6505,0.5932,0.6219,0.4804,0.5334,0.5069
15.1,-0.006,0.6861,0.6652,0.4657,0.331,0.3983,0.6724,0.5903,0.6313,0.4859,0.5351,0.5105
15.2,0.0058,0.7175,0.667,0.4868,0.3557,0.4212,0.6949,0.5863,0.6406,0.4922,0.5358,0.514
15.3,0.0219,0.7485,0.6631,0.509,0.3851,0.447,0.7175,0.5823,0.6499,0.4988,0.5362,0.5175
15.4,0.042,0.7791,0.6552,0.5326,0.419,0.4758,0.7391,0.5788,0.659,0.5058,0.5369,0.5214
15.5,0.0663,0.8088,0.6447,0.5582,0.4564,0.5073,0.7593,0.5759,0.6676,0.5133,0.5383,0.5258
15.6,0.0949,0.8375,0.6328,0.5861,0.4961,0.5411,0.7783,0.5734,0.6759,0.5214,0.5407,0.5311
15.7,0.1263,0.8644,0.6205,0.6155,0.537,0.5762,0.7961,0.5714,0.6838,0.5299,0.544,0.5369
15.8,0.1581,0.8884,0.6088,0.6446,0.5771,0.6108,0.8123,0.5703,0.6913,0.5385,0.5484,0.5434
15.9,0.1883,0.9092,0.599,0.6723,0.6144,0.6433,0.8267,0.5704,0.6985,0.5475,0.5543,0.5509
16,0.216,0.9267,0.5928,0.698,0.6476,0.6728,0.8391,0.5719,0.7055,0.5572,0.5626,0.5599
16.1,0.2403,0.9407,0.5917,0.7204,0.675,0.6977,0.8486,0.5744,0.7115,0.5677,0.5736,0.5706
16.2,0.2601,0.9503,0.5967,0.7379,0.6944,0.7161,0.8543,0.5775,0.7159,0.5786,0.5873,0.583
16.3,0.2746,0.9552,0.6087,0.7498,0.7044,0.7271,0.8549,0.5807,0.7178,0.5892,0.6039,0.5965
16.4,0.2823,0.9553,0.6274,0.7554,0.7058,0.7306,0.8493,0.5837,0.7165,0.5984,0.6233,0.6109
16.5,0.2818,0.9511,0.6516,0.755,0.7004,0.7277,0.8371,0.5863,0.7117,0.606,0.6453,0.6257
16.6,0.2722,0.9434,0.68,0.7498,0.6904,0.7201,0.819,0.5881,0.7036,0.6121,0.6692,0.6406
16.7,0.2536,0.9329,0.7102,0.741,0.678,0.7095,0.7955,0.5886,0.692,0.6165,0.6946,0.6555
16.8,0.2265,0.9201,0.7405,0.7289,0.6641,0.6965,0.7665,0.5871,0.6768,0.6186,0.721,0.6698
16.9,0.1911,0.9055,0.7689,0.714,0.6494,0.6817,0.7322,0.5832,0.6577,0.6182,0.747,0.6826
17,0.1481,0.8901,0.7935,0.6974,0.6346,0.666,0.6942,0.5776,0.6359,0.6163,0.7707,0.6935
17.1,0.0984,0.8752,0.8128,0.6806,0.6205,0.6506,0.6549,0.5705,0.6127,0.6142,0.7902,0.7022
17.2,0.0441,0.8619,0.826,0.6649,0.6072,0.6361,0.6163,0.562,0.5891,0.6127,0.8044,0.7086
17.3,-0.012,0.8499,0.8324,0.6501,0.5943,0.6222,0.5797,0.5517,0.5657,0.6117,0.8134,0.7126
17.4,-0.0671,0.8384,0.8322,0.6358,0.5813,0.6086,0.5466,0.5396,0.5431,0.6104,0.8181,0.7143
17.5,-0.118,0.8267,0.8252,0.6218,0.5678,0.5948,0.5182,0.5261,0.5221,0.6083,0.819,0.7136
17.6,-0.1618,0.8139,0.8116,0.6085,0.5538,0.5811,0.4952,0.512,0.5036,0.6056,0.8163,0.7109
17.7,-0.1966,0.7998,0.7918,0.596,0.5395,0.5678,0.4779,0.4979,0.4879,0.6029,0.8102,0.7066
17.8,-0.2213,0.7849,0.7669,0.5849,0.5257,0.5553,0.4659,0.4844,0.4752,0.6006,0.8017,0.7011
17.9,-0.236,0.7706,0.7382,0.5755,0.513,0.5443,0.4591,0.4724,0.4658,0.5991,0.7919,0.6955
18,-0.2422,0.7589,0.7068,0.5684,0.5023,0.5354,0.4573,0.4633,0.4603,0.5984,0.7819,0.6902
18.1,-0.2411,0.7507,0.6737,0.5645,0.4939,0.5292,0.4599,0.4581,0.459,0.5984,0.7721,0.6852
18.2,-0.2341,0.7459,0.6396,0.5641,0.4878,0.526,0.4662,0.4572,0.4617,0.5984,0.7623,0.6803
18.3,-0.2217,0.7438,0.6056,0.5676,0.4837,0.5256,0.4752,0.4603,0.4677,0.5978,0.7525,0.6751
18.4,-0.2038,0.7436,0.5726,0.5747,0.4817,0.5282,0.4864,0.467,0.4767,0.5968,0.7432,0.67
18.5,-0.1809,0.7444,0.5414,0.585,0.4821,0.5335,0.499,0.4767,0.4879,0.5957,0.7348,0.6653
18.6,-0.1529,0.745,0.5123,0.5977,0.4848,0.5412,0.5121,0.4888,0.5004,0.5942,0.7273,0.6607
18.7,-0.1199,0.7442,0.486,0.6116,0.4891,0.5503,0.5241,0.5019,0.513,0.5911,0.7197,0.6554
18.8,-0.0823,0.7407,0.4626,0.6253,0.4934,0.5593,0.5335,0.5146,0.524,0.5861,0.7116,0.6489
18.9,-0.0414,0.7338,0.4421,0.6373,0.4959,0.5666,0.5395,0.5259,0.5327,0.5791,0.7031,0.6411
19,0.0007,0.7232,0.4244,0.6463,0.4956,0.571,0.5422,0.5358,0.539,0.5708,0.6937,0.6323
19.1,0.0423,0.7092,0.4093,0.6516,0.4924,0.572,0.5418,0.5445,0.5432,0.5616,0.6835,0.6226
19.2,0.0825,0.6931,0.3969,0.6533,0.4867,0.57,0.5388,0.5524,0.5456,0.5519,0.6726,0.6122
19.3,0.1212,0.6762,0.3877,0.6527,0.4794,0.566,0.5332,0.5591,0.5462,0.5417,0.6606,0.6012
19.4,0.1578,0.66,0.3819,0.6507,0.4714,0.5611,0.5254,0.5642,0.5448,0.5318,0.6474,0.5896
19.5,0.1914,0.6452,0.3797,0.6485,0.4639,0.5562,0.5159,0.5677,0.5418,0.5231,0.6333,0.5782
19.6,0.2208,0.6325,0.3809,0.647,0.4579,0.5525,0.5056,0.5701,0.5379,0.5161,0.619,0.5676
19.7,0.2443,0.6221,0.3852,0.6468,0.4546,0.5507,0.4953,0.572,0.5337,0.5109,0.6047,0.5578
19.8,0.26,0.614,0.3923,0.6475,0.455,0.5513,0.4854,0.5744,0.5299,0.5068,0.5904,0.5486
19.9,0.2667,0.6078,0.4021,0.6486,0.4598,0.5542,0.4763,0.578,0.5272,0.5037,0.5763,0.54
20,0.2649,0.6034,0.4145,0.6499,0.4686,0.5592,0.469,0.5832,0.5261,0.5015,0.5629,0.5322
20.1,0.2553,0.6003,0.4286,0.6508,0.4807,0.5657,0.4634,0.5894,0.5264,0.5002,0.5504,0.5253
20.2,0.2392,0.5977,0.4432,0.6507,0.4945,0.5726,0.4587,0.5956,0.5271,0.4995,0.5387,0.5191
20.3,0.2175,0.5951,0.457,0.6498,0.5089,0.5793,0.4548,0.6009,0.5278,0.4989,0.5277,0.5133
20.4,0.1913,0.5921,0.4696,0.6483,0.5232,0.5857,0.4525,0.6052,0.5289,0.498,0.5171,0.5075
20.5,0.1618,0.5883,0.4802,0.6466,0.5373,0.5919,0.4526,0.6086,0.5306,0.496,0.507,0.5015
20.6,0.1302,0.5832,0.4877,0.6449,0.5504,0.5976,0.455,0.6104,0.5327,0.4922,0.4976,0.4949
20.7,0.0978,0.5764,0.4912,0.643,0.5619,0.6025,0.4589,0.6098,0.5344,0.486,0.4891,0.4876
20.8,0.0659,0.5683,0.4902,0.6411,0.572,0.6066,0.4639,0.6066,0.5352,0.4775,0.4818,0.4796
20.9,0.0352,0.5594,0.4856,0.6394,0.5811,0.6103,0.4696,0.6015,0.5355,0.467,0.4759,0.4715
21,0.0063,0.5506,0.4783,0.6382,0.5895,0.6138,0.4763,0.5957,0.536,0.455,0.4712,0.4631
21.1,-0.0207,0.5421,0.4689,0.6367,0.5969,0.6168,0.4837,0.5894,0.5365,0.4409,0.4669,0.4539
21.2,-0.0454,0.534,0.4574,0.6341,0.6024,0.6183,0.4905,0.5821,0.5363,0.4237,0.462,0.4428
