Time,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC,Spiderman Far From Home Movie Trailer 30 TVC
2.5,0.1798,0.8583,0.6722,0.8557,0.6784,0.7671,0.79,0.8475,0.8187,0.6449,0.7431,0.694
2.6,0.1669,0.8398,0.6802,0.8438,0.6778,0.7608,0.7766,0.8593,0.818,0.63,0.7377,0.6839
2.7,0.1581,0.8206,0.6877,0.8284,0.6733,0.7508,0.7609,0.8687,0.8148,0.6144,0.7307,0.6725
2.8,0.1531,0.801,0.6939,0.8099,0.6653,0.7376,0.743,0.8751,0.809,0.5984,0.7217,0.66
2.9,0.1506,0.7813,0.6983,0.7886,0.6548,0.7217,0.7234,0.8781,0.8007,0.5829,0.7108,0.6468
3,0.1486,0.762,0.7002,0.7652,0.6431,0.7042,0.7026,0.8777,0.7902,0.5685,0.6982,0.6333
3.1,0.1452,0.7439,0.6997,0.7403,0.6317,0.686,0.6819,0.8743,0.7781,0.5557,0.6842,0.6199
3.2,0.1396,0.7281,0.6971,0.715,0.622,0.6685,0.6622,0.8685,0.7654,0.5447,0.6691,0.6069
3.3,0.1322,0.7157,0.6929,0.6904,0.6151,0.6527,0.6442,0.8613,0.7528,0.5351,0.6532,0.5941
3.4,0.1236,0.7066,0.687,0.6669,0.6115,0.6392,0.6282,0.8534,0.7408,0.5268,0.637,0.5819
3.5,0.1147,0.7,0.6796,0.6445,0.6108,0.6276,0.6143,0.8456,0.73,0.52,0.621,0.5705
3.6,0.106,0.695,0.6713,0.6231,0.6118,0.6175,0.6029,0.8386,0.7207,0.5152,0.606,0.5606
3.7,0.0985,0.6908,0.6629,0.6031,0.6135,0.6083,0.5944,0.8328,0.7136,0.5126,0.5926,0.5526
3.8,0.093,0.6875,0.6551,0.5854,0.6155,0.6005,0.5892,0.8287,0.709,0.5125,0.5812,0.5469
3.9,0.0904,0.686,0.6481,0.5714,0.6182,0.5948,0.5874,0.8265,0.7069,0.515,0.5718,0.5434
4,0.0912,0.6869,0.6416,0.562,0.6224,0.5922,0.5885,0.8264,0.7074,0.5202,0.5648,0.5425
4.1,0.0958,0.6899,0.6358,0.5576,0.6284,0.593,0.5923,0.8283,0.7103,0.5281,0.5604,0.5443
4.2,0.1039,0.6946,0.6311,0.5579,0.6359,0.5969,0.5987,0.8322,0.7154,0.5385,0.5594,0.5489
4.3,0.1144,0.7002,0.6281,0.5626,0.6445,0.6035,0.6075,0.8379,0.7227,0.5513,0.562,0.5567
4.4,0.1266,0.7066,0.6274,0.5715,0.6545,0.613,0.6187,0.8449,0.7318,0.5666,0.5687,0.5677
4.5,0.1403,0.7143,0.6296,0.5844,0.6664,0.6254,0.632,0.8528,0.7424,0.5847,0.5798,0.5823
4.6,0.1557,0.7235,0.6354,0.6003,0.6804,0.6404,0.6471,0.861,0.754,0.6059,0.5956,0.6008
4.7,0.1729,0.7339,0.6454,0.6178,0.6957,0.6568,0.6634,0.8685,0.766,0.6303,0.6159,0.6231
4.8,0.1918,0.7443,0.6598,0.6354,0.7109,0.6731,0.6804,0.874,0.7772,0.6571,0.6401,0.6486
4.9,0.2115,0.753,0.6774,0.6514,0.7249,0.6881,0.6968,0.8758,0.7863,0.6844,0.6667,0.6756
5,0.2302,0.7587,0.6971,0.6648,0.7369,0.7008,0.7115,0.8727,0.7921,0.7102,0.6944,0.7023
5.1,0.2459,0.7602,0.7175,0.6746,0.746,0.7103,0.7235,0.8649,0.7942,0.7324,0.7215,0.7269
5.2,0.2573,0.7565,0.7379,0.6798,0.7512,0.7155,0.7323,0.8531,0.7927,0.7495,0.7465,0.748
5.3,0.2645,0.7472,0.7577,0.6806,0.7515,0.716,0.7374,0.8383,0.7879,0.7605,0.7679,0.7642
5.4,0.2688,0.7321,0.7765,0.6773,0.7468,0.712,0.7383,0.8214,0.7799,0.7646,0.7846,0.7746
5.5,0.2725,0.7116,0.7934,0.6709,0.7372,0.704,0.7349,0.8029,0.7689,0.7618,0.7956,0.7787
5.6,0.2782,0.6867,0.8071,0.6623,0.7231,0.6927,0.7268,0.783,0.7549,0.7522,0.8007,0.7765
5.7,0.2885,0.6591,0.8167,0.6526,0.7045,0.6786,0.7144,0.7621,0.7383,0.737,0.7998,0.7684
5.8,0.3047,0.6302,0.8224,0.6426,0.6814,0.662,0.6987,0.7407,0.7197,0.7174,0.7934,0.7554
5.9,0.3265,0.6011,0.8251,0.6331,0.6543,0.6437,0.6809,0.7199,0.7004,0.6947,0.7823,0.7385
6,0.352,0.5729,0.8254,0.6251,0.6252,0.6251,0.6621,0.7011,0.6816,0.6697,0.7677,0.7187
6.1,0.3787,0.5465,0.8241,0.6195,0.5967,0.6081,0.6433,0.6854,0.6643,0.6435,0.7506,0.697
6.2,0.4043,0.523,0.8216,0.6173,0.5709,0.5941,0.6255,0.6737,0.6496,0.6171,0.7323,0.6747
6.3,0.4274,0.5038,0.8186,0.619,0.5491,0.5841,0.6095,0.6665,0.638,0.5916,0.7137,0.6526
6.4,0.4469,0.4903,0.8154,0.6246,0.5319,0.5782,0.5957,0.6636,0.6296,0.5677,0.6954,0.6316
6.5,0.4618,0.4829,0.8128,0.633,0.519,0.576,0.584,0.6646,0.6243,0.5455,0.6778,0.6116
6.6,0.4712,0.4814,0.8106,0.6426,0.51,0.5763,0.5733,0.6688,0.6211,0.5246,0.6606,0.5926
6.7,0.4749,0.4852,0.8088,0.652,0.504,0.578,0.5628,0.6755,0.6192,0.5048,0.6437,0.5743
6.8,0.4735,0.4934,0.8072,0.6601,0.4992,0.5796,0.5519,0.6839,0.6179,0.4862,0.6271,0.5566
6.9,0.4674,0.5051,0.8057,0.6666,0.4948,0.5807,0.5408,0.6931,0.617,0.4688,0.6109,0.5398
7,0.4559,0.5201,0.8041,0.6717,0.4909,0.5813,0.53,0.7025,0.6162,0.453,0.5951,0.524
7.1,0.4381,0.538,0.8019,0.6755,0.4885,0.582,0.5195,0.7113,0.6154,0.4385,0.5798,0.5091
7.2,0.4133,0.5584,0.7986,0.6776,0.4884,0.583,0.5094,0.7193,0.6143,0.4253,0.5648,0.4951
7.3,0.382,0.5802,0.7942,0.6774,0.4908,0.5841,0.4997,0.7267,0.6132,0.4136,0.5506,0.4821
7.4,0.3458,0.6018,0.7889,0.6744,0.4952,0.5848,0.4909,0.7337,0.6123,0.4035,0.5376,0.4706
7.5,0.3069,0.6219,0.7831,0.6685,0.5008,0.5847,0.4838,0.7406,0.6122,0.3955,0.5262,0.4608
7.6,0.267,0.6393,0.7773,0.6605,0.5073,0.5839,0.4787,0.7472,0.613,0.3893,0.5166,0.453
7.7,0.2279,0.6538,0.7714,0.6513,0.5149,0.5831,0.4758,0.7533,0.6146,0.3847,0.5086,0.4466
7.8,0.1916,0.6654,0.7656,0.642,0.5234,0.5827,0.4746,0.7588,0.6167,0.3813,0.5016,0.4415
7.9,0.1605,0.6739,0.7604,0.6329,0.5325,0.5827,0.4746,0.7634,0.619,0.379,0.4953,0.4371
8,0.1357,0.6785,0.756,0.6238,0.5411,0.5825,0.475,0.7667,0.6209,0.3773,0.4895,0.4334
8.1,0.1175,0.6785,0.7528,0.6146,0.5485,0.5815,0.4756,0.7681,0.6218,0.3759,0.4842,0.4301
8.2,0.1049,0.6739,0.751,0.6056,0.5544,0.58,0.4766,0.7673,0.6219,0.3749,0.4797,0.4273
8.3,0.0969,0.666,0.7512,0.5975,0.5593,0.5784,0.4783,0.7649,0.6216,0.3744,0.4765,0.4255
8.4,0.0932,0.6565,0.7537,0.5913,0.5639,0.5776,0.4813,0.7614,0.6214,0.3748,0.4752,0.425
8.5,0.0939,0.647,0.7586,0.5877,0.5688,0.5782,0.4857,0.7575,0.6216,0.3763,0.4759,0.4261
8.6,0.0992,0.6382,0.7658,0.587,0.5741,0.5806,0.4916,0.7532,0.6224,0.3795,0.4787,0.4291
8.7,0.109,0.6304,0.7746,0.589,0.5804,0.5847,0.4988,0.7484,0.6236,0.3844,0.483,0.4337
8.8,0.1225,0.6238,0.7842,0.5935,0.588,0.5907,0.5074,0.7432,0.6253,0.3916,0.4887,0.4401
8.9,0.1387,0.6186,0.7941,0.6001,0.597,0.5985,0.5175,0.7377,0.6276,0.4014,0.4956,0.4485
9,0.1567,0.6154,0.8039,0.6084,0.6072,0.6078,0.5292,0.7324,0.6308,0.4139,0.5037,0.4588
9.1,0.1756,0.6141,0.8135,0.6174,0.6181,0.6178,0.5421,0.7277,0.6349,0.4287,0.5124,0.4705
9.2,0.1937,0.6137,0.823,0.6261,0.629,0.6275,0.5558,0.7235,0.6396,0.4451,0.5215,0.4833
9.3,0.2089,0.6132,0.8325,0.6333,0.6392,0.6363,0.5694,0.7197,0.6446,0.4625,0.5311,0.4968
9.4,0.2198,0.6123,0.8419,0.6386,0.6491,0.6438,0.5826,0.7161,0.6493,0.4804,0.5409,0.5107
9.5,0.2267,0.6116,0.851,0.6423,0.6588,0.6505,0.5952,0.7128,0.654,0.4987,0.5508,0.5248
9.6,0.2306,0.6121,0.8595,0.6448,0.6684,0.6566,0.6071,0.7099,0.6585,0.5167,0.5602,0.5385
9.7,0.2326,0.6146,0.8668,0.6461,0.6777,0.6619,0.6179,0.7074,0.6627,0.5332,0.5686,0.5509
9.8,0.2327,0.6188,0.8722,0.6452,0.6864,0.6658,0.6268,0.7049,0.6659,0.5471,0.5752,0.5611
9.9,0.23,0.6242,0.8747,0.6412,0.694,0.6676,0.6331,0.7021,0.6676,0.5572,0.5798,0.5685
10,0.2239,0.63,0.8736,0.6341,0.6995,0.6668,0.6366,0.6989,0.6677,0.5629,0.5823,0.5726
10.1,0.2147,0.6359,0.8681,0.6244,0.7022,0.6633,0.6376,0.695,0.6663,0.5641,0.5825,0.5733
10.2,0.2029,0.6414,0.8579,0.6131,0.7014,0.6572,0.6367,0.6904,0.6636,0.5608,0.5801,0.5705
10.3,0.1895,0.6459,0.8428,0.6007,0.6969,0.6488,0.634,0.6849,0.6595,0.5531,0.5754,0.5643
10.4,0.1757,0.6491,0.8225,0.5881,0.6886,0.6384,0.6296,0.6785,0.654,0.5417,0.5688,0.5553
10.5,0.1631,0.6503,0.7975,0.5763,0.6763,0.6263,0.624,0.6713,0.6477,0.5274,0.5609,0.5442
10.6,0.1537,0.649,0.7683,0.5657,0.66,0.6129,0.6181,0.6637,0.6409,0.5114,0.5523,0.5318
10.7,0.1493,0.645,0.7362,0.5569,0.6398,0.5983,0.6127,0.6556,0.6341,0.4946,0.5432,0.5189
10.8,0.1513,0.6383,0.7027,0.55,0.6164,0.5832,0.6083,0.6469,0.6276,0.478,0.534,0.506
10.9,0.1599,0.6295,0.6685,0.5453,0.5904,0.5679,0.6051,0.6374,0.6212,0.4622,0.525,0.4936
11,0.1746,0.6191,0.6345,0.5436,0.5629,0.5532,0.6026,0.6269,0.6148,0.4476,0.5161,0.4819
11.1,0.1947,0.6077,0.6018,0.5453,0.5343,0.5398,0.6009,0.6159,0.6084,0.4345,0.5076,0.4711
11.2,0.2193,0.5951,0.5716,0.5506,0.5052,0.5279,0.5999,0.6046,0.6023,0.4234,0.4996,0.4615
11.3,0.2465,0.5809,0.545,0.5594,0.4765,0.5179,0.6,0.5935,0.5968,0.4145,0.4925,0.4535
11.4,0.2744,0.565,0.5226,0.571,0.4495,0.5102,0.6016,0.5824,0.592,0.4082,0.4866,0.4474
11.5,0.3007,0.5482,0.5046,0.5849,0.4259,0.5054,0.6048,0.5718,0.5883,0.4048,0.4822,0.4435
11.6,0.3236,0.5316,0.4911,0.6011,0.4074,0.5042,0.6099,0.5626,0.5863,0.4042,0.4795,0.4419
11.7,0.3417,0.5162,0.4819,0.6192,0.3951,0.5071,0.6165,0.5555,0.586,0.4063,0.4784,0.4423
11.8,0.3548,0.5022,0.4766,0.6386,0.3892,0.5139,0.6239,0.5508,0.5874,0.4105,0.4787,0.4446
11.9,0.363,0.4895,0.4743,0.6584,0.3892,0.5238,0.6315,0.548,0.5898,0.4163,0.4797,0.448
12,0.3669,0.4783,0.4742,0.6772,0.3939,0.5356,0.6387,0.5464,0.5926,0.4234,0.4808,0.4521
12.1,0.3669,0.4689,0.4752,0.6939,0.4024,0.5482,0.6449,0.5451,0.595,0.4314,0.4818,0.4566
12.2,0.3631,0.4618,0.4764,0.7081,0.4136,0.5608,0.6497,0.5436,0.5967,0.4398,0.4826,0.4612
12.3,0.3562,0.4574,0.4777,0.7194,0.4261,0.5727,0.6526,0.5416,0.5971,0.4483,0.4829,0.4656
12.4,0.347,0.4557,0.4791,0.7275,0.4379,0.5827,0.6529,0.5388,0.5958,0.4565,0.4827,0.4696
12.5,0.3364,0.4565,0.4807,0.7322,0.4473,0.5898,0.6504,0.5348,0.5926,0.464,0.4818,0.4729
12.6,0.3246,0.4599,0.482,0.7333,0.4532,0.5933,0.6454,0.5293,0.5873,0.4705,0.4802,0.4754
12.7,0.3113,0.4664,0.4826,0.7311,0.4553,0.5932,0.6382,0.5223,0.5803,0.4761,0.4779,0.477
12.8,0.2967,0.4761,0.482,0.7266,0.4535,0.5901,0.6298,0.5141,0.572,0.4807,0.4747,0.4777
12.9,0.2826,0.4888,0.4799,0.7202,0.4469,0.5836,0.621,0.5053,0.5632,0.4841,0.4705,0.4773
13,0.2715,0.5032,0.4761,0.7116,0.4333,0.5724,0.612,0.4961,0.5541,0.4863,0.4653,0.4758
13.1,0.2654,0.5172,0.4704,0.6996,0.4102,0.5549,0.6028,0.486,0.5444,0.4867,0.4591,0.4729
13.2,0.2648,0.529,0.4622,0.6835,0.3764,0.53,0.5933,0.4741,0.5337,0.4854,0.4521,0.4687
13.3,0.2691,0.5378,0.4514,0.6641,0.3323,0.4982,0.5838,0.4601,0.522,0.4827,0.4444,0.4635
13.4,0.2775,0.5439,0.4383,0.6428,0.2795,0.4612,0.575,0.4444,0.5097,0.4788,0.4366,0.4577
13.5,0.2898,0.5478,0.4239,0.621,0.2208,0.4209,0.5673,0.4281,0.4977,0.4746,0.4289,0.4517
13.6,0.3053,0.5501,0.4091,0.5997,0.1591,0.3794,0.5611,0.4128,0.487,0.4703,0.422,0.4461
13.7,0.3219,0.5509,0.3946,0.5791,0.0982,0.3387,0.5564,0.4,0.4782,0.4665,0.4165,0.4415
13.8,0.3365,0.5506,0.3809,0.5598,0.0421,0.301,0.5532,0.3906,0.4719,0.464,0.4131,0.4386
13.9,0.3462,0.5489,0.3682,0.5418,-0.0053,0.2682,0.5512,0.3847,0.468,0.4635,0.412,0.4377
14,0.3489,0.5458,0.3564,0.5249,-0.0418,0.2415,0.55,0.3822,0.4661,0.4653,0.413,0.4391
14.1,0.3437,0.5415,0.3457,0.5086,-0.0665,0.221,0.5486,0.383,0.4658,0.4692,0.4161,0.4427
14.2,0.3307,0.5365,0.3359,0.4928,-0.0795,0.2066,0.546,0.3871,0.4666,0.4748,0.4209,0.4479
14.3,0.3109,0.5311,0.3265,0.4786,-0.0812,0.1987,0.5421,0.3944,0.4683,0.4815,0.4273,0.4544
14.4,0.2858,0.5255,0.3175,0.4679,-0.0713,0.1983,0.5374,0.4046,0.471,0.489,0.435,0.462
14.5,0.2571,0.5197,0.3092,0.462,-0.0499,0.206,0.5323,0.4172,0.4748,0.4973,0.4444,0.4709
14.6,0.2262,0.5137,0.3019,0.4607,-0.0176,0.2215,0.5272,0.4317,0.4795,0.5062,0.4558,0.481
14.7,0.1938,0.5077,0.2966,0.4626,0.0249,0.2437,0.522,0.4474,0.4847,0.5155,0.4692,0.4923
14.8,0.1608,0.5019,0.2939,0.4665,0.0757,0.2711,0.5166,0.4638,0.4902,0.5251,0.4846,0.5048
14.9,0.1292,0.4968,0.2943,0.4721,0.1324,0.3022,0.5116,0.4809,0.4963,0.5355,0.5019,0.5187
15,0.1012,0.4931,0.2989,0.4799,0.1919,0.3359,0.5079,0.4988,0.5033,0.5472,0.5208,0.534
15.1,0.0791,0.4917,0.3077,0.4904,0.2516,0.371,0.5059,0.5173,0.5116,0.56,0.5404,0.5502
15.2,0.0641,0.4936,0.3205,0.5036,0.3094,0.4065,0.506,0.5358,0.5209,0.5735,0.5594,0.5665
15.3,0.0568,0.4995,0.3364,0.5191,0.3637,0.4414,0.5087,0.5541,0.5314,0.5868,0.5763,0.5816
15.4,0.0571,0.5094,0.3543,0.5364,0.4132,0.4748,0.5145,0.5722,0.5433,0.5994,0.5902,0.5948
15.5,0.0651,0.5228,0.3737,0.5557,0.4566,0.5062,0.5242,0.5907,0.5574,0.6113,0.6009,0.6061
15.6,0.0805,0.5386,0.3944,0.5771,0.4929,0.535,0.5385,0.61,0.5742,0.6227,0.6091,0.6159
15.7,0.1036,0.5559,0.4164,0.5998,0.522,0.5609,0.5576,0.6299,0.5938,0.6337,0.6151,0.6244
15.8,0.1344,0.5743,0.4396,0.6226,0.5445,0.5836,0.5812,0.6502,0.6157,0.644,0.619,0.6315
15.9,0.1727,0.5931,0.4633,0.6443,0.5613,0.6028,0.6088,0.6705,0.6396,0.6531,0.6213,0.6372
16,0.2178,0.612,0.4865,0.6641,0.5728,0.6185,0.6394,0.6905,0.6649,0.6609,0.6224,0.6416
16.1,0.2681,0.6301,0.5081,0.6816,0.5791,0.6304,0.672,0.7096,0.6908,0.667,0.6225,0.6448
16.2,0.3211,0.6471,0.5271,0.696,0.5804,0.6382,0.7048,0.7271,0.7159,0.6715,0.6213,0.6464
16.3,0.3742,0.6626,0.5429,0.7068,0.5771,0.642,0.7358,0.7423,0.739,0.6741,0.6186,0.6463
16.4,0.425,0.6767,0.5549,0.7134,0.5701,0.6418,0.7633,0.7543,0.7588,0.6748,0.6141,0.6445
16.5,0.4719,0.6899,0.5631,0.7159,0.5605,0.6382,0.7859,0.7625,0.7742,0.6742,0.6083,0.6412
16.6,0.5135,0.7026,0.5677,0.7144,0.5495,0.632,0.8028,0.7665,0.7847,0.6728,0.602,0.6374
16.7,0.5486,0.715,0.5697,0.7099,0.5382,0.624,0.8137,0.7668,0.7903,0.6715,0.5959,0.6337
16.8,0.577,0.7269,0.5696,0.7028,0.5276,0.6152,0.8188,0.7639,0.7913,0.6705,0.5903,0.6304
16.9,0.599,0.738,0.5678,0.693,0.5184,0.6057,0.8182,0.7587,0.7884,0.6694,0.585,0.6272
17,0.6149,0.7474,0.5647,0.68,0.5108,0.5954,0.8122,0.7516,0.7819,0.668,0.5799,0.624
17.1,0.6247,0.7543,0.5604,0.6637,0.5048,0.5843,0.8009,0.7424,0.7716,0.666,0.5751,0.6206
17.2,0.6279,0.7578,0.5551,0.6441,0.5008,0.5725,0.7844,0.7305,0.7574,0.6635,0.5704,0.6169
17.3,0.6248,0.7578,0.549,0.6221,0.4989,0.5605,0.7633,0.7154,0.7394,0.6604,0.5654,0.6129
17.4,0.6165,0.7544,0.5425,0.5994,0.4992,0.5493,0.7388,0.6978,0.7183,0.657,0.5602,0.6086
17.5,0.6043,0.7484,0.536,0.5778,0.5019,0.5399,0.7123,0.6786,0.6955,0.6529,0.5547,0.6038
17.6,0.5888,0.7396,0.5301,0.5586,0.5071,0.5328,0.6847,0.6588,0.6718,0.648,0.5493,0.5986
17.7,0.5694,0.7281,0.5252,0.5419,0.5148,0.5284,0.6567,0.6388,0.6478,0.642,0.5444,0.5932
17.8,0.5456,0.7137,0.5222,0.5271,0.5248,0.5259,0.6286,0.6187,0.6236,0.6353,0.5406,0.5879
17.9,0.5163,0.6971,0.5214,0.5133,0.5367,0.525,0.6006,0.5983,0.5994,0.6278,0.5379,0.5829
18,0.4817,0.6789,0.5231,0.5008,0.55,0.5254,0.5735,0.578,0.5758,0.6198,0.5366,0.5782
18.1,0.4427,0.6604,0.5274,0.4903,0.5641,0.5272,0.5483,0.5585,0.5534,0.6115,0.5365,0.574
18.2,0.4005,0.6423,0.5339,0.4828,0.5785,0.5306,0.5259,0.5403,0.5331,0.6031,0.5376,0.5704
18.3,0.356,0.6252,0.5418,0.4789,0.5924,0.5356,0.5071,0.5239,0.5155,0.5947,0.5398,0.5672
18.4,0.3102,0.6096,0.5501,0.4783,0.6052,0.5417,0.4919,0.5098,0.5009,0.5857,0.5427,0.5642
18.5,0.2632,0.5954,0.5583,0.4803,0.6162,0.5483,0.4804,0.4986,0.4895,0.5759,0.5462,0.561
18.6,0.2153,0.5822,0.5659,0.484,0.6249,0.5545,0.4727,0.4906,0.4816,0.5649,0.5499,0.5574
18.7,0.1669,0.5689,0.573,0.4888,0.6302,0.5595,0.4688,0.4859,0.4774,0.5531,0.554,0.5535
18.8,0.1199,0.555,0.5798,0.4942,0.6309,0.5626,0.4684,0.4845,0.4764,0.5414,0.5587,0.5501
18.9,0.0775,0.5403,0.5864,0.4996,0.6266,0.5631,0.4709,0.4858,0.4784,0.5305,0.5649,0.5477
19,0.0428,0.5253,0.5927,0.5045,0.6174,0.5609,0.4758,0.4892,0.4825,0.5208,0.573,0.5469
19.1,0.0175,0.5104,0.5981,0.5084,0.6043,0.5564,0.4824,0.4941,0.4882,0.5122,0.5826,0.5474
19.2,0.0013,0.4962,0.602,0.5113,0.5884,0.5498,0.4899,0.4998,0.4949,0.5048,0.5934,0.5491
19.3,-0.0077,0.4829,0.6039,0.5127,0.5708,0.5418,0.4976,0.506,0.5018,0.4987,0.6048,0.5517
19.4,-0.0123,0.4704,0.6037,0.5124,0.5524,0.5324,0.5049,0.5124,0.5087,0.4939,0.6162,0.555
19.5,-0.0148,0.4594,0.6012,0.5103,0.5343,0.5223,0.5112,0.5188,0.515,0.4907,0.6272,0.559
19.6,-0.0165,0.4502,0.5966,0.5066,0.5175,0.512,0.5162,0.525,0.5206,0.4895,0.6374,0.5634
19.7,-0.0174,0.4432,0.5902,0.5016,0.503,0.5023,0.5197,0.5304,0.525,0.4904,0.647,0.5687
19.8,-0.0172,0.4386,0.5826,0.4958,0.4914,0.4936,0.5218,0.5346,0.5282,0.4943,0.6564,0.5754
19.9,-0.0166,0.4367,0.5745,0.4892,0.483,0.4861,0.5227,0.5377,0.5302,0.5016,0.6664,0.584
20,-0.0171,0.4373,0.5665,0.482,0.4779,0.4799,0.5227,0.5398,0.5313,0.512,0.6764,0.5942
20.1,-0.0199,0.4398,0.5586,0.4741,0.4765,0.4753,0.5219,0.5414,0.5316,0.5248,0.6857,0.6052
20.2,-0.0253,0.4433,0.5505,0.4656,0.4786,0.4721,0.5203,0.5425,0.5314,0.5386,0.6929,0.6157
20.3,-0.0321,0.4471,0.5424,0.4568,0.4835,0.4701,0.5181,0.5433,0.5307,0.5529,0.6975,0.6252
20.4,-0.0394,0.4508,0.5346,0.4477,0.4906,0.4691,0.5155,0.5439,0.5297,0.5677,0.6996,0.6337
20.5,-0.0471,0.4542,0.5277,0.4385,0.4987,0.4686,0.513,0.544,0.5285,0.5829,0.6994,0.6411
20.6,-0.0558,0.457,0.5216,0.4292,0.5071,0.4682,0.5108,0.5437,0.5273,0.5981,0.6967,0.6474
20.7,-0.0659,0.459,0.5163,0.42,0.5152,0.4676,0.5093,0.543,0.5261,0.6125,0.6917,0.6521
20.8,-0.0768,0.4599,0.5119,0.4114,0.5229,0.4671,0.5089,0.5421,0.5255,0.6251,0.6846,0.6548
20.9,-0.0879,0.4598,0.5086,0.4041,0.5304,0.4672,0.5098,0.5414,0.5256,0.6349,0.6758,0.6554
21,-0.0979,0.4593,0.5067,0.3983,0.5377,0.468,0.5121,0.5411,0.5266,0.6417,0.6658,0.6537
21.1,-0.106,0.4589,0.5062,0.3947,0.5447,0.4697,0.5158,0.5411,0.5284,0.6453,0.6545,0.6499
