Time,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC
9.3,-0.1972,0.5916,0.8084,0.5618,0.8199,0.6908,0.6334,0.6347,0.634,0.733,0.7411,0.737
9.4,-0.2003,0.6084,0.8065,0.5713,0.8362,0.7037,0.6575,0.6442,0.6508,0.7409,0.7327,0.7368
9.5,-0.1948,0.623,0.8018,0.5831,0.8481,0.7156,0.6819,0.651,0.6664,0.747,0.7232,0.7351
9.6,-0.1807,0.6344,0.7944,0.5961,0.8554,0.7257,0.7059,0.6549,0.6804,0.7514,0.7129,0.7322
9.7,-0.1584,0.6424,0.7845,0.6093,0.8575,0.7334,0.7284,0.6563,0.6923,0.7549,0.702,0.7284
9.8,-0.1284,0.6466,0.7722,0.622,0.8542,0.7381,0.7484,0.6553,0.7019,0.7574,0.6909,0.7242
9.9,-0.0924,0.6475,0.7579,0.6339,0.8456,0.7398,0.7648,0.6524,0.7086,0.7591,0.68,0.7196
10,-0.0523,0.6457,0.7417,0.645,0.8322,0.7386,0.7767,0.6477,0.7122,0.76,0.6698,0.7149
10.1,-0.0106,0.6426,0.7238,0.6555,0.8151,0.7353,0.7837,0.6414,0.7126,0.76,0.6607,0.7103
10.2,0.0306,0.6391,0.705,0.6654,0.7957,0.7305,0.7856,0.6344,0.71,0.7591,0.6529,0.706
10.3,0.069,0.6359,0.6864,0.675,0.7756,0.7253,0.7827,0.6278,0.7053,0.7572,0.6465,0.7019
10.4,0.1031,0.6333,0.6693,0.6846,0.756,0.7203,0.7751,0.6229,0.699,0.7539,0.6418,0.6979
10.5,0.1318,0.6315,0.655,0.6945,0.7377,0.7161,0.7635,0.6202,0.6918,0.7494,0.6393,0.6944
10.6,0.1549,0.6305,0.6438,0.7048,0.7216,0.7132,0.749,0.6203,0.6846,0.7446,0.6398,0.6922
10.7,0.1732,0.6309,0.6362,0.7158,0.7081,0.712,0.7329,0.6237,0.6783,0.7408,0.6436,0.6922
10.8,0.1873,0.6328,0.6324,0.7278,0.6978,0.7128,0.7162,0.631,0.6736,0.7388,0.6509,0.6949
10.9,0.1975,0.636,0.6329,0.7411,0.6906,0.7158,0.6988,0.6424,0.6706,0.7381,0.6611,0.6996
11,0.2033,0.64,0.6377,0.7555,0.6859,0.7207,0.6806,0.6571,0.6689,0.7379,0.6736,0.7057
11.1,0.2044,0.6437,0.646,0.7707,0.6828,0.7267,0.6619,0.6737,0.6678,0.7369,0.6873,0.7121
11.2,0.2011,0.6468,0.6564,0.7857,0.681,0.7334,0.6431,0.6909,0.667,0.7347,0.7012,0.718
11.3,0.1934,0.649,0.6675,0.8001,0.6806,0.7403,0.625,0.7077,0.6664,0.7314,0.7145,0.7229
11.4,0.1809,0.6498,0.6778,0.8137,0.6817,0.7477,0.6079,0.7234,0.6656,0.7272,0.7264,0.7268
11.5,0.1626,0.6485,0.6858,0.8259,0.6843,0.7551,0.5917,0.7372,0.6644,0.7226,0.7367,0.7297
11.6,0.1379,0.6445,0.6902,0.8356,0.6878,0.7617,0.5762,0.7482,0.6622,0.7177,0.7454,0.7316
11.7,0.1072,0.6373,0.69,0.8417,0.6912,0.7664,0.5617,0.7555,0.6586,0.7126,0.7525,0.7325
11.8,0.0717,0.6274,0.6848,0.8432,0.694,0.7686,0.5484,0.759,0.6537,0.7071,0.7576,0.7323
11.9,0.033,0.6154,0.6745,0.8403,0.696,0.7681,0.5363,0.7587,0.6475,0.7015,0.7603,0.7309
12,-0.0076,0.6022,0.6595,0.833,0.6969,0.765,0.5257,0.7547,0.6402,0.6959,0.7606,0.7282
12.1,-0.0485,0.5884,0.6402,0.8213,0.6967,0.759,0.5165,0.7472,0.6319,0.6905,0.7585,0.7245
12.2,-0.0881,0.5743,0.6171,0.8045,0.6949,0.7497,0.5092,0.7363,0.6227,0.6854,0.7544,0.7199
12.3,-0.1248,0.5599,0.591,0.7821,0.6909,0.7365,0.5039,0.7225,0.6132,0.6804,0.7491,0.7147
12.4,-0.1574,0.5457,0.5635,0.7548,0.6844,0.7196,0.501,0.7067,0.6038,0.6756,0.7432,0.7094
12.5,-0.1857,0.5325,0.5363,0.724,0.6754,0.6997,0.5007,0.6891,0.5949,0.6713,0.7373,0.7043
12.6,-0.2096,0.521,0.5111,0.6919,0.6645,0.6782,0.5035,0.6699,0.5867,0.6678,0.7315,0.6997
12.7,-0.2289,0.5117,0.489,0.66,0.6521,0.6561,0.5088,0.6496,0.5792,0.6651,0.7251,0.6951
12.8,-0.2425,0.5047,0.4703,0.6293,0.6392,0.6342,0.5156,0.6287,0.5722,0.6625,0.7178,0.6902
12.9,-0.2497,0.5003,0.4551,0.6005,0.6268,0.6136,0.5226,0.6083,0.5654,0.6591,0.7093,0.6842
13,-0.2505,0.4988,0.4439,0.5745,0.6161,0.5953,0.5286,0.5892,0.5589,0.6544,0.7003,0.6773
13.1,-0.2464,0.5005,0.4371,0.5523,0.6083,0.5803,0.5335,0.5723,0.5529,0.6488,0.6916,0.6702
13.2,-0.2397,0.5056,0.4352,0.5345,0.6044,0.5694,0.5379,0.5585,0.5482,0.6432,0.684,0.6636
13.3,-0.2327,0.5141,0.4383,0.5214,0.6057,0.5636,0.5425,0.5483,0.5454,0.6381,0.6777,0.6579
13.4,-0.2263,0.5259,0.4461,0.5135,0.613,0.5632,0.548,0.5425,0.5452,0.6337,0.6723,0.653
13.5,-0.2209,0.5408,0.458,0.5109,0.6265,0.5687,0.5545,0.5414,0.5479,0.6296,0.6674,0.6485
13.6,-0.2161,0.5581,0.4732,0.5132,0.6455,0.5793,0.5619,0.5445,0.5532,0.6252,0.6625,0.6438
13.7,-0.2116,0.5767,0.4911,0.52,0.6681,0.594,0.5697,0.551,0.5604,0.6199,0.6576,0.6388
13.8,-0.207,0.5955,0.5114,0.53,0.6924,0.6112,0.5771,0.56,0.5686,0.6137,0.6529,0.6333
13.9,-0.2015,0.6133,0.5333,0.5426,0.7171,0.6298,0.5836,0.571,0.5773,0.6066,0.6487,0.6276
14,-0.1944,0.6296,0.5561,0.5578,0.7413,0.6495,0.5891,0.5837,0.5864,0.5986,0.6448,0.6217
14.1,-0.1856,0.6444,0.5793,0.576,0.7646,0.6703,0.5936,0.5977,0.5957,0.59,0.6416,0.6158
14.2,-0.1754,0.6577,0.6023,0.5975,0.7868,0.6921,0.5971,0.6127,0.6049,0.5809,0.6393,0.6101
14.3,-0.164,0.6702,0.6249,0.6222,0.8077,0.7149,0.5997,0.6281,0.6139,0.5713,0.6382,0.6047
14.4,-0.1512,0.6822,0.6464,0.65,0.8277,0.7388,0.6015,0.6436,0.6225,0.5613,0.6385,0.5999
14.5,-0.1364,0.6946,0.6658,0.6809,0.8477,0.7643,0.6028,0.6588,0.6308,0.5512,0.6401,0.5956
14.6,-0.1189,0.7076,0.6818,0.7151,0.8685,0.7918,0.6038,0.6734,0.6386,0.5416,0.6429,0.5923
14.7,-0.0984,0.7215,0.694,0.7526,0.8903,0.8214,0.6043,0.687,0.6456,0.5337,0.6471,0.5904
14.8,-0.0756,0.7361,0.7023,0.7928,0.9125,0.8527,0.6036,0.6988,0.6512,0.5284,0.6528,0.5906
14.9,-0.0512,0.7512,0.7069,0.8339,0.9343,0.8841,0.6008,0.7084,0.6546,0.5261,0.6604,0.5933
