Time,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC
1.5,-0.3551,0.492,0.4474,0.4538,0.3727,0.4132,0.4422,0.5084,0.4753,0.3684,0.5857,0.4771
1.6,-0.4093,0.502,0.4704,0.4566,0.3997,0.4282,0.4385,0.5474,0.493,0.3502,0.5641,0.4571
1.7,-0.4469,0.5114,0.492,0.4602,0.4244,0.4423,0.4364,0.5828,0.5096,0.3316,0.5428,0.4372
1.8,-0.4674,0.5201,0.511,0.4649,0.4464,0.4556,0.4357,0.6123,0.524,0.313,0.522,0.4175
1.9,-0.4713,0.5284,0.5262,0.471,0.4659,0.4685,0.4361,0.6342,0.5352,0.295,0.5021,0.3986
2,-0.4595,0.5361,0.5372,0.4791,0.4832,0.4812,0.4375,0.6484,0.5429,0.2789,0.4837,0.3813
2.1,-0.4332,0.5431,0.5437,0.4897,0.4984,0.4941,0.4408,0.6553,0.548,0.266,0.4679,0.3669
2.2,-0.3939,0.549,0.546,0.5031,0.5113,0.5072,0.4469,0.6558,0.5514,0.2572,0.4553,0.3562
2.3,-0.3431,0.554,0.5441,0.5189,0.5218,0.5203,0.4565,0.6508,0.5536,0.253,0.4462,0.3496
2.4,-0.2825,0.5587,0.538,0.5367,0.5298,0.5332,0.4689,0.6407,0.5548,0.2533,0.4402,0.3467
2.5,-0.2139,0.563,0.5276,0.5559,0.5352,0.5456,0.4832,0.6259,0.5546,0.2581,0.4364,0.3472
2.6,-0.1401,0.5668,0.5131,0.5757,0.5381,0.5569,0.4987,0.6067,0.5527,0.2668,0.4341,0.3505
2.7,-0.064,0.5698,0.4948,0.595,0.5386,0.5668,0.5148,0.5838,0.5493,0.2789,0.4323,0.3556
2.8,0.0119,0.5721,0.4732,0.6126,0.5371,0.5748,0.5311,0.5578,0.5445,0.2929,0.4302,0.3616
2.9,0.085,0.5738,0.4494,0.6272,0.5343,0.5807,0.5467,0.5294,0.538,0.3075,0.4272,0.3674
3,0.1529,0.5753,0.4241,0.638,0.5308,0.5844,0.5608,0.4993,0.53,0.3208,0.4228,0.3718
3.1,0.2136,0.5767,0.3984,0.6451,0.5274,0.5862,0.5732,0.4686,0.5209,0.331,0.4166,0.3738
3.2,0.2661,0.5785,0.3732,0.6489,0.5245,0.5867,0.5843,0.4386,0.5114,0.3369,0.4084,0.3726
3.3,0.31,0.5808,0.3489,0.6501,0.5226,0.5863,0.594,0.4108,0.5024,0.3382,0.3982,0.3682
3.4,0.345,0.5834,0.3253,0.6488,0.5216,0.5852,0.6012,0.3859,0.4935,0.3355,0.3868,0.3612
3.5,0.3707,0.5857,0.3023,0.6446,0.5212,0.5829,0.6044,0.3643,0.4843,0.33,0.3749,0.3525
3.6,0.3869,0.5871,0.2804,0.6369,0.5207,0.5788,0.6028,0.3459,0.4743,0.323,0.3633,0.3431
3.7,0.3946,0.5875,0.2609,0.6255,0.5199,0.5727,0.5967,0.3314,0.4641,0.3154,0.3525,0.3339
3.8,0.3951,0.5872,0.2454,0.6107,0.5186,0.5646,0.5873,0.3216,0.4544,0.3079,0.343,0.3255
3.9,0.3898,0.5862,0.2346,0.593,0.5171,0.5551,0.575,0.3168,0.4459,0.3014,0.335,0.3182
4,0.3797,0.5849,0.2292,0.5733,0.5159,0.5446,0.5599,0.3167,0.4383,0.2962,0.3282,0.3122
4.1,0.3653,0.5838,0.2297,0.5529,0.5151,0.534,0.542,0.3208,0.4314,0.2922,0.3228,0.3075
4.2,0.3478,0.5834,0.2367,0.5332,0.5148,0.524,0.5218,0.3288,0.4253,0.2895,0.3191,0.3043
4.3,0.3285,0.5841,0.2507,0.5154,0.5144,0.5149,0.5009,0.3406,0.4208,0.288,0.3182,0.3031
4.4,0.3094,0.5857,0.2717,0.4998,0.5128,0.5063,0.4808,0.3564,0.4186,0.2884,0.321,0.3047
4.5,0.2913,0.5881,0.299,0.4868,0.5098,0.4983,0.4629,0.3757,0.4193,0.2915,0.3285,0.31
4.6,0.2739,0.5909,0.3314,0.4764,0.5053,0.4908,0.4478,0.3979,0.4229,0.2981,0.3411,0.3196
4.7,0.256,0.5941,0.3675,0.4685,0.5,0.4842,0.4362,0.4224,0.4293,0.3083,0.359,0.3336
4.8,0.2368,0.5978,0.406,0.463,0.4948,0.4789,0.4282,0.4485,0.4384,0.3221,0.3819,0.352
4.9,0.215,0.6016,0.4454,0.4598,0.4902,0.475,0.4238,0.4754,0.4496,0.3389,0.4086,0.3738
5,0.1898,0.605,0.4842,0.4583,0.4854,0.4719,0.4221,0.5019,0.462,0.3578,0.4372,0.3975
5.1,0.1601,0.6078,0.5209,0.4579,0.4797,0.4688,0.422,0.5271,0.4745,0.3778,0.4654,0.4216
5.2,0.1253,0.61,0.5551,0.458,0.4725,0.4652,0.4226,0.5506,0.4866,0.3983,0.4913,0.4448
5.3,0.0854,0.6123,0.5874,0.458,0.464,0.461,0.4239,0.5727,0.4983,0.4193,0.5144,0.4668
5.4,0.0416,0.6154,0.6184,0.458,0.4552,0.4566,0.4264,0.5942,0.5103,0.4403,0.5346,0.4875
5.5,-0.0032,0.6194,0.6485,0.4582,0.4464,0.4523,0.4308,0.6157,0.5232,0.461,0.552,0.5065
5.6,-0.047,0.6239,0.6773,0.4582,0.4377,0.4479,0.4367,0.6372,0.537,0.4803,0.5664,0.5234
5.7,-0.088,0.6275,0.7039,0.457,0.4279,0.4424,0.443,0.6581,0.5506,0.497,0.5767,0.5369
5.8,-0.1251,0.6289,0.7272,0.4534,0.4164,0.4349,0.4485,0.6773,0.5629,0.5096,0.5818,0.5457
5.9,-0.1571,0.6274,0.7462,0.4468,0.4032,0.425,0.4522,0.6935,0.5728,0.517,0.5809,0.5489
6,-0.1827,0.6231,0.7599,0.4379,0.389,0.4135,0.454,0.706,0.58,0.5185,0.5736,0.5461
6.1,-0.2002,0.6172,0.768,0.4277,0.3751,0.4014,0.4539,0.7153,0.5846,0.5139,0.5607,0.5373
6.2,-0.2095,0.6107,0.7712,0.4171,0.3624,0.3898,0.452,0.722,0.587,0.5035,0.5433,0.5234
6.3,-0.2118,0.6042,0.7705,0.4069,0.3517,0.3793,0.4479,0.7269,0.5874,0.488,0.523,0.5055
6.4,-0.2074,0.5979,0.7665,0.398,0.3435,0.3708,0.4417,0.7302,0.5859,0.4688,0.5011,0.485
6.5,-0.1955,0.5921,0.7592,0.3915,0.3383,0.3649,0.4337,0.7316,0.5826,0.4472,0.4789,0.4631
6.6,-0.1755,0.5874,0.7477,0.3888,0.3364,0.3626,0.4244,0.7309,0.5776,0.425,0.4571,0.441
6.7,-0.1482,0.5839,0.7312,0.3901,0.3378,0.364,0.4143,0.728,0.5711,0.4038,0.4365,0.4201
6.8,-0.1155,0.5814,0.7096,0.395,0.342,0.3685,0.4038,0.723,0.5634,0.385,0.4183,0.4016
6.9,-0.0792,0.5797,0.6837,0.4032,0.3482,0.3757,0.3939,0.7157,0.5548,0.3697,0.4035,0.3866
7,-0.0403,0.5788,0.6547,0.4149,0.356,0.3855,0.3865,0.7063,0.5464,0.3585,0.393,0.3758
7.1,0.0005,0.5789,0.6238,0.4306,0.3656,0.3981,0.3837,0.6953,0.5395,0.3518,0.387,0.3694
7.2,0.0413,0.5799,0.5917,0.4502,0.3771,0.4136,0.3866,0.6837,0.5352,0.3499,0.3855,0.3677
7.3,0.08,0.5809,0.5596,0.4724,0.3905,0.4314,0.3951,0.6726,0.5338,0.3528,0.388,0.3704
7.4,0.1155,0.5816,0.5289,0.4962,0.4046,0.4504,0.4084,0.6626,0.5355,0.3603,0.3944,0.3774
7.5,0.148,0.5816,0.5013,0.5207,0.4181,0.4694,0.4258,0.6545,0.5402,0.3719,0.4047,0.3883
7.6,0.1781,0.5809,0.4783,0.545,0.4299,0.4874,0.447,0.6485,0.5478,0.3862,0.4188,0.4025
7.7,0.2051,0.5798,0.461,0.5678,0.4393,0.5036,0.4709,0.6448,0.5579,0.4016,0.4359,0.4188
7.8,0.2269,0.5785,0.4498,0.5883,0.4462,0.5172,0.4956,0.643,0.5693,0.4166,0.4548,0.4357
7.9,0.2408,0.5771,0.4446,0.6058,0.4507,0.5282,0.5191,0.6422,0.5807,0.4302,0.4744,0.4523
8,0.2452,0.5757,0.4449,0.62,0.4528,0.5364,0.5405,0.6422,0.5914,0.442,0.494,0.468
8.1,0.2409,0.5743,0.4502,0.6307,0.452,0.5414,0.5598,0.643,0.6014,0.4514,0.5133,0.4823
8.2,0.2309,0.5723,0.4599,0.6378,0.4472,0.5425,0.5769,0.6448,0.6109,0.458,0.5316,0.4948
8.3,0.2169,0.5693,0.473,0.6413,0.4371,0.5392,0.5914,0.6471,0.6193,0.4616,0.5482,0.5049
8.4,0.1998,0.5655,0.4891,0.6413,0.4223,0.5318,0.603,0.6494,0.6262,0.4621,0.5626,0.5124
8.5,0.1801,0.5619,0.5073,0.6386,0.4047,0.5217,0.6119,0.6513,0.6316,0.4602,0.5743,0.5172
8.6,0.1601,0.5597,0.5266,0.6346,0.3869,0.5108,0.6186,0.6529,0.6358,0.4564,0.5834,0.5199
8.7,0.1429,0.5591,0.5462,0.6306,0.371,0.5008,0.6237,0.6544,0.639,0.4511,0.5902,0.5206
8.8,0.1307,0.5596,0.5653,0.6275,0.3574,0.4924,0.6271,0.6555,0.6413,0.4443,0.5947,0.5195
8.9,0.1246,0.5604,0.5834,0.6257,0.3455,0.4856,0.6287,0.6561,0.6424,0.4359,0.5965,0.5162
9,0.1241,0.5612,0.5996,0.6257,0.335,0.4803,0.6279,0.6553,0.6416,0.4258,0.595,0.5104
9.1,0.129,0.5621,0.6131,0.628,0.326,0.477,0.6246,0.6528,0.6387,0.414,0.5894,0.5017
9.2,0.1391,0.5636,0.6231,0.6326,0.3194,0.476,0.6192,0.6485,0.6339,0.4006,0.5795,0.49
9.3,0.1536,0.566,0.6292,0.639,0.3155,0.4773,0.6119,0.6427,0.6273,0.3857,0.5656,0.4756
9.4,0.171,0.5691,0.6321,0.6465,0.3149,0.4807,0.603,0.6358,0.6194,0.3701,0.5486,0.4593
9.5,0.1896,0.5727,0.6325,0.6543,0.3178,0.486,0.5926,0.6285,0.6106,0.3545,0.5298,0.4422
9.6,0.2084,0.5764,0.6314,0.6618,0.3243,0.4931,0.5807,0.6208,0.6008,0.3398,0.5102,0.425
9.7,0.2282,0.5796,0.6286,0.6686,0.334,0.5013,0.5675,0.6127,0.5901,0.3263,0.4907,0.4085
9.8,0.2508,0.582,0.6238,0.6744,0.3454,0.5099,0.5539,0.604,0.579,0.3145,0.4717,0.3931
9.9,0.2769,0.5835,0.6165,0.6787,0.3573,0.518,0.541,0.5956,0.5683,0.3051,0.4541,0.3796
10,0.3051,0.5841,0.607,0.6815,0.3694,0.5255,0.53,0.5884,0.5592,0.2988,0.4385,0.3687
10.1,0.3328,0.5841,0.5961,0.6828,0.3821,0.5324,0.522,0.5835,0.5527,0.2969,0.4258,0.3613
10.2,0.3568,0.5837,0.5849,0.6832,0.3961,0.5397,0.5173,0.5815,0.5494,0.2998,0.4162,0.358
10.3,0.3749,0.5836,0.5742,0.6834,0.4122,0.5478,0.5156,0.583,0.5493,0.308,0.4104,0.3592
10.4,0.3852,0.584,0.5648,0.6837,0.4307,0.5572,0.5163,0.5882,0.5522,0.3212,0.4084,0.3648
10.5,0.3857,0.5852,0.5572,0.683,0.4514,0.5672,0.5186,0.5975,0.5581,0.3398,0.4103,0.3751
10.6,0.3744,0.5866,0.5513,0.68,0.4737,0.5769,0.5219,0.6109,0.5664,0.3635,0.416,0.3898
10.7,0.3502,0.5881,0.5471,0.6739,0.4965,0.5852,0.5259,0.6276,0.5768,0.3914,0.4253,0.4083
10.8,0.3135,0.5895,0.544,0.665,0.5183,0.5917,0.5307,0.6462,0.5885,0.4224,0.4379,0.4301
10.9,0.2648,0.5907,0.5418,0.6544,0.5385,0.5965,0.5363,0.6653,0.6008,0.4554,0.4537,0.4545
11,0.2047,0.5918,0.5408,0.643,0.5567,0.5998,0.5432,0.6836,0.6134,0.4895,0.4724,0.4809
11.1,0.1339,0.5924,0.541,0.6311,0.5727,0.6019,0.5515,0.7004,0.626,0.5243,0.4935,0.5089
11.2,0.0546,0.5923,0.5422,0.6192,0.5863,0.6027,0.5616,0.715,0.6383,0.5597,0.5164,0.5381
11.3,-0.0299,0.5911,0.5445,0.6074,0.5967,0.602,0.5733,0.7268,0.6501,0.5952,0.5405,0.5679
11.4,-0.1153,0.5889,0.548,0.5959,0.6032,0.5996,0.5863,0.7361,0.6612,0.6304,0.5653,0.5978
11.5,-0.1965,0.586,0.5529,0.5857,0.6058,0.5957,0.5999,0.7429,0.6714,0.6645,0.5895,0.627
11.6,-0.2692,0.5831,0.5591,0.5777,0.6049,0.5913,0.6128,0.7476,0.6802,0.697,0.6118,0.6544
11.7,-0.3306,0.581,0.5662,0.5728,0.6015,0.5871,0.624,0.75,0.687,0.7272,0.6307,0.6789
11.8,-0.3789,0.5801,0.5737,0.5715,0.597,0.5843,0.6329,0.7504,0.6917,0.7546,0.6452,0.6999
11.9,-0.4126,0.5808,0.5808,0.5744,0.5927,0.5835,0.6395,0.7489,0.6942,0.779,0.6551,0.717
12,-0.4316,0.5826,0.5876,0.581,0.5889,0.5849,0.6442,0.7455,0.6949,0.8002,0.6604,0.7303
12.1,-0.4374,0.5849,0.5947,0.5906,0.5854,0.588,0.6474,0.7405,0.6939,0.8173,0.6614,0.7393
12.2,-0.4336,0.5872,0.6034,0.6019,0.5816,0.5917,0.6496,0.7341,0.6918,0.829,0.6581,0.7435
12.3,-0.4239,0.59,0.6146,0.6138,0.5774,0.5956,0.6515,0.727,0.6893,0.8344,0.6505,0.7425
12.4,-0.41,0.594,0.6288,0.6253,0.5734,0.5993,0.654,0.7198,0.6869,0.8334,0.6388,0.7361
12.5,-0.3925,0.5996,0.6459,0.6354,0.5696,0.6025,0.6574,0.7127,0.6851,0.8259,0.6233,0.7246
12.6,-0.372,0.6067,0.666,0.6434,0.5662,0.6048,0.6615,0.7055,0.6835,0.8122,0.6045,0.7084
12.7,-0.349,0.6147,0.6893,0.6492,0.5626,0.6059,0.6658,0.6977,0.6817,0.7927,0.583,0.6879
12.8,-0.3228,0.6232,0.7156,0.6536,0.5587,0.6062,0.6701,0.6891,0.6796,0.7677,0.5597,0.6637
12.9,-0.2921,0.6326,0.744,0.6577,0.5546,0.6061,0.6748,0.6795,0.6772,0.7388,0.5351,0.637
13,-0.2558,0.643,0.7733,0.6623,0.5492,0.6058,0.6799,0.6687,0.6743,0.708,0.5097,0.6088
13.1,-0.2143,0.6531,0.802,0.6665,0.5414,0.6039,0.6849,0.6563,0.6706,0.6768,0.4836,0.5802
13.2,-0.1693,0.662,0.8284,0.6691,0.5303,0.5997,0.6897,0.6423,0.666,0.6463,0.4573,0.5518
13.3,-0.1221,0.6694,0.8508,0.6697,0.5168,0.5933,0.6941,0.6273,0.6607,0.6179,0.4317,0.5248
13.4,-0.0737,0.6758,0.8678,0.6691,0.5032,0.5862,0.6974,0.6116,0.6545,0.5929,0.4082,0.5006
13.5,-0.0247,0.6817,0.8778,0.6678,0.4917,0.5797,0.6986,0.5948,0.6467,0.5725,0.3879,0.4802
13.6,0.0237,0.6867,0.8796,0.6651,0.4827,0.5739,0.6964,0.576,0.6362,0.5562,0.3715,0.4638
13.7,0.0701,0.6901,0.8726,0.6598,0.4758,0.5678,0.6898,0.5542,0.622,0.5437,0.3592,0.4514
13.8,0.1135,0.6907,0.8571,0.6508,0.4702,0.5605,0.6788,0.5293,0.6041,0.5351,0.3517,0.4434
13.9,0.1538,0.6882,0.8339,0.6387,0.4655,0.5521,0.6644,0.5022,0.5833,0.531,0.3494,0.4402
14,0.192,0.6832,0.8039,0.6253,0.4623,0.5438,0.6479,0.4738,0.5608,0.5312,0.3528,0.442
14.1,0.229,0.6769,0.7679,0.6129,0.4614,0.5371,0.6295,0.4446,0.537,0.5345,0.3615,0.448
14.2,0.2642,0.6706,0.7266,0.6026,0.4633,0.533,0.6087,0.4149,0.5118,0.5398,0.3742,0.457
14.3,0.296,0.665,0.6809,0.5941,0.4687,0.5314,0.5851,0.3849,0.485,0.546,0.3893,0.4676
14.4,0.3225,0.6602,0.6319,0.5867,0.4777,0.5322,0.5586,0.3551,0.4569,0.5526,0.4061,0.4794
14.5,0.3416,0.656,0.5807,0.5797,0.4905,0.5351,0.5291,0.3264,0.4278,0.5594,0.4248,0.4921
14.6,0.3524,0.6523,0.5285,0.5733,0.507,0.5401,0.4963,0.2997,0.398,0.5653,0.4455,0.5054
14.7,0.3534,0.6489,0.4762,0.5681,0.5264,0.5472,0.46,0.2754,0.3677,0.5689,0.4672,0.5181
14.8,0.3437,0.6455,0.4242,0.5641,0.5478,0.556,0.4209,0.2536,0.3373,0.5688,0.4887,0.5287
14.9,0.3226,0.6415,0.3727,0.5617,0.5701,0.5659,0.3803,0.2342,0.3073,0.5639,0.5082,0.536
