Time,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC,TUX - Tasty Bites Pet Food TVC
1,-0.0168,0.4683,0.5744,0.6754,0.7946,0.735,0.7768,0.6392,0.708,0.7151,0.6876,0.7013
1.1,-0.0729,0.4649,0.5916,0.6688,0.7924,0.7306,0.757,0.6484,0.7027,0.7093,0.6961,0.7027
1.2,-0.1238,0.4599,0.606,0.6652,0.7904,0.7278,0.7368,0.6545,0.6956,0.7039,0.7032,0.7036
1.3,-0.1683,0.4538,0.6171,0.6653,0.7885,0.7269,0.7168,0.6569,0.6869,0.6989,0.7086,0.7037
1.4,-0.2045,0.447,0.6243,0.669,0.7864,0.7277,0.6977,0.6553,0.6765,0.6941,0.712,0.7031
1.5,-0.231,0.4392,0.6275,0.6759,0.7826,0.7293,0.6798,0.6497,0.6647,0.6896,0.7136,0.7016
1.6,-0.2483,0.4302,0.6269,0.6858,0.7759,0.7308,0.6634,0.64,0.6517,0.6854,0.7135,0.6995
1.7,-0.2583,0.42,0.624,0.6987,0.7654,0.7321,0.6492,0.6269,0.6381,0.6815,0.7125,0.697
1.8,-0.2628,0.4095,0.6203,0.7149,0.7519,0.7334,0.6381,0.6115,0.6248,0.6779,0.7111,0.6945
1.9,-0.2635,0.3999,0.6171,0.7345,0.7367,0.7356,0.6307,0.5952,0.6129,0.6749,0.71,0.6924
2,-0.2613,0.3925,0.6146,0.7565,0.7203,0.7384,0.6272,0.5789,0.603,0.6726,0.7095,0.691
2.1,-0.2571,0.3879,0.6127,0.7788,0.7024,0.7406,0.627,0.5629,0.595,0.6706,0.7092,0.6899
2.2,-0.2524,0.3857,0.611,0.7994,0.682,0.7407,0.6291,0.5474,0.5882,0.6679,0.7077,0.6878
2.3,-0.2485,0.3852,0.6087,0.8168,0.659,0.7379,0.632,0.5324,0.5822,0.6638,0.7039,0.6838
2.4,-0.2459,0.3865,0.6048,0.8312,0.6349,0.733,0.6353,0.5184,0.5768,0.6578,0.6968,0.6773
2.5,-0.2441,0.3904,0.5982,0.8431,0.6112,0.7271,0.6386,0.5056,0.5721,0.6501,0.6865,0.6683
2.6,-0.2426,0.3977,0.5885,0.8529,0.5892,0.721,0.6417,0.4938,0.5677,0.6415,0.6735,0.6575
2.7,-0.2423,0.4093,0.5761,0.861,0.5695,0.7152,0.6444,0.4825,0.5634,0.6322,0.6583,0.6453
2.8,-0.2445,0.4253,0.5617,0.8667,0.5525,0.7096,0.6465,0.4714,0.559,0.6228,0.6411,0.6319
2.9,-0.2493,0.445,0.5455,0.8696,0.5384,0.704,0.6478,0.4605,0.5542,0.6132,0.6222,0.6177
3,-0.2555,0.4674,0.5277,0.8689,0.5271,0.698,0.6479,0.4496,0.5487,0.6036,0.602,0.6028
3.1,-0.2621,0.4916,0.5082,0.8637,0.5183,0.691,0.6465,0.4382,0.5423,0.594,0.5811,0.5876
3.2,-0.2677,0.5168,0.4873,0.8537,0.5117,0.6827,0.6436,0.4264,0.535,0.5853,0.5604,0.5728
3.3,-0.2702,0.5416,0.4656,0.8388,0.5073,0.6731,0.6396,0.4147,0.5272,0.5783,0.5406,0.5595
3.4,-0.2667,0.5645,0.4441,0.8196,0.5051,0.6623,0.6351,0.4038,0.5195,0.5739,0.5225,0.5482
3.5,-0.2552,0.5839,0.4233,0.7968,0.5047,0.6508,0.6303,0.3943,0.5123,0.5723,0.5061,0.5392
3.6,-0.236,0.5984,0.4042,0.7721,0.5056,0.6389,0.625,0.3862,0.5056,0.573,0.4916,0.5323
3.7,-0.2102,0.608,0.3873,0.7473,0.5075,0.6274,0.6197,0.3794,0.4995,0.5755,0.4791,0.5273
3.8,-0.1796,0.6128,0.3726,0.7236,0.51,0.6168,0.6149,0.3739,0.4944,0.5796,0.4688,0.5242
3.9,-0.1453,0.6131,0.3605,0.7018,0.5125,0.6072,0.6113,0.3696,0.4904,0.5849,0.4606,0.5227
4,-0.108,0.6089,0.351,0.6817,0.5144,0.598,0.6091,0.3667,0.4879,0.591,0.4545,0.5228
4.1,-0.0696,0.6011,0.3448,0.663,0.5151,0.5891,0.6084,0.3654,0.4869,0.5976,0.451,0.5243
4.2,-0.0327,0.591,0.3422,0.6454,0.5147,0.5801,0.6092,0.3658,0.4875,0.6044,0.4504,0.5274
4.3,-0.0001,0.5798,0.3434,0.6287,0.5134,0.571,0.6118,0.3675,0.4897,0.6113,0.4525,0.5319
4.4,0.0264,0.5685,0.3477,0.6133,0.5115,0.5624,0.6166,0.3703,0.4935,0.6177,0.457,0.5374
4.5,0.0463,0.5575,0.3543,0.5993,0.5098,0.5546,0.624,0.3741,0.4991,0.6233,0.4631,0.5432
4.6,0.0595,0.5472,0.3624,0.5869,0.5085,0.5477,0.6339,0.3789,0.5064,0.6277,0.4702,0.549
4.7,0.0656,0.5376,0.3718,0.5758,0.5078,0.5418,0.6459,0.3845,0.5152,0.6308,0.478,0.5544
4.8,0.064,0.5286,0.3825,0.5657,0.5081,0.5369,0.6598,0.3912,0.5255,0.6328,0.4862,0.5595
4.9,0.0547,0.5206,0.3948,0.5569,0.5096,0.5332,0.6755,0.3993,0.5374,0.6343,0.4949,0.5646
5,0.0375,0.5137,0.4083,0.5494,0.5124,0.5309,0.6925,0.4087,0.5506,0.6357,0.504,0.5699
5.1,0.0141,0.5082,0.4225,0.5434,0.5166,0.53,0.7102,0.4194,0.5648,0.6372,0.5136,0.5754
5.2,-0.0138,0.5041,0.4368,0.5389,0.5219,0.5304,0.7275,0.4307,0.5791,0.6387,0.5231,0.5809
5.3,-0.0449,0.5015,0.4502,0.5357,0.5281,0.5319,0.7434,0.4423,0.5929,0.6403,0.5324,0.5864
5.4,-0.0784,0.5,0.4624,0.5333,0.5348,0.5341,0.7573,0.4532,0.6053,0.6417,0.5412,0.5915
5.5,-0.1133,0.4988,0.4726,0.531,0.5418,0.5364,0.7686,0.4626,0.6156,0.6431,0.5492,0.5961
5.6,-0.1481,0.4973,0.4805,0.528,0.5488,0.5384,0.7765,0.4699,0.6232,0.6441,0.5562,0.6002
5.7,-0.1808,0.4954,0.4858,0.5242,0.556,0.5401,0.7808,0.4748,0.6278,0.6451,0.5626,0.6038
5.8,-0.2102,0.4932,0.4889,0.5193,0.5626,0.5409,0.7815,0.4773,0.6294,0.6465,0.569,0.6077
5.9,-0.2356,0.4903,0.4904,0.5128,0.5676,0.5402,0.7785,0.4773,0.6279,0.6487,0.5761,0.6124
6,-0.2575,0.4862,0.4912,0.5043,0.5701,0.5372,0.7721,0.4748,0.6235,0.6517,0.5842,0.618
6.1,-0.2761,0.4806,0.4918,0.4937,0.5699,0.5318,0.7627,0.4704,0.6165,0.6551,0.5933,0.6242
6.2,-0.2905,0.4738,0.4925,0.4814,0.5679,0.5247,0.7508,0.4648,0.6078,0.6584,0.6031,0.6307
6.3,-0.2996,0.4662,0.4931,0.4678,0.5647,0.5162,0.737,0.4584,0.5977,0.6608,0.613,0.6369
6.4,-0.303,0.458,0.4936,0.4532,0.5604,0.5068,0.7216,0.4514,0.5865,0.6618,0.6225,0.6422
6.5,-0.3009,0.4492,0.4946,0.4378,0.5551,0.4964,0.7051,0.4442,0.5746,0.6613,0.6316,0.6464
6.6,-0.2935,0.4398,0.4966,0.422,0.5489,0.4855,0.6878,0.4369,0.5623,0.659,0.6399,0.6495
6.7,-0.2801,0.4302,0.4999,0.4069,0.5422,0.4745,0.6705,0.4303,0.5504,0.6551,0.6474,0.6512
6.8,-0.2602,0.4211,0.505,0.3934,0.5348,0.4641,0.6536,0.4249,0.5393,0.6495,0.6537,0.6516
6.9,-0.233,0.4129,0.5121,0.382,0.5261,0.4541,0.6371,0.4205,0.5288,0.6422,0.6587,0.6505
7,-0.198,0.4055,0.521,0.3729,0.5157,0.4443,0.6207,0.4165,0.5186,0.6335,0.6623,0.6479
7.1,-0.1554,0.3989,0.5319,0.3663,0.5036,0.4349,0.6042,0.4132,0.5087,0.6236,0.6647,0.6442
7.2,-0.1058,0.3931,0.5445,0.362,0.4901,0.4261,0.588,0.4111,0.4995,0.6132,0.6663,0.6398
7.3,-0.0506,0.3885,0.5589,0.3599,0.4758,0.4178,0.5724,0.4111,0.4917,0.6026,0.6674,0.635
7.4,0.0086,0.3858,0.5746,0.36,0.4612,0.4106,0.558,0.4139,0.4859,0.5922,0.668,0.6301
7.5,0.0695,0.3861,0.5914,0.3624,0.4471,0.4048,0.5454,0.4196,0.4825,0.5825,0.668,0.6252
7.6,0.1296,0.3901,0.6084,0.3667,0.4346,0.4007,0.5351,0.428,0.4816,0.5741,0.6669,0.6205
7.7,0.1867,0.3978,0.6247,0.3729,0.4246,0.3987,0.5275,0.4386,0.483,0.567,0.6643,0.6156
7.8,0.239,0.409,0.6395,0.3811,0.4177,0.3994,0.523,0.4511,0.487,0.5613,0.6602,0.6107
7.9,0.2849,0.4232,0.6522,0.3917,0.4138,0.4027,0.5219,0.4654,0.4936,0.557,0.655,0.606
8,0.3231,0.4395,0.6629,0.4039,0.4123,0.4081,0.524,0.4811,0.5026,0.5542,0.6493,0.6018
8.1,0.3523,0.4571,0.6721,0.4167,0.4129,0.4148,0.5292,0.4975,0.5134,0.5533,0.6439,0.5986
8.2,0.3714,0.4744,0.68,0.4288,0.4154,0.4221,0.537,0.5139,0.5255,0.5543,0.6393,0.5968
8.3,0.3809,0.4905,0.686,0.439,0.4196,0.4293,0.547,0.5297,0.5383,0.5575,0.6358,0.5966
8.4,0.3819,0.5043,0.6896,0.4467,0.4251,0.4359,0.5586,0.5436,0.5511,0.5624,0.6336,0.598
8.5,0.3761,0.5151,0.6911,0.4515,0.4312,0.4413,0.5713,0.5549,0.5631,0.5685,0.6325,0.6005
8.6,0.3645,0.5228,0.691,0.4531,0.4378,0.4454,0.5843,0.563,0.5736,0.5755,0.6323,0.6039
8.7,0.3473,0.5276,0.6898,0.4517,0.4448,0.4482,0.5972,0.568,0.5826,0.5828,0.6328,0.6078
8.8,0.3253,0.5302,0.6875,0.4474,0.4525,0.45,0.6096,0.5701,0.5898,0.59,0.6336,0.6118
8.9,0.2993,0.5314,0.684,0.4412,0.4612,0.4512,0.6208,0.5696,0.5952,0.5969,0.6344,0.6157
9,0.2702,0.532,0.6792,0.4343,0.4706,0.4525,0.6306,0.5668,0.5987,0.6034,0.6352,0.6193
9.1,0.2386,0.5323,0.6736,0.428,0.4806,0.4543,0.6391,0.5623,0.6007,0.6091,0.636,0.6225
9.2,0.2049,0.5323,0.6679,0.4234,0.4909,0.4572,0.6464,0.5567,0.6015,0.6138,0.6369,0.6254
9.3,0.1699,0.5318,0.6632,0.4206,0.5013,0.461,0.6525,0.5503,0.6014,0.6172,0.6381,0.6277
9.4,0.1348,0.5307,0.6602,0.4199,0.5117,0.4658,0.6575,0.5436,0.6005,0.6192,0.6393,0.6292
9.5,0.1015,0.5292,0.6589,0.421,0.5223,0.4716,0.6613,0.5372,0.5993,0.6199,0.6407,0.6303
9.6,0.0711,0.5277,0.6594,0.4238,0.5327,0.4783,0.6641,0.5318,0.598,0.6198,0.6422,0.631
9.7,0.0435,0.5265,0.6618,0.4276,0.5426,0.4851,0.6659,0.5278,0.5969,0.6193,0.6438,0.6316
9.8,0.018,0.5254,0.6663,0.4316,0.5509,0.4913,0.6666,0.5257,0.5962,0.6188,0.6457,0.6322
9.9,-0.0055,0.5244,0.6722,0.4356,0.5574,0.4965,0.6665,0.5253,0.5959,0.6183,0.6477,0.633
10,-0.0264,0.5238,0.6791,0.4398,0.5618,0.5008,0.6657,0.5263,0.596,0.6178,0.6495,0.6337
10.1,-0.0441,0.5238,0.6867,0.4449,0.5647,0.5048,0.6644,0.5288,0.5966,0.6174,0.6514,0.6344
10.2,-0.0584,0.5249,0.6952,0.4511,0.5664,0.5087,0.6628,0.5328,0.5978,0.617,0.6532,0.6351
10.3,-0.0695,0.5267,0.7048,0.4577,0.5669,0.5123,0.6611,0.5381,0.5996,0.6164,0.655,0.6357
10.4,-0.0781,0.5289,0.7154,0.4636,0.5663,0.515,0.6592,0.5448,0.602,0.6154,0.6564,0.6359
10.5,-0.0854,0.5318,0.7265,0.4682,0.5647,0.5165,0.6575,0.5529,0.6052,0.614,0.6575,0.6357
10.6,-0.0924,0.5358,0.7377,0.4708,0.5626,0.5167,0.6565,0.5627,0.6096,0.6123,0.6581,0.6352
10.7,-0.0996,0.5416,0.7486,0.4712,0.5602,0.5157,0.6567,0.5742,0.6154,0.6107,0.6584,0.6345
10.8,-0.1064,0.5496,0.7593,0.4698,0.5577,0.5138,0.6583,0.5873,0.6228,0.6091,0.6584,0.6338
10.9,-0.1121,0.5597,0.7699,0.4666,0.5549,0.5107,0.6611,0.6018,0.6315,0.6078,0.6583,0.633
11,-0.1164,0.5717,0.7801,0.4616,0.5518,0.5067,0.6645,0.6172,0.6409,0.6071,0.6582,0.6326
11.1,-0.1192,0.5853,0.7895,0.4551,0.5485,0.5018,0.6683,0.6333,0.6508,0.6071,0.6584,0.6327
11.2,-0.1206,0.6005,0.7978,0.4476,0.5454,0.4965,0.6723,0.6501,0.6612,0.6079,0.6593,0.6336
11.3,-0.1214,0.6168,0.8046,0.4397,0.5427,0.4912,0.6768,0.6675,0.6721,0.6097,0.6608,0.6353
11.4,-0.1222,0.6337,0.8097,0.4316,0.5405,0.4861,0.6816,0.685,0.6833,0.6128,0.6631,0.6379
11.5,-0.1239,0.6503,0.813,0.4236,0.539,0.4813,0.6865,0.7017,0.6941,0.6175,0.666,0.6418
11.6,-0.1264,0.6661,0.8131,0.416,0.5384,0.4772,0.6909,0.7164,0.7037,0.6239,0.6695,0.6467
11.7,-0.1301,0.6807,0.8089,0.4094,0.5391,0.4743,0.6947,0.7281,0.7114,0.6317,0.6731,0.6524
11.8,-0.1347,0.6938,0.7995,0.4045,0.5413,0.4729,0.6975,0.7363,0.7169,0.64,0.676,0.658
11.9,-0.1395,0.7056,0.7846,0.4018,0.5453,0.4736,0.6994,0.7409,0.7202,0.6482,0.6777,0.663
12,-0.1445,0.7162,0.7648,0.4018,0.5517,0.4768,0.7003,0.7422,0.7213,0.6556,0.6778,0.6667
12.1,-0.1498,0.7256,0.7406,0.405,0.5612,0.4831,0.7007,0.7407,0.7207,0.6618,0.6767,0.6692
12.2,-0.1553,0.7333,0.7126,0.4116,0.5742,0.4929,0.7009,0.7368,0.7189,0.6674,0.675,0.6712
12.3,-0.1608,0.7387,0.6821,0.4218,0.5907,0.5063,0.7017,0.731,0.7163,0.6735,0.6737,0.6736
12.4,-0.1651,0.7409,0.6505,0.4354,0.6101,0.5227,0.7038,0.7232,0.7135,0.6806,0.6729,0.6768
12.5,-0.1665,0.7394,0.619,0.4518,0.6316,0.5417,0.7074,0.7138,0.7106,0.6888,0.6723,0.6805
12.6,-0.1644,0.7344,0.5884,0.4699,0.6547,0.5623,0.7118,0.7031,0.7075,0.6973,0.6713,0.6843
12.7,-0.1586,0.7261,0.5589,0.4883,0.6784,0.5833,0.7162,0.6916,0.7039,0.7056,0.6695,0.6876
12.8,-0.1495,0.7149,0.5306,0.5059,0.7017,0.6038,0.7192,0.6793,0.6992,0.7132,0.6668,0.69
12.9,-0.1378,0.7009,0.5032,0.522,0.7237,0.6228,0.7201,0.6661,0.6931,0.7191,0.663,0.691
13,-0.1243,0.6847,0.4766,0.5361,0.743,0.6395,0.7187,0.6514,0.6851,0.7224,0.658,0.6902
13.1,-0.1105,0.6666,0.4517,0.548,0.7588,0.6534,0.715,0.6352,0.6751,0.7227,0.6518,0.6873
13.2,-0.0973,0.6469,0.4297,0.5575,0.7709,0.6642,0.7098,0.618,0.6639,0.72,0.6448,0.6824
13.3,-0.0853,0.626,0.4116,0.5646,0.7795,0.6721,0.7038,0.6008,0.6523,0.7149,0.6371,0.676
13.4,-0.0749,0.6042,0.3981,0.5696,0.7852,0.6774,0.6975,0.5844,0.641,0.708,0.629,0.6685
13.5,-0.0664,0.5822,0.3898,0.5727,0.7886,0.6806,0.6912,0.5694,0.6303,0.7001,0.6207,0.6604
13.6,-0.0604,0.561,0.3865,0.5745,0.7903,0.6824,0.6857,0.5562,0.6209,0.6917,0.6128,0.6522
13.7,-0.0568,0.5417,0.3881,0.5753,0.7906,0.683,0.6812,0.5456,0.6134,0.683,0.606,0.6445
13.8,-0.0546,0.5251,0.3945,0.5757,0.79,0.6828,0.6781,0.5384,0.6082,0.6747,0.6008,0.6378
13.9,-0.0535,0.5117,0.4056,0.5763,0.7887,0.6825,0.6763,0.5352,0.6057,0.6669,0.5977,0.6323
14,-0.0524,0.5012,0.4211,0.5779,0.7869,0.6824,0.6753,0.536,0.6057,0.6597,0.5966,0.6281
14.1,-0.0499,0.4936,0.441,0.5812,0.7848,0.683,0.6747,0.5407,0.6077,0.6531,0.5969,0.625
14.2,-0.0447,0.4883,0.4646,0.5867,0.7824,0.6846,0.6744,0.5487,0.6116,0.6472,0.5985,0.6229
14.3,-0.0358,0.4852,0.4907,0.5939,0.7793,0.6866,0.674,0.5593,0.6166,0.6424,0.6011,0.6217
14.4,-0.0224,0.484,0.5168,0.6019,0.7752,0.6886,0.6733,0.571,0.6222,0.6383,0.6039,0.6211
14.5,-0.0049,0.4843,0.5407,0.6103,0.7704,0.6904,0.6723,0.5826,0.6275,0.6342,0.6058,0.62
14.6,0.0161,0.4861,0.5612,0.6189,0.7655,0.6922,0.671,0.5936,0.6323,0.6296,0.6059,0.6177
14.7,0.0395,0.4894,0.5781,0.628,0.7613,0.6946,0.6695,0.6037,0.6366,0.6241,0.604,0.614
14.8,0.064,0.4943,0.592,0.6378,0.7587,0.6983,0.6678,0.6131,0.6404,0.6178,0.6003,0.6091
14.9,0.0877,0.5007,0.603,0.6484,0.7583,0.7033,0.6654,0.6213,0.6434,0.611,0.5951,0.603
15,0.1087,0.5081,0.6111,0.659,0.7598,0.7094,0.6618,0.6282,0.645,0.6033,0.5884,0.5959
15.1,0.1246,0.5157,0.6165,0.669,0.7626,0.7158,0.6564,0.6335,0.645,0.595,0.5805,0.5877
15.2,0.1344,0.523,0.6204,0.6783,0.7663,0.7223,0.6496,0.638,0.6438,0.5872,0.5726,0.5799
15.3,0.1382,0.5299,0.6242,0.6869,0.771,0.7289,0.642,0.6423,0.6421,0.5813,0.5665,0.5739
15.4,0.1361,0.5366,0.6283,0.6949,0.7768,0.7359,0.6336,0.6465,0.64,0.5784,0.5634,0.5709
15.5,0.1288,0.5428,0.6328,0.7022,0.7836,0.7429,0.6241,0.6505,0.6373,0.5791,0.5639,0.5715
15.6,0.1174,0.548,0.6374,0.7085,0.7907,0.7496,0.6134,0.6538,0.6336,0.5837,0.5678,0.5758
15.7,0.1033,0.5521,0.6419,0.7134,0.7973,0.7553,0.6013,0.656,0.6287,0.592,0.5743,0.5832
15.8,0.0872,0.5552,0.6462,0.7169,0.8027,0.7598,0.5884,0.6573,0.6229,0.6033,0.5825,0.5929
15.9,0.0688,0.5577,0.65,0.719,0.8069,0.7629,0.5752,0.658,0.6166,0.6168,0.5919,0.6043
16,0.0475,0.5596,0.6531,0.7198,0.8101,0.7649,0.5621,0.6579,0.61,0.6325,0.6025,0.6175
16.1,0.0224,0.5606,0.6554,0.7191,0.8125,0.7658,0.5496,0.6569,0.6032,0.6506,0.6146,0.6326
16.2,-0.0065,0.56,0.6568,0.7172,0.8139,0.7655,0.538,0.6547,0.5964,0.6706,0.6277,0.6491
16.3,-0.0386,0.558,0.6571,0.7138,0.8143,0.764,0.528,0.6514,0.5897,0.6918,0.6408,0.6663
16.4,-0.073,0.5551,0.656,0.7091,0.8137,0.7614,0.52,0.6474,0.5837,0.713,0.6533,0.6831
16.5,-0.109,0.5519,0.6537,0.7031,0.813,0.7581,0.5143,0.6437,0.579,0.7338,0.6648,0.6993
16.6,-0.1462,0.5489,0.6504,0.6961,0.813,0.7545,0.511,0.641,0.576,0.754,0.6756,0.7148
16.7,-0.1842,0.5466,0.6463,0.6884,0.8136,0.751,0.5098,0.6393,0.5746,0.7734,0.6857,0.7295
16.8,-0.2228,0.5453,0.6414,0.6807,0.8146,0.7476,0.5106,0.6383,0.5744,0.7917,0.6952,0.7435
16.9,-0.2609,0.5454,0.6363,0.6735,0.8155,0.7445,0.5129,0.6375,0.5752,0.8086,0.7044,0.7565
17,-0.2969,0.5471,0.6313,0.6671,0.8159,0.7415,0.5169,0.6371,0.577,0.8238,0.7131,0.7684
17.1,-0.3292,0.5501,0.6264,0.6614,0.8153,0.7383,0.5218,0.6374,0.5796,0.8368,0.721,0.7789
17.2,-0.3563,0.5539,0.6213,0.6558,0.8132,0.7345,0.5271,0.6383,0.5827,0.8469,0.7275,0.7872
17.3,-0.378,0.558,0.6161,0.6503,0.8097,0.73,0.5324,0.6398,0.5861,0.8535,0.732,0.7927
17.4,-0.3947,0.5626,0.6107,0.6453,0.8055,0.7254,0.5377,0.642,0.5898,0.8564,0.7344,0.7954
17.5,-0.4071,0.5682,0.6057,0.6419,0.8017,0.7218,0.5436,0.6449,0.5943,0.8556,0.7349,0.7953
17.6,-0.4154,0.5748,0.6017,0.6402,0.7991,0.7196,0.5503,0.6488,0.5996,0.8514,0.7337,0.7926
17.7,-0.4199,0.582,0.5988,0.6396,0.7976,0.7186,0.5571,0.6532,0.6051,0.8434,0.7304,0.7869
17.8,-0.421,0.5891,0.5967,0.6392,0.7973,0.7183,0.563,0.6574,0.6102,0.8316,0.7244,0.778
17.9,-0.4195,0.5957,0.5958,0.6383,0.7989,0.7186,0.5674,0.6618,0.6146,0.8164,0.7157,0.766
18,-0.4155,0.6022,0.5967,0.6369,0.8024,0.7197,0.5703,0.6666,0.6185,0.7986,0.7046,0.7516
18.1,-0.4101,0.6084,0.6001,0.6346,0.8074,0.721,0.5715,0.6718,0.6217,0.7785,0.6915,0.735
18.2,-0.4047,0.6133,0.6054,0.631,0.8126,0.7218,0.5709,0.6763,0.6236,0.7567,0.6763,0.7165
18.3,-0.4,0.6161,0.6116,0.6256,0.8162,0.7209,0.5681,0.6793,0.6237,0.7341,0.6594,0.6967
18.4,-0.3957,0.6164,0.6175,0.6183,0.817,0.7177,0.5637,0.6805,0.6221,0.7117,0.6414,0.6765
18.5,-0.3904,0.6145,0.622,0.6094,0.8142,0.7118,0.5583,0.6802,0.6193,0.6905,0.6232,0.6568
18.6,-0.3827,0.611,0.6245,0.5993,0.8073,0.7033,0.5527,0.6787,0.6157,0.6709,0.6053,0.6381
18.7,-0.3722,0.6063,0.6242,0.5889,0.7956,0.6923,0.5469,0.6757,0.6113,0.6526,0.588,0.6203
18.8,-0.359,0.6,0.6209,0.5787,0.7791,0.6789,0.5407,0.6704,0.6056,0.6354,0.5713,0.6034
18.9,-0.3429,0.5917,0.6147,0.5689,0.7573,0.6631,0.5343,0.662,0.5981,0.619,0.5556,0.5873
19,-0.3237,0.5812,0.6064,0.5593,0.7303,0.6448,0.5282,0.6507,0.5894,0.6038,0.5413,0.5725
19.1,-0.3011,0.5689,0.5965,0.5502,0.6986,0.6244,0.5231,0.6372,0.5802,0.5899,0.5289,0.5594
19.2,-0.275,0.5555,0.5859,0.5417,0.6636,0.6026,0.5198,0.6225,0.5712,0.5778,0.5186,0.5482
19.3,-0.2459,0.5414,0.5751,0.5342,0.6266,0.5804,0.5188,0.607,0.5629,0.5676,0.5105,0.539
19.4,-0.2141,0.5271,0.5647,0.5278,0.5888,0.5583,0.5198,0.5908,0.5553,0.559,0.5043,0.5316
19.5,-0.1801,0.5137,0.5551,0.5228,0.5517,0.5372,0.5221,0.5742,0.5482,0.5518,0.5001,0.5259
19.6,-0.1441,0.5028,0.5468,0.52,0.5166,0.5183,0.5256,0.558,0.5418,0.5458,0.4976,0.5217
19.7,-0.1068,0.4961,0.5404,0.5203,0.4855,0.5029,0.5307,0.5429,0.5368,0.5414,0.4971,0.5193
19.8,-0.0688,0.4947,0.5368,0.5247,0.4598,0.4923,0.5377,0.5295,0.5336,0.5392,0.4988,0.519
19.9,-0.032,0.4992,0.5369,0.5334,0.4409,0.4871,0.5472,0.5179,0.5326,0.5399,0.503,0.5215
20,0.0026,0.5099,0.5409,0.5464,0.4289,0.4877,0.5595,0.5079,0.5337,0.5444,0.5099,0.5271
20.1,0.0341,0.5263,0.5484,0.5635,0.4237,0.4936,0.5748,0.4994,0.5371,0.5525,0.5193,0.5359
20.2,0.0628,0.5476,0.5587,0.5837,0.425,0.5043,0.5926,0.4923,0.5425,0.5642,0.531,0.5476
20.3,0.0896,0.5721,0.5711,0.6059,0.4318,0.5189,0.6126,0.4865,0.5495,0.5796,0.545,0.5623
20.4,0.1156,0.5984,0.5846,0.6286,0.4436,0.5361,0.6338,0.482,0.5579,0.5981,0.5608,0.5795
20.5,0.1406,0.6256,0.5985,0.6501,0.4597,0.5549,0.6558,0.4786,0.5672,0.6196,0.578,0.5988
20.6,0.1644,0.6532,0.6123,0.669,0.4797,0.5743,0.6785,0.4764,0.5774,0.6441,0.596,0.62
20.7,0.1858,0.6804,0.6258,0.6841,0.5032,0.5937,0.7017,0.4758,0.5887,0.6716,0.6148,0.6432
20.8,0.204,0.7059,0.6394,0.6948,0.5288,0.6118,0.7248,0.4767,0.6008,0.7021,0.6347,0.6684
20.9,0.2189,0.7281,0.6533,0.7006,0.5549,0.6278,0.747,0.4787,0.6128,0.7347,0.6555,0.6951
21,0.2308,0.7459,0.6671,0.7015,0.5798,0.6407,0.7673,0.4815,0.6244,0.7683,0.6769,0.7226
