Time,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC
1.5,-0.4517,0.569,0.6177,0.5702,0.5516,0.5609,0.5497,0.5543,0.552,0.6845,0.665,0.6747
1.6,-0.4592,0.5837,0.6119,0.5789,0.5876,0.5833,0.5569,0.5499,0.5534,0.6771,0.6766,0.6768
1.7,-0.4634,0.5983,0.6102,0.5885,0.6262,0.6074,0.5658,0.55,0.5579,0.6722,0.6895,0.6808
1.8,-0.4639,0.6121,0.6132,0.5988,0.6653,0.632,0.5756,0.5541,0.5648,0.6696,0.7032,0.6864
1.9,-0.4602,0.625,0.6209,0.6091,0.7031,0.6561,0.5859,0.5617,0.5738,0.6693,0.7173,0.6933
2,-0.4523,0.6372,0.6326,0.6188,0.7387,0.6788,0.5961,0.5725,0.5843,0.6709,0.7312,0.7011
2.1,-0.4406,0.6492,0.6469,0.6276,0.7719,0.6998,0.6055,0.5857,0.5956,0.6738,0.7444,0.7091
2.2,-0.4257,0.6614,0.6627,0.6357,0.8025,0.7191,0.6136,0.601,0.6073,0.677,0.756,0.7165
2.3,-0.4081,0.6737,0.679,0.6435,0.8302,0.7369,0.62,0.618,0.619,0.6798,0.7653,0.7225
2.4,-0.3882,0.6862,0.6956,0.6512,0.8546,0.7529,0.625,0.6365,0.6307,0.682,0.7722,0.7271
2.5,-0.3654,0.6997,0.7122,0.6588,0.8753,0.767,0.629,0.656,0.6425,0.6836,0.7771,0.7304
2.6,-0.3398,0.7147,0.7289,0.6666,0.8918,0.7792,0.6327,0.6762,0.6545,0.6848,0.7807,0.7328
2.7,-0.3119,0.731,0.7454,0.6748,0.9034,0.7891,0.6365,0.6964,0.6665,0.6858,0.7833,0.7346
2.8,-0.2837,0.7477,0.7612,0.6833,0.9095,0.7964,0.6405,0.7162,0.6784,0.6863,0.7849,0.7356
2.9,-0.2574,0.7636,0.7761,0.6915,0.91,0.8008,0.6446,0.7349,0.6898,0.6864,0.7853,0.7359
3,-0.2345,0.7778,0.7894,0.6984,0.9053,0.8018,0.6488,0.7518,0.7003,0.6861,0.7846,0.7353
3.1,-0.2143,0.7894,0.8006,0.7034,0.8962,0.7998,0.6528,0.7661,0.7095,0.6855,0.7828,0.7341
3.2,-0.1956,0.7974,0.8091,0.7063,0.883,0.7946,0.6564,0.777,0.7167,0.6847,0.7801,0.7324
3.3,-0.1777,0.801,0.8142,0.7067,0.8658,0.7862,0.659,0.7835,0.7212,0.684,0.7764,0.7302
3.4,-0.1607,0.7999,0.8152,0.7039,0.8447,0.7743,0.6596,0.7851,0.7223,0.6831,0.7712,0.7271
3.5,-0.1446,0.7946,0.8117,0.6974,0.8203,0.7588,0.6577,0.7817,0.7197,0.6819,0.7643,0.7231
3.6,-0.1296,0.786,0.8041,0.6866,0.7936,0.7401,0.6533,0.7738,0.7136,0.6804,0.756,0.7182
3.7,-0.115,0.7755,0.7926,0.6718,0.7658,0.7188,0.647,0.7622,0.7046,0.6784,0.7465,0.7125
3.8,-0.1005,0.7639,0.778,0.6533,0.738,0.6956,0.639,0.7474,0.6932,0.6761,0.7364,0.7062
3.9,-0.0864,0.7517,0.7607,0.632,0.7107,0.6714,0.6296,0.73,0.6798,0.6734,0.7259,0.6997
4,-0.073,0.7394,0.7415,0.6087,0.6845,0.6466,0.6188,0.7107,0.6647,0.6707,0.7157,0.6932
4.1,-0.0609,0.7271,0.7214,0.5838,0.6601,0.6219,0.6068,0.6905,0.6487,0.6686,0.7064,0.6875
4.2,-0.0503,0.7149,0.702,0.5578,0.6376,0.5977,0.5943,0.6706,0.6324,0.6671,0.6986,0.6828
4.3,-0.0415,0.7025,0.6841,0.531,0.6169,0.5739,0.5812,0.6515,0.6163,0.6661,0.6923,0.6792
4.4,-0.0348,0.6896,0.6685,0.5038,0.5977,0.5508,0.5675,0.6335,0.6005,0.665,0.6874,0.6762
4.5,-0.031,0.6761,0.6554,0.4766,0.5804,0.5285,0.5532,0.6168,0.585,0.6636,0.6836,0.6736
4.6,-0.0307,0.6623,0.6447,0.4503,0.5655,0.5079,0.5386,0.6016,0.5701,0.6619,0.6803,0.6711
4.7,-0.0336,0.6487,0.6363,0.4265,0.5542,0.4904,0.5248,0.5882,0.5565,0.6604,0.677,0.6687
4.8,-0.0387,0.6358,0.6303,0.407,0.5471,0.477,0.5124,0.5767,0.5445,0.6596,0.6736,0.6666
4.9,-0.0456,0.6237,0.6264,0.3928,0.5439,0.4684,0.5018,0.5668,0.5343,0.6596,0.67,0.6648
5,-0.0543,0.6125,0.6248,0.3844,0.5446,0.4645,0.4929,0.5589,0.5259,0.6601,0.6668,0.6635
5.1,-0.0645,0.6027,0.6256,0.3815,0.5488,0.4652,0.4859,0.5531,0.5195,0.6609,0.6646,0.6628
5.2,-0.0753,0.5943,0.6287,0.3841,0.5564,0.4703,0.4815,0.55,0.5157,0.6618,0.6636,0.6627
5.3,-0.0855,0.5878,0.6338,0.3926,0.5669,0.4798,0.4805,0.5494,0.5149,0.6627,0.6641,0.6634
5.4,-0.0943,0.583,0.6398,0.4075,0.5798,0.4937,0.4834,0.5513,0.5173,0.6635,0.6655,0.6645
5.5,-0.1018,0.5799,0.6461,0.4288,0.5948,0.5118,0.4902,0.5554,0.5228,0.6643,0.6675,0.6659
5.6,-0.1075,0.5784,0.6528,0.4558,0.6117,0.5337,0.501,0.5621,0.5316,0.6653,0.6701,0.6677
5.7,-0.1108,0.5787,0.6606,0.4876,0.6299,0.5588,0.5156,0.5716,0.5436,0.6673,0.6737,0.6705
5.8,-0.1107,0.5805,0.6694,0.5229,0.6487,0.5858,0.5341,0.5833,0.5587,0.6708,0.6787,0.6747
5.9,-0.1065,0.5832,0.6782,0.5593,0.6667,0.613,0.5553,0.5957,0.5755,0.6758,0.6852,0.6805
6,-0.099,0.5858,0.6854,0.5938,0.6831,0.6385,0.5777,0.6075,0.5926,0.682,0.6926,0.6873
6.1,-0.0893,0.5878,0.6901,0.6239,0.6977,0.6608,0.5993,0.6177,0.6085,0.6889,0.7003,0.6946
6.2,-0.0771,0.5891,0.6921,0.6485,0.7107,0.6796,0.6189,0.626,0.6224,0.6958,0.7072,0.7015
6.3,-0.0625,0.5901,0.6916,0.6678,0.7225,0.6951,0.6356,0.6321,0.6338,0.7024,0.7126,0.7075
6.4,-0.0456,0.5913,0.6888,0.6817,0.7333,0.7075,0.6494,0.6361,0.6427,0.7086,0.7164,0.7125
6.5,-0.0274,0.5925,0.684,0.6905,0.7432,0.7169,0.6602,0.6381,0.6492,0.7143,0.7185,0.7164
6.6,-0.0097,0.5937,0.6778,0.6941,0.7522,0.7231,0.6673,0.6386,0.653,0.7196,0.719,0.7193
6.7,0.0065,0.595,0.6712,0.693,0.7603,0.7267,0.6706,0.6379,0.6543,0.7248,0.7181,0.7214
6.8,0.0211,0.597,0.6649,0.6885,0.7678,0.7282,0.6703,0.6362,0.6533,0.73,0.7162,0.7231
6.9,0.0332,0.5996,0.6591,0.6817,0.7748,0.7282,0.6672,0.6338,0.6505,0.7357,0.7138,0.7248
7,0.0407,0.6024,0.6539,0.6736,0.7812,0.7274,0.6622,0.6307,0.6464,0.7422,0.7114,0.7268
7.1,0.0409,0.6046,0.6486,0.665,0.7871,0.726,0.6556,0.6268,0.6412,0.7497,0.709,0.7293
7.2,0.0326,0.6059,0.6428,0.6567,0.7924,0.7246,0.6479,0.6226,0.6352,0.7583,0.7067,0.7325
7.3,0.0179,0.6068,0.6365,0.6498,0.7972,0.7235,0.6397,0.6185,0.6291,0.768,0.7049,0.7365
7.4,0.0008,0.6079,0.6302,0.6451,0.8017,0.7234,0.6319,0.6156,0.6238,0.7789,0.7034,0.7411
7.5,-0.0149,0.6097,0.6242,0.6432,0.8058,0.7245,0.6256,0.6145,0.62,0.7905,0.7017,0.7461
7.6,-0.0272,0.6126,0.6189,0.6441,0.8095,0.7268,0.6211,0.6154,0.6182,0.8026,0.6995,0.751
7.7,-0.0348,0.6161,0.6137,0.6478,0.8131,0.7304,0.6184,0.6176,0.618,0.8147,0.6967,0.7557
7.8,-0.0364,0.6202,0.6082,0.6542,0.8168,0.7355,0.6171,0.6203,0.6187,0.8264,0.6932,0.7598
7.9,-0.0309,0.6248,0.6021,0.6633,0.8208,0.7421,0.6168,0.6228,0.6198,0.8371,0.6888,0.763
8,-0.0182,0.6303,0.5959,0.6748,0.8252,0.75,0.6176,0.6253,0.6215,0.8463,0.6836,0.765
8.1,0.0011,0.6371,0.59,0.6881,0.8301,0.7591,0.6196,0.628,0.6238,0.8537,0.6779,0.7658
8.2,0.0254,0.6454,0.5849,0.7024,0.8357,0.7691,0.6227,0.6311,0.6269,0.8591,0.672,0.7656
8.3,0.0524,0.6552,0.5808,0.7171,0.8423,0.7797,0.6265,0.6344,0.6304,0.8621,0.6664,0.7642
8.4,0.0812,0.6664,0.5782,0.7314,0.8503,0.7909,0.6308,0.6382,0.6345,0.8627,0.6611,0.7619
8.5,0.1113,0.6788,0.5775,0.7453,0.8595,0.8024,0.6356,0.6429,0.6393,0.8609,0.6561,0.7585
8.6,0.1416,0.6922,0.579,0.7583,0.8697,0.814,0.641,0.6485,0.6448,0.8569,0.6512,0.7541
8.7,0.1702,0.7064,0.5827,0.7706,0.8808,0.8257,0.6469,0.6549,0.6509,0.8512,0.6467,0.7489
8.8,0.1956,0.721,0.5887,0.7815,0.8923,0.8369,0.6528,0.6618,0.6573,0.844,0.6427,0.7434
8.9,0.217,0.7352,0.5968,0.7903,0.9035,0.8469,0.6582,0.6689,0.6636,0.8357,0.6397,0.7377
9,0.2346,0.7482,0.607,0.7967,0.9137,0.8552,0.663,0.6758,0.6694,0.8268,0.638,0.7324
9.1,0.249,0.7595,0.6184,0.8002,0.922,0.8611,0.6669,0.6816,0.6742,0.8174,0.6376,0.7275
9.2,0.2604,0.7682,0.6296,0.8007,0.9277,0.8642,0.6698,0.6855,0.6777,0.8073,0.6379,0.7226
9.3,0.268,0.7743,0.6397,0.798,0.9309,0.8644,0.6713,0.6874,0.6793,0.7962,0.6387,0.7175
9.4,0.2709,0.7779,0.6491,0.792,0.9319,0.862,0.6714,0.6879,0.6797,0.784,0.64,0.712
9.5,0.2691,0.7795,0.6588,0.7831,0.9314,0.8572,0.6705,0.6881,0.6793,0.7711,0.6423,0.7067
9.6,0.2632,0.7794,0.6696,0.7715,0.9292,0.8504,0.6689,0.6884,0.6786,0.7585,0.6461,0.7023
9.7,0.2541,0.7772,0.6813,0.7573,0.925,0.8411,0.6665,0.6888,0.6777,0.7468,0.6519,0.6994
9.8,0.2428,0.7726,0.693,0.7401,0.9179,0.829,0.6627,0.6888,0.6758,0.7362,0.6594,0.6978
9.9,0.2304,0.765,0.7035,0.7196,0.9072,0.8134,0.6565,0.6879,0.6722,0.7266,0.6684,0.6975
10,0.2182,0.7539,0.7123,0.6956,0.8928,0.7942,0.6472,0.6858,0.6665,0.7176,0.6783,0.6979
10.1,0.2068,0.7393,0.7186,0.6682,0.8748,0.7715,0.6352,0.6829,0.659,0.7094,0.6884,0.6989
10.2,0.1962,0.7211,0.7222,0.6382,0.8539,0.7461,0.6213,0.6792,0.6503,0.702,0.6983,0.7002
10.3,0.1856,0.6993,0.7227,0.6064,0.8307,0.7185,0.6067,0.6753,0.641,0.6954,0.7078,0.7016
10.4,0.1744,0.674,0.7199,0.5734,0.8057,0.6896,0.5919,0.6714,0.6316,0.689,0.7164,0.7027
10.5,0.1626,0.6454,0.7141,0.5399,0.7796,0.6598,0.577,0.6678,0.6224,0.6824,0.7235,0.7029
10.6,0.1517,0.6142,0.7058,0.5066,0.7526,0.6296,0.5621,0.6648,0.6135,0.6754,0.729,0.7022
10.7,0.143,0.5811,0.6958,0.4749,0.7248,0.5998,0.548,0.6626,0.6053,0.6682,0.7327,0.7005
10.8,0.1367,0.5472,0.6848,0.4458,0.6972,0.5715,0.5351,0.661,0.5981,0.6612,0.7346,0.6979
10.9,0.1308,0.5136,0.6731,0.4202,0.6714,0.5458,0.5236,0.6593,0.5915,0.6541,0.7345,0.6943
11,0.1228,0.4814,0.661,0.3988,0.6494,0.5241,0.5131,0.6569,0.585,0.6462,0.7324,0.6893
11.1,0.1108,0.452,0.6485,0.3822,0.6324,0.5073,0.5037,0.6533,0.5785,0.637,0.7278,0.6824
11.2,0.0951,0.4272,0.6358,0.371,0.6206,0.4958,0.4955,0.6481,0.5718,0.6255,0.7203,0.6729
11.3,0.0769,0.409,0.6237,0.3658,0.6137,0.4897,0.489,0.6414,0.5652,0.6116,0.71,0.6608
11.4,0.0573,0.3989,0.6131,0.3663,0.6118,0.4891,0.4845,0.6336,0.559,0.5957,0.6971,0.6464
11.5,0.0369,0.3976,0.6046,0.3726,0.6147,0.4937,0.4815,0.625,0.5533,0.5782,0.6821,0.6301
11.6,0.0153,0.4046,0.5985,0.3839,0.6219,0.5029,0.4794,0.6156,0.5475,0.5597,0.6656,0.6126
11.7,-0.0086,0.4186,0.5946,0.3996,0.6316,0.5156,0.4777,0.6052,0.5415,0.5403,0.648,0.5942
11.8,-0.0355,0.4381,0.5924,0.4183,0.6423,0.5303,0.4761,0.5938,0.5349,0.5202,0.6297,0.5749
11.9,-0.0649,0.4611,0.5907,0.4386,0.6528,0.5457,0.4743,0.5811,0.5277,0.4994,0.6108,0.5551
12,-0.0959,0.486,0.5886,0.4592,0.6627,0.5609,0.4719,0.5669,0.5194,0.4783,0.5918,0.535
12.1,-0.1268,0.511,0.5859,0.4785,0.6718,0.5752,0.4683,0.5512,0.5097,0.4571,0.5732,0.5152
12.2,-0.1558,0.5345,0.5823,0.4954,0.6795,0.5874,0.4628,0.5338,0.4983,0.4364,0.5557,0.496
12.3,-0.1812,0.555,0.5779,0.5086,0.6848,0.5967,0.4553,0.515,0.4852,0.4161,0.5393,0.4777
12.4,-0.2022,0.5722,0.5722,0.5183,0.6874,0.6029,0.4458,0.4948,0.4703,0.3965,0.5241,0.4603
12.5,-0.2185,0.586,0.5652,0.5245,0.6869,0.6057,0.434,0.4735,0.4538,0.3774,0.5098,0.4436
12.6,-0.2307,0.5964,0.5571,0.5271,0.6836,0.6054,0.4199,0.4516,0.4357,0.3588,0.4967,0.4277
12.7,-0.2398,0.6036,0.5492,0.5265,0.6779,0.6022,0.404,0.4302,0.4171,0.3409,0.4855,0.4132
12.8,-0.246,0.6081,0.5426,0.5226,0.6704,0.5965,0.3873,0.4106,0.3989,0.3242,0.4772,0.4007
12.9,-0.249,0.61,0.538,0.5161,0.661,0.5885,0.3703,0.3934,0.3818,0.3093,0.472,0.3906
13,-0.2484,0.6096,0.5348,0.5076,0.6495,0.5785,0.3534,0.3787,0.366,0.2965,0.4698,0.3832
13.1,-0.2437,0.6065,0.5327,0.4976,0.6356,0.5666,0.3365,0.3661,0.3513,0.2858,0.4702,0.378
13.2,-0.2354,0.6007,0.5309,0.4864,0.6193,0.5528,0.3192,0.3551,0.3371,0.277,0.4725,0.3747
13.3,-0.2241,0.5925,0.5292,0.4745,0.6013,0.5379,0.3016,0.3456,0.3236,0.2701,0.4762,0.3732
13.4,-0.2106,0.583,0.5279,0.4629,0.5827,0.5228,0.2852,0.3381,0.3117,0.2655,0.4816,0.3735
13.5,-0.1952,0.573,0.5273,0.453,0.5644,0.5087,0.2714,0.3335,0.3025,0.2636,0.4885,0.376
13.6,-0.1776,0.5636,0.5277,0.4455,0.547,0.4962,0.2613,0.3324,0.2969,0.2645,0.4968,0.3806
13.7,-0.1574,0.5553,0.5294,0.4412,0.531,0.4861,0.2555,0.3351,0.2953,0.2686,0.5064,0.3875
13.8,-0.135,0.5492,0.5332,0.44,0.5169,0.4784,0.2541,0.3422,0.2982,0.2767,0.5177,0.3972
13.9,-0.1113,0.5465,0.5395,0.4424,0.5055,0.474,0.2576,0.3545,0.306,0.2895,0.5309,0.4102
14,-0.0876,0.5486,0.5493,0.4491,0.4975,0.4733,0.2667,0.3727,0.3197,0.3079,0.5463,0.4271
14.1,-0.064,0.5563,0.5628,0.4598,0.4934,0.4766,0.2824,0.3974,0.3399,0.3319,0.5638,0.4478
14.2,-0.0414,0.5693,0.5796,0.4739,0.4932,0.4835,0.3047,0.4276,0.3661,0.3605,0.5828,0.4716
14.3,-0.0212,0.5868,0.5987,0.49,0.497,0.4935,0.3332,0.4618,0.3975,0.3923,0.6023,0.4973
14.4,-0.0051,0.6078,0.6191,0.5068,0.5043,0.5056,0.367,0.4986,0.4328,0.4259,0.6216,0.5237
14.5,0.0054,0.6311,0.6399,0.523,0.5146,0.5188,0.4049,0.5366,0.4707,0.4596,0.6401,0.5499
14.6,0.0101,0.6557,0.6604,0.5379,0.5271,0.5325,0.4459,0.5747,0.5103,0.4925,0.6575,0.575
14.7,0.0084,0.6802,0.6802,0.5506,0.5413,0.5459,0.4889,0.6117,0.5503,0.5238,0.6738,0.5988
14.8,-0.0005,0.7032,0.6987,0.5604,0.557,0.5587,0.5323,0.6467,0.5895,0.5532,0.6889,0.6211
14.9,-0.0174,0.7233,0.7156,0.567,0.5738,0.5704,0.5742,0.6793,0.6267,0.5803,0.7031,0.6417
15,-0.0428,0.7395,0.7308,0.5698,0.5911,0.5805,0.6131,0.7092,0.6611,0.6046,0.7163,0.6604
15.1,-0.0752,0.7512,0.7442,0.5683,0.608,0.5882,0.6477,0.7362,0.692,0.6258,0.7283,0.677
15.2,-0.1121,0.7582,0.7556,0.5622,0.6239,0.593,0.677,0.7597,0.7184,0.6437,0.7385,0.6911
15.3,-0.1509,0.7605,0.7646,0.5516,0.638,0.5948,0.6998,0.7789,0.7393,0.6581,0.7466,0.7024
15.4,-0.1895,0.7583,0.7712,0.5374,0.6493,0.5933,0.7154,0.7933,0.7543,0.669,0.7525,0.7108
15.5,-0.2263,0.7521,0.7759,0.5202,0.6572,0.5887,0.7237,0.8033,0.7635,0.6767,0.7565,0.7166
15.6,-0.2604,0.7425,0.7789,0.5011,0.6608,0.5809,0.7255,0.8095,0.7675,0.6814,0.7588,0.7201
15.7,-0.2913,0.7301,0.7801,0.4803,0.66,0.5702,0.7215,0.8122,0.7668,0.6833,0.7596,0.7214
15.8,-0.3198,0.7157,0.7792,0.4584,0.6554,0.5569,0.7122,0.8114,0.7618,0.6824,0.7586,0.7205
15.9,-0.347,0.6999,0.7763,0.4358,0.648,0.5419,0.6976,0.8075,0.7526,0.6788,0.7557,0.7173
16,-0.3731,0.6831,0.7714,0.4135,0.639,0.5263,0.6784,0.8008,0.7396,0.6729,0.7513,0.7121
16.1,-0.3969,0.6659,0.7648,0.3926,0.6298,0.5112,0.6554,0.7918,0.7236,0.665,0.7453,0.7052
16.2,-0.4158,0.6489,0.7562,0.3741,0.6207,0.4974,0.6295,0.7804,0.7049,0.6552,0.7378,0.6965
16.3,-0.4282,0.6324,0.745,0.3587,0.6119,0.4853,0.6013,0.7662,0.6838,0.6434,0.7285,0.6859
16.4,-0.4338,0.6168,0.7309,0.3466,0.6039,0.4753,0.5719,0.749,0.6604,0.6294,0.7172,0.6733
16.5,-0.4333,0.6024,0.7138,0.338,0.5971,0.4676,0.5418,0.7291,0.6355,0.6131,0.7039,0.6585
16.6,-0.428,0.5897,0.6943,0.3327,0.5921,0.4624,0.5117,0.707,0.6094,0.5947,0.6889,0.6418
16.7,-0.4185,0.5791,0.6735,0.3309,0.5889,0.4599,0.4826,0.6837,0.5831,0.5744,0.6727,0.6236
16.8,-0.4041,0.5712,0.6528,0.3327,0.5872,0.4599,0.4556,0.6601,0.5578,0.5527,0.6562,0.6045
16.9,-0.3842,0.566,0.6332,0.3382,0.5865,0.4623,0.4313,0.6369,0.5341,0.5301,0.6401,0.5851
17,-0.3595,0.5635,0.6158,0.3472,0.5866,0.4669,0.4105,0.6144,0.5125,0.5075,0.6249,0.5662
17.1,-0.3322,0.5637,0.602,0.36,0.588,0.474,0.3937,0.5934,0.4936,0.4862,0.6116,0.5489
17.2,-0.305,0.5666,0.5931,0.3767,0.5909,0.4838,0.3812,0.5744,0.4778,0.4671,0.6007,0.5339
17.3,-0.2795,0.5722,0.5899,0.397,0.5959,0.4964,0.3729,0.5583,0.4656,0.4507,0.5925,0.5216
17.4,-0.2565,0.5799,0.5924,0.4202,0.6027,0.5114,0.3687,0.5457,0.4572,0.437,0.5869,0.5119
17.5,-0.2362,0.5892,0.5998,0.4454,0.6104,0.5279,0.3684,0.5367,0.4526,0.426,0.5838,0.5049
17.6,-0.2188,0.5991,0.6112,0.4718,0.6184,0.5451,0.3721,0.5311,0.4516,0.4181,0.5835,0.5008
17.7,-0.2045,0.6088,0.6257,0.4986,0.626,0.5623,0.3797,0.5282,0.454,0.414,0.5863,0.5002
17.8,-0.1929,0.6179,0.6427,0.5246,0.6327,0.5786,0.3915,0.5279,0.4597,0.4142,0.5928,0.5035
17.9,-0.1832,0.6263,0.6617,0.5486,0.6381,0.5934,0.4074,0.53,0.4687,0.4189,0.6033,0.5111
18,-0.1747,0.6342,0.6819,0.5701,0.642,0.6061,0.4275,0.5343,0.4809,0.4284,0.6179,0.5231
18.1,-0.1669,0.6415,0.7024,0.5886,0.6445,0.6166,0.4513,0.5408,0.4961,0.4426,0.6362,0.5394
18.2,-0.1598,0.6482,0.7225,0.6044,0.646,0.6252,0.4786,0.5491,0.5139,0.4613,0.6577,0.5595
18.3,-0.1529,0.6543,0.7418,0.6179,0.6469,0.6324,0.5087,0.5589,0.5338,0.4838,0.6813,0.5826
18.4,-0.1455,0.6596,0.7599,0.629,0.6474,0.6382,0.5407,0.5696,0.5551,0.5093,0.7059,0.6076
18.5,-0.137,0.6644,0.7765,0.6377,0.6472,0.6424,0.5736,0.5801,0.5768,0.537,0.7309,0.634
18.6,-0.1269,0.6687,0.7911,0.644,0.6461,0.645,0.6062,0.5898,0.598,0.5663,0.7558,0.6611
18.7,-0.115,0.6727,0.8034,0.6486,0.644,0.6463,0.6375,0.5985,0.618,0.5965,0.7808,0.6886
18.8,-0.1017,0.6768,0.8137,0.6521,0.6416,0.6468,0.6669,0.6067,0.6368,0.627,0.8057,0.7163
18.9,-0.0877,0.6814,0.8222,0.6547,0.6397,0.6472,0.6942,0.6146,0.6544,0.657,0.8304,0.7437
19,-0.0739,0.6867,0.8287,0.6565,0.6395,0.648,0.7194,0.6223,0.6709,0.6858,0.8544,0.7701
19.1,-0.0623,0.6928,0.8332,0.6573,0.6419,0.6496,0.7423,0.6295,0.6859,0.713,0.877,0.795
19.2,-0.054,0.6997,0.8356,0.6576,0.6479,0.6528,0.7629,0.6359,0.6994,0.7385,0.8978,0.8181
19.3,-0.0489,0.707,0.8362,0.6579,0.6579,0.6579,0.7809,0.6417,0.7113,0.7621,0.9165,0.8393
19.4,-0.0459,0.7145,0.835,0.6583,0.6716,0.6649,0.7966,0.6473,0.7219,0.7833,0.9334,0.8584
19.5,-0.0436,0.7215,0.8321,0.6585,0.688,0.6733,0.8099,0.6523,0.7311,0.8018,0.9485,0.8751
19.6,-0.0417,0.7276,0.8271,0.6579,0.706,0.6819,0.8204,0.6563,0.7384,0.8171,0.9615,0.8893
19.7,-0.0408,0.7326,0.8203,0.6559,0.7243,0.6901,0.8278,0.659,0.7434,0.8292,0.9724,0.9008
19.8,-0.0405,0.7364,0.8119,0.6525,0.742,0.6972,0.8317,0.6601,0.7459,0.8378,0.9807,0.9093
19.9,-0.0397,0.7389,0.8026,0.6476,0.7576,0.7026,0.8317,0.6597,0.7457,0.8428,0.9865,0.9147
20,-0.0365,0.7398,0.7926,0.6413,0.77,0.7056,0.8278,0.6574,0.7426,0.8443,0.9896,0.917
20.1,-0.0305,0.7388,0.7818,0.6334,0.7778,0.7056,0.8202,0.6528,0.7365,0.8422,0.99,0.9161
20.2,-0.0222,0.7361,0.77,0.6245,0.7811,0.7028,0.8092,0.6453,0.7273,0.8369,0.9871,0.912
20.3,-0.0122,0.7316,0.757,0.6154,0.7803,0.6978,0.7949,0.6347,0.7148,0.8284,0.9802,0.9043
20.4,-0.0005,0.7259,0.7428,0.6066,0.7763,0.6914,0.777,0.6209,0.6989,0.8168,0.9687,0.8927
20.5,0.0142,0.7196,0.7277,0.5989,0.7697,0.6843,0.7553,0.6041,0.6797,0.8017,0.9523,0.877
20.6,0.0331,0.7129,0.7116,0.5923,0.7607,0.6765,0.7299,0.5844,0.6572,0.783,0.9313,0.8572
20.7,0.0563,0.7062,0.6946,0.5869,0.7494,0.6682,0.7014,0.5627,0.6321,0.7613,0.9065,0.8339
20.8,0.0832,0.6998,0.6771,0.583,0.7364,0.6597,0.6716,0.5401,0.6058,0.7379,0.8791,0.8085
