Time,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC
1,-0.0973,0.5677,0.6771,0.4794,0.4506,0.465,0.4899,0.5354,0.5127,0.4021,0.1824,0.2922
1.1,-0.0849,0.5561,0.6438,0.4838,0.4295,0.4566,0.5074,0.5382,0.5228,0.404,0.2001,0.3021
1.2,-0.0689,0.5441,0.6081,0.4908,0.4094,0.4501,0.5232,0.5393,0.5312,0.4049,0.2199,0.3124
1.3,-0.0497,0.5316,0.5706,0.5002,0.3903,0.4453,0.5364,0.5388,0.5376,0.4042,0.2409,0.3226
1.4,-0.0281,0.519,0.5321,0.5113,0.3724,0.4418,0.5468,0.5369,0.5419,0.4011,0.2614,0.3313
1.5,-0.0053,0.5066,0.4932,0.5232,0.3555,0.4393,0.5543,0.5336,0.544,0.3948,0.2798,0.3373
1.6,0.0181,0.4946,0.4543,0.5351,0.34,0.4375,0.559,0.5291,0.544,0.3851,0.2951,0.3401
1.7,0.0419,0.4831,0.4161,0.5463,0.3262,0.4363,0.5611,0.5237,0.5424,0.3721,0.3069,0.3395
1.8,0.0655,0.4715,0.3794,0.5564,0.3143,0.4353,0.5611,0.5175,0.5393,0.3565,0.315,0.3357
1.9,0.0884,0.4595,0.3451,0.5654,0.3037,0.4345,0.5597,0.5111,0.5354,0.3386,0.3195,0.329
2,0.1101,0.4466,0.3137,0.5732,0.294,0.4336,0.5574,0.505,0.5312,0.319,0.3205,0.3197
2.1,0.1303,0.4332,0.2857,0.5797,0.2849,0.4323,0.5547,0.5,0.5273,0.2982,0.3181,0.3082
2.2,0.1483,0.4194,0.2618,0.5846,0.2765,0.4306,0.5523,0.497,0.5247,0.2772,0.3127,0.2949
2.3,0.1628,0.4054,0.2427,0.5875,0.269,0.4283,0.5508,0.497,0.5239,0.2569,0.305,0.2809
2.4,0.1733,0.3914,0.2294,0.5883,0.2627,0.4255,0.5511,0.5002,0.5256,0.2384,0.2955,0.2669
2.5,0.1796,0.3777,0.2225,0.5877,0.2581,0.4229,0.554,0.5069,0.5305,0.2223,0.2847,0.2535
2.6,0.1822,0.3648,0.2224,0.5863,0.2558,0.421,0.5604,0.5169,0.5387,0.2087,0.2729,0.2408
2.7,0.181,0.3533,0.2296,0.5845,0.2562,0.4203,0.5702,0.5299,0.55,0.1975,0.2607,0.2291
2.8,0.1755,0.3438,0.2434,0.5821,0.2592,0.4207,0.5826,0.5453,0.564,0.1887,0.2486,0.2187
2.9,0.1653,0.3363,0.2626,0.5789,0.2645,0.4217,0.5966,0.5625,0.5795,0.1826,0.2376,0.2101
3,0.151,0.3306,0.2856,0.5752,0.2713,0.4233,0.6112,0.58,0.5956,0.1798,0.2281,0.2039
3.1,0.1342,0.3265,0.3107,0.5715,0.2787,0.4251,0.626,0.5966,0.6113,0.1812,0.2205,0.2009
3.2,0.1169,0.3241,0.3361,0.5683,0.2861,0.4272,0.6405,0.6109,0.6257,0.1875,0.2152,0.2014
3.3,0.0996,0.323,0.3606,0.5658,0.2936,0.4297,0.6538,0.6223,0.6381,0.1989,0.2121,0.2055
3.4,0.0826,0.3228,0.3829,0.5636,0.3016,0.4326,0.6648,0.6306,0.6477,0.2152,0.2114,0.2133
3.5,0.065,0.3236,0.4014,0.5613,0.3103,0.4358,0.6721,0.6355,0.6538,0.236,0.2135,0.2247
3.6,0.0466,0.3256,0.4152,0.5585,0.3197,0.4391,0.6752,0.6364,0.6558,0.2608,0.2193,0.2401
3.7,0.0277,0.329,0.4236,0.5551,0.3297,0.4424,0.6743,0.6322,0.6533,0.2886,0.2293,0.2589
3.8,0.009,0.3339,0.4268,0.5512,0.3398,0.4455,0.6702,0.6225,0.6463,0.3181,0.2434,0.2808
3.9,-0.009,0.34,0.4256,0.5471,0.3499,0.4485,0.6645,0.6071,0.6358,0.3484,0.2613,0.3049
4,-0.0263,0.347,0.4215,0.5435,0.3602,0.4518,0.6584,0.5876,0.623,0.3789,0.2826,0.3307
4.1,-0.0424,0.3546,0.4163,0.5413,0.3711,0.4562,0.6529,0.566,0.6095,0.4093,0.3069,0.3581
4.2,-0.0565,0.3633,0.4115,0.5412,0.3831,0.4621,0.6484,0.5446,0.5965,0.4389,0.3335,0.3862
4.3,-0.0679,0.3735,0.4074,0.5437,0.3958,0.4698,0.6449,0.5254,0.5851,0.4667,0.361,0.4139
4.4,-0.0767,0.3858,0.4042,0.5488,0.4089,0.4788,0.6426,0.5092,0.5759,0.4915,0.3878,0.4397
4.5,-0.083,0.3999,0.4028,0.556,0.4217,0.4888,0.6417,0.497,0.5693,0.5127,0.4133,0.463
4.6,-0.087,0.4157,0.4041,0.5644,0.434,0.4992,0.642,0.489,0.5655,0.53,0.4377,0.4838
4.7,-0.0882,0.4325,0.4092,0.5729,0.4458,0.5094,0.6431,0.4857,0.5644,0.5433,0.4611,0.5022
4.8,-0.0864,0.4499,0.4184,0.5803,0.4569,0.5186,0.6452,0.4872,0.5662,0.553,0.4836,0.5183
4.9,-0.081,0.4672,0.431,0.5858,0.4669,0.5264,0.6485,0.4935,0.571,0.5597,0.5054,0.5326
5,-0.071,0.4834,0.4464,0.5894,0.4759,0.5326,0.6533,0.505,0.5792,0.5639,0.5268,0.5454
5.1,-0.0562,0.4977,0.464,0.5912,0.4838,0.5375,0.6599,0.522,0.5909,0.566,0.5479,0.5569
5.2,-0.0368,0.5094,0.4831,0.5918,0.4904,0.5411,0.6681,0.5441,0.6061,0.5658,0.5684,0.5671
5.3,-0.0142,0.5187,0.503,0.5912,0.4953,0.5432,0.6773,0.571,0.6241,0.5636,0.5879,0.5757
5.4,0.0102,0.5258,0.5234,0.5895,0.4983,0.5439,0.6871,0.6018,0.6445,0.56,0.6061,0.583
5.5,0.0351,0.5318,0.5441,0.587,0.4994,0.5432,0.6977,0.6364,0.667,0.5561,0.6236,0.5898
5.6,0.0595,0.5374,0.5658,0.5837,0.4991,0.5414,0.7092,0.6745,0.6919,0.5531,0.6408,0.5969
5.7,0.0828,0.5429,0.5885,0.5796,0.4981,0.5389,0.7215,0.7154,0.7185,0.5516,0.6577,0.6046
5.8,0.1049,0.5482,0.6119,0.5748,0.4963,0.5356,0.7341,0.7568,0.7455,0.5514,0.6732,0.6123
5.9,0.1259,0.5532,0.6354,0.5691,0.4937,0.5314,0.7462,0.7962,0.7712,0.5519,0.686,0.619
6,0.1457,0.5578,0.6586,0.5623,0.4901,0.5262,0.7571,0.8315,0.7943,0.553,0.6952,0.6241
6.1,0.1639,0.5621,0.6817,0.5544,0.486,0.5202,0.7659,0.8615,0.8137,0.5547,0.7007,0.6277
6.2,0.1804,0.5662,0.705,0.5458,0.4818,0.5138,0.7722,0.886,0.8291,0.5572,0.7026,0.6299
6.3,0.1957,0.57,0.7283,0.5365,0.4777,0.5071,0.7758,0.9052,0.8405,0.5604,0.7013,0.6309
6.4,0.2103,0.5734,0.751,0.5272,0.4734,0.5003,0.7768,0.9191,0.848,0.5644,0.6973,0.6309
6.5,0.2247,0.5765,0.7724,0.5183,0.4687,0.4935,0.7759,0.9277,0.8518,0.5687,0.6911,0.6299
6.6,0.2388,0.5794,0.7923,0.5104,0.4637,0.487,0.7732,0.9309,0.852,0.5726,0.6832,0.6279
6.7,0.2525,0.5822,0.8107,0.5036,0.4589,0.4813,0.7686,0.9284,0.8485,0.5751,0.6737,0.6244
6.8,0.2657,0.585,0.8268,0.4979,0.4547,0.4763,0.7619,0.9201,0.841,0.5756,0.6622,0.6189
6.9,0.2787,0.5879,0.8391,0.4934,0.4513,0.4724,0.7532,0.9054,0.8293,0.5738,0.6482,0.611
7,0.2919,0.5908,0.8465,0.4908,0.4491,0.4699,0.7432,0.8846,0.8139,0.5692,0.6314,0.6003
7.1,0.3068,0.5937,0.8488,0.491,0.4477,0.4693,0.7331,0.8589,0.796,0.5619,0.612,0.587
7.2,0.3241,0.5963,0.8467,0.495,0.4466,0.4708,0.7238,0.8302,0.777,0.5523,0.5902,0.5713
7.3,0.3437,0.5992,0.8417,0.5035,0.4461,0.4748,0.7159,0.8009,0.7584,0.5409,0.5669,0.5539
7.4,0.3646,0.603,0.8345,0.5167,0.4468,0.4818,0.709,0.7724,0.7407,0.5277,0.5426,0.5351
7.5,0.3849,0.6082,0.825,0.5338,0.45,0.4919,0.7024,0.7456,0.724,0.5119,0.5179,0.5149
7.6,0.4026,0.6147,0.8136,0.5534,0.4562,0.5048,0.6956,0.7204,0.708,0.4929,0.4931,0.493
7.7,0.4171,0.6219,0.8008,0.5742,0.4657,0.52,0.6882,0.6969,0.6926,0.4708,0.469,0.4699
7.8,0.4285,0.6282,0.7878,0.5953,0.4781,0.5367,0.6803,0.6752,0.6777,0.4462,0.4469,0.4465
7.9,0.438,0.6326,0.7753,0.6162,0.4924,0.5543,0.6716,0.6555,0.6636,0.4202,0.4277,0.4239
8,0.4468,0.6349,0.7642,0.6365,0.5081,0.5723,0.6622,0.6378,0.65,0.3939,0.4122,0.4031
8.1,0.4558,0.6351,0.7552,0.6557,0.5245,0.5901,0.6524,0.6219,0.6372,0.3687,0.4015,0.3851
8.2,0.4661,0.6336,0.7486,0.6735,0.5408,0.6071,0.6429,0.6077,0.6253,0.3464,0.3962,0.3713
8.3,0.479,0.6304,0.7446,0.6897,0.5563,0.623,0.6346,0.5946,0.6146,0.3285,0.3965,0.3625
8.4,0.4948,0.6249,0.7434,0.7039,0.5699,0.6369,0.6277,0.5825,0.6051,0.3155,0.4017,0.3586
8.5,0.5122,0.6166,0.7451,0.7152,0.5802,0.6477,0.6218,0.5715,0.5967,0.307,0.4106,0.3588
8.6,0.529,0.6052,0.7496,0.7227,0.5863,0.6545,0.6165,0.5622,0.5893,0.3024,0.4215,0.362
8.7,0.5428,0.5913,0.7573,0.7259,0.5877,0.6568,0.6123,0.5549,0.5836,0.3019,0.4334,0.3677
8.8,0.5523,0.5757,0.768,0.7253,0.5851,0.6552,0.61,0.5502,0.5801,0.306,0.4456,0.3758
8.9,0.5573,0.5598,0.7807,0.7219,0.5794,0.6507,0.6102,0.5478,0.579,0.3148,0.4576,0.3862
9,0.5581,0.5438,0.7936,0.7166,0.5715,0.6441,0.6124,0.5471,0.5798,0.3269,0.4683,0.3976
9.1,0.5551,0.5278,0.8046,0.7095,0.5618,0.6357,0.6156,0.547,0.5813,0.3403,0.4766,0.4085
9.2,0.5488,0.5111,0.8125,0.7005,0.5502,0.6254,0.6188,0.5468,0.5828,0.3534,0.4823,0.4179
9.3,0.5392,0.494,0.817,0.6896,0.5368,0.6132,0.6219,0.5466,0.5843,0.3652,0.4859,0.4255
9.4,0.5258,0.477,0.8184,0.6777,0.5221,0.5999,0.6252,0.5467,0.5859,0.3753,0.4883,0.4318
9.5,0.5079,0.461,0.8162,0.6655,0.507,0.5862,0.629,0.5473,0.5881,0.3835,0.4899,0.4367
9.6,0.4851,0.4462,0.8102,0.6535,0.492,0.5727,0.6333,0.5484,0.5909,0.3897,0.4899,0.4398
9.7,0.458,0.4325,0.8001,0.6414,0.4774,0.5594,0.6384,0.5501,0.5943,0.3937,0.4881,0.4409
9.8,0.4282,0.4196,0.7858,0.6293,0.4632,0.5462,0.6437,0.5524,0.5981,0.3958,0.4842,0.44
9.9,0.3976,0.4073,0.7681,0.6174,0.4496,0.5335,0.649,0.5551,0.6021,0.3963,0.4784,0.4373
10,0.3676,0.3957,0.7479,0.6059,0.4374,0.5216,0.6536,0.558,0.6058,0.3951,0.4708,0.4329
10.1,0.3385,0.3849,0.7251,0.5945,0.4266,0.5106,0.6573,0.5603,0.6088,0.3923,0.4613,0.4268
10.2,0.3104,0.3751,0.6999,0.5832,0.4171,0.5001,0.6604,0.5611,0.6108,0.3881,0.45,0.4191
10.3,0.2833,0.3663,0.6731,0.5719,0.4082,0.4901,0.6634,0.5601,0.6117,0.3834,0.4381,0.4107
10.4,0.2576,0.3584,0.6455,0.5612,0.3999,0.4805,0.6662,0.5575,0.6118,0.3793,0.4268,0.4031
10.5,0.2338,0.3515,0.6182,0.5514,0.392,0.4717,0.6686,0.5534,0.611,0.3768,0.4177,0.3972
10.6,0.2113,0.3459,0.5918,0.5423,0.3851,0.4637,0.6699,0.548,0.6089,0.3766,0.4112,0.3939
10.7,0.1894,0.3417,0.5666,0.5336,0.3797,0.4566,0.6695,0.5412,0.6053,0.3788,0.4071,0.393
10.8,0.1677,0.3389,0.5422,0.5249,0.3757,0.4503,0.6669,0.533,0.6,0.3838,0.4052,0.3945
10.9,0.1461,0.337,0.5185,0.5156,0.3728,0.4442,0.6624,0.5239,0.5931,0.3922,0.4053,0.3987
11,0.1258,0.3352,0.4954,0.5056,0.3701,0.4378,0.6558,0.5146,0.5852,0.4044,0.4074,0.4059
11.1,0.1082,0.333,0.4732,0.4948,0.3673,0.4311,0.6475,0.5054,0.5764,0.4207,0.4112,0.4159
11.2,0.0945,0.3303,0.4521,0.4834,0.364,0.4237,0.6374,0.4963,0.5669,0.4405,0.4166,0.4286
11.3,0.0849,0.3273,0.4327,0.4716,0.3601,0.4159,0.626,0.488,0.557,0.4632,0.424,0.4436
11.4,0.0791,0.3252,0.4161,0.46,0.3562,0.4081,0.6143,0.4812,0.5478,0.488,0.434,0.461
11.5,0.076,0.3246,0.4029,0.4495,0.3529,0.4012,0.6031,0.4765,0.5398,0.5143,0.4467,0.4805
11.6,0.0742,0.3261,0.3934,0.4412,0.3507,0.3959,0.5929,0.4742,0.5335,0.5406,0.4611,0.5008
11.7,0.0727,0.3294,0.3868,0.4355,0.35,0.3928,0.5833,0.4742,0.5288,0.5649,0.4748,0.5198
11.8,0.0713,0.3344,0.3825,0.4326,0.3507,0.3917,0.5742,0.476,0.5251,0.5852,0.4852,0.5352
11.9,0.0699,0.3407,0.3795,0.432,0.3527,0.3924,0.5653,0.4791,0.5222,0.6004,0.4911,0.5458
12,0.0686,0.3486,0.3769,0.4333,0.3561,0.3947,0.5567,0.4829,0.5198,0.6105,0.4924,0.5515
12.1,0.0679,0.358,0.3744,0.4367,0.361,0.3988,0.5487,0.4866,0.5176,0.6156,0.4897,0.5526
12.2,0.0681,0.3691,0.3717,0.4421,0.3675,0.4048,0.5417,0.49,0.5158,0.6158,0.4832,0.5495
12.3,0.07,0.382,0.3692,0.4498,0.3758,0.4128,0.536,0.4932,0.5146,0.6111,0.4732,0.5421
12.4,0.0737,0.3962,0.368,0.4593,0.3859,0.4226,0.5319,0.4965,0.5142,0.6011,0.4598,0.5305
12.5,0.0793,0.411,0.3689,0.4701,0.398,0.4341,0.5291,0.5002,0.5146,0.5861,0.4434,0.5148
12.6,0.0863,0.4259,0.3727,0.4815,0.4118,0.4467,0.528,0.5038,0.5159,0.5671,0.4241,0.4956
12.7,0.0939,0.4407,0.3794,0.4926,0.4267,0.4596,0.5287,0.5068,0.5178,0.5449,0.402,0.4735
12.8,0.1012,0.4552,0.3889,0.5026,0.4415,0.4721,0.5321,0.509,0.5206,0.521,0.3771,0.4491
12.9,0.1082,0.4691,0.402,0.5108,0.4558,0.4833,0.5386,0.5107,0.5246,0.4966,0.3503,0.4234
13,0.1155,0.4823,0.4197,0.5168,0.4693,0.4931,0.5484,0.5127,0.5306,0.4732,0.3228,0.398
13.1,0.1229,0.4945,0.4431,0.5206,0.4823,0.5015,0.5615,0.5163,0.5389,0.4524,0.2965,0.3745
13.2,0.1299,0.5055,0.4724,0.5227,0.4951,0.5089,0.5777,0.5219,0.5498,0.4359,0.2733,0.3546
13.3,0.1357,0.5153,0.5072,0.5234,0.5074,0.5154,0.5972,0.5295,0.5633,0.4257,0.2541,0.3399
13.4,0.139,0.5239,0.5462,0.5232,0.5189,0.521,0.6202,0.5383,0.5792,0.4229,0.24,0.3314
13.5,0.1388,0.5314,0.5876,0.5223,0.529,0.5256,0.6464,0.5476,0.597,0.4282,0.2312,0.3297
13.6,0.1342,0.5377,0.6302,0.5209,0.5377,0.5293,0.6749,0.5571,0.616,0.4416,0.2274,0.3345
13.7,0.1245,0.5422,0.6726,0.5188,0.5459,0.5324,0.7038,0.5669,0.6353,0.4622,0.2277,0.3449
13.8,0.1094,0.5448,0.7128,0.5159,0.5544,0.5352,0.7317,0.5773,0.6545,0.4884,0.2315,0.36
13.9,0.0887,0.5452,0.7492,0.512,0.564,0.538,0.7577,0.5885,0.6731,0.5181,0.2385,0.3783
14,0.0628,0.5438,0.7804,0.5071,0.5746,0.5408,0.7812,0.6005,0.6909,0.5489,0.2487,0.3988
14.1,0.0327,0.541,0.8057,0.5017,0.5865,0.5441,0.8022,0.6134,0.7078,0.5792,0.2619,0.4206
14.2,-0.0002,0.5381,0.825,0.4963,0.5998,0.548,0.821,0.6267,0.7239,0.6082,0.2775,0.4429
14.3,-0.0345,0.5365,0.8386,0.4915,0.6152,0.5533,0.8378,0.6399,0.7388,0.6352,0.2949,0.465
14.4,-0.0691,0.5373,0.8463,0.488,0.6333,0.5606,0.8523,0.6525,0.7524,0.6592,0.3136,0.4864
14.5,-0.1036,0.5412,0.8475,0.4861,0.6543,0.5702,0.8646,0.6642,0.7644,0.6792,0.3336,0.5064
14.6,-0.1382,0.5483,0.8416,0.4862,0.6777,0.582,0.8745,0.6746,0.7746,0.6946,0.3548,0.5247
14.7,-0.1725,0.5583,0.8285,0.4884,0.703,0.5957,0.8819,0.6837,0.7828,0.7046,0.3764,0.5405
14.8,-0.2061,0.5712,0.8088,0.4929,0.7297,0.6113,0.8871,0.6911,0.7891,0.7091,0.3964,0.5528
14.9,-0.238,0.5868,0.7833,0.4997,0.7568,0.6283,0.8905,0.697,0.7938,0.7081,0.4137,0.5609
