Time,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC
4,-0.4463,0.5221,0.6301,0.3716,0.5685,0.4701,0.6733,0.5114,0.5924,0.7916,0.7308,0.7612
4.1,-0.4496,0.5109,0.6312,0.3646,0.5596,0.4621,0.674,0.5091,0.5915,0.7859,0.7097,0.7478
4.2,-0.4507,0.4978,0.6312,0.3534,0.546,0.4497,0.6723,0.5069,0.5896,0.7767,0.6872,0.7319
4.3,-0.4486,0.4836,0.6303,0.3397,0.5291,0.4344,0.669,0.505,0.587,0.764,0.6635,0.7138
4.4,-0.4431,0.4689,0.6288,0.3248,0.5099,0.4174,0.6645,0.5039,0.5842,0.748,0.6388,0.6934
4.5,-0.4343,0.4543,0.6267,0.3097,0.4892,0.3994,0.6588,0.5035,0.5811,0.7288,0.6133,0.6711
4.6,-0.4218,0.4406,0.6245,0.295,0.4668,0.3809,0.6516,0.5038,0.5777,0.7069,0.5874,0.6472
4.7,-0.4047,0.428,0.6226,0.2811,0.4432,0.3621,0.6432,0.5044,0.5738,0.6833,0.5615,0.6224
4.8,-0.382,0.4167,0.6212,0.2683,0.4191,0.3437,0.6336,0.5053,0.5694,0.6589,0.5364,0.5976
4.9,-0.3536,0.4072,0.6205,0.2569,0.3958,0.3263,0.6231,0.5065,0.5648,0.6344,0.5127,0.5736
5,-0.3197,0.4,0.6207,0.2471,0.3746,0.3109,0.612,0.5083,0.5601,0.6107,0.4912,0.5509
5.1,-0.28,0.396,0.6219,0.2398,0.3566,0.2982,0.5998,0.5104,0.5551,0.5886,0.4726,0.5306
5.2,-0.2347,0.3953,0.6244,0.2354,0.3421,0.2888,0.5866,0.5125,0.5496,0.5687,0.4577,0.5132
5.3,-0.1846,0.3974,0.6284,0.2345,0.3314,0.2829,0.5725,0.5147,0.5436,0.5519,0.4474,0.4997
5.4,-0.1317,0.4014,0.6337,0.237,0.3244,0.2807,0.558,0.5169,0.5375,0.5388,0.442,0.4904
5.5,-0.0785,0.4069,0.6397,0.2434,0.3217,0.2826,0.5439,0.5191,0.5315,0.5294,0.4415,0.4855
5.6,-0.0272,0.4141,0.6461,0.254,0.324,0.289,0.5308,0.521,0.5259,0.5239,0.4457,0.4848
5.7,0.0213,0.4231,0.6532,0.2691,0.3315,0.3003,0.5192,0.5225,0.5209,0.5225,0.4545,0.4885
5.8,0.0664,0.4335,0.6611,0.2881,0.3436,0.3158,0.51,0.5238,0.5169,0.5258,0.4678,0.4968
5.9,0.1077,0.4447,0.6695,0.3095,0.3594,0.3344,0.5036,0.5246,0.5141,0.5338,0.4849,0.5094
6,0.1455,0.4562,0.678,0.332,0.3774,0.3547,0.5003,0.525,0.5127,0.5453,0.5044,0.5249
6.1,0.1799,0.4675,0.6863,0.355,0.397,0.376,0.5003,0.5249,0.5126,0.559,0.5246,0.5418
6.2,0.2114,0.4787,0.6942,0.3784,0.4174,0.3979,0.5035,0.5241,0.5138,0.5737,0.5443,0.559
6.3,0.2413,0.4897,0.7016,0.4019,0.4382,0.4201,0.5098,0.5227,0.5163,0.5887,0.5627,0.5757
6.4,0.2703,0.5004,0.7082,0.4251,0.4586,0.4419,0.5185,0.5206,0.5195,0.6029,0.5794,0.5912
6.5,0.2983,0.5102,0.7135,0.4471,0.4774,0.4623,0.5287,0.5172,0.523,0.6153,0.5934,0.6044
6.6,0.3243,0.5185,0.7166,0.4668,0.4939,0.4804,0.5399,0.5125,0.5262,0.625,0.604,0.6145
6.7,0.3469,0.5252,0.7169,0.4837,0.5076,0.4957,0.552,0.5069,0.5295,0.6316,0.6108,0.6212
6.8,0.3647,0.5303,0.7139,0.4978,0.5188,0.5083,0.5654,0.5015,0.5334,0.6352,0.6137,0.6245
6.9,0.3766,0.5342,0.7069,0.5094,0.5278,0.5186,0.58,0.4966,0.5383,0.6361,0.6129,0.6245
7,0.3823,0.5373,0.6954,0.5194,0.5348,0.5271,0.5956,0.4922,0.5439,0.6346,0.6084,0.6215
7.1,0.3818,0.5401,0.6786,0.5281,0.54,0.5341,0.6115,0.488,0.5497,0.6308,0.6004,0.6156
7.2,0.3746,0.5425,0.6566,0.536,0.5435,0.5397,0.6273,0.4844,0.5558,0.6248,0.5889,0.6069
7.3,0.3603,0.5443,0.6304,0.5429,0.5451,0.544,0.6425,0.4819,0.5622,0.617,0.5746,0.5958
7.4,0.3387,0.5453,0.6005,0.5489,0.5451,0.547,0.6571,0.4801,0.5686,0.6081,0.558,0.583
7.5,0.3106,0.545,0.5679,0.5538,0.5433,0.5485,0.671,0.4789,0.5749,0.5986,0.54,0.5693
7.6,0.2773,0.5429,0.5335,0.5574,0.5397,0.5486,0.6841,0.4784,0.5813,0.589,0.5215,0.5552
7.7,0.2402,0.5388,0.4985,0.5594,0.5343,0.5468,0.6962,0.4799,0.5881,0.5792,0.5034,0.5413
7.8,0.2005,0.5326,0.4644,0.5592,0.5273,0.5432,0.7071,0.4844,0.5957,0.5696,0.4868,0.5282
7.9,0.1598,0.5245,0.4324,0.5565,0.5185,0.5375,0.7163,0.4919,0.6041,0.5606,0.4726,0.5166
8,0.1202,0.5147,0.4039,0.5513,0.5084,0.5298,0.7234,0.5021,0.6128,0.5526,0.4618,0.5072
8.1,0.0842,0.5036,0.38,0.5442,0.4976,0.5209,0.7288,0.5145,0.6217,0.5457,0.4545,0.5001
8.2,0.0533,0.4921,0.3617,0.5362,0.4876,0.5119,0.7326,0.5288,0.6307,0.5396,0.4509,0.4953
8.3,0.0288,0.4807,0.3498,0.528,0.4793,0.5036,0.7351,0.5444,0.6397,0.5347,0.4507,0.4927
8.4,0.0121,0.47,0.3444,0.5199,0.4728,0.4964,0.7364,0.5597,0.648,0.5314,0.4541,0.4928
8.5,0.0045,0.4595,0.3455,0.5123,0.4673,0.4898,0.7367,0.5726,0.6547,0.5301,0.461,0.4956
8.6,0.0066,0.4489,0.3522,0.5049,0.4618,0.4833,0.7363,0.5817,0.659,0.5311,0.4707,0.5009
8.7,0.0186,0.4379,0.364,0.4975,0.4555,0.4765,0.7355,0.5864,0.6609,0.5341,0.4825,0.5083
8.8,0.0395,0.4269,0.3801,0.4895,0.4483,0.4689,0.735,0.5871,0.661,0.539,0.4954,0.5172
8.9,0.0673,0.417,0.3998,0.4807,0.4403,0.4605,0.7347,0.5843,0.6595,0.5459,0.5086,0.5273
9,0.1003,0.4089,0.4219,0.471,0.4317,0.4514,0.7344,0.5787,0.6565,0.5546,0.5218,0.5382
9.1,0.1372,0.403,0.4453,0.4604,0.4223,0.4414,0.7335,0.5705,0.652,0.5645,0.5342,0.5494
9.2,0.1766,0.3995,0.4689,0.4491,0.4127,0.4309,0.7316,0.5609,0.6462,0.5747,0.545,0.5598
9.3,0.217,0.3981,0.4917,0.4373,0.4033,0.4203,0.7283,0.5507,0.6395,0.5845,0.5534,0.5689
9.4,0.2569,0.3984,0.513,0.4254,0.3943,0.4098,0.7235,0.5402,0.6319,0.5936,0.5594,0.5765
9.5,0.2949,0.4001,0.5321,0.4138,0.3856,0.3997,0.7173,0.5298,0.6235,0.6023,0.5633,0.5828
9.6,0.3296,0.4034,0.5488,0.4034,0.3774,0.3904,0.7097,0.5199,0.6148,0.6111,0.5658,0.5884
9.7,0.3596,0.4087,0.5633,0.3949,0.37,0.3824,0.701,0.511,0.606,0.6204,0.5674,0.5939
9.8,0.3839,0.4161,0.5757,0.3885,0.3638,0.3761,0.6915,0.5036,0.5975,0.63,0.5683,0.5992
9.9,0.4015,0.4251,0.5861,0.3838,0.3587,0.3712,0.6814,0.4978,0.5896,0.6399,0.5685,0.6042
10,0.4115,0.4346,0.5947,0.38,0.3542,0.3671,0.6711,0.4935,0.5823,0.65,0.5679,0.609
10.1,0.4138,0.4436,0.6014,0.3769,0.3501,0.3635,0.6603,0.4908,0.5756,0.6603,0.5665,0.6134
10.2,0.4087,0.4518,0.6062,0.3748,0.3465,0.3607,0.6486,0.4893,0.569,0.6705,0.5643,0.6174
10.3,0.3972,0.4591,0.6096,0.3741,0.3437,0.3589,0.6357,0.4887,0.5622,0.6804,0.5618,0.6211
10.4,0.3817,0.466,0.612,0.3749,0.3415,0.3582,0.6215,0.4886,0.5551,0.6897,0.5593,0.6245
10.5,0.3641,0.4721,0.6139,0.3772,0.3395,0.3583,0.6065,0.4886,0.5476,0.6982,0.5572,0.6277
10.6,0.3465,0.4768,0.6149,0.3804,0.3369,0.3587,0.5913,0.4887,0.54,0.7055,0.5552,0.6303
10.7,0.3305,0.48,0.6148,0.3844,0.3336,0.359,0.5763,0.4885,0.5324,0.7114,0.5531,0.6323
10.8,0.3173,0.4817,0.6134,0.3891,0.33,0.3595,0.5616,0.488,0.5248,0.7157,0.5511,0.6334
10.9,0.3077,0.482,0.6107,0.3946,0.3262,0.3604,0.5473,0.4871,0.5172,0.7186,0.5496,0.6341
11,0.3014,0.4809,0.6073,0.4009,0.3224,0.3616,0.5337,0.4859,0.5098,0.7201,0.549,0.6345
11.1,0.2981,0.4784,0.6035,0.408,0.319,0.3635,0.5209,0.4843,0.5026,0.7202,0.5497,0.635
11.2,0.2969,0.4741,0.5991,0.4161,0.3164,0.3662,0.5088,0.4815,0.4952,0.719,0.5513,0.6351
11.3,0.2974,0.468,0.5941,0.4252,0.3151,0.3701,0.4972,0.4768,0.487,0.7162,0.5534,0.6348
11.4,0.299,0.4603,0.5882,0.4355,0.3155,0.3755,0.4858,0.47,0.4779,0.7123,0.5558,0.6341
11.5,0.3013,0.4514,0.5821,0.4466,0.3176,0.3821,0.4748,0.4614,0.4681,0.7077,0.5588,0.6332
11.6,0.3038,0.4415,0.5763,0.4579,0.3213,0.3896,0.4645,0.452,0.4582,0.7032,0.5627,0.6329
11.7,0.306,0.4307,0.5716,0.4683,0.3263,0.3973,0.4556,0.4424,0.449,0.6991,0.5676,0.6334
11.8,0.3073,0.4191,0.5685,0.4775,0.3328,0.4052,0.4487,0.4335,0.4411,0.6956,0.5737,0.6346
11.9,0.3072,0.4071,0.5678,0.4855,0.3418,0.4136,0.444,0.4261,0.4351,0.6923,0.5804,0.6363
12,0.3051,0.3956,0.5699,0.4924,0.3538,0.4231,0.4417,0.421,0.4314,0.689,0.5874,0.6382
12.1,0.3009,0.3853,0.5751,0.4987,0.369,0.4338,0.4419,0.4189,0.4304,0.6859,0.5944,0.6401
12.2,0.2944,0.3767,0.5835,0.504,0.3868,0.4454,0.4449,0.4201,0.4325,0.683,0.6011,0.6421
12.3,0.2852,0.37,0.5943,0.5084,0.406,0.4572,0.4503,0.4245,0.4374,0.6805,0.6075,0.644
12.4,0.2732,0.3649,0.6069,0.5118,0.4256,0.4687,0.4578,0.4319,0.4448,0.6781,0.6133,0.6457
12.5,0.2586,0.3615,0.6211,0.5144,0.4451,0.4797,0.4667,0.4417,0.4542,0.6759,0.6184,0.6471
12.6,0.2419,0.3597,0.6365,0.5164,0.4642,0.4903,0.4767,0.4536,0.4652,0.674,0.6224,0.6482
12.7,0.2235,0.3596,0.6523,0.5181,0.4826,0.5004,0.4877,0.4673,0.4775,0.672,0.6253,0.6487
12.8,0.2037,0.3612,0.668,0.5197,0.4999,0.5098,0.4994,0.4823,0.4908,0.6697,0.6268,0.6483
12.9,0.1824,0.3638,0.6826,0.5209,0.5158,0.5184,0.5114,0.4981,0.5047,0.6668,0.6268,0.6468
13,0.1598,0.3668,0.6955,0.5212,0.5299,0.5255,0.5229,0.5141,0.5185,0.6634,0.6252,0.6443
13.1,0.1365,0.3696,0.706,0.5199,0.542,0.5309,0.5334,0.5297,0.5315,0.6595,0.6218,0.6406
13.2,0.1139,0.372,0.7137,0.517,0.5515,0.5342,0.5423,0.5446,0.5435,0.6552,0.6162,0.6357
13.3,0.0932,0.3742,0.7179,0.5122,0.5582,0.5352,0.5495,0.5587,0.5541,0.6503,0.6082,0.6292
13.4,0.0755,0.3766,0.7186,0.5058,0.5621,0.534,0.5545,0.5718,0.5632,0.6444,0.5978,0.6211
13.5,0.062,0.3802,0.7163,0.4983,0.5636,0.531,0.5572,0.5837,0.5705,0.6378,0.5855,0.6117
13.6,0.0535,0.3862,0.7116,0.4907,0.5638,0.5272,0.5575,0.5946,0.5761,0.6307,0.5722,0.6015
13.7,0.0509,0.3954,0.7049,0.4839,0.5636,0.5237,0.5559,0.6047,0.5803,0.6236,0.5586,0.5911
13.8,0.0543,0.408,0.696,0.4785,0.5639,0.5212,0.5531,0.6142,0.5836,0.6164,0.545,0.5807
13.9,0.0624,0.4232,0.6847,0.4745,0.5651,0.5198,0.5495,0.6228,0.5862,0.6095,0.5315,0.5705
14,0.0735,0.4404,0.671,0.4715,0.5671,0.5193,0.5452,0.6306,0.5879,0.6029,0.5183,0.5606
14.1,0.0863,0.4589,0.6559,0.4692,0.5697,0.5195,0.5403,0.6374,0.5889,0.5967,0.5062,0.5515
14.2,0.0996,0.4784,0.6409,0.4676,0.5728,0.5202,0.5351,0.6439,0.5895,0.5914,0.4961,0.5438
14.3,0.1119,0.4984,0.6271,0.4671,0.5764,0.5218,0.5298,0.6507,0.5903,0.5873,0.4884,0.5378
14.4,0.1212,0.5182,0.6148,0.4677,0.5806,0.5242,0.5249,0.6579,0.5914,0.5841,0.483,0.5335
14.5,0.126,0.5366,0.6039,0.4691,0.5852,0.5272,0.5203,0.6643,0.5923,0.5815,0.4795,0.5305
14.6,0.1258,0.5529,0.5942,0.4706,0.5899,0.5302,0.5157,0.669,0.5924,0.579,0.4774,0.5282
14.7,0.1212,0.5667,0.5856,0.4717,0.594,0.5328,0.5114,0.6712,0.5913,0.5761,0.4761,0.5261
14.8,0.1134,0.5783,0.5782,0.4724,0.5972,0.5348,0.5076,0.6715,0.5895,0.5722,0.4751,0.5236
14.9,0.1028,0.588,0.5721,0.4729,0.5995,0.5362,0.5047,0.6706,0.5877,0.5672,0.4738,0.5205
15,0.0897,0.596,0.567,0.473,0.6012,0.5371,0.503,0.6687,0.5858,0.5608,0.4718,0.5163
15.1,0.0745,0.602,0.5623,0.4724,0.6025,0.5375,0.502,0.6653,0.5837,0.5525,0.4687,0.5106
15.2,0.0582,0.6058,0.5574,0.471,0.6031,0.5371,0.5013,0.6597,0.5805,0.5422,0.4645,0.5034
15.3,0.0427,0.6071,0.5517,0.4689,0.6023,0.5356,0.5002,0.6512,0.5757,0.5301,0.4596,0.4948
15.4,0.0295,0.6059,0.5447,0.4662,0.5988,0.5325,0.4981,0.6395,0.5688,0.5166,0.454,0.4853
15.5,0.0194,0.602,0.5362,0.463,0.5921,0.5275,0.495,0.6251,0.5601,0.5021,0.4482,0.4752
15.6,0.0121,0.5953,0.5267,0.4592,0.5821,0.5206,0.4911,0.6088,0.55,0.4872,0.4426,0.4649
15.7,0.0075,0.5857,0.517,0.455,0.5693,0.5121,0.4864,0.5914,0.5389,0.472,0.4378,0.4549
15.8,0.0051,0.5737,0.5078,0.4503,0.5547,0.5025,0.4811,0.5734,0.5273,0.457,0.4341,0.4455
15.9,0.0048,0.5597,0.4994,0.4457,0.5395,0.4926,0.4752,0.5555,0.5154,0.4423,0.4312,0.4368
16,0.0065,0.5438,0.4918,0.4413,0.5241,0.4827,0.4689,0.538,0.5034,0.4285,0.429,0.4287
16.1,0.0103,0.5259,0.485,0.4368,0.5087,0.4728,0.4626,0.5212,0.4919,0.416,0.4274,0.4217
16.2,0.0162,0.5055,0.4796,0.4319,0.4929,0.4624,0.4566,0.5058,0.4812,0.4056,0.4269,0.4163
16.3,0.0235,0.4826,0.4762,0.4261,0.4767,0.4514,0.4513,0.4924,0.4719,0.3982,0.428,0.4131
16.4,0.0316,0.4581,0.475,0.4195,0.4603,0.4399,0.4472,0.4817,0.4644,0.3944,0.4308,0.4126
16.5,0.0393,0.4332,0.4762,0.4127,0.4448,0.4287,0.4446,0.4744,0.4595,0.3941,0.4354,0.4148
16.6,0.0455,0.4094,0.4801,0.4063,0.4313,0.4188,0.4436,0.4712,0.4574,0.3972,0.4415,0.4193
16.7,0.0496,0.3874,0.487,0.4004,0.4209,0.4106,0.4441,0.4723,0.4582,0.4031,0.4488,0.426
16.8,0.0508,0.3681,0.4969,0.3951,0.4138,0.4044,0.4458,0.4773,0.4615,0.4115,0.4574,0.4345
16.9,0.0488,0.3518,0.5094,0.3903,0.4101,0.4002,0.4484,0.4858,0.4671,0.4219,0.4672,0.4445
17,0.0432,0.339,0.5231,0.3861,0.4098,0.3979,0.4519,0.4973,0.4746,0.4336,0.4774,0.4555
17.1,0.034,0.3293,0.5368,0.3824,0.4124,0.3974,0.4562,0.511,0.4836,0.4455,0.4873,0.4664
17.2,0.0219,0.3222,0.5496,0.3786,0.4174,0.398,0.461,0.5258,0.4934,0.457,0.4963,0.4767
17.3,0.0077,0.3175,0.5608,0.3743,0.424,0.3991,0.4658,0.5409,0.5034,0.4674,0.5045,0.486
17.4,-0.0076,0.3155,0.5703,0.3695,0.4313,0.4004,0.47,0.5555,0.5128,0.4765,0.5118,0.4942
17.5,-0.0235,0.3166,0.5779,0.3649,0.4392,0.402,0.4734,0.5689,0.5212,0.4838,0.5183,0.501
17.6,-0.0401,0.3206,0.5833,0.3614,0.4479,0.4046,0.476,0.5806,0.5283,0.4888,0.5236,0.5062
17.7,-0.0577,0.327,0.586,0.3596,0.4573,0.4084,0.4776,0.5899,0.5338,0.4913,0.5274,0.5093
17.8,-0.0767,0.3351,0.5858,0.3594,0.4672,0.4133,0.4783,0.5961,0.5372,0.4909,0.5294,0.5102
17.9,-0.0967,0.3443,0.5827,0.3608,0.4769,0.4188,0.4776,0.5984,0.538,0.4877,0.5293,0.5085
18,-0.1169,0.3547,0.5771,0.3644,0.486,0.4252,0.475,0.5973,0.5361,0.4816,0.527,0.5043
18.1,-0.1369,0.3668,0.5698,0.3709,0.4945,0.4327,0.4704,0.5935,0.5319,0.4728,0.5223,0.4976
18.2,-0.1564,0.3807,0.5617,0.3806,0.5025,0.4416,0.4635,0.5879,0.5257,0.4617,0.5159,0.4888
18.3,-0.1753,0.3966,0.5534,0.3929,0.5096,0.4513,0.4546,0.5811,0.5178,0.4491,0.5086,0.4789
18.4,-0.1933,0.4141,0.5453,0.4072,0.515,0.4611,0.4437,0.5724,0.5081,0.4357,0.5014,0.4685
18.5,-0.2096,0.433,0.5378,0.423,0.5176,0.4703,0.4312,0.5617,0.4964,0.422,0.4947,0.4584
18.6,-0.2243,0.4533,0.5309,0.4407,0.517,0.4788,0.4169,0.549,0.4829,0.4086,0.4888,0.4487
18.7,-0.2376,0.4749,0.5253,0.4608,0.5132,0.487,0.4009,0.5348,0.4679,0.3957,0.4841,0.4399
18.8,-0.25,0.498,0.5213,0.4838,0.5071,0.4954,0.3834,0.5199,0.4516,0.3839,0.481,0.4324
18.9,-0.2618,0.5227,0.5195,0.5095,0.4994,0.5045,0.3648,0.5042,0.4345,0.3739,0.4798,0.4269
19,-0.2725,0.5496,0.5203,0.5374,0.4908,0.5141,0.3457,0.4875,0.4166,0.3665,0.4811,0.4238
19.1,-0.2818,0.5786,0.5241,0.5668,0.4819,0.5244,0.3267,0.47,0.3983,0.3624,0.4849,0.4237
19.2,-0.2896,0.6099,0.5314,0.5977,0.4738,0.5357,0.3081,0.4519,0.38,0.3623,0.4916,0.4269
19.3,-0.295,0.6433,0.5433,0.6299,0.4678,0.5488,0.2901,0.4342,0.3622,0.3669,0.5016,0.4342
19.4,-0.2959,0.6784,0.5605,0.663,0.4645,0.5638,0.2739,0.418,0.3459,0.377,0.5157,0.4463
19.5,-0.2898,0.7145,0.5837,0.6962,0.464,0.5801,0.2605,0.4045,0.3325,0.3932,0.5348,0.464
19.6,-0.2753,0.7506,0.6123,0.7287,0.4659,0.5973,0.2511,0.3949,0.323,0.416,0.5596,0.4878
19.7,-0.2532,0.786,0.6452,0.76,0.4706,0.6153,0.2467,0.3907,0.3187,0.4454,0.5898,0.5176
19.8,-0.2248,0.8203,0.6803,0.7906,0.4791,0.6349,0.2482,0.3927,0.3204,0.4806,0.6245,0.5525
19.9,-0.1906,0.8528,0.7158,0.8214,0.4917,0.6565,0.256,0.4009,0.3285,0.5199,0.6617,0.5908
20,-0.1501,0.8826,0.7505,0.852,0.5077,0.6798,0.2702,0.4145,0.3423,0.5615,0.6995,0.6305
20.1,-0.1045,0.9087,0.7829,0.8815,0.5252,0.7033,0.2904,0.4327,0.3615,0.6034,0.7364,0.6699
20.2,-0.0562,0.9303,0.812,0.9085,0.5432,0.7259,0.3165,0.455,0.3858,0.6442,0.7716,0.7079
20.3,-0.0075,0.9471,0.837,0.9327,0.5616,0.7471,0.3485,0.4814,0.4149,0.6823,0.8039,0.7431
20.4,0.0403,0.9588,0.8572,0.9539,0.5807,0.7673,0.3863,0.5113,0.4488,0.7166,0.8324,0.7745
20.5,0.0871,0.9655,0.8722,0.9719,0.6011,0.7865,0.4293,0.5439,0.4866,0.7467,0.856,0.8013
20.6,0.1323,0.9677,0.8816,0.9864,0.6223,0.8044,0.4762,0.5776,0.5269,0.7731,0.8744,0.8238
20.7,0.1749,0.9661,0.8854,0.9967,0.6434,0.8201,0.5246,0.6114,0.568,0.7962,0.8874,0.8418
20.8,0.2148,0.9609,0.884,1.002,0.6636,0.8328,0.5724,0.6446,0.6085,0.8156,0.8945,0.855
20.9,0.253,0.9521,0.8777,1.0019,0.6821,0.842,0.6174,0.677,0.6472,0.8303,0.895,0.8626
21,0.2908,0.9396,0.8668,0.997,0.6988,0.8479,0.6576,0.7086,0.6831,0.8394,0.8888,0.8641
