Time,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC
11.7,-0.5194,0.645,0.337,0.8849,0.724,0.8044,0.7901,0.5301,0.6601,0.7982,0.6865,0.7423
11.8,-0.5456,0.6574,0.3412,0.8971,0.75,0.8235,0.7916,0.5346,0.6631,0.8002,0.6929,0.7466
11.9,-0.5515,0.6703,0.3476,0.9133,0.7711,0.8422,0.7954,0.5416,0.6685,0.8041,0.7014,0.7528
12,-0.5361,0.6831,0.3547,0.9328,0.7871,0.86,0.8008,0.5493,0.675,0.8092,0.7115,0.7604
12.1,-0.5008,0.6953,0.361,0.954,0.7982,0.8761,0.8071,0.5565,0.6818,0.8151,0.7227,0.7689
12.2,-0.4487,0.7065,0.3658,0.9753,0.8044,0.8898,0.8139,0.5625,0.6882,0.8214,0.7353,0.7783
12.3,-0.3835,0.7159,0.3687,0.9952,0.8055,0.9004,0.8207,0.5669,0.6938,0.8278,0.7494,0.7886
12.4,-0.3093,0.723,0.3692,1.0122,0.8014,0.9068,0.8267,0.5693,0.698,0.8337,0.765,0.7994
12.5,-0.2298,0.7272,0.367,1.0253,0.7921,0.9087,0.8313,0.5693,0.7003,0.8385,0.782,0.8102
12.6,-0.1483,0.728,0.362,1.0335,0.7776,0.9056,0.834,0.5666,0.7003,0.8415,0.8001,0.8208
12.7,-0.0676,0.7256,0.3543,1.0361,0.7584,0.8972,0.8346,0.5612,0.6979,0.8423,0.8192,0.8307
12.8,0.0103,0.72,0.344,1.0326,0.7346,0.8836,0.833,0.5529,0.6929,0.8413,0.8392,0.8403
12.9,0.0839,0.7116,0.3314,1.023,0.7067,0.8649,0.8291,0.5418,0.6855,0.839,0.8597,0.8494
13,0.1524,0.7006,0.3173,1.0076,0.6751,0.8413,0.8226,0.5282,0.6754,0.8355,0.8791,0.8573
13.1,0.2148,0.6871,0.302,0.9865,0.6403,0.8134,0.8132,0.5118,0.6625,0.8301,0.8958,0.863
13.2,0.2698,0.6713,0.2861,0.9601,0.603,0.7815,0.8005,0.4922,0.6464,0.8222,0.9082,0.8652
13.3,0.316,0.6533,0.2705,0.9291,0.5638,0.7464,0.785,0.4697,0.6273,0.8116,0.916,0.8638
13.4,0.3516,0.6338,0.2563,0.8946,0.524,0.7093,0.7677,0.4448,0.6063,0.799,0.9195,0.8593
13.5,0.3756,0.6134,0.2443,0.8581,0.4849,0.6715,0.7504,0.4186,0.5845,0.7854,0.9193,0.8523
13.6,0.3886,0.5928,0.2351,0.8218,0.4479,0.6348,0.7344,0.3921,0.5633,0.7713,0.9154,0.8434
13.7,0.3926,0.5731,0.2293,0.7877,0.414,0.6009,0.7207,0.3669,0.5438,0.7574,0.9083,0.8328
13.8,0.3902,0.5551,0.2275,0.7574,0.3843,0.5708,0.7098,0.3445,0.5271,0.7446,0.8987,0.8216
13.9,0.3836,0.5393,0.2305,0.7316,0.3591,0.5454,0.702,0.3265,0.5143,0.7344,0.8881,0.8113
14,0.3739,0.5262,0.2383,0.7108,0.3387,0.5247,0.6973,0.3138,0.5056,0.7283,0.8778,0.803
14.1,0.3619,0.5161,0.2509,0.695,0.3227,0.5088,0.6953,0.3067,0.501,0.7272,0.8686,0.7979
14.2,0.3479,0.5091,0.2681,0.6846,0.3108,0.4977,0.6953,0.3042,0.4998,0.7311,0.8603,0.7957
14.3,0.3322,0.5052,0.2908,0.6798,0.3032,0.4915,0.6954,0.3051,0.5002,0.7383,0.8529,0.7956
14.4,0.3147,0.5044,0.3193,0.6802,0.3001,0.4901,0.6939,0.3077,0.5008,0.7468,0.8458,0.7963
14.5,0.2954,0.5061,0.3534,0.6847,0.3015,0.4931,0.6893,0.3113,0.5003,0.7542,0.8383,0.7962
14.6,0.2744,0.5098,0.3916,0.692,0.3073,0.4997,0.6808,0.3157,0.4983,0.759,0.8295,0.7942
14.7,0.2524,0.5149,0.4319,0.7,0.3169,0.5084,0.668,0.3205,0.4943,0.7597,0.8186,0.7891
14.8,0.2314,0.5205,0.4724,0.7072,0.3287,0.5179,0.6505,0.3246,0.4876,0.7554,0.8049,0.7801
14.9,0.2134,0.5268,0.5119,0.7126,0.3415,0.5271,0.6283,0.327,0.4776,0.7455,0.7882,0.7669
