Time,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC
6.7,-0.2225,0.7235,0.6322,0.5097,0.8148,0.6622,0.6331,0.5702,0.6017,0.9905,0.9005,0.9455
6.8,-0.2248,0.7246,0.6298,0.4954,0.8142,0.6548,0.6178,0.5688,0.5933,0.9786,0.9033,0.9409
6.9,-0.2236,0.7256,0.6276,0.4867,0.8139,0.6503,0.6043,0.5683,0.5863,0.9609,0.9041,0.9325
7,-0.218,0.7264,0.6262,0.4839,0.8141,0.649,0.592,0.5684,0.5802,0.9385,0.9035,0.921
7.1,-0.2082,0.7269,0.6255,0.4873,0.8149,0.6511,0.5809,0.5692,0.5751,0.9125,0.9017,0.9071
7.2,-0.1951,0.7275,0.625,0.4969,0.8165,0.6567,0.5707,0.5704,0.5706,0.8842,0.8992,0.8917
7.3,-0.1803,0.728,0.6241,0.5127,0.8185,0.6656,0.5615,0.5714,0.5665,0.8547,0.8961,0.8754
7.4,-0.165,0.7284,0.6226,0.534,0.8204,0.6772,0.5532,0.5721,0.5627,0.8249,0.8928,0.8588
7.5,-0.1498,0.7283,0.6208,0.5601,0.8212,0.6906,0.5456,0.5725,0.5591,0.7957,0.8898,0.8427
7.6,-0.135,0.7271,0.6194,0.5896,0.8206,0.7051,0.5386,0.5725,0.5556,0.7684,0.8874,0.8279
7.7,-0.1209,0.7245,0.6187,0.6214,0.8179,0.7196,0.5319,0.572,0.552,0.7438,0.886,0.8149
7.8,-0.1076,0.72,0.6187,0.6541,0.8127,0.7334,0.5256,0.5709,0.5483,0.7228,0.8859,0.8043
7.9,-0.0956,0.7134,0.6192,0.6865,0.8046,0.7456,0.5198,0.5696,0.5447,0.7053,0.8872,0.7963
8,-0.0844,0.7046,0.6202,0.7178,0.7934,0.7556,0.5147,0.5688,0.5417,0.6913,0.8897,0.7905
8.1,-0.0733,0.694,0.622,0.7475,0.7794,0.7634,0.5107,0.5696,0.5401,0.6802,0.8929,0.7865
8.2,-0.0614,0.6818,0.6251,0.7752,0.763,0.7691,0.5083,0.5725,0.5404,0.6713,0.8963,0.7838
8.3,-0.0482,0.6686,0.6304,0.8008,0.7449,0.7728,0.5078,0.5776,0.5427,0.6644,0.8993,0.7818
8.4,-0.0341,0.6549,0.6383,0.824,0.7255,0.7747,0.5089,0.5846,0.5467,0.6594,0.9017,0.7806
8.5,-0.0196,0.6408,0.6482,0.8442,0.7049,0.7745,0.5112,0.5932,0.5522,0.6567,0.9034,0.78
8.6,-0.0045,0.6266,0.6588,0.8614,0.6832,0.7723,0.5146,0.6031,0.5589,0.6562,0.9042,0.7802
8.7,0.0112,0.6126,0.6692,0.8757,0.6609,0.7683,0.5188,0.6141,0.5665,0.6577,0.9038,0.7808
8.8,0.0275,0.599,0.6788,0.8868,0.6383,0.7625,0.5233,0.626,0.5747,0.6607,0.9018,0.7812
8.9,0.0444,0.586,0.6875,0.8944,0.616,0.7552,0.5273,0.6383,0.5828,0.6649,0.8977,0.7813
9,0.0613,0.5736,0.6951,0.8979,0.5945,0.7462,0.5295,0.6505,0.59,0.6699,0.8913,0.7806
9.1,0.0775,0.5617,0.7012,0.8966,0.574,0.7353,0.5289,0.6619,0.5954,0.6756,0.8825,0.7791
9.2,0.0929,0.5507,0.7054,0.8907,0.5547,0.7227,0.5249,0.6718,0.5984,0.6815,0.8712,0.7764
9.3,0.1074,0.5413,0.7071,0.8811,0.5371,0.7091,0.5176,0.68,0.5988,0.6876,0.8577,0.7726
9.4,0.1216,0.534,0.7064,0.8687,0.5214,0.695,0.5073,0.6858,0.5965,0.6939,0.8429,0.7684
9.5,0.1357,0.5291,0.7038,0.8538,0.5078,0.6808,0.4943,0.6887,0.5915,0.7013,0.8281,0.7647
9.6,0.1491,0.5266,0.7001,0.8365,0.4964,0.6665,0.4789,0.6884,0.5837,0.7101,0.8147,0.7624
9.7,0.1611,0.5269,0.6955,0.8172,0.4874,0.6523,0.4614,0.6854,0.5734,0.7207,0.8039,0.7623
9.8,0.1711,0.5305,0.6901,0.7972,0.4809,0.639,0.4429,0.6802,0.5615,0.7329,0.7962,0.7645
9.9,0.1793,0.5378,0.6841,0.7785,0.4775,0.628,0.4252,0.6737,0.5494,0.7464,0.792,0.7692
10,0.1863,0.5489,0.6779,0.7629,0.4772,0.62,0.4101,0.6664,0.5383,0.7617,0.7916,0.7767
10.1,0.1921,0.5634,0.6723,0.751,0.4798,0.6154,0.3989,0.6589,0.5289,0.7795,0.7957,0.7876
10.2,0.1968,0.5801,0.6673,0.7426,0.4852,0.6139,0.3919,0.6514,0.5217,0.8003,0.804,0.8021
10.3,0.2008,0.5982,0.6627,0.7373,0.493,0.6152,0.3894,0.6443,0.5169,0.824,0.8157,0.8198
10.4,0.2052,0.6167,0.6582,0.7349,0.5025,0.6187,0.3911,0.6376,0.5144,0.8497,0.8295,0.8396
10.5,0.2106,0.6348,0.6534,0.7346,0.5128,0.6237,0.3964,0.6312,0.5138,0.8763,0.8437,0.86
10.6,0.2164,0.6519,0.6482,0.7356,0.5229,0.6292,0.4044,0.6245,0.5144,0.902,0.8571,0.8795
10.7,0.2221,0.6675,0.6428,0.7375,0.5319,0.6347,0.4142,0.617,0.5156,0.9257,0.8685,0.8971
10.8,0.2274,0.6813,0.6375,0.7397,0.5396,0.6396,0.4256,0.6086,0.5171,0.9465,0.8772,0.9119
10.9,0.2334,0.6931,0.6323,0.7418,0.5457,0.6438,0.4382,0.5988,0.5185,0.964,0.8829,0.9234
11,0.2409,0.7021,0.627,0.7426,0.5505,0.6466,0.451,0.5875,0.5193,0.9776,0.8852,0.9314
11.1,0.2498,0.7079,0.6212,0.7412,0.5541,0.6477,0.463,0.5749,0.519,0.9872,0.8843,0.9357
11.2,0.2595,0.7102,0.6148,0.7374,0.5567,0.647,0.4737,0.5617,0.5177,0.993,0.8805,0.9368
11.3,0.2688,0.7094,0.6078,0.7313,0.5589,0.6451,0.4832,0.5487,0.5159,0.9957,0.8744,0.935
11.4,0.2771,0.7059,0.6004,0.7236,0.5611,0.6424,0.4923,0.5366,0.5145,0.9958,0.8659,0.9308
11.5,0.2842,0.7004,0.5925,0.7146,0.5636,0.6391,0.5012,0.5258,0.5135,0.9938,0.8553,0.9246
11.6,0.2895,0.6931,0.5845,0.7039,0.5662,0.635,0.5096,0.5161,0.5129,0.9901,0.843,0.9166
11.7,0.2919,0.6841,0.5766,0.6918,0.5688,0.6303,0.5172,0.5077,0.5124,0.9853,0.8298,0.9076
11.8,0.2904,0.6735,0.5687,0.6783,0.5712,0.6247,0.5236,0.5007,0.5122,0.9805,0.8167,0.8986
11.9,0.2839,0.6614,0.5606,0.6637,0.5731,0.6184,0.5287,0.4954,0.512,0.9763,0.8044,0.8903
12,0.272,0.648,0.5523,0.6483,0.5744,0.6113,0.5324,0.4917,0.512,0.973,0.7931,0.8831
12.1,0.2548,0.6335,0.5445,0.6323,0.5754,0.6039,0.5347,0.4894,0.5121,0.9708,0.7833,0.8771
12.2,0.2334,0.6187,0.5383,0.6162,0.5765,0.5963,0.5359,0.4883,0.5121,0.9699,0.7754,0.8727
12.3,0.2095,0.6048,0.5343,0.6007,0.578,0.5894,0.5366,0.4883,0.5125,0.9708,0.7701,0.8704
12.4,0.1845,0.5931,0.533,0.587,0.5802,0.5836,0.538,0.4892,0.5136,0.974,0.7679,0.8709
12.5,0.1598,0.5846,0.5337,0.5763,0.5827,0.5795,0.5414,0.4908,0.5161,0.9797,0.7692,0.8744
12.6,0.1366,0.5797,0.536,0.5692,0.5854,0.5773,0.5474,0.4931,0.5203,0.9877,0.7741,0.8809
12.7,0.1163,0.5786,0.5394,0.566,0.5883,0.5772,0.5565,0.4965,0.5265,0.9979,0.7825,0.8902
12.8,0.1001,0.5811,0.5442,0.5667,0.5915,0.5791,0.5684,0.5015,0.535,1.0095,0.7942,0.9019
12.9,0.0889,0.5871,0.5507,0.5711,0.5947,0.5829,0.5833,0.5086,0.5459,1.0222,0.8089,0.9155
13,0.083,0.5961,0.5587,0.5787,0.5977,0.5882,0.6007,0.5176,0.5591,1.035,0.8257,0.9304
13.1,0.0833,0.6073,0.5676,0.5891,0.6004,0.5947,0.6201,0.5281,0.5741,1.0472,0.8439,0.9455
13.2,0.0905,0.6194,0.5768,0.6014,0.6029,0.6022,0.6407,0.5397,0.5902,1.0579,0.8626,0.9603
13.3,0.1052,0.6316,0.5863,0.6149,0.6056,0.6102,0.662,0.5519,0.607,1.0669,0.8818,0.9743
13.4,0.1272,0.6433,0.5959,0.629,0.6085,0.6188,0.6827,0.5648,0.6237,1.074,0.9011,0.9876
13.5,0.1556,0.6543,0.6054,0.6431,0.6114,0.6273,0.7013,0.5782,0.6398,1.0788,0.92,0.9994
13.6,0.1891,0.6643,0.6139,0.6565,0.6143,0.6354,0.7162,0.5921,0.6542,1.0801,0.9374,1.0088
13.7,0.2265,0.6732,0.621,0.6684,0.6168,0.6426,0.7259,0.6062,0.666,1.0771,0.9527,1.0149
13.8,0.2663,0.6808,0.6267,0.6784,0.6192,0.6488,0.7296,0.6201,0.6748,1.0696,0.9658,1.0177
13.9,0.3065,0.6874,0.6312,0.6866,0.6219,0.6542,0.7273,0.6337,0.6805,1.0583,0.9769,1.0176
14,0.3449,0.6935,0.6348,0.6935,0.6253,0.6594,0.7199,0.6471,0.6835,1.0441,0.9866,1.0154
14.1,0.3803,0.6993,0.6373,0.6996,0.6297,0.6647,0.7082,0.6604,0.6843,1.0278,0.9951,1.0114
14.2,0.4118,0.7041,0.6386,0.7046,0.635,0.6698,0.6925,0.6733,0.6829,1.0097,1.0022,1.006
14.3,0.4386,0.7071,0.639,0.7077,0.6403,0.674,0.6731,0.6852,0.6792,0.9904,1.008,0.9992
14.4,0.4606,0.708,0.6389,0.7088,0.6451,0.677,0.6509,0.6961,0.6735,0.9709,1.0126,0.9917
14.5,0.4777,0.707,0.6388,0.7087,0.6491,0.6789,0.6279,0.7067,0.6673,0.9522,1.0164,0.9843
14.6,0.4904,0.7051,0.6391,0.7088,0.6521,0.6804,0.6064,0.7179,0.6622,0.9354,1.0195,0.9775
14.7,0.4994,0.7029,0.6395,0.7103,0.6543,0.6823,0.5883,0.7304,0.6593,0.9208,1.0214,0.9711
14.8,0.5052,0.7008,0.6397,0.7138,0.656,0.6849,0.5741,0.7439,0.659,0.9079,1.0218,0.9649
14.9,0.508,0.6989,0.6397,0.7196,0.6575,0.6886,0.5637,0.758,0.6608,0.8969,1.0203,0.9586
15,0.5074,0.6975,0.6394,0.7282,0.6592,0.6937,0.5568,0.7719,0.6644,0.888,1.0171,0.9526
15.1,0.5033,0.6968,0.6389,0.7398,0.6617,0.7008,0.5534,0.7855,0.6694,0.8816,1.0123,0.9469
15.2,0.4955,0.6972,0.6379,0.7543,0.6655,0.7099,0.5537,0.7984,0.676,0.8778,1.0057,0.9417
15.3,0.4847,0.6987,0.6366,0.771,0.6704,0.7207,0.5581,0.8101,0.6841,0.876,0.9969,0.9365
15.4,0.472,0.7016,0.6356,0.7892,0.6763,0.7327,0.5673,0.8202,0.6937,0.8761,0.9862,0.9311
15.5,0.4584,0.706,0.6353,0.8085,0.6827,0.7456,0.5817,0.8283,0.705,0.8778,0.9737,0.9257
15.6,0.4446,0.7121,0.6355,0.8283,0.6896,0.759,0.6009,0.834,0.7175,0.8813,0.9598,0.9205
15.7,0.4298,0.7201,0.6354,0.8477,0.6974,0.7726,0.624,0.8372,0.7306,0.8864,0.9447,0.9155
15.8,0.4129,0.7294,0.6344,0.8652,0.7064,0.7858,0.649,0.8379,0.7435,0.8927,0.9289,0.9108
15.9,0.393,0.7394,0.6325,0.8797,0.7166,0.7982,0.6742,0.8367,0.7554,0.8997,0.9127,0.9062
16,0.3699,0.7495,0.6302,0.8908,0.7281,0.8095,0.6979,0.8341,0.766,0.9069,0.8963,0.9016
16.1,0.344,0.7597,0.6282,0.8982,0.7412,0.8197,0.7191,0.8307,0.7749,0.9138,0.8802,0.897
16.2,0.3163,0.7697,0.627,0.9023,0.7558,0.8291,0.7375,0.827,0.7822,0.9199,0.8647,0.8923
16.3,0.2875,0.7794,0.6272,0.9033,0.7718,0.8375,0.7532,0.8231,0.7881,0.9251,0.8502,0.8876
16.4,0.2578,0.7886,0.629,0.9017,0.7891,0.8454,0.7663,0.8193,0.7928,0.9292,0.8368,0.883
16.5,0.2268,0.7975,0.6327,0.8981,0.8077,0.8529,0.7771,0.8161,0.7966,0.9322,0.8246,0.8784
16.6,0.1948,0.8065,0.6385,0.8941,0.8273,0.8607,0.7856,0.8141,0.7998,0.9341,0.8139,0.874
16.7,0.1622,0.816,0.6467,0.8909,0.8473,0.8691,0.7921,0.8135,0.8028,0.935,0.8049,0.8699
16.8,0.1297,0.8263,0.6569,0.8891,0.867,0.878,0.7971,0.8142,0.8056,0.9349,0.7976,0.8663
16.9,0.0978,0.8367,0.6686,0.8886,0.8852,0.8869,0.8011,0.8158,0.8084,0.9339,0.7923,0.8631
17,0.0666,0.8469,0.681,0.8887,0.9006,0.8947,0.8049,0.8177,0.8113,0.9322,0.7889,0.8606
17.1,0.0362,0.8561,0.6934,0.8885,0.9124,0.9005,0.8091,0.8192,0.8142,0.9303,0.7874,0.8588
17.2,0.0073,0.8642,0.7049,0.8881,0.92,0.904,0.814,0.8198,0.8169,0.9279,0.7877,0.8578
17.3,-0.0194,0.8709,0.7151,0.8875,0.9234,0.9055,0.8197,0.8189,0.8193,0.9248,0.7894,0.8571
17.4,-0.0433,0.8761,0.7235,0.8873,0.9229,0.9051,0.8263,0.8168,0.8215,0.92,0.7917,0.8558
17.5,-0.0644,0.8792,0.7298,0.8876,0.9183,0.9029,0.8334,0.8137,0.8236,0.9129,0.7937,0.8533
17.6,-0.0825,0.8799,0.7335,0.888,0.9097,0.8989,0.8407,0.8102,0.8254,0.9032,0.795,0.8491
17.7,-0.0974,0.8778,0.7339,0.8881,0.8975,0.8928,0.8478,0.8066,0.8272,0.8913,0.7957,0.8435
17.8,-0.1088,0.8726,0.7304,0.8871,0.8821,0.8846,0.8541,0.8032,0.8287,0.8773,0.7958,0.8366
17.9,-0.1164,0.8642,0.722,0.8845,0.8643,0.8744,0.8589,0.7998,0.8294,0.8612,0.795,0.8281
18,-0.1195,0.8528,0.708,0.8801,0.8443,0.8622,0.8613,0.7956,0.8285,0.8425,0.7928,0.8177
18.1,-0.1175,0.8385,0.6884,0.8739,0.8223,0.8481,0.8605,0.7899,0.8252,0.8211,0.789,0.8051
18.2,-0.1098,0.8217,0.6637,0.8661,0.7982,0.8321,0.8558,0.7818,0.8188,0.7973,0.784,0.7907
18.3,-0.0964,0.8028,0.6346,0.8568,0.7718,0.8143,0.8474,0.7709,0.8092,0.7723,0.7786,0.7754
18.4,-0.0775,0.7822,0.6022,0.8463,0.7434,0.7949,0.8358,0.7571,0.7964,0.7478,0.7734,0.7606
18.5,-0.054,0.7606,0.5677,0.8345,0.7131,0.7738,0.8213,0.7407,0.781,0.7252,0.7689,0.747
18.6,-0.0271,0.7388,0.5325,0.8215,0.6812,0.7513,0.8043,0.7219,0.7631,0.7055,0.7653,0.7354
18.7,0.0017,0.7181,0.498,0.807,0.6484,0.7277,0.7846,0.701,0.7428,0.6893,0.7627,0.726
18.8,0.0314,0.6993,0.4649,0.791,0.6158,0.7034,0.7619,0.6787,0.7203,0.6773,0.7615,0.7194
18.9,0.061,0.6829,0.4338,0.7735,0.5847,0.6791,0.7362,0.6563,0.6963,0.6697,0.7613,0.7155
19,0.089,0.6693,0.4054,0.7547,0.5567,0.6557,0.7079,0.6357,0.6718,0.6664,0.7608,0.7136
19.1,0.1138,0.6584,0.3805,0.7357,0.5332,0.6344,0.6782,0.6179,0.648,0.6668,0.7594,0.7131
19.2,0.1347,0.6506,0.3605,0.7177,0.5147,0.6162,0.6483,0.6039,0.6261,0.67,0.7571,0.7136
19.3,0.1514,0.6463,0.3467,0.7018,0.502,0.6019,0.6201,0.5942,0.6071,0.6758,0.7546,0.7152
19.4,0.1636,0.646,0.3399,0.6887,0.4954,0.5921,0.5955,0.5892,0.5924,0.6842,0.7529,0.7185
19.5,0.1712,0.6497,0.3407,0.6787,0.4961,0.5874,0.5764,0.5892,0.5828,0.6954,0.7532,0.7243
19.6,0.1742,0.6572,0.3493,0.672,0.5045,0.5883,0.5638,0.594,0.5789,0.7093,0.7561,0.7327
19.7,0.1725,0.6682,0.3648,0.6682,0.5207,0.5945,0.5576,0.6027,0.5802,0.7255,0.7614,0.7435
19.8,0.1655,0.6825,0.3854,0.6673,0.5441,0.6057,0.5568,0.6136,0.5852,0.743,0.7689,0.756
19.9,0.1529,0.6992,0.4092,0.669,0.5735,0.6213,0.5603,0.6249,0.5926,0.7608,0.7781,0.7694
20,0.1354,0.7176,0.4348,0.6736,0.6076,0.6406,0.5668,0.6355,0.6011,0.778,0.7883,0.7832
20.1,0.1148,0.7365,0.4611,0.681,0.6449,0.6629,0.5757,0.6446,0.6101,0.7944,0.7992,0.7968
20.2,0.0932,0.7553,0.4869,0.6907,0.6837,0.6872,0.5859,0.6518,0.6188,0.8098,0.8106,0.8102
20.3,0.0717,0.7734,0.5111,0.7024,0.723,0.7127,0.5966,0.6564,0.6265,0.824,0.822,0.823
20.4,0.0509,0.7905,0.5324,0.716,0.7622,0.7391,0.6068,0.6582,0.6325,0.8363,0.8324,0.8343
20.5,0.0308,0.8068,0.5506,0.7319,0.8008,0.7664,0.6152,0.6573,0.6363,0.8458,0.8407,0.8432
20.6,0.0115,0.8225,0.5656,0.7506,0.8385,0.7946,0.6213,0.6538,0.6375,0.852,0.8459,0.8489
20.7,-0.0064,0.8376,0.578,0.7722,0.8746,0.8234,0.6246,0.6477,0.6362,0.855,0.8479,0.8514
20.8,-0.0222,0.8514,0.5875,0.7958,0.9077,0.8518,0.6246,0.6389,0.6318,0.8558,0.8471,0.8514
20.9,-0.0344,0.8625,0.5939,0.8199,0.9363,0.8781,0.6211,0.6271,0.6241,0.8557,0.8439,0.8498
21,-0.0415,0.8694,0.5971,0.8427,0.9586,0.9006,0.6141,0.6119,0.613,0.8553,0.8387,0.847
21.1,-0.0426,0.8711,0.5969,0.8624,0.9735,0.918,0.6041,0.5926,0.5984,0.8546,0.8316,0.8431
