Time,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC
2.6,0.2539,0.6609,0.6054,0.744,0.6627,0.7034,0.7242,0.4713,0.5977,0.2726,0.4877,0.3801
2.7,0.2689,0.6607,0.594,0.746,0.67,0.708,0.692,0.4673,0.5796,0.2699,0.4868,0.3784
2.8,0.2803,0.6579,0.5845,0.7447,0.6783,0.7115,0.6582,0.4673,0.5628,0.2721,0.4897,0.3809
2.9,0.2869,0.6524,0.5768,0.7398,0.6876,0.7137,0.6248,0.4716,0.5482,0.2794,0.4957,0.3875
3,0.2885,0.644,0.5711,0.7318,0.6971,0.7144,0.5936,0.4802,0.5369,0.2919,0.5044,0.3982
3.1,0.2858,0.6326,0.5672,0.721,0.7057,0.7133,0.5659,0.4927,0.5293,0.3102,0.516,0.4131
3.2,0.2796,0.6181,0.5641,0.7075,0.7123,0.7099,0.5421,0.5078,0.525,0.3339,0.5302,0.432
3.3,0.2703,0.6008,0.5612,0.6912,0.7166,0.7039,0.5219,0.5243,0.5231,0.3614,0.5457,0.4536
3.4,0.2582,0.5811,0.5581,0.6722,0.7186,0.6954,0.5052,0.5411,0.5232,0.3904,0.5616,0.476
3.5,0.2432,0.56,0.5549,0.6509,0.7185,0.6847,0.4924,0.558,0.5252,0.4182,0.577,0.4976
3.6,0.2255,0.5383,0.5519,0.6284,0.7164,0.6724,0.4838,0.5745,0.5291,0.4428,0.5919,0.5174
3.7,0.2058,0.5166,0.5492,0.605,0.7119,0.6585,0.4794,0.5908,0.5351,0.4631,0.6055,0.5343
3.8,0.1844,0.4955,0.5467,0.5815,0.7053,0.6434,0.4792,0.6068,0.543,0.4782,0.6168,0.5475
3.9,0.1613,0.4761,0.5444,0.5585,0.697,0.6278,0.4829,0.6227,0.5528,0.4883,0.625,0.5566
4,0.1359,0.4592,0.5421,0.5368,0.6881,0.6125,0.4901,0.6381,0.5641,0.4942,0.63,0.5621
4.1,0.1081,0.4454,0.5394,0.5173,0.6795,0.5984,0.5006,0.6523,0.5764,0.4973,0.6326,0.5649
4.2,0.0781,0.4352,0.5356,0.5005,0.6721,0.5863,0.5139,0.6647,0.5893,0.4987,0.6338,0.5662
4.3,0.0466,0.4291,0.5303,0.4868,0.6667,0.5767,0.5299,0.6755,0.6027,0.4992,0.6337,0.5665
4.4,0.0145,0.4274,0.5237,0.4761,0.6638,0.57,0.5481,0.6854,0.6168,0.499,0.6322,0.5656
4.5,-0.0178,0.43,0.5162,0.4679,0.664,0.566,0.5681,0.695,0.6316,0.4986,0.6293,0.564
4.6,-0.0501,0.4367,0.5086,0.4623,0.6673,0.5648,0.5894,0.7047,0.6471,0.4989,0.6259,0.5624
4.7,-0.0816,0.4469,0.5013,0.4591,0.6736,0.5664,0.6116,0.7148,0.6632,0.5,0.6233,0.5617
4.8,-0.111,0.46,0.4949,0.4583,0.6826,0.5705,0.6343,0.7258,0.68,0.5023,0.6218,0.562
4.9,-0.1365,0.4759,0.49,0.46,0.6941,0.577,0.6572,0.7376,0.6974,0.5056,0.6218,0.5637
5,-0.1567,0.4945,0.4873,0.464,0.7078,0.5859,0.6804,0.7497,0.7151,0.5105,0.6231,0.5668
5.1,-0.1706,0.5155,0.4869,0.4699,0.723,0.5965,0.704,0.7611,0.7326,0.5171,0.6257,0.5714
5.2,-0.1774,0.5384,0.4878,0.4775,0.7391,0.6083,0.7283,0.7709,0.7496,0.5255,0.6294,0.5774
5.3,-0.1769,0.5623,0.4891,0.4862,0.755,0.6206,0.7535,0.7782,0.7658,0.5356,0.6339,0.5847
5.4,-0.1697,0.5868,0.4901,0.4957,0.7701,0.6329,0.7799,0.7829,0.7814,0.547,0.6391,0.5931
5.5,-0.1579,0.6116,0.4908,0.5055,0.7843,0.6449,0.8077,0.7853,0.7965,0.5599,0.6447,0.6023
5.6,-0.1433,0.6364,0.4916,0.5153,0.7976,0.6564,0.8372,0.7856,0.8114,0.5741,0.6504,0.6122
5.7,-0.1268,0.6614,0.492,0.5254,0.81,0.6677,0.8679,0.7842,0.8261,0.5886,0.656,0.6223
5.8,-0.1081,0.6862,0.4913,0.5365,0.8213,0.6789,0.8991,0.7815,0.8403,0.6021,0.6614,0.6318
5.9,-0.0867,0.7101,0.4885,0.5487,0.8312,0.69,0.9296,0.777,0.8533,0.6135,0.6662,0.6399
6,-0.0627,0.7325,0.4829,0.5619,0.8397,0.7008,0.9587,0.7701,0.8644,0.6221,0.6701,0.6461
6.1,-0.0362,0.753,0.4742,0.5756,0.8464,0.711,0.9863,0.7607,0.8735,0.6277,0.673,0.6503
6.2,-0.0073,0.7713,0.463,0.5897,0.851,0.7203,1.0128,0.7496,0.8812,0.6303,0.6754,0.6529
6.3,0.0235,0.7872,0.4498,0.6032,0.8524,0.7278,1.0377,0.7377,0.8877,0.63,0.6782,0.6541
6.4,0.0546,0.8001,0.4352,0.6155,0.8499,0.7327,1.0597,0.7255,0.8926,0.6264,0.6819,0.6541
6.5,0.0844,0.8093,0.4197,0.6255,0.8439,0.7347,1.077,0.7123,0.8947,0.6193,0.6862,0.6528
6.6,0.1124,0.8149,0.4039,0.6325,0.8352,0.7338,1.0892,0.6979,0.8935,0.6083,0.6907,0.6495
6.7,0.1392,0.8169,0.3892,0.6366,0.8246,0.7306,1.0966,0.6827,0.8897,0.5935,0.695,0.6442
6.8,0.1657,0.8159,0.3768,0.6377,0.8128,0.7253,1.0999,0.6678,0.8839,0.5755,0.6987,0.6371
6.9,0.1914,0.8116,0.3679,0.636,0.8002,0.7181,1.0993,0.6539,0.8766,0.5558,0.701,0.6284
7,0.2151,0.8035,0.3625,0.6311,0.7875,0.7093,1.0948,0.6411,0.868,0.5358,0.7009,0.6183
7.1,0.235,0.7915,0.3603,0.6231,0.7755,0.6993,1.0871,0.6293,0.8582,0.5172,0.6982,0.6077
7.2,0.2506,0.7756,0.3614,0.6123,0.7651,0.6887,1.0769,0.6181,0.8475,0.5019,0.6943,0.5981
7.3,0.2624,0.7563,0.3667,0.5993,0.7562,0.6777,1.0652,0.6078,0.8365,0.4919,0.6914,0.5916
7.4,0.2718,0.7338,0.3767,0.5839,0.7478,0.6659,1.0525,0.5987,0.8256,0.4886,0.6908,0.5897
7.5,0.2795,0.7083,0.3907,0.5662,0.7387,0.6524,1.0391,0.5915,0.8153,0.492,0.6923,0.5921
7.6,0.2855,0.6803,0.4072,0.546,0.7283,0.6372,1.0253,0.5869,0.8061,0.5005,0.6943,0.5974
7.7,0.2892,0.6504,0.4246,0.524,0.7166,0.6203,1.0117,0.586,0.7988,0.5121,0.6951,0.6036
7.8,0.2901,0.6199,0.4429,0.5015,0.7041,0.6028,0.9991,0.5893,0.7942,0.5255,0.6944,0.61
7.9,0.2886,0.5896,0.4623,0.4801,0.6913,0.5857,0.9881,0.5968,0.7925,0.5401,0.6931,0.6166
8,0.2859,0.5602,0.4831,0.4611,0.679,0.5701,0.9796,0.6078,0.7937,0.5557,0.6919,0.6238
8.1,0.2843,0.5323,0.5049,0.4456,0.6674,0.5565,0.9746,0.6214,0.798,0.5721,0.6909,0.6315
8.2,0.286,0.5073,0.5266,0.4343,0.6567,0.5455,0.9739,0.6369,0.8054,0.589,0.6892,0.6391
8.3,0.2917,0.4867,0.5474,0.4283,0.6473,0.5378,0.9774,0.654,0.8157,0.6059,0.6858,0.6459
8.4,0.3015,0.472,0.567,0.4283,0.6398,0.5341,0.985,0.6725,0.8287,0.6228,0.6805,0.6516
8.5,0.3144,0.4637,0.5844,0.4349,0.635,0.5349,0.9963,0.6923,0.8443,0.6391,0.6732,0.6562
8.6,0.3295,0.4616,0.5992,0.4483,0.6329,0.5406,1.0109,0.7135,0.8622,0.6542,0.6642,0.6592
8.7,0.3461,0.4655,0.6108,0.4686,0.6334,0.551,1.0283,0.7353,0.8818,0.6675,0.6535,0.6605
8.8,0.3637,0.4749,0.6191,0.4961,0.6356,0.5659,1.0478,0.7569,0.9023,0.6787,0.6412,0.6599
8.9,0.3825,0.4892,0.6245,0.5313,0.6385,0.5849,1.0681,0.7774,0.9228,0.6881,0.6273,0.6577
9,0.4028,0.5075,0.6273,0.573,0.6413,0.6071,1.0878,0.7959,0.9419,0.6957,0.6121,0.6539
9.1,0.4252,0.5284,0.6278,0.6191,0.6435,0.6313,1.1056,0.8116,0.9586,0.7009,0.5957,0.6483
9.2,0.4485,0.5509,0.626,0.6661,0.6449,0.6555,1.1204,0.8238,0.9721,0.7033,0.5777,0.6405
9.3,0.4699,0.5736,0.6219,0.7106,0.6453,0.678,1.1318,0.8323,0.982,0.7029,0.5581,0.6305
9.4,0.4859,0.5956,0.6162,0.7501,0.6451,0.6976,1.1394,0.8372,0.9883,0.7005,0.5379,0.6192
9.5,0.4929,0.616,0.6098,0.7834,0.6447,0.7141,1.1432,0.8397,0.9914,0.6967,0.5185,0.6076
9.6,0.4888,0.6345,0.6038,0.8092,0.6453,0.7273,1.1429,0.8406,0.9917,0.6918,0.5013,0.5965
9.7,0.4727,0.6508,0.5988,0.827,0.6479,0.7375,1.1384,0.8401,0.9893,0.6855,0.4865,0.586
9.8,0.4451,0.6656,0.5946,0.8372,0.6536,0.7454,1.1298,0.8381,0.984,0.6779,0.4741,0.576
9.9,0.407,0.68,0.5909,0.8409,0.6631,0.752,1.1178,0.8346,0.9762,0.6694,0.4639,0.5666
10,0.3602,0.6945,0.5879,0.8392,0.676,0.7576,1.1029,0.83,0.9665,0.6608,0.4565,0.5587
10.1,0.3057,0.7091,0.5867,0.8335,0.6909,0.7622,1.0862,0.8257,0.956,0.6535,0.4524,0.553
10.2,0.2443,0.7231,0.5885,0.8243,0.7065,0.7654,1.0686,0.8227,0.9456,0.6488,0.4521,0.5505
10.3,0.1768,0.7361,0.5939,0.8127,0.7216,0.7672,1.0509,0.8213,0.9361,0.648,0.4556,0.5518
10.4,0.1043,0.7479,0.6025,0.7996,0.7352,0.7674,1.0336,0.8215,0.9275,0.6514,0.4626,0.557
10.5,0.029,0.7588,0.6133,0.7861,0.746,0.766,1.0169,0.8231,0.92,0.6588,0.4723,0.5656
10.6,-0.0466,0.7699,0.6256,0.7733,0.7532,0.7632,1.001,0.8259,0.9135,0.67,0.4841,0.577
10.7,-0.1202,0.7827,0.6386,0.7623,0.7567,0.7595,0.9857,0.8298,0.9078,0.6842,0.4972,0.5907
10.8,-0.19,0.7993,0.6517,0.7545,0.7575,0.756,0.9708,0.8347,0.9028,0.7003,0.5109,0.6056
10.9,-0.2539,0.8207,0.664,0.7511,0.7568,0.7539,0.9563,0.8399,0.8981,0.7168,0.524,0.6204
11,-0.308,0.846,0.6743,0.7523,0.755,0.7537,0.9419,0.8443,0.8931,0.7321,0.5363,0.6342
11.1,-0.3475,0.8726,0.6822,0.7577,0.7517,0.7547,0.9278,0.8465,0.8871,0.7458,0.548,0.6469
11.2,-0.3679,0.8978,0.6875,0.7666,0.747,0.7568,0.9138,0.8455,0.8797,0.7576,0.5596,0.6586
11.3,-0.3664,0.9201,0.6896,0.7783,0.7417,0.76,0.9,0.8408,0.8704,0.7673,0.5713,0.6693
11.4,-0.3433,0.9392,0.6873,0.7921,0.7363,0.7642,0.8863,0.8327,0.8595,0.7746,0.5826,0.6786
11.5,-0.302,0.9542,0.6799,0.8069,0.7304,0.7686,0.872,0.8218,0.8469,0.7787,0.5931,0.6859
11.6,-0.2501,0.9643,0.6669,0.8206,0.7235,0.7721,0.8562,0.8084,0.8323,0.7795,0.6026,0.6911
11.7,-0.1966,0.9691,0.6494,0.8308,0.716,0.7734,0.8378,0.793,0.8154,0.7771,0.6113,0.6942
11.8,-0.1489,0.9691,0.6284,0.835,0.7089,0.772,0.8165,0.7756,0.796,0.7718,0.6198,0.6958
11.9,-0.1112,0.9655,0.605,0.8315,0.7033,0.7674,0.7922,0.7562,0.7742,0.7636,0.6283,0.6959
12,-0.0841,0.9594,0.5796,0.8196,0.6988,0.7592,0.7652,0.7351,0.7501,0.7525,0.636,0.6942
12.1,-0.0651,0.9509,0.5528,0.8005,0.695,0.7478,0.7357,0.713,0.7243,0.739,0.642,0.6905
12.2,-0.0514,0.9402,0.5256,0.7758,0.692,0.7339,0.7041,0.6903,0.6972,0.7241,0.6455,0.6848
12.3,-0.0419,0.9281,0.4994,0.7473,0.6906,0.7189,0.6712,0.6679,0.6695,0.7084,0.6463,0.6774
12.4,-0.0369,0.9158,0.4749,0.716,0.692,0.704,0.6385,0.6461,0.6423,0.6917,0.6441,0.6679
12.5,-0.0371,0.9039,0.4518,0.6828,0.6966,0.6897,0.6076,0.6256,0.6166,0.6735,0.6387,0.6561
12.6,-0.0428,0.8919,0.4304,0.6482,0.7038,0.676,0.58,0.607,0.5935,0.654,0.6305,0.6423
12.7,-0.0528,0.8788,0.4109,0.6142,0.7127,0.6634,0.5566,0.5907,0.5737,0.6344,0.6208,0.6276
12.8,-0.0642,0.8643,0.3944,0.5827,0.7227,0.6527,0.538,0.5771,0.5575,0.6155,0.6109,0.6132
12.9,-0.0746,0.8486,0.3817,0.5544,0.7329,0.6437,0.5248,0.5659,0.5454,0.5978,0.6015,0.5996
13,-0.0827,0.8321,0.3733,0.5293,0.7422,0.6358,0.5181,0.557,0.5375,0.5811,0.5929,0.587
13.1,-0.088,0.8155,0.3695,0.5082,0.7494,0.6288,0.5181,0.5501,0.5341,0.5659,0.5861,0.576
13.2,-0.0908,0.7988,0.3702,0.4925,0.7534,0.623,0.5246,0.5455,0.5351,0.5525,0.582,0.5673
13.3,-0.0913,0.7824,0.3756,0.4835,0.7535,0.6185,0.5367,0.5436,0.5401,0.5412,0.5812,0.5612
13.4,-0.089,0.7664,0.3859,0.4814,0.7495,0.6154,0.5539,0.5444,0.5492,0.5316,0.5837,0.5576
13.5,-0.0837,0.751,0.4009,0.4857,0.7418,0.6137,0.5759,0.548,0.5619,0.523,0.5891,0.556
13.6,-0.0751,0.7367,0.4197,0.4954,0.7308,0.6131,0.602,0.5538,0.5779,0.515,0.5973,0.5562
13.7,-0.0626,0.7236,0.4407,0.5088,0.7172,0.613,0.6307,0.5608,0.5958,0.5078,0.6079,0.5579
13.8,-0.0464,0.7115,0.4621,0.5241,0.7012,0.6127,0.6596,0.5682,0.6139,0.5011,0.6199,0.5605
13.9,-0.0277,0.7003,0.4823,0.5395,0.684,0.6117,0.6864,0.5751,0.6307,0.4941,0.6319,0.563
14,-0.0086,0.6901,0.5004,0.5536,0.6672,0.6104,0.7098,0.5812,0.6455,0.4862,0.6432,0.5647
14.1,0.01,0.6806,0.516,0.566,0.6524,0.6092,0.7295,0.5865,0.658,0.477,0.6534,0.5652
14.2,0.0282,0.6711,0.5284,0.576,0.64,0.608,0.7458,0.5909,0.6684,0.4665,0.6619,0.5642
14.3,0.046,0.6609,0.5373,0.5827,0.6296,0.6061,0.7588,0.5947,0.6768,0.455,0.6678,0.5614
14.4,0.0634,0.6494,0.5422,0.5854,0.6213,0.6033,0.7686,0.5979,0.6833,0.4429,0.6701,0.5565
14.5,0.0788,0.637,0.5428,0.5842,0.6157,0.6,0.7752,0.6006,0.6879,0.4305,0.6687,0.5496
14.6,0.0907,0.6248,0.5396,0.5803,0.614,0.5971,0.7786,0.6034,0.691,0.4187,0.6642,0.5414
14.7,0.0992,0.6143,0.5332,0.5751,0.6162,0.5956,0.7789,0.607,0.693,0.4087,0.6573,0.533
14.8,0.1054,0.6061,0.5243,0.5698,0.6213,0.5956,0.7764,0.6116,0.694,0.4014,0.6487,0.5251
14.9,0.1098,0.6004,0.5134,0.5648,0.6285,0.5966,0.7713,0.6172,0.6943,0.3973,0.6392,0.5182
15,0.111,0.5973,0.5009,0.5602,0.6374,0.5988,0.764,0.6232,0.6936,0.3963,0.6289,0.5126
15.1,0.1069,0.5978,0.487,0.5565,0.6485,0.6025,0.7546,0.6289,0.6918,0.398,0.6185,0.5083
15.2,0.0967,0.6025,0.4718,0.555,0.6613,0.6082,0.744,0.6342,0.6891,0.4023,0.6085,0.5054
15.3,0.0823,0.6111,0.4554,0.5568,0.6745,0.6156,0.7332,0.639,0.6861,0.409,0.5991,0.504
15.4,0.0659,0.6225,0.4383,0.5621,0.6855,0.6238,0.7231,0.6435,0.6833,0.418,0.5904,0.5042
15.5,0.0479,0.6352,0.4207,0.5704,0.6931,0.6317,0.7149,0.6476,0.6813,0.4297,0.5831,0.5064
15.6,0.0277,0.6486,0.4029,0.5808,0.6968,0.6388,0.7094,0.6507,0.68,0.4445,0.5774,0.511
15.7,0.0046,0.6625,0.3851,0.5922,0.6972,0.6447,0.707,0.6517,0.6793,0.4629,0.5737,0.5183
15.8,-0.0197,0.6763,0.3676,0.6034,0.6939,0.6487,0.7074,0.6502,0.6788,0.485,0.5723,0.5286
15.9,-0.0429,0.6889,0.351,0.613,0.6864,0.6497,0.7099,0.6464,0.6781,0.511,0.5732,0.5421
16,-0.0633,0.6992,0.3362,0.6199,0.6745,0.6472,0.7141,0.6406,0.6774,0.5409,0.5769,0.5589
16.1,-0.0802,0.7072,0.3234,0.6241,0.659,0.6415,0.7201,0.6331,0.6766,0.5739,0.5833,0.5786
16.2,-0.0936,0.7138,0.3127,0.6257,0.6409,0.6333,0.7275,0.6232,0.6753,0.6086,0.592,0.6003
16.3,-0.1038,0.7198,0.3039,0.625,0.6208,0.6229,0.736,0.6109,0.6734,0.6431,0.6024,0.6228
16.4,-0.1105,0.7252,0.2969,0.6225,0.5991,0.6108,0.7449,0.5962,0.6706,0.6763,0.614,0.6452
16.5,-0.1136,0.7296,0.2919,0.6181,0.5762,0.5972,0.7538,0.5799,0.6668,0.7074,0.6261,0.6668
16.6,-0.1129,0.7327,0.2889,0.6119,0.5525,0.5822,0.7619,0.5625,0.6622,0.7356,0.6374,0.6865
16.7,-0.1077,0.7344,0.2875,0.6044,0.5283,0.5663,0.7691,0.5443,0.6567,0.76,0.6466,0.7033
16.8,-0.0973,0.7346,0.2872,0.5961,0.5042,0.5502,0.7752,0.5258,0.6505,0.7803,0.653,0.7167
16.9,-0.0815,0.7333,0.288,0.5875,0.4806,0.5341,0.7803,0.5075,0.6439,0.7969,0.6566,0.7267
17,-0.0613,0.7303,0.2899,0.5789,0.4577,0.5183,0.7844,0.4898,0.6371,0.8102,0.6574,0.7338
17.1,-0.0383,0.7257,0.2935,0.5705,0.4359,0.5032,0.7876,0.4732,0.6304,0.8205,0.6557,0.7381
17.2,-0.0144,0.7202,0.2985,0.5628,0.4157,0.4893,0.79,0.4579,0.624,0.8276,0.6513,0.7394
17.3,0.0089,0.7149,0.3051,0.5567,0.3983,0.4775,0.7917,0.4449,0.6183,0.8313,0.6442,0.7377
17.4,0.0309,0.7104,0.3137,0.5531,0.3847,0.4689,0.793,0.4353,0.6141,0.8319,0.6352,0.7335
17.5,0.0511,0.7066,0.3246,0.552,0.3755,0.4638,0.7945,0.4299,0.6122,0.8304,0.6252,0.7278
17.6,0.068,0.7033,0.3389,0.5534,0.3712,0.4623,0.7965,0.4298,0.6131,0.8275,0.6151,0.7213
17.7,0.0795,0.7004,0.3574,0.5567,0.3724,0.4645,0.7989,0.4352,0.6171,0.8237,0.6056,0.7146
17.8,0.0839,0.698,0.3804,0.5619,0.3791,0.4705,0.8012,0.4465,0.6238,0.8192,0.5972,0.7082
17.9,0.0805,0.6968,0.4075,0.5696,0.3915,0.4805,0.8025,0.4633,0.6329,0.8142,0.5911,0.7026
18,0.0697,0.6974,0.4377,0.5801,0.409,0.4946,0.8028,0.4852,0.644,0.8097,0.588,0.6988
18.1,0.0529,0.7005,0.4694,0.5935,0.4301,0.5118,0.802,0.5109,0.6565,0.8064,0.5883,0.6974
18.2,0.032,0.7057,0.5012,0.6084,0.4532,0.5308,0.8,0.5387,0.6693,0.8048,0.5917,0.6983
18.3,0.0089,0.7124,0.5321,0.6231,0.4769,0.55,0.7963,0.5668,0.6816,0.8045,0.5981,0.7013
18.4,-0.014,0.7197,0.5613,0.6365,0.4998,0.5681,0.7905,0.5938,0.6921,0.805,0.6073,0.7061
18.5,-0.0336,0.727,0.5887,0.6483,0.5207,0.5845,0.7825,0.6185,0.7005,0.8061,0.6195,0.7128
18.6,-0.0474,0.7339,0.6139,0.6591,0.5388,0.5989,0.7732,0.6403,0.7067,0.8074,0.6348,0.7211
18.7,-0.0545,0.7401,0.6366,0.6686,0.5537,0.6112,0.7628,0.6585,0.7106,0.8088,0.6525,0.7306
18.8,-0.056,0.7453,0.6564,0.6762,0.566,0.6211,0.7514,0.6728,0.7121,0.8097,0.6715,0.7406
18.9,-0.0536,0.7495,0.6739,0.681,0.5763,0.6287,0.7393,0.6836,0.7114,0.8099,0.6911,0.7505
19,-0.0488,0.7524,0.6897,0.6829,0.5853,0.6341,0.7267,0.6909,0.7088,0.8091,0.7104,0.7597
19.1,-0.0417,0.7537,0.7046,0.6816,0.5931,0.6373,0.7136,0.6949,0.7043,0.8066,0.7291,0.7678
19.2,-0.0315,0.7529,0.7187,0.6772,0.599,0.6381,0.7003,0.6956,0.698,0.8017,0.7466,0.7741
19.3,-0.0178,0.7499,0.7318,0.6699,0.6025,0.6362,0.6869,0.6933,0.6901,0.7939,0.7621,0.778
19.4,-0.0009,0.7446,0.7437,0.6606,0.6038,0.6322,0.6741,0.6883,0.6812,0.783,0.7748,0.7789
19.5,0.0192,0.7371,0.7538,0.6501,0.6029,0.6265,0.662,0.6809,0.6715,0.7695,0.7842,0.7768
19.6,0.0427,0.7271,0.7615,0.6384,0.5996,0.619,0.6508,0.671,0.6609,0.7543,0.7904,0.7724
19.7,0.0702,0.7142,0.7666,0.6251,0.5934,0.6093,0.6401,0.6591,0.6496,0.7386,0.7938,0.7662
19.8,0.1015,0.6981,0.7691,0.6099,0.5845,0.5972,0.6298,0.6461,0.6379,0.723,0.7945,0.7588
19.9,0.1359,0.6786,0.7688,0.5928,0.5733,0.5831,0.6197,0.6332,0.6265,0.7076,0.7926,0.7501
20,0.1727,0.656,0.7654,0.5743,0.56,0.5672,0.6097,0.6214,0.6155,0.692,0.7879,0.7399
20.1,0.2116,0.6308,0.7583,0.555,0.5445,0.5498,0.5996,0.611,0.6053,0.6761,0.7802,0.7281
20.2,0.2515,0.6033,0.7474,0.5351,0.5268,0.5309,0.5893,0.6022,0.5957,0.6604,0.7698,0.7151
20.3,0.2899,0.5741,0.7329,0.5144,0.5068,0.5106,0.579,0.5947,0.5869,0.6455,0.7567,0.7011
20.4,0.323,0.544,0.7149,0.493,0.4851,0.489,0.5691,0.5888,0.579,0.6314,0.7405,0.6859
20.5,0.3469,0.514,0.6935,0.4714,0.4622,0.4668,0.5597,0.5847,0.5722,0.6177,0.7205,0.6691
20.6,0.3593,0.485,0.6688,0.4504,0.4386,0.4445,0.5507,0.5823,0.5665,0.604,0.6967,0.6504
20.7,0.3598,0.4575,0.6409,0.431,0.4146,0.4228,0.5426,0.5814,0.562,0.5907,0.6695,0.6301
20.8,0.3491,0.4314,0.6105,0.4136,0.3902,0.4019,0.5358,0.5819,0.5589,0.5788,0.6399,0.6093
20.9,0.3278,0.407,0.5783,0.3982,0.3655,0.3818,0.5313,0.5836,0.5574,0.5692,0.6088,0.589
21,0.2967,0.3852,0.5452,0.3847,0.3405,0.3626,0.5295,0.5864,0.558,0.5621,0.5774,0.5698
21.1,0.2584,0.3668,0.5119,0.3734,0.3152,0.3443,0.5306,0.5901,0.5603,0.5574,0.5466,0.552
