Time,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC
4.9,-0.0218,0.7477,0.3406,0.5655,0.5775,0.5715,0.6608,0.5491,0.605,0.7424,0.6289,0.6857
5,-0.0262,0.7512,0.3566,0.5778,0.5965,0.5872,0.6728,0.5621,0.6174,0.7328,0.6157,0.6742
5.1,-0.0275,0.7502,0.3741,0.591,0.615,0.603,0.6831,0.5748,0.6289,0.7218,0.6049,0.6633
5.2,-0.0264,0.7447,0.3923,0.604,0.6322,0.6181,0.6907,0.5867,0.6387,0.7087,0.5961,0.6524
5.3,-0.0239,0.7346,0.4101,0.6153,0.6474,0.6314,0.6948,0.5974,0.6461,0.6932,0.5888,0.641
5.4,-0.0207,0.7206,0.4272,0.6241,0.6603,0.6422,0.6949,0.6066,0.6508,0.6753,0.5825,0.6289
5.5,-0.0175,0.7039,0.4428,0.6298,0.671,0.6504,0.6913,0.6144,0.6529,0.6558,0.5769,0.6163
5.6,-0.0147,0.6856,0.4569,0.6324,0.6797,0.6561,0.6849,0.6211,0.653,0.6355,0.5723,0.6039
5.7,-0.0118,0.6665,0.4698,0.6319,0.6864,0.6592,0.6765,0.6272,0.6518,0.6154,0.5691,0.5923
5.8,-0.0084,0.6471,0.4814,0.6284,0.6908,0.6596,0.6672,0.6327,0.6499,0.5964,0.5672,0.5818
5.9,-0.0057,0.6276,0.4913,0.6223,0.6929,0.6576,0.6577,0.6378,0.6478,0.5792,0.5664,0.5728
6,-0.0055,0.6087,0.4998,0.6141,0.6935,0.6538,0.649,0.6426,0.6458,0.5644,0.5663,0.5654
6.1,-0.0089,0.5915,0.5069,0.6046,0.6936,0.6491,0.6413,0.6471,0.6442,0.5522,0.5669,0.5595
6.2,-0.0155,0.577,0.5131,0.5945,0.6932,0.6438,0.6348,0.6512,0.643,0.5428,0.5682,0.5555
6.3,-0.0237,0.566,0.5184,0.5843,0.6919,0.6381,0.6294,0.6547,0.642,0.5365,0.5704,0.5535
6.4,-0.0319,0.5583,0.5226,0.5751,0.6889,0.632,0.6252,0.6576,0.6414,0.5334,0.5736,0.5535
6.5,-0.039,0.5535,0.5254,0.5673,0.6838,0.6255,0.6223,0.6596,0.6409,0.5331,0.5775,0.5553
6.6,-0.0443,0.5513,0.5267,0.5606,0.6766,0.6186,0.6198,0.6602,0.64,0.5355,0.5819,0.5587
6.7,-0.0476,0.5514,0.5269,0.5543,0.667,0.6107,0.6172,0.6589,0.638,0.5404,0.5868,0.5636
6.8,-0.049,0.5531,0.5266,0.5477,0.6549,0.6013,0.6137,0.6556,0.6346,0.548,0.5923,0.5701
6.9,-0.0481,0.5558,0.5262,0.5404,0.6401,0.5903,0.6091,0.6503,0.6297,0.5579,0.5983,0.5781
7,-0.0439,0.5585,0.5256,0.5324,0.6228,0.5776,0.6035,0.6433,0.6234,0.5693,0.604,0.5867
7.1,-0.0352,0.56,0.5248,0.5235,0.6032,0.5634,0.5966,0.6342,0.6154,0.5811,0.6088,0.5949
7.2,-0.0209,0.5596,0.5237,0.5136,0.5817,0.5477,0.5883,0.6229,0.6056,0.5926,0.6122,0.6024
7.3,-0.0009,0.5567,0.5224,0.5021,0.5582,0.5301,0.5789,0.6091,0.594,0.6032,0.6144,0.6088
7.4,0.024,0.5505,0.5207,0.4885,0.5327,0.5106,0.5683,0.5926,0.5804,0.6127,0.6158,0.6143
7.5,0.0527,0.5408,0.5186,0.473,0.5053,0.4892,0.5566,0.5738,0.5652,0.6211,0.6167,0.6189
7.6,0.0846,0.5276,0.5159,0.4561,0.4769,0.4665,0.5437,0.5533,0.5485,0.6279,0.617,0.6224
7.7,0.1198,0.5116,0.5131,0.4386,0.4485,0.4436,0.5296,0.532,0.5308,0.6327,0.6165,0.6246
7.8,0.1585,0.4934,0.5106,0.4216,0.421,0.4213,0.5141,0.5102,0.5122,0.6352,0.6149,0.625
7.9,0.201,0.4734,0.5086,0.4058,0.3946,0.4002,0.4975,0.4887,0.4931,0.6348,0.6118,0.6233
8,0.2468,0.4519,0.5071,0.3921,0.3697,0.3809,0.4804,0.4683,0.4744,0.6318,0.6073,0.6195
8.1,0.2948,0.4293,0.5062,0.381,0.3469,0.3639,0.4641,0.4499,0.457,0.6264,0.6014,0.6139
8.2,0.3434,0.4061,0.5059,0.3723,0.3272,0.3497,0.4494,0.4344,0.4419,0.6195,0.5944,0.6069
8.3,0.39,0.3828,0.5067,0.3653,0.3111,0.3382,0.4369,0.4226,0.4298,0.6112,0.5867,0.599
8.4,0.4309,0.3595,0.5094,0.3592,0.2988,0.329,0.4269,0.4148,0.4208,0.6021,0.5791,0.5906
8.5,0.4633,0.3365,0.5143,0.3532,0.2903,0.3217,0.4194,0.4112,0.4153,0.5925,0.5723,0.5824
8.6,0.4863,0.3153,0.5218,0.3475,0.2858,0.3166,0.4151,0.4124,0.4137,0.5832,0.5667,0.5749
8.7,0.5004,0.2975,0.5318,0.343,0.2859,0.3144,0.4143,0.4186,0.4165,0.5747,0.5628,0.5688
8.8,0.5061,0.2847,0.5444,0.3409,0.2911,0.316,0.4174,0.4302,0.4238,0.5675,0.5611,0.5643
8.9,0.5033,0.2783,0.5592,0.342,0.3014,0.3217,0.4246,0.4473,0.436,0.5618,0.5619,0.5619
9,0.4918,0.2785,0.5756,0.3465,0.3156,0.331,0.4357,0.4697,0.4527,0.5575,0.5651,0.5613
9.1,0.4722,0.285,0.5929,0.3542,0.3323,0.3432,0.4501,0.4963,0.4732,0.5546,0.5703,0.5625
9.2,0.4457,0.2973,0.6101,0.3644,0.3497,0.3571,0.4665,0.5252,0.4958,0.5529,0.577,0.565
9.3,0.4138,0.3146,0.6269,0.3762,0.3667,0.3714,0.4837,0.5549,0.5193,0.5524,0.5849,0.5686
9.4,0.3777,0.3358,0.6432,0.3886,0.3826,0.3856,0.5005,0.5842,0.5424,0.5529,0.5937,0.5733
9.5,0.3395,0.3598,0.6592,0.4008,0.3971,0.399,0.5161,0.6127,0.5644,0.5546,0.6033,0.579
9.6,0.3011,0.3848,0.6744,0.4121,0.4099,0.411,0.5298,0.6397,0.5847,0.5578,0.6138,0.5858
9.7,0.2645,0.4092,0.6887,0.4219,0.4209,0.4214,0.541,0.6647,0.6029,0.5632,0.6253,0.5943
9.8,0.2308,0.4318,0.7022,0.4294,0.4305,0.43,0.5495,0.6872,0.6184,0.5712,0.6378,0.6045
9.9,0.2003,0.452,0.7151,0.4342,0.439,0.4366,0.5554,0.7069,0.6311,0.582,0.6511,0.6165
10,0.1724,0.4695,0.7267,0.4364,0.4466,0.4415,0.5585,0.7236,0.6411,0.5955,0.6647,0.6301
10.1,0.1466,0.4843,0.7359,0.4363,0.4532,0.4448,0.5595,0.737,0.6482,0.6111,0.6782,0.6446
10.2,0.1225,0.4962,0.7417,0.435,0.459,0.447,0.5586,0.7467,0.6526,0.6276,0.6906,0.6591
10.3,0.0996,0.5056,0.7438,0.433,0.4647,0.4488,0.5565,0.7523,0.6544,0.6433,0.7009,0.6721
10.4,0.0774,0.513,0.7425,0.4311,0.4707,0.4509,0.5539,0.7543,0.6541,0.6569,0.7085,0.6827
10.5,0.055,0.5196,0.7382,0.4304,0.4777,0.4541,0.5515,0.753,0.6522,0.6682,0.714,0.6911
10.6,0.0318,0.5262,0.7316,0.4317,0.4861,0.4589,0.55,0.7493,0.6496,0.6775,0.7181,0.6978
10.7,0.0069,0.5331,0.7231,0.4351,0.4953,0.4652,0.5497,0.7436,0.6467,0.685,0.7212,0.7031
10.8,-0.0199,0.5399,0.7133,0.4406,0.5048,0.4727,0.5507,0.7366,0.6436,0.6907,0.7235,0.7071
10.9,-0.0482,0.5463,0.7032,0.4477,0.5144,0.4811,0.5528,0.729,0.6409,0.6943,0.7246,0.7094
11,-0.0771,0.5523,0.6937,0.4564,0.5243,0.4903,0.5564,0.722,0.6392,0.6953,0.7245,0.7099
11.1,-0.1051,0.5578,0.6857,0.4668,0.5343,0.5005,0.5616,0.7164,0.639,0.6938,0.7233,0.7086
11.2,-0.1306,0.5626,0.6796,0.4788,0.5441,0.5114,0.5686,0.7128,0.6407,0.6902,0.7218,0.706
11.3,-0.1528,0.566,0.6752,0.4919,0.5531,0.5225,0.5777,0.7113,0.6445,0.6854,0.7207,0.703
11.4,-0.1711,0.5678,0.6725,0.5052,0.5611,0.5332,0.5888,0.7122,0.6505,0.6802,0.7208,0.7005
11.5,-0.1855,0.5681,0.6713,0.5181,0.5681,0.5431,0.602,0.7155,0.6587,0.6755,0.7228,0.6991
11.6,-0.1956,0.5671,0.6718,0.5302,0.5742,0.5522,0.6165,0.7212,0.6688,0.6715,0.7269,0.6992
11.7,-0.2006,0.5654,0.6741,0.5418,0.5795,0.5606,0.6315,0.7288,0.6801,0.6682,0.7333,0.7008
11.8,-0.1996,0.5632,0.6781,0.5532,0.5835,0.5684,0.6463,0.7375,0.6919,0.6656,0.7417,0.7036
11.9,-0.1919,0.5606,0.6837,0.5647,0.5863,0.5755,0.6607,0.7468,0.7038,0.6635,0.7515,0.7075
12,-0.1774,0.5581,0.6904,0.5764,0.5882,0.5823,0.6747,0.7567,0.7157,0.662,0.7622,0.7121
12.1,-0.1572,0.5558,0.6981,0.5884,0.5899,0.5891,0.6879,0.767,0.7274,0.6613,0.7736,0.7175
12.2,-0.1328,0.554,0.7063,0.6004,0.5918,0.5961,0.7,0.7773,0.7387,0.6613,0.7856,0.7235
12.3,-0.1057,0.5532,0.7145,0.6123,0.5943,0.6033,0.7105,0.7873,0.7489,0.6622,0.7978,0.73
12.4,-0.0769,0.5536,0.7224,0.624,0.5973,0.6106,0.7193,0.7963,0.7578,0.6639,0.8101,0.737
12.5,-0.0471,0.5556,0.7305,0.636,0.6014,0.6187,0.7263,0.8041,0.7652,0.6663,0.8222,0.7443
12.6,-0.0178,0.56,0.7393,0.6486,0.6075,0.628,0.7316,0.8112,0.7714,0.6695,0.8341,0.7518
12.7,0.0094,0.5669,0.7492,0.6618,0.6159,0.6389,0.7354,0.818,0.7767,0.6735,0.8459,0.7597
12.8,0.0332,0.5762,0.7596,0.6752,0.6268,0.651,0.7378,0.825,0.7814,0.6785,0.8574,0.7679
12.9,0.0523,0.5875,0.7695,0.6878,0.6397,0.6638,0.739,0.8317,0.7853,0.6849,0.8689,0.7769
13,0.0652,0.6008,0.7784,0.6991,0.6542,0.6767,0.7388,0.8376,0.7882,0.6934,0.8806,0.787
13.1,0.0704,0.6158,0.7864,0.7086,0.67,0.6893,0.7373,0.8422,0.7897,0.7041,0.8927,0.7984
13.2,0.0671,0.6326,0.7936,0.7166,0.6868,0.7017,0.7346,0.8452,0.7899,0.7168,0.9047,0.8107
13.3,0.0558,0.651,0.7997,0.7232,0.7041,0.7137,0.731,0.8463,0.7887,0.7304,0.9157,0.823
13.4,0.038,0.6707,0.8039,0.7287,0.7214,0.7251,0.7265,0.845,0.7857,0.7441,0.9248,0.8345
13.5,0.0157,0.691,0.8064,0.7332,0.7383,0.7358,0.7209,0.8409,0.7809,0.7577,0.9315,0.8446
13.6,-0.0098,0.711,0.8086,0.7362,0.7548,0.7455,0.7144,0.8345,0.7745,0.771,0.9359,0.8535
13.7,-0.0381,0.7301,0.8124,0.7375,0.771,0.7542,0.7073,0.8269,0.7671,0.7844,0.9392,0.8618
13.8,-0.0685,0.7475,0.8186,0.7365,0.7864,0.7615,0.7003,0.8188,0.7595,0.7985,0.9424,0.8705
13.9,-0.1001,0.7621,0.8267,0.733,0.8004,0.7667,0.6941,0.8106,0.7523,0.8137,0.9464,0.8801
14,-0.1315,0.7727,0.8356,0.7264,0.812,0.7692,0.689,0.8022,0.7456,0.8298,0.951,0.8904
14.1,-0.1618,0.7784,0.8441,0.7163,0.8204,0.7684,0.6852,0.7934,0.7393,0.8461,0.9551,0.9006
14.2,-0.1899,0.7785,0.8522,0.7026,0.8252,0.7639,0.6825,0.7848,0.7336,0.8617,0.958,0.9099
14.3,-0.2147,0.7729,0.8599,0.6856,0.8263,0.756,0.6806,0.777,0.7288,0.8759,0.9596,0.9178
14.4,-0.2341,0.7616,0.8674,0.6658,0.8236,0.7447,0.6791,0.7704,0.7248,0.8882,0.9599,0.9241
14.5,-0.2456,0.7443,0.8744,0.6439,0.8166,0.7303,0.6776,0.7646,0.7211,0.8986,0.9587,0.9287
14.6,-0.2483,0.7211,0.8804,0.6203,0.8053,0.7128,0.6759,0.7591,0.7175,0.907,0.9559,0.9315
14.7,-0.2429,0.6923,0.8855,0.5953,0.7902,0.6928,0.674,0.7538,0.7139,0.9128,0.9514,0.9321
14.8,-0.2317,0.6587,0.8899,0.5696,0.7727,0.6712,0.6716,0.7486,0.7101,0.9156,0.9446,0.9301
14.9,-0.2172,0.6218,0.8937,0.5447,0.7545,0.6496,0.6688,0.744,0.7064,0.9149,0.9351,0.925
