Time,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC
2.8,0.6266,0.6276,0.4192,0.7354,0.641,0.6882,0.4762,0.7085,0.5924,0.4218,0.6057,0.5138
2.9,0.6175,0.6134,0.3905,0.7339,0.6319,0.6829,0.4467,0.6854,0.5661,0.4011,0.5864,0.4937
3,0.6042,0.5992,0.3637,0.7335,0.6254,0.6794,0.4169,0.6607,0.5388,0.3795,0.5658,0.4726
3.1,0.5875,0.5849,0.34,0.7342,0.6212,0.6777,0.3883,0.6351,0.5117,0.3575,0.5447,0.4511
3.2,0.5683,0.5706,0.3206,0.7362,0.6193,0.6777,0.3621,0.6091,0.4856,0.3359,0.5237,0.4298
3.3,0.547,0.5564,0.3061,0.7393,0.6199,0.6796,0.3389,0.584,0.4614,0.3157,0.5039,0.4098
3.4,0.5224,0.5429,0.297,0.7434,0.6237,0.6836,0.3192,0.5607,0.4399,0.2982,0.4863,0.3922
3.5,0.4933,0.5311,0.2935,0.7487,0.6313,0.69,0.3037,0.5402,0.422,0.2844,0.4717,0.378
3.6,0.4597,0.5221,0.2951,0.7558,0.6431,0.6994,0.2936,0.523,0.4083,0.2748,0.4606,0.3677
3.7,0.424,0.5174,0.301,0.7653,0.6589,0.7121,0.289,0.5096,0.3993,0.2689,0.4527,0.3608
3.8,0.3887,0.5181,0.3098,0.7779,0.6777,0.7278,0.2896,0.4996,0.3946,0.2655,0.4471,0.3563
3.9,0.3556,0.5242,0.3205,0.7933,0.6978,0.7455,0.2944,0.4928,0.3936,0.2633,0.4426,0.3529
4,0.3252,0.5351,0.3324,0.8111,0.7171,0.7641,0.3031,0.4889,0.396,0.2606,0.4383,0.3495
4.1,0.298,0.5498,0.3449,0.8304,0.7347,0.7826,0.3154,0.4877,0.4016,0.257,0.4344,0.3457
4.2,0.2743,0.5675,0.3579,0.8497,0.7505,0.8001,0.3313,0.4896,0.4104,0.2527,0.4317,0.3422
4.3,0.2531,0.5869,0.3714,0.8674,0.7651,0.8162,0.3502,0.4944,0.4223,0.2481,0.4306,0.3394
4.4,0.2312,0.6069,0.3855,0.8827,0.7791,0.8309,0.3712,0.5022,0.4367,0.243,0.4311,0.337
4.5,0.2057,0.6268,0.4002,0.896,0.7927,0.8443,0.3938,0.5135,0.4536,0.2366,0.4323,0.3345
4.6,0.1769,0.6463,0.4155,0.9083,0.8052,0.8568,0.4174,0.529,0.4732,0.229,0.4343,0.3316
4.7,0.1471,0.6655,0.4312,0.9209,0.8162,0.8685,0.4423,0.5491,0.4957,0.2212,0.4374,0.3293
4.8,0.119,0.6848,0.4476,0.9345,0.8254,0.8799,0.4685,0.5738,0.5212,0.2142,0.4419,0.3281
4.9,0.0942,0.7045,0.4646,0.9492,0.8332,0.8912,0.4953,0.602,0.5486,0.2085,0.4475,0.328
5,0.0738,0.7245,0.4819,0.9649,0.8399,0.9024,0.5209,0.6318,0.5764,0.2033,0.4532,0.3282
5.1,0.0589,0.7445,0.4982,0.9813,0.846,0.9136,0.5437,0.6614,0.6026,0.1976,0.4578,0.3277
5.2,0.0506,0.7638,0.5127,0.9979,0.8514,0.9247,0.5626,0.6892,0.6259,0.1913,0.4611,0.3262
5.3,0.049,0.7816,0.5248,1.0138,0.8561,0.9349,0.5765,0.7141,0.6453,0.1847,0.463,0.3238
5.4,0.0524,0.797,0.5343,1.0272,0.8597,0.9435,0.5847,0.7353,0.66,0.1781,0.4632,0.3206
5.5,0.0574,0.8098,0.5415,1.0366,0.862,0.9493,0.5863,0.752,0.6692,0.1711,0.4613,0.3162
5.6,0.0617,0.82,0.5461,1.0406,0.8628,0.9517,0.5811,0.7637,0.6724,0.1639,0.4576,0.3107
5.7,0.0645,0.8275,0.5472,1.0386,0.8618,0.9502,0.5692,0.7697,0.6695,0.1568,0.4529,0.3048
5.8,0.0668,0.8318,0.5438,1.0306,0.8587,0.9447,0.5514,0.7693,0.6603,0.1501,0.4478,0.299
5.9,0.0695,0.8326,0.5358,1.0167,0.8538,0.9352,0.5285,0.7621,0.6453,0.1448,0.4431,0.2939
6,0.073,0.8298,0.5237,0.9978,0.8471,0.9225,0.5014,0.7488,0.6251,0.1416,0.4388,0.2902
6.1,0.0767,0.8235,0.5078,0.9747,0.8389,0.9068,0.471,0.7305,0.6007,0.1413,0.435,0.2882
6.2,0.0809,0.8138,0.4889,0.948,0.8292,0.8886,0.4384,0.7086,0.5735,0.1445,0.4321,0.2883
6.3,0.0866,0.8014,0.468,0.9182,0.8177,0.868,0.405,0.6851,0.545,0.1515,0.4307,0.2911
6.4,0.0959,0.7871,0.4468,0.8861,0.8049,0.8455,0.372,0.662,0.517,0.1629,0.4317,0.2973
6.5,0.1092,0.7722,0.427,0.8525,0.7915,0.822,0.3409,0.6409,0.4909,0.1794,0.4358,0.3076
6.6,0.1259,0.7579,0.4099,0.8186,0.7785,0.7986,0.313,0.6228,0.4679,0.2011,0.443,0.3221
6.7,0.1445,0.7453,0.3957,0.7857,0.7664,0.7761,0.2896,0.6078,0.4487,0.2266,0.4527,0.3397
6.8,0.1635,0.735,0.3841,0.755,0.7557,0.7554,0.2717,0.5957,0.4337,0.2542,0.4638,0.359
6.9,0.182,0.7273,0.3748,0.7276,0.747,0.7373,0.26,0.5858,0.4229,0.2827,0.4756,0.3791
7,0.2002,0.7222,0.3682,0.7041,0.7405,0.7223,0.2547,0.578,0.4164,0.3113,0.4869,0.3991
7.1,0.2171,0.7197,0.3647,0.6844,0.7364,0.7104,0.2558,0.5722,0.414,0.3396,0.497,0.4183
7.2,0.2311,0.7192,0.3645,0.6681,0.7343,0.7012,0.2634,0.5683,0.4159,0.3668,0.5051,0.436
7.3,0.2412,0.7204,0.3677,0.6551,0.734,0.6945,0.2776,0.5663,0.4219,0.3924,0.5117,0.452
7.4,0.2479,0.7232,0.3743,0.6456,0.7354,0.6905,0.2986,0.5662,0.4324,0.416,0.5173,0.4667
7.5,0.2527,0.7278,0.3846,0.6401,0.7394,0.6898,0.3262,0.5684,0.4473,0.4378,0.5229,0.4803
7.6,0.2572,0.7342,0.3989,0.6391,0.746,0.6926,0.3593,0.5728,0.466,0.4578,0.5284,0.4931
7.7,0.2621,0.7423,0.4168,0.6423,0.755,0.6987,0.3967,0.579,0.4878,0.4757,0.5331,0.5044
7.8,0.2671,0.7513,0.4374,0.6495,0.7652,0.7074,0.4369,0.5865,0.5117,0.491,0.5367,0.5138
7.9,0.2726,0.7603,0.4593,0.6599,0.7751,0.7175,0.4786,0.5941,0.5364,0.5033,0.5394,0.5213
8,0.2793,0.7684,0.4816,0.6728,0.7836,0.7282,0.5198,0.6013,0.5606,0.5123,0.5419,0.5271
8.1,0.288,0.7748,0.5034,0.6871,0.7902,0.7386,0.5588,0.6076,0.5832,0.5177,0.5447,0.5312
8.2,0.2982,0.779,0.5238,0.7015,0.7944,0.748,0.5938,0.6127,0.6033,0.5192,0.5473,0.5333
8.3,0.3085,0.7802,0.5419,0.7146,0.796,0.7553,0.6236,0.6165,0.62,0.5168,0.5495,0.5332
8.4,0.3181,0.778,0.5571,0.7251,0.7946,0.7599,0.6471,0.6186,0.6329,0.5111,0.5515,0.5313
8.5,0.326,0.7725,0.5689,0.7321,0.7901,0.7611,0.6642,0.6192,0.6417,0.503,0.5538,0.5284
8.6,0.3319,0.7638,0.5772,0.7345,0.7824,0.7584,0.6746,0.6183,0.6464,0.4932,0.5566,0.5249
8.7,0.3352,0.752,0.5816,0.7316,0.7708,0.7512,0.6783,0.616,0.6471,0.4819,0.5594,0.5207
8.8,0.3358,0.7371,0.5818,0.7234,0.7552,0.7393,0.6757,0.6124,0.6441,0.4693,0.5617,0.5155
8.9,0.3344,0.7193,0.5779,0.7111,0.7356,0.7233,0.6676,0.6078,0.6377,0.4559,0.5637,0.5098
9,0.3331,0.6992,0.5702,0.696,0.713,0.7045,0.6547,0.6027,0.6287,0.4431,0.5662,0.5047
9.1,0.3341,0.6774,0.5592,0.6796,0.6881,0.6839,0.6381,0.5977,0.6179,0.4327,0.5701,0.5014
9.2,0.3382,0.6549,0.5451,0.6624,0.662,0.6622,0.6181,0.5926,0.6053,0.4254,0.5756,0.5005
9.3,0.3449,0.6323,0.5277,0.6447,0.635,0.6399,0.5953,0.5869,0.5911,0.4219,0.5825,0.5022
9.4,0.3534,0.6103,0.5072,0.6266,0.608,0.6173,0.5698,0.58,0.5749,0.4217,0.5905,0.5061
9.5,0.3628,0.5894,0.4843,0.6084,0.5818,0.5951,0.542,0.5721,0.5571,0.4242,0.5997,0.512
9.6,0.3723,0.5706,0.4602,0.5906,0.5574,0.574,0.5134,0.5638,0.5386,0.4294,0.61,0.5197
9.7,0.3811,0.555,0.4367,0.5735,0.5358,0.5546,0.4853,0.5555,0.5204,0.4371,0.6212,0.5292
9.8,0.3886,0.5435,0.4153,0.5572,0.518,0.5376,0.4595,0.5475,0.5035,0.4469,0.633,0.5399
9.9,0.3948,0.537,0.3966,0.5421,0.5048,0.5234,0.4364,0.5395,0.488,0.4576,0.6441,0.5509
10,0.3997,0.5358,0.3807,0.5279,0.4962,0.5121,0.4163,0.5313,0.4738,0.4676,0.6535,0.5605
10.1,0.4025,0.5394,0.367,0.5145,0.4919,0.5032,0.3987,0.5231,0.4609,0.476,0.6601,0.568
10.2,0.4026,0.547,0.3552,0.5013,0.4912,0.4962,0.3836,0.5154,0.4495,0.4832,0.6637,0.5734
10.3,0.4,0.558,0.3454,0.4883,0.4934,0.4908,0.3711,0.5083,0.4397,0.4895,0.6644,0.577
10.4,0.3956,0.5719,0.3378,0.4758,0.4982,0.487,0.3609,0.5021,0.4315,0.4949,0.6621,0.5785
10.5,0.3896,0.5881,0.3323,0.464,0.5052,0.4846,0.3527,0.4968,0.4248,0.4981,0.6565,0.5773
10.6,0.3809,0.6057,0.3285,0.453,0.514,0.4835,0.3459,0.4927,0.4193,0.498,0.6475,0.5727
10.7,0.3685,0.6233,0.3258,0.4426,0.524,0.4833,0.3406,0.49,0.4153,0.4946,0.6355,0.5651
10.8,0.3522,0.64,0.3241,0.4326,0.5348,0.4837,0.3369,0.4888,0.4129,0.4885,0.6216,0.555
10.9,0.3322,0.6551,0.3238,0.4234,0.5459,0.4846,0.3351,0.489,0.4121,0.4799,0.6061,0.543
11,0.3091,0.6681,0.3251,0.4154,0.5567,0.4861,0.3346,0.4905,0.4126,0.4689,0.589,0.529
11.1,0.2831,0.6786,0.3274,0.409,0.5668,0.4879,0.335,0.4933,0.4141,0.4555,0.5702,0.5128
11.2,0.2546,0.6864,0.33,0.4046,0.5759,0.4902,0.3364,0.4977,0.4171,0.4405,0.5505,0.4955
11.3,0.2248,0.6918,0.3328,0.4022,0.5843,0.4933,0.3391,0.5045,0.4218,0.4254,0.5309,0.4781
11.4,0.1958,0.6951,0.3364,0.4022,0.5925,0.4973,0.343,0.5144,0.4287,0.411,0.5121,0.4615
11.5,0.1696,0.6963,0.3415,0.4043,0.6007,0.5025,0.3481,0.5277,0.4379,0.3976,0.4942,0.4459
11.6,0.1471,0.6953,0.3477,0.4082,0.6085,0.5084,0.354,0.544,0.449,0.3853,0.4767,0.431
11.7,0.1297,0.6919,0.3546,0.4136,0.6156,0.5146,0.3602,0.5624,0.4613,0.3744,0.4597,0.4171
11.8,0.1195,0.686,0.3618,0.4202,0.6223,0.5212,0.3663,0.5818,0.474,0.3655,0.4436,0.4046
11.9,0.1183,0.6777,0.369,0.428,0.6287,0.5283,0.3716,0.601,0.4863,0.359,0.4288,0.3939
12,0.1266,0.6673,0.376,0.4371,0.6348,0.536,0.3762,0.6189,0.4976,0.3551,0.4153,0.3852
12.1,0.143,0.6547,0.3828,0.4479,0.6405,0.5442,0.3809,0.6348,0.5079,0.3549,0.404,0.3794
12.2,0.1663,0.6408,0.3892,0.4608,0.6454,0.5531,0.387,0.6484,0.5177,0.3594,0.3962,0.3778
12.3,0.1952,0.6265,0.3952,0.4761,0.6495,0.5628,0.3948,0.6589,0.5269,0.3692,0.3929,0.381
12.4,0.2282,0.6128,0.3996,0.4929,0.6531,0.573,0.404,0.6652,0.5346,0.3834,0.3939,0.3886
12.5,0.2631,0.5999,0.4014,0.5104,0.6562,0.5833,0.4137,0.666,0.5399,0.3998,0.3978,0.3988
12.6,0.2975,0.588,0.3997,0.5272,0.6589,0.593,0.4233,0.6608,0.542,0.4163,0.403,0.4096
12.7,0.3292,0.5774,0.3949,0.5427,0.6618,0.6022,0.4327,0.6505,0.5416,0.4315,0.4086,0.4201
12.8,0.3559,0.5687,0.3881,0.5567,0.6657,0.6112,0.442,0.637,0.5395,0.445,0.4141,0.4296
12.9,0.3754,0.563,0.3806,0.5693,0.6716,0.6204,0.4511,0.6219,0.5365,0.4565,0.4191,0.4378
13,0.3868,0.5611,0.3736,0.5807,0.6799,0.6303,0.4599,0.6063,0.5331,0.4657,0.4229,0.4443
13.1,0.3906,0.5634,0.3677,0.5912,0.6905,0.6409,0.468,0.5905,0.5292,0.4723,0.4253,0.4488
13.2,0.3889,0.5699,0.3634,0.601,0.703,0.652,0.4747,0.5746,0.5246,0.4764,0.426,0.4512
13.3,0.3829,0.58,0.3613,0.6099,0.7168,0.6634,0.4792,0.5591,0.5192,0.4782,0.425,0.4516
13.4,0.3725,0.5929,0.3616,0.6173,0.7313,0.6743,0.4808,0.5449,0.5128,0.4778,0.4223,0.4501
13.5,0.3564,0.6074,0.3652,0.6221,0.7457,0.6839,0.4791,0.5322,0.5056,0.4756,0.418,0.4468
13.6,0.3349,0.6226,0.3725,0.6239,0.7595,0.6917,0.4737,0.5208,0.4973,0.4712,0.4121,0.4417
13.7,0.3094,0.6378,0.384,0.6229,0.7723,0.6976,0.4642,0.5108,0.4875,0.4641,0.404,0.4341
13.8,0.282,0.6527,0.4001,0.6197,0.7839,0.7018,0.4505,0.5022,0.4763,0.4534,0.3928,0.4231
13.9,0.2538,0.6671,0.42,0.6148,0.7942,0.7045,0.4324,0.4954,0.4639,0.4386,0.3779,0.4082
14,0.2254,0.6807,0.4427,0.6083,0.8029,0.7056,0.4107,0.4905,0.4506,0.4197,0.3593,0.3895
14.1,0.1985,0.6928,0.4669,0.6002,0.8096,0.7049,0.3865,0.4874,0.437,0.3977,0.3383,0.368
14.2,0.1747,0.703,0.4915,0.5908,0.814,0.7024,0.3614,0.4859,0.4236,0.3737,0.3157,0.3447
14.3,0.1556,0.7106,0.5152,0.5805,0.8159,0.6982,0.336,0.4856,0.4108,0.3486,0.2915,0.32
14.4,0.1407,0.7154,0.5366,0.5691,0.8149,0.692,0.3109,0.4868,0.3988,0.3237,0.2662,0.2949
14.5,0.1287,0.7174,0.5553,0.5567,0.8113,0.684,0.2866,0.4899,0.3883,0.3006,0.2407,0.2707
14.6,0.1185,0.7166,0.5714,0.5435,0.8051,0.6743,0.2639,0.4952,0.3795,0.2804,0.2163,0.2484
14.7,0.1104,0.7129,0.5854,0.5299,0.7965,0.6632,0.2433,0.5021,0.3727,0.2634,0.1936,0.2285
14.8,0.1058,0.7061,0.5975,0.5167,0.7852,0.651,0.2248,0.5098,0.3673,0.2492,0.1728,0.211
14.9,0.1059,0.6962,0.6067,0.5047,0.771,0.6379,0.2086,0.5172,0.3629,0.2374,0.1537,0.1955
15,0.1115,0.6834,0.6124,0.4948,0.7542,0.6245,0.1948,0.5239,0.3593,0.2279,0.1365,0.1822
15.1,0.1233,0.6686,0.6144,0.4878,0.7358,0.6118,0.1838,0.5298,0.3568,0.2211,0.1219,0.1715
15.2,0.1418,0.6521,0.613,0.484,0.7169,0.6005,0.1763,0.5348,0.3555,0.2168,0.1102,0.1635
15.3,0.1675,0.6347,0.6083,0.4834,0.698,0.5907,0.1729,0.5385,0.3557,0.2144,0.101,0.1577
15.4,0.1998,0.6164,0.5999,0.4857,0.6791,0.5824,0.1736,0.5404,0.357,0.213,0.0933,0.1531
15.5,0.2377,0.5976,0.5872,0.4904,0.6598,0.5751,0.1779,0.5397,0.3588,0.212,0.0867,0.1494
15.6,0.2806,0.5785,0.5697,0.4973,0.6402,0.5688,0.1853,0.536,0.3606,0.2103,0.0807,0.1455
15.7,0.328,0.5593,0.5474,0.5063,0.6205,0.5634,0.1946,0.529,0.3618,0.2065,0.0747,0.1406
15.8,0.3787,0.5402,0.5201,0.5167,0.6011,0.5589,0.2052,0.519,0.3621,0.2,0.0681,0.134
15.9,0.4307,0.5216,0.4878,0.5281,0.5827,0.5554,0.2166,0.5068,0.3617,0.1909,0.0612,0.126
16,0.4815,0.5047,0.4516,0.5402,0.5663,0.5533,0.2284,0.4934,0.3609,0.1802,0.0546,0.1174
16.1,0.5293,0.4903,0.413,0.5528,0.5529,0.5528,0.24,0.4799,0.3599,0.1693,0.049,0.1092
16.2,0.5729,0.4789,0.3736,0.5657,0.5425,0.5541,0.2512,0.467,0.3591,0.1586,0.0451,0.1019
16.3,0.612,0.4704,0.3345,0.579,0.5351,0.557,0.2618,0.4551,0.3584,0.1482,0.0428,0.0955
16.4,0.6459,0.4646,0.2961,0.592,0.5303,0.5612,0.2719,0.4445,0.3582,0.1378,0.0424,0.0901
16.5,0.6736,0.4614,0.2584,0.6044,0.528,0.5662,0.2819,0.436,0.3589,0.1275,0.044,0.0857
16.6,0.6931,0.4608,0.2217,0.6157,0.5279,0.5718,0.2916,0.4302,0.3609,0.1174,0.0477,0.0826
16.7,0.7029,0.4627,0.187,0.6255,0.5296,0.5775,0.3012,0.4279,0.3646,0.1079,0.0533,0.0806
16.8,0.7021,0.4669,0.1552,0.6333,0.5323,0.5828,0.3109,0.429,0.3699,0.099,0.0606,0.0798
16.9,0.691,0.4726,0.1268,0.6391,0.5349,0.587,0.3207,0.4326,0.3766,0.0907,0.0706,0.0806
17,0.6702,0.4794,0.102,0.6432,0.5371,0.5902,0.3309,0.4376,0.3843,0.0837,0.0843,0.084
17.1,0.6404,0.4872,0.0806,0.6456,0.539,0.5923,0.3424,0.4434,0.3929,0.0787,0.1028,0.0907
17.2,0.6023,0.496,0.0624,0.6466,0.5411,0.5938,0.3552,0.4501,0.4026,0.0761,0.1259,0.101
17.3,0.5572,0.5056,0.0479,0.6461,0.5439,0.595,0.3689,0.4582,0.4136,0.0755,0.153,0.1143
17.4,0.5063,0.5159,0.0375,0.6446,0.5478,0.5962,0.3832,0.4683,0.4257,0.076,0.1835,0.1297
17.5,0.4511,0.527,0.032,0.6428,0.5531,0.598,0.3973,0.4805,0.4389,0.0767,0.2167,0.1467
17.6,0.3928,0.539,0.032,0.6415,0.5599,0.6007,0.4104,0.4938,0.4521,0.0774,0.2511,0.1642
17.7,0.3323,0.5521,0.039,0.6409,0.5674,0.6042,0.4212,0.5069,0.464,0.0778,0.2844,0.1811
17.8,0.2712,0.5661,0.0541,0.6409,0.5752,0.6081,0.4281,0.5184,0.4732,0.0773,0.3143,0.1958
17.9,0.2113,0.5808,0.078,0.6419,0.583,0.6124,0.4299,0.5273,0.4786,0.0748,0.3393,0.207
18,0.155,0.596,0.1093,0.6441,0.591,0.6176,0.4264,0.5331,0.4798,0.069,0.3587,0.2139
18.1,0.104,0.6117,0.1454,0.6479,0.5998,0.6238,0.4176,0.5356,0.4766,0.0599,0.3728,0.2163
18.2,0.0593,0.6279,0.1834,0.6534,0.6092,0.6313,0.404,0.5349,0.4695,0.0476,0.382,0.2148
18.3,0.0209,0.6445,0.2212,0.6607,0.6194,0.64,0.3859,0.5314,0.4587,0.0324,0.3866,0.2095
18.4,-0.0115,0.6613,0.2578,0.6696,0.6302,0.6499,0.3634,0.5258,0.4446,0.0145,0.3864,0.2005
18.5,-0.038,0.6779,0.293,0.68,0.6418,0.6609,0.3368,0.5185,0.4277,-0.0057,0.3819,0.1881
18.6,-0.0589,0.6939,0.3264,0.6913,0.654,0.6726,0.307,0.5101,0.4085,-0.0267,0.3739,0.1736
18.7,-0.0746,0.7091,0.3577,0.7031,0.6665,0.6848,0.2751,0.5012,0.3881,-0.0462,0.3636,0.1587
18.8,-0.0856,0.7233,0.3869,0.7152,0.6789,0.697,0.2424,0.4925,0.3674,-0.0628,0.3524,0.1448
18.9,-0.0925,0.736,0.4144,0.7276,0.6905,0.709,0.2101,0.4847,0.3474,-0.0758,0.3411,0.1327
19,-0.095,0.747,0.4406,0.7402,0.7014,0.7208,0.1795,0.4788,0.3291,-0.0853,0.33,0.1223
19.1,-0.0928,0.7557,0.4655,0.7531,0.7119,0.7325,0.1517,0.475,0.3134,-0.0914,0.319,0.1138
19.2,-0.0855,0.7624,0.4889,0.7669,0.7222,0.7446,0.128,0.4738,0.3009,-0.0935,0.3079,0.1072
19.3,-0.0732,0.7673,0.5111,0.7817,0.7323,0.757,0.1093,0.4752,0.2922,-0.0909,0.2973,0.1032
19.4,-0.0564,0.7708,0.533,0.7975,0.7418,0.7696,0.0965,0.4795,0.288,-0.0831,0.2876,0.1022
19.5,-0.0359,0.7733,0.5549,0.8137,0.7504,0.7821,0.0902,0.487,0.2886,-0.0701,0.2787,0.1043
19.6,-0.0128,0.7746,0.5766,0.8299,0.7584,0.7942,0.0912,0.498,0.2946,-0.0525,0.2704,0.1089
19.7,0.0114,0.7749,0.5975,0.8452,0.7663,0.8058,0.0995,0.5123,0.3059,-0.0308,0.2624,0.1158
19.8,0.0352,0.774,0.6167,0.8593,0.7745,0.8169,0.1144,0.5294,0.3219,-0.006,0.2549,0.1245
19.9,0.0575,0.772,0.634,0.8719,0.7827,0.8273,0.1346,0.5483,0.3414,0.0206,0.2483,0.1344
20,0.078,0.7684,0.6495,0.8829,0.7907,0.8368,0.1581,0.568,0.363,0.0479,0.2429,0.1454
20.1,0.0971,0.7628,0.6631,0.8919,0.7978,0.8449,0.1838,0.5876,0.3857,0.0753,0.2389,0.1571
20.2,0.1149,0.7547,0.674,0.8988,0.804,0.8514,0.2111,0.6064,0.4088,0.1024,0.2366,0.1695
20.3,0.1313,0.7444,0.6822,0.9033,0.8097,0.8565,0.2393,0.6241,0.4317,0.1289,0.2361,0.1825
20.4,0.1456,0.733,0.6879,0.9055,0.8157,0.8606,0.2676,0.6405,0.4541,0.1544,0.2374,0.1959
20.5,0.1575,0.7217,0.6919,0.9058,0.8226,0.8642,0.2948,0.6561,0.4755,0.1784,0.24,0.2092
20.6,0.1673,0.7114,0.694,0.9051,0.8305,0.8678,0.3196,0.6709,0.4953,0.2005,0.2436,0.2221
20.7,0.1756,0.7027,0.6937,0.9043,0.8389,0.8716,0.3414,0.6849,0.5132,0.2209,0.248,0.2344
20.8,0.1831,0.6957,0.6904,0.904,0.8469,0.8755,0.3601,0.6973,0.5287,0.24,0.2532,0.2466
20.9,0.1903,0.6901,0.6834,0.9041,0.853,0.8785,0.3757,0.7068,0.5413,0.2586,0.2592,0.2589
21,0.1977,0.686,0.6724,0.9037,0.8561,0.8799,0.3882,0.7123,0.5503,0.277,0.266,0.2715
21.1,0.2059,0.683,0.6569,0.9019,0.8559,0.8789,0.3974,0.7131,0.5553,0.2951,0.2735,0.2843
