Time,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC
1.5,-0.0189,0.4989,0.1618,0.6267,0.6923,0.6595,0.8621,0.7756,0.8189,0.6265,0.5304,0.5785
1.6,-0.035,0.4958,0.1429,0.6162,0.7013,0.6587,0.8655,0.7689,0.8172,0.6204,0.5155,0.568
1.7,-0.0446,0.4976,0.1287,0.609,0.7109,0.6599,0.8644,0.7601,0.8122,0.612,0.4992,0.5556
1.8,-0.048,0.5037,0.1184,0.6052,0.7204,0.6628,0.8588,0.7496,0.8042,0.6016,0.4823,0.5419
1.9,-0.045,0.5138,0.1113,0.6052,0.7294,0.6673,0.8491,0.738,0.7936,0.5896,0.465,0.5273
2,-0.0359,0.5273,0.107,0.6093,0.7381,0.6737,0.8354,0.7263,0.7808,0.5757,0.4478,0.5117
2.1,-0.0211,0.5438,0.105,0.6176,0.7469,0.6823,0.8178,0.7146,0.7662,0.5594,0.4307,0.4951
2.2,-0.0013,0.5628,0.1052,0.6295,0.7555,0.6925,0.7972,0.7032,0.7502,0.5409,0.4139,0.4774
2.3,0.0236,0.5835,0.1076,0.6447,0.7628,0.7038,0.7747,0.6925,0.7336,0.5205,0.3977,0.4591
2.4,0.0544,0.6051,0.112,0.6628,0.7679,0.7153,0.751,0.6837,0.7173,0.4987,0.3825,0.4406
2.5,0.0914,0.6266,0.1188,0.6835,0.7697,0.7266,0.7263,0.6773,0.7018,0.4758,0.3683,0.422
2.6,0.1335,0.6472,0.1282,0.7056,0.7682,0.7369,0.7004,0.6733,0.6868,0.452,0.355,0.4035
2.7,0.1789,0.6659,0.1399,0.7282,0.7633,0.7457,0.6729,0.6705,0.6717,0.4277,0.3425,0.3851
2.8,0.2259,0.6814,0.1541,0.7507,0.7552,0.7529,0.644,0.6677,0.6559,0.4035,0.3308,0.3672
2.9,0.2734,0.6922,0.1711,0.7722,0.7436,0.7579,0.6143,0.6642,0.6393,0.3803,0.3202,0.3502
3,0.3194,0.697,0.1909,0.7913,0.728,0.7597,0.5839,0.6599,0.6219,0.3583,0.311,0.3346
3.1,0.3607,0.6952,0.2128,0.807,0.7087,0.7578,0.5525,0.6544,0.6034,0.3378,0.3032,0.3205
3.2,0.3951,0.6871,0.2361,0.8182,0.6864,0.7523,0.5194,0.6468,0.5831,0.319,0.2969,0.308
3.3,0.422,0.6741,0.2598,0.8254,0.6623,0.7439,0.4852,0.6366,0.5609,0.3034,0.2926,0.298
3.4,0.4429,0.6586,0.283,0.8299,0.6383,0.7341,0.4514,0.6239,0.5377,0.2922,0.2903,0.2912
3.5,0.4593,0.643,0.3053,0.8332,0.616,0.7246,0.4202,0.6093,0.5147,0.2864,0.2899,0.2881
3.6,0.4726,0.629,0.326,0.8363,0.5969,0.7166,0.3929,0.5937,0.4933,0.2862,0.2913,0.2887
3.7,0.4827,0.6179,0.3442,0.8392,0.5822,0.7107,0.3702,0.5779,0.4741,0.2916,0.2944,0.293
3.8,0.4891,0.6103,0.3596,0.8418,0.5729,0.7073,0.3528,0.5624,0.4576,0.3022,0.2999,0.301
3.9,0.4914,0.607,0.3721,0.8438,0.5696,0.7067,0.3414,0.5474,0.4444,0.318,0.3084,0.3132
4,0.4895,0.6088,0.3822,0.8453,0.5731,0.7092,0.3366,0.5331,0.4348,0.3385,0.3204,0.3294
4.1,0.4828,0.6162,0.3904,0.846,0.5833,0.7146,0.338,0.5197,0.4289,0.3625,0.3354,0.3489
4.2,0.4708,0.6291,0.3966,0.8452,0.5997,0.7225,0.3449,0.5075,0.4262,0.3888,0.3523,0.3705
4.3,0.4537,0.6471,0.4004,0.8419,0.6212,0.7316,0.3566,0.4968,0.4267,0.4162,0.3698,0.393
4.4,0.4317,0.6696,0.4021,0.8348,0.6458,0.7403,0.3723,0.4874,0.4299,0.4437,0.3865,0.4151
4.5,0.4053,0.6956,0.4024,0.8232,0.6714,0.7473,0.3913,0.4796,0.4355,0.4704,0.402,0.4362
4.6,0.3757,0.7241,0.4022,0.8074,0.6958,0.7516,0.4133,0.474,0.4436,0.4958,0.4163,0.4561
4.7,0.3438,0.7542,0.4024,0.7879,0.7175,0.7527,0.4374,0.4715,0.4544,0.5195,0.4296,0.4746
4.8,0.3095,0.7854,0.4037,0.7652,0.7357,0.7504,0.4624,0.4726,0.4675,0.5416,0.4418,0.4917
4.9,0.2718,0.8176,0.4062,0.74,0.7501,0.745,0.4874,0.477,0.4822,0.5627,0.4534,0.5081
5,0.2311,0.8505,0.41,0.7131,0.7603,0.7367,0.5117,0.4842,0.4979,0.5832,0.4652,0.5242
5.1,0.1886,0.8829,0.4154,0.6852,0.7657,0.7254,0.5354,0.494,0.5147,0.6033,0.4775,0.5404
5.2,0.1455,0.9136,0.4221,0.6569,0.7655,0.7112,0.5588,0.5064,0.5326,0.6226,0.4902,0.5564
5.3,0.1023,0.9408,0.4294,0.6292,0.759,0.6941,0.5817,0.5213,0.5515,0.6406,0.5031,0.5719
5.4,0.0588,0.9634,0.4362,0.6026,0.7461,0.6743,0.6039,0.5379,0.5709,0.657,0.5159,0.5865
5.5,0.0149,0.98,0.4421,0.5775,0.7265,0.652,0.6253,0.5554,0.5903,0.6723,0.5284,0.6003
5.6,-0.0283,0.9901,0.447,0.5544,0.7,0.6272,0.6458,0.5731,0.6095,0.6865,0.5405,0.6135
5.7,-0.0692,0.9931,0.451,0.5338,0.6666,0.6002,0.6651,0.5906,0.6278,0.6993,0.5519,0.6256
5.8,-0.1065,0.9895,0.4538,0.5161,0.6272,0.5716,0.6825,0.607,0.6447,0.7101,0.5621,0.6361
5.9,-0.1398,0.98,0.4552,0.5016,0.584,0.5428,0.6971,0.6217,0.6594,0.7184,0.5706,0.6445
6,-0.1692,0.9654,0.4552,0.4907,0.5402,0.5154,0.7085,0.6339,0.6712,0.7238,0.5769,0.6504
6.1,-0.1941,0.9464,0.4534,0.4837,0.4984,0.491,0.7162,0.643,0.6796,0.7257,0.5805,0.6531
6.2,-0.2136,0.9239,0.4494,0.4809,0.4606,0.4707,0.7202,0.6488,0.6845,0.7233,0.581,0.6522
6.3,-0.2271,0.8991,0.4431,0.482,0.4285,0.4553,0.7209,0.6519,0.6864,0.7164,0.5783,0.6473
6.4,-0.235,0.8739,0.4341,0.4871,0.404,0.4456,0.7189,0.6527,0.6858,0.7052,0.5726,0.6389
6.5,-0.2398,0.8501,0.4226,0.4966,0.3881,0.4424,0.7151,0.6519,0.6835,0.6904,0.5645,0.6275
6.6,-0.2441,0.8291,0.4087,0.5099,0.3808,0.4453,0.7102,0.6494,0.6798,0.6731,0.5548,0.6139
6.7,-0.249,0.8115,0.3927,0.526,0.3812,0.4536,0.7052,0.6457,0.6754,0.6544,0.5441,0.5993
6.8,-0.2543,0.7974,0.3749,0.5434,0.3887,0.4661,0.7008,0.6409,0.6708,0.6349,0.533,0.5839
6.9,-0.2592,0.7861,0.3553,0.5617,0.4025,0.4821,0.6973,0.6352,0.6662,0.6146,0.5211,0.5679
7,-0.2641,0.7769,0.3344,0.5805,0.4211,0.5008,0.6947,0.6285,0.6616,0.593,0.5086,0.5508
7.1,-0.2692,0.7687,0.3123,0.5998,0.4428,0.5213,0.6928,0.6199,0.6564,0.5709,0.4953,0.5331
7.2,-0.2742,0.7612,0.2896,0.6189,0.4655,0.5422,0.6914,0.6089,0.6502,0.5491,0.4813,0.5152
7.3,-0.2774,0.7545,0.2669,0.6373,0.4878,0.5626,0.6907,0.5954,0.6431,0.5283,0.4668,0.4976
7.4,-0.2783,0.7487,0.2452,0.6544,0.5087,0.5816,0.6906,0.5806,0.6356,0.5092,0.452,0.4806
7.5,-0.2773,0.7435,0.2251,0.67,0.5275,0.5987,0.6913,0.5654,0.6283,0.4919,0.437,0.4644
7.6,-0.2748,0.7387,0.2077,0.6831,0.5433,0.6132,0.6924,0.5503,0.6213,0.4769,0.4222,0.4496
7.7,-0.2696,0.7336,0.194,0.6933,0.5555,0.6244,0.6934,0.5352,0.6143,0.4651,0.4086,0.4369
7.8,-0.2592,0.728,0.185,0.7007,0.5636,0.6322,0.6936,0.52,0.6068,0.4569,0.397,0.427
7.9,-0.2418,0.7216,0.1817,0.7061,0.5675,0.6368,0.6926,0.5052,0.5989,0.4526,0.3882,0.4204
8,-0.2175,0.7145,0.1851,0.7099,0.5674,0.6387,0.6907,0.4921,0.5914,0.4529,0.3828,0.4179
8.1,-0.1876,0.7071,0.1956,0.7124,0.5639,0.6381,0.688,0.4814,0.5847,0.4588,0.3814,0.4201
8.2,-0.1538,0.7001,0.2128,0.7134,0.5578,0.6356,0.6853,0.473,0.5792,0.4709,0.3838,0.4273
8.3,-0.1174,0.6936,0.2356,0.7129,0.5504,0.6316,0.6828,0.466,0.5744,0.4889,0.3895,0.4392
8.4,-0.0794,0.6874,0.2627,0.7107,0.5427,0.6267,0.681,0.4596,0.5703,0.5115,0.398,0.4548
8.5,-0.0411,0.6808,0.2926,0.7066,0.5363,0.6215,0.6802,0.4542,0.5672,0.5371,0.4084,0.4727
8.6,-0.0043,0.6736,0.3242,0.7011,0.5325,0.6168,0.6807,0.4502,0.5655,0.564,0.4199,0.492
8.7,0.0289,0.666,0.3572,0.6943,0.5329,0.6136,0.682,0.4479,0.565,0.5909,0.4321,0.5115
8.8,0.0566,0.659,0.3911,0.6864,0.5385,0.6124,0.6833,0.4467,0.565,0.6162,0.444,0.5301
8.9,0.0776,0.6534,0.4257,0.6778,0.5496,0.6137,0.6834,0.4465,0.5649,0.6384,0.4551,0.5467
9,0.0915,0.6495,0.4604,0.6692,0.5661,0.6177,0.6812,0.4473,0.5643,0.6564,0.4652,0.5608
9.1,0.0983,0.6475,0.4941,0.661,0.5872,0.6241,0.6764,0.4497,0.5631,0.67,0.4743,0.5722
9.2,0.0985,0.6473,0.5256,0.6538,0.612,0.6329,0.6696,0.4539,0.5617,0.6802,0.4828,0.5815
9.3,0.093,0.6488,0.5538,0.6482,0.6389,0.6435,0.6614,0.4594,0.5604,0.6875,0.4907,0.5891
9.4,0.0833,0.6518,0.5782,0.6444,0.6659,0.6551,0.6525,0.4661,0.5593,0.6922,0.4981,0.5952
9.5,0.071,0.6556,0.5981,0.6424,0.6908,0.6666,0.6438,0.4737,0.5587,0.6938,0.505,0.5994
9.6,0.058,0.6595,0.6134,0.6428,0.7123,0.6775,0.6358,0.4823,0.559,0.6925,0.5116,0.6021
9.7,0.0459,0.6629,0.6244,0.6459,0.7303,0.6881,0.6291,0.4919,0.5605,0.689,0.5185,0.6037
9.8,0.0356,0.6655,0.6314,0.6516,0.7447,0.6981,0.6236,0.502,0.5628,0.6839,0.526,0.6049
9.9,0.0275,0.6672,0.6352,0.659,0.7557,0.7073,0.6191,0.512,0.5655,0.6778,0.5342,0.606
10,0.0224,0.6681,0.637,0.6668,0.7636,0.7152,0.6153,0.5216,0.5685,0.6715,0.5434,0.6074
10.1,0.0219,0.6687,0.6379,0.674,0.7691,0.7215,0.612,0.531,0.5715,0.6657,0.554,0.6098
10.2,0.0273,0.6695,0.6389,0.6802,0.773,0.7266,0.6091,0.5402,0.5747,0.6611,0.5663,0.6137
10.3,0.039,0.6711,0.6406,0.686,0.7761,0.731,0.6066,0.5495,0.578,0.6582,0.5808,0.6195
10.4,0.0554,0.6737,0.6436,0.6912,0.7785,0.7349,0.6043,0.5588,0.5816,0.657,0.5977,0.6273
10.5,0.0739,0.6772,0.6486,0.6953,0.78,0.7377,0.6027,0.5682,0.5854,0.6576,0.6172,0.6374
10.6,0.0921,0.6816,0.6561,0.6981,0.7803,0.7392,0.602,0.578,0.59,0.6602,0.6391,0.6497
10.7,0.1095,0.6866,0.6662,0.6992,0.7792,0.7392,0.6024,0.5883,0.5954,0.6645,0.6628,0.6637
10.8,0.1269,0.6915,0.6784,0.6981,0.7767,0.7374,0.6035,0.5986,0.6011,0.6696,0.6868,0.6782
10.9,0.1441,0.6956,0.6919,0.6944,0.7729,0.7337,0.6048,0.6077,0.6062,0.6745,0.7095,0.692
11,0.1603,0.6984,0.706,0.688,0.7677,0.7278,0.6058,0.6149,0.6103,0.6788,0.7297,0.7043
11.1,0.1742,0.6997,0.7202,0.6787,0.7606,0.7197,0.6068,0.62,0.6134,0.6827,0.7471,0.7149
11.2,0.1851,0.6995,0.7338,0.6669,0.7515,0.7092,0.6083,0.6235,0.6159,0.6868,0.7616,0.7242
11.3,0.1917,0.6973,0.7462,0.6524,0.7406,0.6965,0.6114,0.626,0.6187,0.6918,0.7734,0.7326
11.4,0.1914,0.6928,0.7567,0.6345,0.7285,0.6815,0.6168,0.6276,0.6222,0.698,0.7824,0.7402
11.5,0.1811,0.6857,0.7649,0.6125,0.716,0.6642,0.6246,0.6283,0.6264,0.7051,0.7885,0.7468
11.6,0.1582,0.6754,0.7703,0.5862,0.703,0.6446,0.6343,0.6275,0.6309,0.7117,0.7908,0.7512
11.7,0.1214,0.6614,0.7726,0.5557,0.6895,0.6226,0.6445,0.6246,0.6346,0.7161,0.7892,0.7527
11.8,0.0714,0.6429,0.7713,0.5222,0.675,0.5986,0.6539,0.6195,0.6367,0.7177,0.7839,0.7508
11.9,0.0095,0.6201,0.7663,0.487,0.6589,0.573,0.661,0.6123,0.6367,0.7163,0.7757,0.746
12,-0.0614,0.594,0.7574,0.4519,0.6401,0.546,0.665,0.6035,0.6342,0.7122,0.7649,0.7385
12.1,-0.1378,0.5664,0.7452,0.419,0.6173,0.5182,0.6652,0.5935,0.6293,0.7059,0.7519,0.7289
12.2,-0.2146,0.5395,0.7302,0.3904,0.5906,0.4905,0.6612,0.5829,0.6221,0.6983,0.7373,0.7178
12.3,-0.2859,0.5155,0.7129,0.3688,0.5607,0.4648,0.6533,0.5727,0.613,0.6907,0.722,0.7064
12.4,-0.3462,0.4956,0.6939,0.3568,0.5296,0.4432,0.6421,0.5637,0.6029,0.6842,0.7068,0.6955
12.5,-0.3929,0.4808,0.674,0.3556,0.4991,0.4274,0.629,0.5566,0.5928,0.6792,0.692,0.6856
12.6,-0.426,0.4714,0.6532,0.3653,0.4705,0.4179,0.6149,0.5516,0.5832,0.6753,0.6772,0.6762
12.7,-0.447,0.4675,0.6319,0.3852,0.4446,0.4149,0.5998,0.5485,0.5742,0.6713,0.6621,0.6667
12.8,-0.457,0.4684,0.6107,0.4137,0.422,0.4179,0.5841,0.5473,0.5657,0.6664,0.6465,0.6564
12.9,-0.4571,0.4735,0.5907,0.4493,0.4033,0.4263,0.5682,0.5487,0.5584,0.6606,0.6308,0.6457
13,-0.4489,0.4816,0.5734,0.4896,0.3896,0.4396,0.5527,0.5529,0.5528,0.6548,0.6156,0.6352
13.1,-0.4343,0.4919,0.5599,0.5319,0.3813,0.4566,0.5384,0.56,0.5492,0.6497,0.6018,0.6257
13.2,-0.4154,0.5039,0.5506,0.5733,0.3785,0.4759,0.5255,0.5697,0.5476,0.6455,0.5897,0.6176
13.3,-0.3928,0.517,0.5455,0.6122,0.3812,0.4967,0.5145,0.5814,0.548,0.6421,0.5794,0.6107
13.4,-0.3665,0.5309,0.5444,0.6478,0.3888,0.5183,0.5057,0.5953,0.5505,0.6391,0.5707,0.6049
13.5,-0.3369,0.5449,0.547,0.68,0.4008,0.5404,0.4997,0.6108,0.5553,0.6363,0.5635,0.5999
13.6,-0.3052,0.5586,0.5526,0.7091,0.4171,0.5631,0.497,0.6276,0.5623,0.6331,0.5574,0.5953
13.7,-0.2734,0.572,0.5605,0.7356,0.4378,0.5867,0.4981,0.6448,0.5714,0.6295,0.5521,0.5908
13.8,-0.2428,0.5851,0.5701,0.7594,0.4629,0.6112,0.5029,0.661,0.582,0.625,0.5472,0.5861
13.9,-0.2135,0.5979,0.5809,0.7804,0.4923,0.6364,0.5114,0.6756,0.5935,0.6196,0.5426,0.5811
14,-0.1842,0.6107,0.5923,0.7987,0.5256,0.6622,0.5234,0.6888,0.6061,0.6138,0.5382,0.576
14.1,-0.1534,0.6235,0.6038,0.8145,0.5624,0.6885,0.5389,0.7005,0.6197,0.6084,0.5344,0.5714
14.2,-0.1213,0.6364,0.6153,0.8282,0.6021,0.7152,0.5582,0.7111,0.6347,0.6039,0.5317,0.5678
14.3,-0.09,0.6494,0.6266,0.8403,0.6441,0.7422,0.582,0.7206,0.6513,0.6011,0.5306,0.5658
14.4,-0.0603,0.6629,0.6379,0.851,0.6876,0.7693,0.6107,0.7298,0.6702,0.6009,0.5315,0.5662
14.5,-0.0315,0.6767,0.6498,0.8603,0.7312,0.7957,0.644,0.7394,0.6917,0.6037,0.5347,0.5692
14.6,-0.0024,0.6904,0.6627,0.8677,0.7729,0.8203,0.6805,0.75,0.7152,0.6095,0.54,0.5748
14.7,0.0262,0.7032,0.6766,0.8722,0.8112,0.8417,0.7178,0.7614,0.7396,0.6179,0.5469,0.5824
14.8,0.052,0.7149,0.6915,0.8735,0.8444,0.859,0.754,0.7734,0.7637,0.628,0.555,0.5915
14.9,0.0736,0.7258,0.7071,0.8719,0.8713,0.8716,0.7876,0.7859,0.7868,0.6394,0.5638,0.6016
15,0.0919,0.736,0.7231,0.8684,0.8908,0.8796,0.8178,0.7988,0.8083,0.652,0.573,0.6125
15.1,0.1073,0.7454,0.7391,0.863,0.9024,0.8827,0.8437,0.812,0.8278,0.6657,0.5825,0.6241
15.2,0.1186,0.7527,0.7546,0.8548,0.9056,0.8802,0.864,0.8253,0.8447,0.6806,0.5923,0.6364
15.3,0.1225,0.7564,0.7694,0.8421,0.8999,0.871,0.8781,0.8383,0.8582,0.6963,0.6022,0.6492
15.4,0.1174,0.7548,0.7832,0.8238,0.8856,0.8547,0.8856,0.8502,0.8679,0.7122,0.6117,0.6619
15.5,0.104,0.7478,0.7958,0.8002,0.8645,0.8323,0.8871,0.8608,0.874,0.7281,0.6203,0.6742
15.6,0.0844,0.7364,0.8071,0.7725,0.8397,0.8061,0.8837,0.8703,0.877,0.7439,0.6277,0.6858
15.7,0.0607,0.7225,0.817,0.7431,0.8148,0.7789,0.877,0.8787,0.8779,0.7591,0.6334,0.6962
15.8,0.0336,0.7076,0.825,0.7139,0.7921,0.753,0.8683,0.8859,0.8771,0.7725,0.637,0.7048
15.9,0.0034,0.6932,0.8303,0.686,0.773,0.7295,0.8584,0.8913,0.8749,0.7831,0.6386,0.7109
16,-0.0288,0.6801,0.8328,0.66,0.7577,0.7089,0.8475,0.8942,0.8708,0.7899,0.6381,0.714
16.1,-0.0615,0.6687,0.833,0.6366,0.7464,0.6915,0.8355,0.8945,0.865,0.7927,0.636,0.7144
16.2,-0.0935,0.659,0.8321,0.6167,0.7396,0.6781,0.8231,0.8927,0.8579,0.7923,0.6331,0.7127
16.3,-0.1252,0.6511,0.8314,0.6004,0.7379,0.6691,0.8108,0.8898,0.8503,0.7894,0.6303,0.7098
16.4,-0.1567,0.6447,0.8316,0.5871,0.7415,0.6643,0.7994,0.8861,0.8427,0.785,0.6284,0.7067
16.5,-0.1872,0.6399,0.8325,0.5768,0.7495,0.6632,0.7893,0.8813,0.8353,0.7796,0.6276,0.7036
16.6,-0.2149,0.6371,0.8337,0.5697,0.7607,0.6652,0.7811,0.8751,0.8281,0.7738,0.6281,0.7009
16.7,-0.2383,0.6371,0.8349,0.5668,0.7741,0.6704,0.7752,0.8676,0.8214,0.7678,0.6302,0.699
16.8,-0.2575,0.6406,0.8357,0.5681,0.7896,0.6789,0.7719,0.8588,0.8153,0.7622,0.6342,0.6982
16.9,-0.2739,0.6481,0.8353,0.5736,0.8077,0.6907,0.7709,0.8488,0.8098,0.7573,0.64,0.6987
17,-0.2879,0.6598,0.8336,0.5831,0.8285,0.7058,0.7721,0.8376,0.8048,0.7535,0.647,0.7003
17.1,-0.2978,0.6751,0.8309,0.5961,0.8509,0.7235,0.7749,0.8256,0.8002,0.7506,0.6552,0.7029
17.2,-0.3016,0.6929,0.8272,0.6123,0.8733,0.7428,0.7787,0.8135,0.7961,0.7488,0.6647,0.7068
17.3,-0.2981,0.7118,0.8227,0.6312,0.8937,0.7625,0.7831,0.802,0.7925,0.7482,0.6756,0.7119
17.4,-0.2878,0.7305,0.8175,0.6519,0.911,0.7815,0.7872,0.7914,0.7893,0.7486,0.6877,0.7182
17.5,-0.2715,0.7481,0.8114,0.6731,0.9244,0.7987,0.7901,0.7817,0.7859,0.7498,0.6999,0.7249
17.6,-0.2499,0.7635,0.8046,0.6933,0.9332,0.8132,0.791,0.7726,0.7818,0.7509,0.7108,0.7308
17.7,-0.2232,0.7759,0.7969,0.7112,0.9371,0.8242,0.7889,0.7641,0.7765,0.7506,0.7191,0.7348
17.8,-0.192,0.7845,0.7884,0.7255,0.936,0.8307,0.783,0.7561,0.7696,0.7481,0.7239,0.736
17.9,-0.1575,0.7888,0.7784,0.7348,0.9291,0.8319,0.7728,0.7481,0.7604,0.7424,0.7242,0.7333
18,-0.1225,0.788,0.7664,0.7383,0.9162,0.8272,0.7583,0.7393,0.7488,0.7328,0.7193,0.726
18.1,-0.0901,0.7815,0.7523,0.7361,0.8975,0.8168,0.7398,0.7289,0.7343,0.719,0.7087,0.7138
18.2,-0.062,0.7694,0.7362,0.7298,0.8735,0.8016,0.7185,0.7169,0.7177,0.7013,0.6927,0.697
18.3,-0.0389,0.7518,0.7184,0.7201,0.8453,0.7827,0.6958,0.7032,0.6995,0.6804,0.6724,0.6764
18.4,-0.0214,0.7291,0.6992,0.7074,0.8145,0.7609,0.6725,0.6881,0.6803,0.6567,0.6489,0.6528
18.5,-0.0107,0.7021,0.6787,0.6911,0.7823,0.7367,0.6492,0.6717,0.6604,0.6311,0.623,0.627
18.6,-0.0078,0.6717,0.6577,0.6714,0.7497,0.7106,0.6266,0.6545,0.6406,0.6044,0.5953,0.5998
18.7,-0.0122,0.6391,0.6373,0.6491,0.7174,0.6832,0.6062,0.637,0.6216,0.5775,0.5671,0.5723
18.8,-0.0225,0.6059,0.6187,0.6255,0.6863,0.6559,0.5893,0.6204,0.6049,0.5516,0.5401,0.5459
18.9,-0.0369,0.574,0.603,0.6023,0.6572,0.6297,0.5768,0.6058,0.5913,0.5278,0.5158,0.5218
19,-0.0528,0.5443,0.5912,0.5804,0.6301,0.6053,0.569,0.5937,0.5814,0.5068,0.4948,0.5008
19.1,-0.0688,0.5168,0.5835,0.5598,0.6045,0.5822,0.5652,0.5838,0.5745,0.4888,0.4776,0.4832
19.2,-0.0839,0.4902,0.5803,0.5401,0.579,0.5596,0.5643,0.5754,0.5699,0.4739,0.4649,0.4694
19.3,-0.098,0.4631,0.5814,0.5204,0.5525,0.5364,0.5655,0.5681,0.5668,0.4623,0.4575,0.4599
19.4,-0.111,0.4349,0.587,0.4998,0.5243,0.5121,0.5681,0.5623,0.5652,0.4542,0.4557,0.455
19.5,-0.1223,0.4054,0.5969,0.4786,0.4946,0.4866,0.5725,0.5584,0.5654,0.4502,0.4597,0.4549
19.6,-0.1307,0.3751,0.6109,0.4575,0.4632,0.4604,0.5791,0.557,0.5681,0.4503,0.4694,0.4598
19.7,-0.1344,0.3441,0.6285,0.4372,0.4304,0.4338,0.5884,0.5584,0.5734,0.4544,0.4846,0.4695
19.8,-0.1322,0.312,0.6488,0.418,0.3955,0.4067,0.6003,0.5624,0.5814,0.4623,0.5052,0.4837
19.9,-0.1236,0.2791,0.6708,0.3996,0.3583,0.379,0.6142,0.5686,0.5914,0.4733,0.5306,0.5019
20,-0.1095,0.246,0.6937,0.3824,0.3197,0.3511,0.6293,0.577,0.6032,0.4863,0.5598,0.5231
20.1,-0.0917,0.2139,0.7174,0.3672,0.2816,0.3244,0.6453,0.5879,0.6166,0.5007,0.5915,0.5461
20.2,-0.0716,0.1832,0.742,0.3545,0.2454,0.3,0.6618,0.6016,0.6317,0.5162,0.6244,0.5703
20.3,-0.0498,0.1534,0.7675,0.3447,0.2113,0.278,0.6787,0.618,0.6484,0.5333,0.6578,0.5956
20.4,-0.0256,0.1237,0.7939,0.337,0.1782,0.2576,0.6963,0.6371,0.6667,0.552,0.691,0.6215
20.5,0.0018,0.0935,0.8209,0.3309,0.145,0.2379,0.7149,0.6585,0.6867,0.5725,0.7237,0.6481
