Time,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC
1.2,0.2029,0.4004,0.6472,0.5843,0.6056,0.5949,0.765,0.7892,0.7771,0.5417,0.6397,0.5907
1.3,0.2132,0.3997,0.66,0.5899,0.5829,0.5864,0.7637,0.7816,0.7726,0.5444,0.6436,0.594
1.4,0.2234,0.3979,0.6697,0.5952,0.5567,0.576,0.7573,0.7702,0.7638,0.5449,0.6444,0.5947
1.5,0.2326,0.3953,0.676,0.5999,0.5284,0.5641,0.7463,0.7553,0.7508,0.544,0.6424,0.5932
1.6,0.2414,0.3919,0.6785,0.6037,0.4987,0.5512,0.7307,0.7363,0.7335,0.5425,0.6378,0.5901
1.7,0.2506,0.3874,0.6772,0.6063,0.4681,0.5372,0.7105,0.7127,0.7116,0.5404,0.6304,0.5854
1.8,0.2612,0.3821,0.6722,0.6081,0.4373,0.5227,0.6865,0.6849,0.6857,0.5372,0.6201,0.5787
1.9,0.2737,0.3763,0.6641,0.6102,0.4074,0.5088,0.6603,0.6546,0.6575,0.533,0.607,0.57
2,0.288,0.3708,0.6537,0.6134,0.3796,0.4965,0.634,0.6244,0.6292,0.5281,0.5916,0.5599
2.1,0.3034,0.3659,0.6414,0.6183,0.355,0.4867,0.6093,0.5964,0.6028,0.5235,0.5744,0.5489
2.2,0.3184,0.3619,0.6275,0.6249,0.3342,0.4795,0.5865,0.5722,0.5793,0.5189,0.5558,0.5373
2.3,0.3321,0.3593,0.6121,0.6333,0.318,0.4756,0.5653,0.5527,0.559,0.5143,0.5358,0.5251
2.4,0.3435,0.3589,0.5958,0.6438,0.3071,0.4755,0.5461,0.5385,0.5423,0.5098,0.5148,0.5123
2.5,0.3519,0.3617,0.5796,0.6572,0.302,0.4796,0.5304,0.5303,0.5304,0.5055,0.4931,0.4993
2.6,0.3565,0.3682,0.564,0.6741,0.3028,0.4885,0.5192,0.5285,0.5239,0.5014,0.4709,0.4862
2.7,0.356,0.379,0.5489,0.6947,0.3093,0.502,0.5128,0.5328,0.5228,0.4968,0.4483,0.4726
2.8,0.3493,0.3947,0.5339,0.7191,0.3218,0.5205,0.5107,0.5425,0.5266,0.4913,0.4258,0.4586
2.9,0.336,0.4161,0.5188,0.7474,0.3404,0.5439,0.5123,0.5566,0.5345,0.4851,0.4038,0.4445
3,0.3171,0.4441,0.5047,0.7795,0.3652,0.5724,0.5174,0.5748,0.5461,0.4785,0.3831,0.4308
3.1,0.2942,0.4789,0.4927,0.8147,0.3956,0.6052,0.5258,0.5965,0.5611,0.4722,0.3645,0.4183
3.2,0.2684,0.5194,0.484,0.8513,0.4303,0.6408,0.5368,0.6205,0.5787,0.4667,0.3485,0.4076
3.3,0.2397,0.5641,0.4793,0.8871,0.4685,0.6778,0.5496,0.6454,0.5975,0.4624,0.3356,0.399
3.4,0.2082,0.6107,0.4783,0.92,0.5096,0.7148,0.5632,0.6703,0.6168,0.4599,0.3259,0.3929
3.5,0.1754,0.6573,0.4803,0.9487,0.5528,0.7508,0.5769,0.6943,0.6356,0.4597,0.32,0.3898
3.6,0.1452,0.7015,0.4849,0.9721,0.5969,0.7845,0.5901,0.7165,0.6533,0.4617,0.3178,0.3898
3.7,0.1227,0.7413,0.492,0.9897,0.6397,0.8147,0.6019,0.736,0.6689,0.4655,0.3191,0.3923
3.8,0.1107,0.7752,0.5012,1.0011,0.6793,0.8402,0.6114,0.7519,0.6816,0.4702,0.3238,0.397
3.9,0.109,0.8026,0.5119,1.0072,0.7146,0.8609,0.618,0.7638,0.6909,0.4752,0.3315,0.4033
4,0.1148,0.8236,0.5233,1.0091,0.7453,0.8772,0.6212,0.7717,0.6964,0.4805,0.3422,0.4114
4.1,0.1251,0.8389,0.5343,1.008,0.7716,0.8898,0.6207,0.776,0.6983,0.4862,0.3559,0.421
4.2,0.1383,0.849,0.5434,1.0041,0.7933,0.8987,0.6165,0.7766,0.6966,0.492,0.3722,0.4321
4.3,0.1535,0.8533,0.5494,0.9972,0.8099,0.9035,0.6089,0.7735,0.6912,0.4975,0.3906,0.4441
4.4,0.1698,0.8513,0.5513,0.9869,0.8209,0.9039,0.598,0.7664,0.6822,0.502,0.4103,0.4561
4.5,0.186,0.8428,0.5485,0.9731,0.8263,0.8997,0.5842,0.7552,0.6697,0.5051,0.4296,0.4674
4.6,0.2002,0.8282,0.5412,0.9557,0.8262,0.8909,0.5682,0.7403,0.6542,0.5063,0.4475,0.4769
4.7,0.2112,0.8086,0.5302,0.9345,0.8214,0.8779,0.5513,0.7224,0.6369,0.5057,0.4626,0.4841
4.8,0.219,0.7849,0.5167,0.9094,0.8125,0.8609,0.5349,0.7022,0.6186,0.5035,0.4745,0.489
4.9,0.2247,0.7582,0.5015,0.8809,0.8,0.8404,0.5203,0.6802,0.6003,0.5001,0.4831,0.4916
5,0.2295,0.7294,0.4856,0.8505,0.7847,0.8176,0.5089,0.6571,0.583,0.4957,0.4887,0.4922
5.1,0.2338,0.6999,0.47,0.8202,0.7678,0.794,0.5018,0.6346,0.5682,0.4912,0.4914,0.4913
5.2,0.2367,0.6709,0.4559,0.7918,0.7506,0.7712,0.4999,0.6143,0.5571,0.4871,0.4917,0.4894
5.3,0.236,0.6433,0.4441,0.7663,0.7345,0.7504,0.5034,0.5974,0.5504,0.4844,0.49,0.4872
5.4,0.2301,0.6179,0.4349,0.7445,0.7201,0.7323,0.5117,0.5839,0.5478,0.4833,0.4862,0.4848
5.5,0.2183,0.5958,0.428,0.7273,0.708,0.7176,0.524,0.5733,0.5486,0.4838,0.4804,0.4821
5.6,0.2012,0.5775,0.4225,0.7158,0.6983,0.7071,0.539,0.5649,0.552,0.4854,0.4724,0.4789
5.7,0.1799,0.5635,0.4178,0.7111,0.6916,0.7013,0.5562,0.5584,0.5573,0.488,0.4622,0.4751
5.8,0.1551,0.5535,0.4138,0.7132,0.6885,0.7009,0.5755,0.5534,0.5645,0.4916,0.4501,0.4708
5.9,0.127,0.5473,0.411,0.7213,0.6892,0.7053,0.597,0.5499,0.5734,0.4961,0.4364,0.4662
6,0.0961,0.5447,0.4098,0.7345,0.6931,0.7138,0.6199,0.5474,0.5837,0.5012,0.4215,0.4614
6.1,0.0642,0.5457,0.4104,0.7517,0.6996,0.7256,0.6435,0.5456,0.5946,0.507,0.4063,0.4566
6.2,0.0336,0.5507,0.4128,0.7722,0.7079,0.74,0.667,0.5442,0.6056,0.5141,0.392,0.453
6.3,0.0061,0.5593,0.417,0.7945,0.7172,0.7558,0.6899,0.5432,0.6165,0.5232,0.3794,0.4513
6.4,-0.0175,0.5709,0.4235,0.8169,0.7264,0.7716,0.7115,0.5432,0.6273,0.5344,0.3698,0.4521
6.5,-0.0381,0.5848,0.4331,0.8375,0.7349,0.7862,0.7309,0.5445,0.6377,0.5477,0.3638,0.4558
6.6,-0.057,0.6007,0.4467,0.8556,0.7428,0.7992,0.747,0.5476,0.6473,0.5628,0.3623,0.4626
6.7,-0.0748,0.6187,0.4641,0.8712,0.751,0.8111,0.7584,0.553,0.6557,0.5792,0.3658,0.4725
6.8,-0.0912,0.6389,0.4842,0.8842,0.7597,0.822,0.7642,0.5607,0.6624,0.5963,0.374,0.4852
6.9,-0.1056,0.6606,0.5055,0.8945,0.7691,0.8318,0.7639,0.5703,0.6671,0.6132,0.3861,0.4997
7,-0.1177,0.6829,0.5264,0.9017,0.7784,0.84,0.7577,0.5812,0.6695,0.6288,0.401,0.5149
7.1,-0.1277,0.7048,0.5459,0.9056,0.787,0.8463,0.7464,0.5922,0.6693,0.6424,0.4179,0.5301
7.2,-0.1363,0.7253,0.5635,0.9066,0.795,0.8508,0.7309,0.6025,0.6667,0.6534,0.4365,0.545
7.3,-0.1439,0.744,0.5792,0.905,0.8025,0.8538,0.7122,0.612,0.6621,0.6619,0.456,0.5589
7.4,-0.1502,0.7598,0.5929,0.9007,0.8093,0.855,0.6911,0.6208,0.6559,0.6675,0.4752,0.5714
7.5,-0.154,0.7717,0.6039,0.8931,0.8148,0.854,0.6682,0.6287,0.6485,0.6699,0.4928,0.5813
7.6,-0.1538,0.7787,0.6119,0.8818,0.818,0.8499,0.6446,0.6352,0.6399,0.6686,0.5073,0.5879
7.7,-0.1486,0.7803,0.6167,0.8666,0.8178,0.8422,0.6209,0.6398,0.6303,0.6637,0.5177,0.5907
7.8,-0.1384,0.7766,0.6188,0.8478,0.8137,0.8308,0.5976,0.6422,0.6199,0.6553,0.5234,0.5893
7.9,-0.1243,0.7684,0.6186,0.8257,0.8055,0.8156,0.5752,0.6427,0.609,0.6435,0.5238,0.5836
8,-0.1076,0.7561,0.6166,0.8001,0.7939,0.797,0.5541,0.6416,0.5979,0.6283,0.5189,0.5736
8.1,-0.0895,0.7409,0.613,0.771,0.78,0.7755,0.5347,0.6392,0.5869,0.61,0.5091,0.5595
8.2,-0.0703,0.724,0.6079,0.7394,0.7651,0.7523,0.5173,0.6357,0.5765,0.5894,0.4947,0.5421
8.3,-0.0504,0.7064,0.6017,0.707,0.7502,0.7286,0.5022,0.6317,0.5669,0.5672,0.4765,0.5219
8.4,-0.0303,0.6888,0.5947,0.6751,0.7357,0.7054,0.4893,0.6278,0.5585,0.5441,0.4552,0.4997
8.5,-0.011,0.6712,0.5876,0.6441,0.7217,0.6829,0.4783,0.6243,0.5513,0.5208,0.4314,0.4761
8.6,0.0062,0.6535,0.5803,0.6131,0.7077,0.6604,0.4688,0.6211,0.545,0.4977,0.4065,0.4521
8.7,0.021,0.6358,0.5727,0.5814,0.6934,0.6374,0.4608,0.6176,0.5392,0.4759,0.3815,0.4287
8.8,0.0341,0.6185,0.5651,0.5492,0.6786,0.6139,0.4548,0.6138,0.5343,0.457,0.3579,0.4074
8.9,0.0467,0.6022,0.5582,0.5175,0.6632,0.5904,0.452,0.6107,0.5313,0.4425,0.3367,0.3896
9,0.0593,0.5871,0.5529,0.4869,0.6477,0.5673,0.4529,0.6094,0.5312,0.4339,0.3193,0.3766
9.1,0.0714,0.5732,0.5495,0.4576,0.6325,0.5451,0.458,0.6109,0.5344,0.4317,0.3066,0.3692
9.2,0.0825,0.5608,0.5481,0.4298,0.6185,0.5242,0.4672,0.6156,0.5414,0.4362,0.2993,0.3677
9.3,0.0922,0.5503,0.5483,0.4046,0.6062,0.5054,0.4804,0.6236,0.552,0.4474,0.2982,0.3728
9.4,0.1002,0.542,0.5499,0.3834,0.5961,0.4898,0.4975,0.6346,0.5661,0.4659,0.3037,0.3848
9.5,0.1064,0.5355,0.5518,0.3672,0.5882,0.4777,0.5183,0.6481,0.5832,0.4915,0.3159,0.4037
9.6,0.1108,0.5304,0.5536,0.3568,0.5821,0.4694,0.5421,0.6632,0.6026,0.5235,0.3346,0.429
9.7,0.1135,0.5264,0.5552,0.3527,0.5773,0.465,0.5685,0.6793,0.6239,0.5607,0.3596,0.4601
9.8,0.1155,0.5236,0.5576,0.3555,0.574,0.4647,0.5973,0.6961,0.6467,0.6019,0.3909,0.4964
9.9,0.1174,0.5215,0.5615,0.3655,0.5724,0.469,0.6278,0.7132,0.6705,0.646,0.4281,0.5371
10,0.1193,0.5194,0.5666,0.3822,0.5723,0.4773,0.6588,0.7296,0.6942,0.6913,0.47,0.5807
10.1,0.1215,0.5163,0.5714,0.4035,0.5725,0.488,0.6882,0.7436,0.7159,0.7357,0.5143,0.625
10.2,0.1242,0.5113,0.5744,0.4268,0.5714,0.4991,0.7142,0.7536,0.7339,0.7768,0.5583,0.6675
10.3,0.1278,0.5043,0.5752,0.4502,0.5683,0.5092,0.7363,0.7587,0.7475,0.813,0.6003,0.7067
10.4,0.1326,0.4963,0.5748,0.4731,0.5636,0.5183,0.7551,0.7596,0.7574,0.844,0.6394,0.7417
10.5,0.1381,0.4884,0.575,0.4953,0.5587,0.527,0.7711,0.7575,0.7643,0.8698,0.675,0.7724
10.6,0.1435,0.4819,0.5768,0.5168,0.5548,0.5358,0.7839,0.7533,0.7686,0.8899,0.7065,0.7982
10.7,0.1483,0.4772,0.5802,0.5366,0.5519,0.5442,0.7921,0.7472,0.7696,0.9041,0.7327,0.8184
10.8,0.1525,0.4744,0.5847,0.5536,0.5496,0.5516,0.7945,0.7395,0.767,0.9122,0.753,0.8326
10.9,0.1562,0.4732,0.5903,0.5671,0.5474,0.5573,0.7905,0.7304,0.7605,0.9149,0.7677,0.8413
11,0.159,0.4736,0.5975,0.5766,0.5458,0.5612,0.7807,0.721,0.7508,0.9125,0.7775,0.845
11.1,0.1593,0.4755,0.6066,0.5823,0.5455,0.5639,0.7655,0.7121,0.7388,0.9053,0.7826,0.844
11.2,0.1561,0.4792,0.6176,0.5844,0.548,0.5662,0.7457,0.7043,0.725,0.8933,0.7829,0.8381
11.3,0.149,0.4852,0.63,0.5834,0.5537,0.5685,0.7224,0.6978,0.7101,0.8769,0.7786,0.8277
11.4,0.139,0.4936,0.6436,0.5802,0.5625,0.5714,0.697,0.6928,0.6949,0.8571,0.7703,0.8137
11.5,0.1268,0.5044,0.6578,0.5758,0.5742,0.575,0.671,0.6897,0.6804,0.8355,0.7594,0.7974
11.6,0.1126,0.5174,0.6723,0.5711,0.5882,0.5797,0.6457,0.6892,0.6675,0.8134,0.7471,0.7802
11.7,0.096,0.5322,0.6865,0.5665,0.6041,0.5853,0.6218,0.6913,0.6565,0.7918,0.7341,0.763
11.8,0.077,0.5484,0.6994,0.5624,0.6217,0.5921,0.5999,0.6957,0.6478,0.7714,0.7211,0.7462
11.9,0.0565,0.5657,0.7103,0.5593,0.6406,0.5999,0.5813,0.7016,0.6414,0.7529,0.7083,0.7306
12,0.0358,0.5839,0.7189,0.5574,0.6603,0.6089,0.5669,0.7089,0.6379,0.7368,0.6962,0.7165
12.1,0.0159,0.6028,0.7251,0.5577,0.6804,0.619,0.5578,0.7181,0.638,0.7232,0.6849,0.7041
12.2,-0.0033,0.6222,0.7291,0.5605,0.7005,0.6305,0.5542,0.7299,0.642,0.7119,0.6748,0.6934
12.3,-0.022,0.6415,0.731,0.5654,0.7203,0.6428,0.5552,0.7438,0.6495,0.7025,0.6659,0.6842
12.4,-0.0406,0.6599,0.7301,0.5708,0.7388,0.6548,0.5596,0.7584,0.659,0.6945,0.6582,0.6763
12.5,-0.0593,0.6769,0.7261,0.5759,0.7558,0.6658,0.5662,0.7719,0.669,0.6874,0.6518,0.6696
12.6,-0.078,0.6919,0.7194,0.5809,0.771,0.6759,0.5742,0.7831,0.6787,0.6813,0.6469,0.6641
12.7,-0.0965,0.7047,0.711,0.5864,0.7844,0.6854,0.5835,0.7918,0.6877,0.6765,0.6436,0.66
12.8,-0.1145,0.7154,0.7017,0.5931,0.7957,0.6944,0.5937,0.798,0.6958,0.6732,0.642,0.6576
12.9,-0.1302,0.7239,0.6919,0.6009,0.8046,0.7027,0.6043,0.802,0.7032,0.6718,0.6419,0.6569
13,-0.1415,0.7306,0.682,0.6099,0.8104,0.7102,0.615,0.8045,0.7098,0.6721,0.6436,0.6578
13.1,-0.147,0.736,0.6725,0.6202,0.8133,0.7168,0.6254,0.8063,0.7159,0.6739,0.647,0.6604
13.2,-0.1471,0.7406,0.6635,0.632,0.8137,0.7228,0.6351,0.808,0.7216,0.6769,0.6517,0.6643
13.3,-0.1439,0.745,0.6548,0.6451,0.812,0.7286,0.6436,0.8097,0.7266,0.6805,0.6571,0.6688
13.4,-0.1403,0.7497,0.6459,0.6595,0.809,0.7342,0.6503,0.8113,0.7308,0.6842,0.6626,0.6734
13.5,-0.1381,0.7549,0.6365,0.6751,0.8048,0.7399,0.6553,0.8126,0.7339,0.688,0.668,0.678
13.6,-0.1378,0.7604,0.6265,0.6923,0.7999,0.7461,0.6592,0.8136,0.7364,0.6924,0.6735,0.6829
13.7,-0.1393,0.7663,0.616,0.7113,0.7947,0.753,0.6627,0.8147,0.7387,0.6982,0.6793,0.6887
13.8,-0.1427,0.7732,0.6053,0.7325,0.7901,0.7613,0.6659,0.8161,0.741,0.7056,0.6853,0.6954
13.9,-0.1484,0.7816,0.5938,0.7552,0.7865,0.7708,0.6686,0.8176,0.7431,0.7144,0.6912,0.7028
14,-0.1572,0.7914,0.5809,0.7786,0.7838,0.7812,0.6702,0.8182,0.7442,0.7239,0.6967,0.7103
14.1,-0.1701,0.8024,0.5664,0.8016,0.7814,0.7915,0.6706,0.8173,0.7439,0.7339,0.7018,0.7178
14.2,-0.188,0.8141,0.5503,0.823,0.7785,0.8008,0.67,0.8143,0.7422,0.7441,0.7065,0.7253
14.3,-0.2113,0.8263,0.5331,0.842,0.7748,0.8084,0.6692,0.8093,0.7393,0.7544,0.7107,0.7326
14.4,-0.2398,0.8386,0.5151,0.8581,0.7704,0.8143,0.6688,0.802,0.7354,0.7645,0.7142,0.7394
14.5,-0.2727,0.8507,0.4962,0.8707,0.7657,0.8182,0.6691,0.7916,0.7303,0.7743,0.7169,0.7456
14.6,-0.3093,0.8621,0.4767,0.8793,0.7607,0.82,0.6701,0.7775,0.7238,0.7842,0.7189,0.7515
14.7,-0.3488,0.872,0.4573,0.8835,0.7555,0.8195,0.6721,0.7592,0.7156,0.7949,0.7212,0.7581
14.8,-0.3905,0.8797,0.4394,0.8829,0.7508,0.8169,0.6749,0.737,0.7059,0.8074,0.7244,0.7659
14.9,-0.4331,0.8843,0.4238,0.8772,0.7478,0.8125,0.6779,0.7114,0.6947,0.8217,0.7291,0.7754
