Time,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC,Walmart - Famous Cars TVC
2.1,0.2884,0.5947,0.4322,0.7586,0.6126,0.6856,0.5747,0.5058,0.5402,0.4845,0.4905,0.4875
2.2,0.2984,0.5937,0.453,0.7567,0.5999,0.6783,0.5643,0.5003,0.5323,0.4995,0.5014,0.5004
2.3,0.3115,0.5936,0.473,0.756,0.5882,0.6721,0.5546,0.4961,0.5253,0.5166,0.513,0.5148
2.4,0.3275,0.5951,0.4913,0.7569,0.5789,0.6679,0.5461,0.4937,0.5199,0.5356,0.5255,0.5305
2.5,0.3447,0.5988,0.5066,0.759,0.5725,0.6657,0.5389,0.4924,0.5157,0.5564,0.5386,0.5475
2.6,0.3613,0.605,0.517,0.7619,0.5691,0.6655,0.5324,0.4915,0.5119,0.5788,0.552,0.5654
2.7,0.3764,0.6134,0.5214,0.7647,0.5689,0.6668,0.5263,0.4903,0.5083,0.6023,0.5654,0.5839
2.8,0.3902,0.6231,0.5192,0.7661,0.5717,0.6689,0.5205,0.4882,0.5043,0.6257,0.5788,0.6022
2.9,0.4027,0.6337,0.5101,0.7651,0.5774,0.6713,0.5148,0.485,0.4999,0.6479,0.5918,0.6198
3,0.4138,0.6451,0.4948,0.7611,0.5866,0.6739,0.5096,0.4813,0.4955,0.6675,0.604,0.6357
3.1,0.4233,0.6578,0.4742,0.7538,0.5995,0.6766,0.5053,0.4776,0.4915,0.6832,0.615,0.6491
3.2,0.4312,0.6719,0.4496,0.7442,0.6162,0.6802,0.5026,0.4745,0.4886,0.6947,0.6243,0.6595
3.3,0.4373,0.688,0.4228,0.7341,0.6365,0.6853,0.5022,0.4724,0.4873,0.7022,0.6315,0.6668
3.4,0.4416,0.705,0.3956,0.724,0.6592,0.6916,0.5044,0.4713,0.4878,0.7058,0.6366,0.6712
3.5,0.444,0.7215,0.3701,0.7138,0.6823,0.698,0.5088,0.4712,0.49,0.706,0.6402,0.6731
3.6,0.4442,0.7361,0.3476,0.7033,0.704,0.7036,0.515,0.4716,0.4933,0.7034,0.6426,0.673
3.7,0.4418,0.7483,0.3291,0.6927,0.7229,0.7078,0.5222,0.472,0.4971,0.6982,0.6438,0.671
3.8,0.4361,0.7576,0.3152,0.6824,0.7376,0.71,0.5297,0.4715,0.5006,0.6907,0.644,0.6674
3.9,0.4258,0.7636,0.3058,0.6728,0.7469,0.7098,0.537,0.4701,0.5035,0.681,0.643,0.662
4,0.4095,0.766,0.3009,0.6643,0.7498,0.7071,0.5437,0.4675,0.5056,0.6692,0.6407,0.655
4.1,0.3878,0.7648,0.3007,0.6571,0.7463,0.7017,0.5495,0.4638,0.5066,0.6553,0.637,0.6462
4.2,0.3623,0.7606,0.3054,0.6509,0.7371,0.694,0.5544,0.459,0.5067,0.6396,0.6318,0.6357
4.3,0.3342,0.7534,0.3148,0.6455,0.7224,0.6839,0.5584,0.4534,0.5059,0.6223,0.6251,0.6237
4.4,0.3048,0.7433,0.3285,0.6413,0.7021,0.6717,0.5614,0.4478,0.5046,0.6041,0.617,0.6106
4.5,0.2747,0.7302,0.3453,0.6383,0.6765,0.6574,0.5633,0.4426,0.5029,0.5853,0.6078,0.5965
4.6,0.2435,0.7146,0.3639,0.6365,0.6468,0.6416,0.5634,0.4377,0.5006,0.5663,0.5972,0.5817
4.7,0.2108,0.6972,0.3826,0.6358,0.6147,0.6253,0.5613,0.4325,0.4969,0.5473,0.585,0.5661
4.8,0.1763,0.6788,0.4007,0.6364,0.5822,0.6093,0.5568,0.427,0.4919,0.5283,0.5711,0.5497
4.9,0.14,0.6607,0.418,0.6386,0.5514,0.595,0.5504,0.421,0.4857,0.5095,0.5555,0.5325
5,0.1023,0.6437,0.4344,0.6417,0.5237,0.5827,0.5427,0.415,0.4789,0.4911,0.5385,0.5148
5.1,0.0642,0.6282,0.4505,0.6443,0.4994,0.5719,0.5346,0.4104,0.4725,0.4741,0.5213,0.4977
5.2,0.0269,0.6145,0.4667,0.6453,0.479,0.5622,0.527,0.4082,0.4676,0.4592,0.5047,0.482
5.3,-0.0081,0.6035,0.4837,0.6448,0.4635,0.5542,0.5211,0.4085,0.4648,0.4474,0.4896,0.4685
5.4,-0.0391,0.5958,0.502,0.6431,0.4539,0.5485,0.5176,0.4115,0.4646,0.4395,0.4767,0.4581
5.5,-0.0653,0.5911,0.521,0.6403,0.4496,0.5449,0.5168,0.4169,0.4668,0.4356,0.4661,0.4508
5.6,-0.0864,0.5884,0.5399,0.6363,0.4496,0.543,0.5182,0.4242,0.4712,0.4353,0.4579,0.4466
5.7,-0.1021,0.5871,0.5579,0.6314,0.4531,0.5423,0.5214,0.433,0.4772,0.4386,0.4518,0.4452
5.8,-0.1122,0.5873,0.5746,0.6262,0.4595,0.5428,0.5257,0.4426,0.4842,0.445,0.4477,0.4464
5.9,-0.1166,0.589,0.5896,0.6211,0.468,0.5446,0.5311,0.4527,0.4919,0.4546,0.4453,0.45
6,-0.1159,0.5917,0.6029,0.6168,0.4779,0.5473,0.5379,0.4633,0.5006,0.4673,0.4449,0.4561
6.1,-0.1107,0.595,0.6146,0.6137,0.4884,0.551,0.5467,0.4747,0.5107,0.4828,0.4465,0.4647
6.2,-0.1016,0.5985,0.6249,0.6118,0.4991,0.5554,0.5576,0.4871,0.5224,0.5004,0.4497,0.4751
6.3,-0.0893,0.6018,0.6342,0.6108,0.5098,0.5603,0.5702,0.5009,0.5355,0.5187,0.4537,0.4862
6.4,-0.0743,0.6048,0.6422,0.6108,0.5204,0.5656,0.5839,0.5157,0.5498,0.5368,0.4576,0.4972
6.5,-0.0575,0.6079,0.6478,0.6123,0.5315,0.5719,0.5981,0.5308,0.5644,0.5538,0.4608,0.5073
6.6,-0.0396,0.6114,0.6502,0.6153,0.543,0.5791,0.612,0.5452,0.5786,0.5688,0.463,0.5159
6.7,-0.0217,0.615,0.6492,0.6191,0.5547,0.5869,0.6249,0.5582,0.5916,0.5812,0.4635,0.5223
6.8,-0.0044,0.6186,0.6445,0.6233,0.5662,0.5947,0.636,0.5688,0.6024,0.5904,0.4619,0.5261
6.9,0.0122,0.6225,0.6359,0.6279,0.578,0.6029,0.6448,0.5768,0.6108,0.5956,0.4577,0.5266
7,0.0286,0.6268,0.6231,0.6332,0.5907,0.612,0.6508,0.5821,0.6165,0.5962,0.45,0.5231
7.1,0.0452,0.6318,0.6062,0.6395,0.6047,0.6221,0.6539,0.5849,0.6194,0.5918,0.4389,0.5154
7.2,0.0625,0.6376,0.5855,0.6469,0.6197,0.6333,0.6543,0.5857,0.62,0.5828,0.4248,0.5038
7.3,0.0812,0.6443,0.5614,0.6552,0.6356,0.6454,0.6523,0.5846,0.6184,0.5693,0.4081,0.4887
7.4,0.1022,0.6519,0.5345,0.6638,0.6523,0.6581,0.6482,0.5814,0.6148,0.5522,0.3891,0.4706
7.5,0.1262,0.6605,0.5051,0.6719,0.6695,0.6707,0.6425,0.5761,0.6093,0.532,0.3681,0.4501
7.6,0.1517,0.6697,0.4737,0.6788,0.6868,0.6828,0.6355,0.5689,0.6022,0.5098,0.346,0.4279
7.7,0.1768,0.6792,0.4408,0.6836,0.7037,0.6936,0.6275,0.5603,0.5939,0.4864,0.3236,0.405
7.8,0.2002,0.6883,0.4069,0.6858,0.7196,0.7027,0.6188,0.5501,0.5844,0.4625,0.3017,0.3821
7.9,0.2211,0.6962,0.3724,0.6846,0.7342,0.7094,0.6093,0.5381,0.5737,0.4387,0.2809,0.3598
8,0.2388,0.7024,0.338,0.6798,0.747,0.7134,0.5991,0.5242,0.5617,0.4155,0.2616,0.3386
8.1,0.2529,0.7066,0.3047,0.672,0.7578,0.7149,0.588,0.5082,0.5481,0.3933,0.2442,0.3187
8.2,0.2634,0.7089,0.2737,0.6615,0.7663,0.7139,0.5757,0.4901,0.5329,0.3724,0.229,0.3007
8.3,0.2713,0.7091,0.2455,0.6489,0.7718,0.7104,0.5629,0.4704,0.5166,0.3534,0.2162,0.2848
8.4,0.2779,0.7071,0.2204,0.6347,0.7738,0.7043,0.5501,0.4496,0.4998,0.3367,0.2057,0.2712
8.5,0.2834,0.703,0.1985,0.6195,0.7723,0.6959,0.5379,0.4283,0.4831,0.3226,0.1976,0.2601
8.6,0.2873,0.697,0.1795,0.6038,0.7674,0.6856,0.527,0.4067,0.4668,0.3113,0.1919,0.2516
8.7,0.2881,0.6896,0.163,0.5883,0.7597,0.674,0.5174,0.3851,0.4513,0.3024,0.1881,0.2453
8.8,0.2832,0.6814,0.149,0.5736,0.7502,0.6619,0.5084,0.3637,0.4361,0.2955,0.1856,0.2406
8.9,0.2707,0.6733,0.1374,0.5605,0.7399,0.6502,0.4993,0.3427,0.421,0.29,0.1839,0.237
9,0.2507,0.6663,0.1283,0.5497,0.73,0.6398,0.4897,0.3222,0.406,0.2856,0.1827,0.2342
9.1,0.2235,0.6612,0.1222,0.5416,0.7213,0.6314,0.4796,0.3027,0.3911,0.2824,0.1818,0.2321
9.2,0.1897,0.6587,0.1193,0.537,0.7147,0.6259,0.4693,0.2851,0.3772,0.2803,0.1814,0.2308
9.3,0.1495,0.6594,0.1198,0.537,0.7105,0.6238,0.4598,0.2705,0.3651,0.2796,0.1819,0.2307
9.4,0.1047,0.6634,0.124,0.5418,0.7091,0.6254,0.4515,0.2599,0.3557,0.2802,0.1835,0.2319
9.5,0.0587,0.6705,0.132,0.5512,0.7105,0.6308,0.4442,0.254,0.3491,0.282,0.1859,0.2339
9.6,0.0145,0.6803,0.144,0.565,0.7149,0.6399,0.4381,0.2534,0.3458,0.2846,0.189,0.2368
9.7,-0.0263,0.6925,0.1598,0.5834,0.7225,0.6529,0.4339,0.2589,0.3464,0.2883,0.1936,0.2409
9.8,-0.0625,0.7065,0.1792,0.6065,0.7335,0.67,0.4325,0.2711,0.3518,0.2931,0.2001,0.2466
9.9,-0.0936,0.7219,0.2016,0.6339,0.7474,0.6906,0.4342,0.29,0.3621,0.299,0.2086,0.2538
10,-0.1196,0.738,0.2263,0.6647,0.7628,0.7137,0.4393,0.3152,0.3773,0.3055,0.2188,0.2622
10.1,-0.1396,0.7543,0.2529,0.698,0.7787,0.7383,0.4478,0.3463,0.397,0.3123,0.2305,0.2714
10.2,-0.1521,0.7698,0.281,0.7324,0.7939,0.7631,0.4594,0.3824,0.4209,0.3187,0.2433,0.281
10.3,-0.156,0.7838,0.3101,0.7666,0.8073,0.7869,0.4739,0.4222,0.448,0.3246,0.2572,0.2909
10.4,-0.1512,0.7956,0.3399,0.7985,0.8179,0.8082,0.4909,0.464,0.4774,0.3303,0.2727,0.3015
10.5,-0.1381,0.8045,0.3698,0.8263,0.8247,0.8255,0.5099,0.5058,0.5078,0.3363,0.29,0.3132
10.6,-0.1179,0.8103,0.3994,0.849,0.8275,0.8383,0.5304,0.5462,0.5383,0.3432,0.3091,0.3261
10.7,-0.0923,0.8128,0.4285,0.8663,0.8264,0.8463,0.552,0.5838,0.5679,0.3513,0.3294,0.3403
10.8,-0.063,0.8126,0.4571,0.8783,0.8218,0.85,0.5743,0.618,0.5962,0.361,0.3508,0.3559
10.9,-0.032,0.8109,0.4854,0.8858,0.8147,0.8503,0.5967,0.6489,0.6228,0.3725,0.3732,0.3728
11,-0.0002,0.8085,0.5133,0.8897,0.8058,0.8477,0.619,0.6764,0.6477,0.3859,0.3963,0.3911
11.1,0.0332,0.8059,0.5401,0.8905,0.7953,0.8429,0.6406,0.7001,0.6703,0.4005,0.4191,0.4098
11.2,0.069,0.8032,0.5654,0.8888,0.7833,0.8361,0.6611,0.7199,0.6905,0.4159,0.4405,0.4282
11.3,0.1062,0.8007,0.5889,0.8855,0.7702,0.8278,0.6803,0.7361,0.7082,0.4318,0.4599,0.4459
11.4,0.1435,0.7986,0.6106,0.8812,0.756,0.8186,0.6979,0.7491,0.7235,0.4481,0.4767,0.4624
11.5,0.1796,0.7971,0.6303,0.8768,0.7414,0.8091,0.7139,0.7589,0.7364,0.4645,0.4907,0.4776
11.6,0.2132,0.7967,0.6474,0.8726,0.7269,0.7998,0.7283,0.7657,0.747,0.4809,0.5019,0.4914
11.7,0.2438,0.7975,0.6612,0.8689,0.7132,0.791,0.7412,0.7696,0.7554,0.4972,0.5106,0.5039
11.8,0.271,0.7984,0.6713,0.8645,0.7004,0.7824,0.7522,0.7707,0.7614,0.5129,0.5165,0.5147
11.9,0.2947,0.7985,0.6772,0.8586,0.6889,0.7738,0.7609,0.7692,0.765,0.5278,0.5198,0.5238
12,0.3143,0.798,0.6791,0.8512,0.6799,0.7656,0.7668,0.765,0.7659,0.5417,0.521,0.5313
12.1,0.3294,0.7968,0.6772,0.8424,0.6744,0.7584,0.7694,0.758,0.7637,0.5545,0.5206,0.5376
12.2,0.3408,0.7949,0.6717,0.8325,0.6724,0.7524,0.7683,0.7481,0.7582,0.5663,0.5194,0.5429
12.3,0.3505,0.7919,0.6631,0.822,0.673,0.7475,0.7635,0.7352,0.7494,0.5772,0.518,0.5476
12.4,0.359,0.7874,0.6518,0.8115,0.6757,0.7436,0.7553,0.7197,0.7375,0.5873,0.5168,0.5521
12.5,0.3654,0.7815,0.6385,0.8014,0.68,0.7407,0.7452,0.7022,0.7237,0.5964,0.5162,0.5563
12.6,0.3687,0.7742,0.6238,0.7918,0.6856,0.7387,0.7341,0.6832,0.7087,0.6044,0.5164,0.5604
12.7,0.3685,0.7651,0.6083,0.7821,0.6914,0.7368,0.7225,0.6631,0.6928,0.6114,0.5172,0.5643
12.8,0.3644,0.7539,0.5929,0.7714,0.6963,0.7339,0.7107,0.6421,0.6764,0.6175,0.5186,0.568
12.9,0.3557,0.7403,0.5779,0.7592,0.6997,0.7294,0.6988,0.6202,0.6595,0.6222,0.5203,0.5712
13,0.3419,0.7239,0.5635,0.7452,0.701,0.7231,0.6866,0.5976,0.6421,0.625,0.5219,0.5735
13.1,0.3227,0.7051,0.5497,0.7294,0.6997,0.7146,0.674,0.5742,0.6241,0.6256,0.5232,0.5744
13.2,0.2986,0.6848,0.5362,0.7128,0.6957,0.7043,0.6606,0.5502,0.6054,0.6233,0.5239,0.5736
13.3,0.2705,0.664,0.5225,0.6961,0.6886,0.6924,0.6459,0.5258,0.5859,0.6181,0.5238,0.5709
13.4,0.2404,0.643,0.5091,0.6795,0.6777,0.6786,0.6301,0.5015,0.5658,0.6103,0.523,0.5667
13.5,0.2102,0.6223,0.4965,0.6631,0.6625,0.6628,0.613,0.478,0.5455,0.6002,0.522,0.5611
13.6,0.181,0.6027,0.4847,0.6476,0.6439,0.6458,0.5953,0.4555,0.5254,0.5883,0.5207,0.5545
13.7,0.1534,0.585,0.4736,0.6339,0.6233,0.6286,0.5777,0.4343,0.506,0.5753,0.5194,0.5474
13.8,0.1267,0.5702,0.4629,0.6223,0.6021,0.6122,0.5606,0.4146,0.4876,0.5618,0.5181,0.54
13.9,0.0984,0.5589,0.4527,0.6133,0.5813,0.5973,0.5443,0.3964,0.4704,0.5486,0.5168,0.5327
14,0.0666,0.5518,0.443,0.607,0.5623,0.5846,0.529,0.3801,0.4545,0.5362,0.5156,0.5259
14.1,0.0305,0.5493,0.4341,0.6034,0.5458,0.5746,0.5151,0.3659,0.4405,0.5254,0.5147,0.52
14.2,-0.0098,0.5518,0.4265,0.6025,0.5326,0.5675,0.5029,0.3542,0.4286,0.5166,0.5145,0.5155
14.3,-0.0523,0.5588,0.4198,0.6046,0.5222,0.5634,0.4924,0.345,0.4187,0.5101,0.5149,0.5125
14.4,-0.094,0.5697,0.4133,0.6101,0.5139,0.562,0.4834,0.3384,0.4109,0.506,0.5158,0.5109
14.5,-0.1331,0.5835,0.4072,0.6188,0.5069,0.5629,0.4759,0.3344,0.4051,0.5043,0.5172,0.5107
14.6,-0.1687,0.599,0.4017,0.6304,0.501,0.5657,0.47,0.3334,0.4017,0.5049,0.5193,0.5121
14.7,-0.2002,0.6153,0.3969,0.6441,0.4962,0.5702,0.4659,0.3359,0.4009,0.5076,0.5224,0.515
14.8,-0.227,0.6321,0.3931,0.6593,0.4931,0.5762,0.4638,0.3421,0.403,0.5124,0.5267,0.5196
14.9,-0.2485,0.649,0.3902,0.6752,0.492,0.5836,0.4637,0.3523,0.408,0.519,0.5326,0.5258
15,-0.2637,0.6651,0.3887,0.6907,0.4926,0.5917,0.4655,0.3663,0.4159,0.5269,0.5401,0.5335
15.1,-0.2713,0.6795,0.3889,0.7047,0.4946,0.5996,0.469,0.3836,0.4263,0.5358,0.5489,0.5424
15.2,-0.2709,0.6922,0.3913,0.7169,0.4978,0.6074,0.474,0.4035,0.4388,0.5453,0.5591,0.5522
15.3,-0.2628,0.7042,0.396,0.7278,0.5026,0.6152,0.4806,0.4254,0.453,0.555,0.5705,0.5628
15.4,-0.2476,0.7161,0.4036,0.7375,0.5091,0.6233,0.4883,0.4487,0.4685,0.5646,0.5832,0.5739
15.5,-0.2268,0.7282,0.4145,0.746,0.5168,0.6314,0.4961,0.4724,0.4843,0.5739,0.5966,0.5853
15.6,-0.2015,0.7406,0.4291,0.7533,0.5252,0.6393,0.5033,0.4959,0.4996,0.5828,0.6105,0.5966
15.7,-0.1725,0.7532,0.4469,0.7592,0.534,0.6466,0.5098,0.518,0.5139,0.5912,0.624,0.6076
15.8,-0.14,0.7657,0.4674,0.7633,0.5427,0.653,0.5159,0.5379,0.5269,0.5988,0.6365,0.6177
15.9,-0.1054,0.7779,0.4903,0.7652,0.5511,0.6581,0.522,0.5554,0.5387,0.606,0.6479,0.6269
16,-0.0701,0.7893,0.5154,0.7641,0.5593,0.6617,0.5282,0.5706,0.5494,0.613,0.6581,0.6356
16.1,-0.036,0.7993,0.5422,0.7595,0.567,0.6632,0.5346,0.584,0.5593,0.62,0.6672,0.6436
16.2,-0.0048,0.8067,0.5695,0.7514,0.574,0.6627,0.5405,0.5956,0.568,0.6264,0.6748,0.6506
16.3,0.0222,0.8107,0.5964,0.7399,0.5804,0.6601,0.5454,0.6057,0.5755,0.632,0.6806,0.6563
16.4,0.0459,0.812,0.6223,0.7263,0.5861,0.6562,0.5497,0.6148,0.5822,0.6368,0.6849,0.6609
16.5,0.0671,0.8113,0.6464,0.7117,0.5913,0.6515,0.554,0.6234,0.5887,0.6409,0.6879,0.6644
16.6,0.0853,0.8082,0.6684,0.6962,0.5957,0.646,0.5584,0.6318,0.5951,0.6448,0.69,0.6674
16.7,0.0987,0.8017,0.688,0.679,0.5989,0.639,0.563,0.6402,0.6016,0.6488,0.6912,0.67
16.8,0.1063,0.7917,0.7044,0.6601,0.6009,0.6305,0.5677,0.6484,0.6081,0.653,0.6915,0.6722
16.9,0.108,0.7783,0.7169,0.6403,0.602,0.6212,0.5724,0.6555,0.6139,0.6567,0.6903,0.6735
17,0.1038,0.7619,0.7244,0.6202,0.6028,0.6115,0.5766,0.6609,0.6188,0.6597,0.6872,0.6734
17.1,0.0937,0.7432,0.727,0.6002,0.603,0.6016,0.5803,0.6647,0.6225,0.6618,0.6823,0.672
17.2,0.0779,0.7226,0.7248,0.5803,0.6023,0.5913,0.583,0.667,0.625,0.6633,0.6758,0.6695
17.3,0.0583,0.7003,0.7176,0.5605,0.6002,0.5803,0.5846,0.6679,0.6263,0.6637,0.6676,0.6656
17.4,0.0374,0.6767,0.7051,0.5406,0.5963,0.5684,0.5849,0.6673,0.6261,0.6625,0.6574,0.66
17.5,0.0176,0.6524,0.6878,0.5212,0.5904,0.5558,0.584,0.6656,0.6248,0.6594,0.6454,0.6524
17.6,0.0012,0.6287,0.6665,0.5036,0.5829,0.5433,0.5823,0.6639,0.6231,0.6541,0.6318,0.643
17.7,-0.0107,0.6066,0.6422,0.4889,0.5745,0.5317,0.5804,0.6628,0.6216,0.6464,0.6171,0.6318
17.8,-0.0187,0.5863,0.6158,0.4772,0.5664,0.5218,0.5787,0.6622,0.6205,0.637,0.6017,0.6193
17.9,-0.0235,0.568,0.5883,0.4687,0.5599,0.5143,0.5779,0.6617,0.6198,0.6265,0.5857,0.6061
18,-0.0259,0.5518,0.5602,0.4635,0.5555,0.5095,0.5775,0.6608,0.6192,0.6146,0.569,0.5918
18.1,-0.0264,0.5383,0.5319,0.4615,0.5533,0.5074,0.5771,0.6585,0.6178,0.601,0.5508,0.5759
18.2,-0.025,0.5275,0.5044,0.4624,0.5533,0.5079,0.5765,0.6545,0.6155,0.5855,0.5307,0.5581
18.3,-0.0215,0.5198,0.4788,0.4661,0.555,0.5105,0.5758,0.6485,0.6121,0.5677,0.5085,0.5381
18.4,-0.0158,0.5152,0.4565,0.4722,0.558,0.5151,0.5753,0.6407,0.608,0.5478,0.4842,0.516
18.5,-0.0079,0.5145,0.4384,0.4804,0.5629,0.5216,0.5755,0.6319,0.6037,0.5266,0.4585,0.4925
18.6,0.0023,0.5182,0.4257,0.4906,0.5696,0.5301,0.5769,0.6231,0.6,0.5051,0.432,0.4685
18.7,0.0145,0.5256,0.4186,0.5016,0.5772,0.5394,0.5795,0.6148,0.5971,0.4839,0.4056,0.4448
18.8,0.0284,0.5356,0.4173,0.5123,0.5844,0.5484,0.5831,0.6072,0.5951,0.4637,0.3801,0.4219
18.9,0.0434,0.5468,0.4212,0.5221,0.5903,0.5562,0.5877,0.6003,0.594,0.4447,0.3558,0.4003
19,0.0592,0.5578,0.4287,0.5303,0.5944,0.5623,0.5931,0.5941,0.5936,0.4269,0.3328,0.3799
19.1,0.0754,0.5677,0.4387,0.5368,0.5967,0.5668,0.5995,0.5886,0.594,0.4103,0.3113,0.3608
19.2,0.0925,0.5768,0.4508,0.5421,0.5981,0.5701,0.6067,0.5848,0.5957,0.3951,0.2913,0.3432
19.3,0.1105,0.5853,0.4647,0.5465,0.5993,0.5729,0.6147,0.5834,0.599,0.3814,0.2729,0.3272
19.4,0.128,0.592,0.4794,0.549,0.5996,0.5743,0.622,0.5838,0.6029,0.3692,0.2565,0.3128
19.5,0.143,0.5953,0.4941,0.5487,0.5984,0.5735,0.6269,0.5851,0.606,0.3581,0.2421,0.3001
19.6,0.1547,0.5952,0.5082,0.5456,0.5957,0.5706,0.6289,0.5867,0.6078,0.3483,0.23,0.2891
19.7,0.1629,0.5922,0.5217,0.5407,0.5919,0.5663,0.6286,0.5887,0.6086,0.34,0.2207,0.2803
19.8,0.167,0.5871,0.5344,0.535,0.5876,0.5613,0.6262,0.5909,0.6085,0.3337,0.2143,0.274
19.9,0.1655,0.5802,0.5462,0.5287,0.5835,0.5561,0.6218,0.5935,0.6077,0.33,0.2111,0.2706
20,0.1574,0.572,0.5567,0.5223,0.5802,0.5513,0.6157,0.5965,0.6061,0.3293,0.2113,0.2703
20.1,0.1432,0.5623,0.5647,0.5161,0.5775,0.5468,0.6082,0.5993,0.6038,0.3315,0.215,0.2732
20.2,0.1239,0.5512,0.5691,0.5104,0.575,0.5427,0.5996,0.6014,0.6005,0.3363,0.2218,0.2791
20.3,0.0999,0.5393,0.5694,0.5054,0.5733,0.5394,0.5908,0.6028,0.5968,0.3438,0.2319,0.2878
20.4,0.0716,0.5273,0.5658,0.5015,0.5731,0.5373,0.5828,0.6039,0.5933,0.3537,0.2449,0.2993
20.5,0.0398,0.5155,0.5581,0.4988,0.5744,0.5366,0.5762,0.6045,0.5903,0.3657,0.2604,0.3131
20.6,0.0057,0.5035,0.5459,0.4975,0.5771,0.5373,0.5709,0.6041,0.5875,0.3792,0.2779,0.3286
20.7,-0.0294,0.4911,0.5294,0.4978,0.5807,0.5392,0.5669,0.6024,0.5846,0.3934,0.2967,0.345
20.8,-0.0652,0.4794,0.5104,0.5006,0.5856,0.5431,0.5642,0.5999,0.582,0.4077,0.316,0.3619
20.9,-0.1013,0.4695,0.4908,0.5066,0.5923,0.5494,0.5631,0.597,0.58,0.4216,0.3355,0.3785
21,-0.1376,0.4616,0.4718,0.5156,0.6006,0.5581,0.5629,0.5937,0.5783,0.4352,0.3544,0.3948
21.1,-0.1744,0.4554,0.454,0.5268,0.6103,0.5685,0.5631,0.5892,0.5761,0.4487,0.3721,0.4104
21.2,-0.2112,0.4507,0.4377,0.5393,0.6206,0.5799,0.5628,0.5832,0.573,0.462,0.3884,0.4252
21.3,-0.2478,0.4471,0.4231,0.5523,0.6307,0.5915,0.5612,0.5757,0.5684,0.4744,0.4029,0.4386
