Time,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC,Toyota Yaris Cross - Dog Wash 30 Viewing 1 TVC
2,-0.1194,0.4693,0.5338,0.3848,0.6932,0.539,0.72,0.8032,0.7616,0.5608,0.6772,0.619
2.1,-0.1649,0.4631,0.5297,0.3881,0.6989,0.5435,0.7403,0.8103,0.7753,0.5786,0.69,0.6343
2.2,-0.2048,0.4537,0.525,0.3917,0.7054,0.5485,0.7569,0.8135,0.7852,0.5955,0.7019,0.6487
2.3,-0.2398,0.4421,0.5199,0.3956,0.7123,0.5539,0.7685,0.8132,0.7909,0.6107,0.7123,0.6615
2.4,-0.2692,0.4295,0.5141,0.4002,0.719,0.5596,0.7746,0.8098,0.7922,0.6234,0.7206,0.672
2.5,-0.2929,0.4177,0.5071,0.4067,0.7252,0.566,0.7753,0.8031,0.7892,0.6325,0.7265,0.6795
2.6,-0.3111,0.4078,0.4996,0.4166,0.731,0.5738,0.772,0.7938,0.7829,0.638,0.7304,0.6842
2.7,-0.3248,0.4006,0.4927,0.4312,0.7367,0.5839,0.7663,0.7828,0.7746,0.6406,0.7333,0.687
2.8,-0.3342,0.3963,0.4879,0.4506,0.7427,0.5966,0.7595,0.771,0.7652,0.6411,0.7357,0.6884
2.9,-0.3384,0.3947,0.4858,0.4739,0.7494,0.6116,0.7525,0.7587,0.7556,0.64,0.7378,0.6889
3,-0.3369,0.3953,0.486,0.4996,0.7562,0.6279,0.7459,0.7461,0.746,0.6375,0.7392,0.6884
3.1,-0.3306,0.3972,0.4876,0.5256,0.7623,0.6439,0.7402,0.7334,0.7368,0.634,0.7397,0.6868
3.2,-0.3209,0.3998,0.4907,0.5496,0.7674,0.6585,0.7355,0.7217,0.7286,0.6303,0.7393,0.6848
3.3,-0.3094,0.4035,0.496,0.5707,0.7716,0.6711,0.732,0.7124,0.7222,0.627,0.7383,0.6826
3.4,-0.2985,0.4095,0.5049,0.5891,0.7758,0.6825,0.7305,0.7071,0.7188,0.6243,0.7369,0.6806
3.5,-0.2897,0.4194,0.5182,0.6056,0.7813,0.6934,0.7314,0.7064,0.7189,0.6221,0.7353,0.6787
3.6,-0.2835,0.4341,0.536,0.6205,0.789,0.7048,0.7349,0.7101,0.7225,0.6195,0.7336,0.6765
3.7,-0.2782,0.4534,0.5573,0.6339,0.799,0.7165,0.7404,0.7169,0.7286,0.6157,0.7317,0.6737
3.8,-0.2714,0.4763,0.5804,0.6457,0.8103,0.728,0.7472,0.7253,0.7362,0.6096,0.729,0.6693
3.9,-0.2614,0.5017,0.6037,0.6557,0.8219,0.7388,0.7545,0.7341,0.7443,0.6014,0.7257,0.6635
4,-0.2486,0.5286,0.6267,0.6638,0.8331,0.7485,0.7621,0.743,0.7525,0.5918,0.7221,0.6569
4.1,-0.2355,0.556,0.6494,0.67,0.8444,0.7572,0.7698,0.7516,0.7607,0.5822,0.7191,0.6506
4.2,-0.2247,0.5827,0.6717,0.674,0.8565,0.7652,0.7772,0.7595,0.7683,0.573,0.7167,0.6449
4.3,-0.2172,0.6084,0.6936,0.6762,0.8697,0.7729,0.7835,0.7654,0.7744,0.5636,0.7143,0.6389
4.4,-0.2124,0.6331,0.7143,0.6771,0.8835,0.7803,0.7881,0.7683,0.7782,0.553,0.7107,0.6319
4.5,-0.2092,0.6563,0.7328,0.6775,0.8967,0.7871,0.7902,0.768,0.7791,0.5409,0.7054,0.6232
4.6,-0.2074,0.6777,0.749,0.6777,0.908,0.7929,0.7895,0.7652,0.7774,0.528,0.6987,0.6133
4.7,-0.2067,0.6969,0.7625,0.6776,0.9171,0.7974,0.7859,0.7603,0.7731,0.5152,0.6909,0.603
4.8,-0.2066,0.7136,0.7734,0.677,0.9239,0.8005,0.7795,0.7532,0.7663,0.5029,0.6824,0.5926
4.9,-0.2072,0.7276,0.7814,0.6758,0.9286,0.8022,0.7705,0.7437,0.7571,0.4916,0.6734,0.5825
5,-0.2089,0.739,0.7866,0.6739,0.9317,0.8028,0.759,0.7324,0.7457,0.4818,0.6645,0.5731
5.1,-0.2127,0.7476,0.7894,0.6715,0.9335,0.8025,0.7453,0.7199,0.7326,0.4741,0.656,0.565
5.2,-0.2188,0.7532,0.7906,0.6684,0.9342,0.8013,0.7299,0.7075,0.7187,0.469,0.6489,0.5589
5.3,-0.2268,0.7556,0.7914,0.6647,0.9333,0.799,0.7139,0.6958,0.7048,0.4667,0.6436,0.5551
5.4,-0.2358,0.7553,0.7925,0.661,0.9307,0.7958,0.6982,0.6853,0.6917,0.4673,0.6403,0.5538
5.5,-0.2452,0.7532,0.7939,0.6582,0.9272,0.7927,0.6836,0.6762,0.6799,0.471,0.6395,0.5553
5.6,-0.2553,0.7502,0.7955,0.6571,0.9235,0.7903,0.6705,0.6692,0.6699,0.4785,0.642,0.5602
5.7,-0.2664,0.7465,0.7975,0.6575,0.9199,0.7887,0.6596,0.6652,0.6624,0.4902,0.6484,0.5693
5.8,-0.2788,0.7421,0.8003,0.6589,0.9157,0.7873,0.6515,0.6648,0.6582,0.5064,0.6594,0.5829
5.9,-0.2922,0.7368,0.8042,0.6604,0.9106,0.7855,0.6472,0.6683,0.6577,0.5271,0.6752,0.6012
6,-0.3054,0.7306,0.8092,0.6618,0.9045,0.7831,0.6472,0.6757,0.6615,0.5524,0.6955,0.6239
6.1,-0.3164,0.7235,0.8148,0.6631,0.8969,0.78,0.6518,0.6867,0.6693,0.5814,0.7195,0.6504
6.2,-0.3227,0.7151,0.8198,0.6641,0.8869,0.7755,0.6607,0.7012,0.6809,0.6127,0.7456,0.6791
6.3,-0.3223,0.7052,0.8237,0.6642,0.8731,0.7686,0.6741,0.7191,0.6966,0.6446,0.7727,0.7086
6.4,-0.3134,0.6936,0.8257,0.6635,0.8539,0.7587,0.6924,0.7406,0.7165,0.6754,0.7998,0.7376
6.5,-0.2941,0.6815,0.8257,0.6632,0.8293,0.7462,0.7153,0.7654,0.7403,0.7033,0.8263,0.7648
6.6,-0.2616,0.6707,0.8236,0.6651,0.8001,0.7326,0.7423,0.793,0.7677,0.7266,0.8516,0.7891
6.7,-0.2148,0.6631,0.8192,0.6708,0.768,0.7194,0.7729,0.8221,0.7975,0.7442,0.8749,0.8096
6.8,-0.1547,0.6596,0.8122,0.6809,0.7347,0.7078,0.8062,0.8499,0.828,0.7556,0.8953,0.8255
6.9,-0.0836,0.6597,0.802,0.6945,0.7016,0.698,0.8406,0.8735,0.8571,0.7606,0.9118,0.8362
7,-0.0041,0.6625,0.7884,0.7104,0.6695,0.69,0.874,0.8908,0.8824,0.759,0.9236,0.8413
7.1,0.0806,0.6675,0.7718,0.7284,0.6391,0.6837,0.9041,0.9008,0.9025,0.7511,0.9304,0.8407
7.2,0.1663,0.6747,0.7534,0.7487,0.6114,0.6801,0.9302,0.9039,0.917,0.7379,0.932,0.8349
7.3,0.248,0.6844,0.7347,0.7716,0.5878,0.6797,0.9519,0.901,0.9265,0.7207,0.9287,0.8247
7.4,0.3217,0.6961,0.7167,0.7962,0.5689,0.6826,0.9692,0.8928,0.931,0.7009,0.9206,0.8108
7.5,0.3855,0.7087,0.6997,0.8214,0.5546,0.688,0.9813,0.8796,0.9305,0.6793,0.908,0.7937
7.6,0.4393,0.7208,0.6829,0.8458,0.5438,0.6948,0.9873,0.8619,0.9246,0.6565,0.8912,0.7738
7.7,0.4848,0.7311,0.6661,0.8689,0.5353,0.7021,0.9869,0.8407,0.9138,0.6332,0.8705,0.7519
7.8,0.5225,0.7388,0.649,0.8903,0.5285,0.7094,0.9804,0.8172,0.8988,0.6103,0.8468,0.7286
7.9,0.5521,0.7434,0.6316,0.9096,0.5231,0.7164,0.969,0.7925,0.8807,0.5889,0.8207,0.7048
8,0.5734,0.7447,0.6136,0.926,0.5192,0.7226,0.9536,0.7667,0.8601,0.5695,0.7931,0.6813
8.1,0.5868,0.7428,0.5954,0.9386,0.5167,0.7276,0.9349,0.7401,0.8375,0.5527,0.7648,0.6588
8.2,0.5927,0.737,0.5776,0.9465,0.5156,0.731,0.9137,0.7132,0.8134,0.5385,0.7367,0.6376
8.3,0.5912,0.7264,0.5613,0.9493,0.5158,0.7325,0.8907,0.6867,0.7887,0.5268,0.7094,0.6181
8.4,0.5817,0.7111,0.5469,0.9466,0.5177,0.7322,0.8666,0.6621,0.7644,0.5179,0.6834,0.6007
8.5,0.5639,0.6918,0.5346,0.9391,0.5216,0.7304,0.8422,0.6404,0.7413,0.5124,0.6597,0.586
8.6,0.5377,0.6703,0.5244,0.9275,0.5281,0.7278,0.8185,0.6223,0.7204,0.511,0.6392,0.5751
8.7,0.5039,0.6485,0.5163,0.9126,0.538,0.7253,0.7965,0.6081,0.7023,0.5136,0.6226,0.5681
8.8,0.4644,0.6279,0.5111,0.8955,0.5512,0.7234,0.7768,0.5979,0.6873,0.5199,0.6103,0.5651
8.9,0.4207,0.6086,0.5091,0.8765,0.5672,0.7219,0.7599,0.592,0.6759,0.5291,0.6025,0.5658
9,0.3744,0.5894,0.5108,0.8551,0.5842,0.7197,0.7459,0.5903,0.6681,0.5404,0.5992,0.5698
9.1,0.3268,0.5696,0.5156,0.8312,0.6005,0.7158,0.7348,0.5926,0.6637,0.553,0.5998,0.5764
9.2,0.2793,0.549,0.5228,0.8048,0.6153,0.71,0.7268,0.598,0.6624,0.5662,0.6037,0.585
9.3,0.2333,0.5284,0.5316,0.7775,0.6293,0.7034,0.7225,0.6055,0.664,0.5795,0.6102,0.5949
9.4,0.191,0.509,0.5416,0.7512,0.6434,0.6973,0.7224,0.6144,0.6684,0.5925,0.6189,0.6057
9.5,0.1536,0.4914,0.5518,0.7273,0.6574,0.6924,0.7265,0.6241,0.6753,0.6051,0.6294,0.6172
9.6,0.1218,0.476,0.561,0.7065,0.6703,0.6884,0.7347,0.6343,0.6845,0.617,0.6411,0.6291
9.7,0.0954,0.4636,0.5678,0.6892,0.6817,0.6854,0.7469,0.6439,0.6954,0.6281,0.6539,0.641
9.8,0.074,0.4552,0.5716,0.6761,0.6923,0.6842,0.7623,0.6522,0.7072,0.6381,0.6672,0.6527
9.9,0.058,0.4517,0.5722,0.6677,0.7035,0.6856,0.7798,0.6588,0.7193,0.6468,0.6803,0.6636
10,0.0466,0.4529,0.5697,0.6634,0.7161,0.6897,0.7989,0.6634,0.7312,0.6544,0.6928,0.6736
10.1,0.0385,0.4571,0.5641,0.6614,0.7292,0.6953,0.819,0.6658,0.7424,0.6611,0.7043,0.6827
10.2,0.0323,0.4626,0.5555,0.66,0.7414,0.7007,0.8396,0.6658,0.7527,0.6672,0.7148,0.691
10.3,0.0273,0.4689,0.5449,0.6585,0.7518,0.7051,0.8596,0.6635,0.7616,0.6718,0.7248,0.6983
10.4,0.0234,0.4764,0.5333,0.6577,0.7603,0.709,0.8786,0.6594,0.769,0.674,0.7343,0.7041
10.5,0.0203,0.486,0.5216,0.6586,0.7675,0.7131,0.8962,0.6541,0.7751,0.6735,0.7433,0.7084
10.6,0.0179,0.4976,0.5102,0.6613,0.7738,0.7176,0.9122,0.6482,0.7802,0.6711,0.7513,0.7112
10.7,0.0164,0.5099,0.4986,0.6645,0.779,0.7217,0.926,0.6418,0.7839,0.6674,0.7577,0.7126
10.8,0.0162,0.5214,0.4859,0.6663,0.7825,0.7244,0.9369,0.6345,0.7857,0.663,0.762,0.7125
10.9,0.0176,0.5314,0.4719,0.6658,0.7846,0.7252,0.9439,0.6263,0.7851,0.6575,0.7638,0.7106
11,0.0206,0.5398,0.4578,0.6629,0.7857,0.7243,0.9467,0.6181,0.7824,0.6507,0.7626,0.7066
11.1,0.0251,0.5472,0.4452,0.6579,0.7868,0.7223,0.9456,0.6104,0.778,0.6421,0.7583,0.7002
11.2,0.0298,0.5535,0.4346,0.6508,0.7881,0.7195,0.9408,0.6033,0.7721,0.6318,0.7506,0.6912
11.3,0.0342,0.5587,0.426,0.6414,0.7894,0.7154,0.9323,0.5963,0.7643,0.6194,0.7394,0.6794
11.4,0.0386,0.5621,0.4193,0.6296,0.7899,0.7097,0.92,0.589,0.7545,0.6051,0.7251,0.6651
11.5,0.0441,0.5634,0.415,0.6157,0.7892,0.7025,0.9042,0.5821,0.7431,0.5895,0.7088,0.6492
11.6,0.0517,0.5626,0.4141,0.6013,0.7874,0.6944,0.8853,0.5762,0.7308,0.5737,0.6918,0.6328
11.7,0.0623,0.5597,0.4164,0.5878,0.7848,0.6863,0.8641,0.5717,0.7179,0.5585,0.6751,0.6168
11.8,0.0768,0.5552,0.4211,0.5763,0.7811,0.6787,0.8407,0.568,0.7044,0.5441,0.6592,0.6017
11.9,0.0963,0.549,0.4269,0.5671,0.7758,0.6715,0.8151,0.5641,0.6896,0.5299,0.6439,0.5869
12,0.1214,0.5399,0.4333,0.5599,0.7677,0.6638,0.7871,0.559,0.673,0.5149,0.6288,0.5719
12.1,0.1527,0.5261,0.4406,0.5539,0.7556,0.6548,0.7567,0.5516,0.6542,0.4988,0.6135,0.5562
12.2,0.1902,0.5058,0.4493,0.5491,0.7387,0.6439,0.7246,0.5423,0.6335,0.4821,0.5984,0.5402
12.3,0.2332,0.4789,0.4601,0.5457,0.7166,0.6311,0.6918,0.5318,0.6118,0.4654,0.5835,0.5245
12.4,0.2798,0.4469,0.4727,0.544,0.6896,0.6168,0.6593,0.5206,0.59,0.4492,0.5695,0.5093
12.5,0.3279,0.4128,0.4862,0.5443,0.6586,0.6015,0.628,0.5093,0.5687,0.4339,0.5567,0.4953
12.6,0.3746,0.3795,0.4997,0.5466,0.6253,0.586,0.5988,0.4978,0.5483,0.4202,0.5455,0.4828
12.7,0.4176,0.3488,0.5122,0.5505,0.5911,0.5708,0.5724,0.4861,0.5293,0.4085,0.5366,0.4725
12.8,0.4559,0.3218,0.5231,0.5551,0.5568,0.5559,0.5494,0.4742,0.5118,0.3994,0.5306,0.465
12.9,0.4889,0.2984,0.5321,0.5594,0.5222,0.5408,0.5296,0.4626,0.4961,0.3929,0.5281,0.4605
13,0.5168,0.2786,0.5391,0.5624,0.4874,0.5249,0.5126,0.4513,0.4819,0.3887,0.5285,0.4586
13.1,0.5401,0.2617,0.5445,0.5629,0.4527,0.5078,0.498,0.4404,0.4692,0.3864,0.5311,0.4588
13.2,0.5595,0.2462,0.5485,0.5603,0.4185,0.4894,0.4852,0.43,0.4576,0.3853,0.5344,0.4598
13.3,0.576,0.2307,0.5511,0.5541,0.3851,0.4696,0.4741,0.4198,0.4469,0.3846,0.537,0.4608
13.4,0.5894,0.2144,0.5523,0.5444,0.3522,0.4483,0.4646,0.4096,0.4371,0.3838,0.5382,0.461
13.5,0.5995,0.1974,0.5525,0.5317,0.3199,0.4258,0.4566,0.3995,0.4281,0.3828,0.5379,0.4603
13.6,0.6066,0.1804,0.5517,0.5173,0.289,0.4031,0.45,0.3899,0.42,0.382,0.5365,0.4592
13.7,0.6113,0.1644,0.5495,0.5023,0.2613,0.3818,0.4444,0.3814,0.4129,0.382,0.5336,0.4578
13.8,0.6146,0.1502,0.5454,0.4876,0.2387,0.3632,0.4393,0.3746,0.407,0.3828,0.5286,0.4557
13.9,0.6173,0.138,0.5388,0.4737,0.2223,0.348,0.4344,0.3701,0.4023,0.3842,0.5209,0.4526
14,0.62,0.1281,0.5299,0.4601,0.2117,0.3359,0.4296,0.3681,0.3988,0.3858,0.5109,0.4483
14.1,0.6231,0.1206,0.519,0.4464,0.2061,0.3263,0.4246,0.3685,0.3965,0.3873,0.499,0.4432
14.2,0.6275,0.1165,0.506,0.4327,0.2051,0.3189,0.4192,0.3714,0.3953,0.3886,0.4862,0.4374
14.3,0.6337,0.1166,0.4916,0.4197,0.2085,0.3141,0.4134,0.3773,0.3954,0.3894,0.473,0.4312
14.4,0.642,0.1214,0.4766,0.4085,0.2167,0.3126,0.4074,0.3868,0.3971,0.3898,0.4601,0.4249
14.5,0.6522,0.1314,0.462,0.3999,0.2297,0.3148,0.4017,0.4003,0.401,0.3901,0.4483,0.4192
14.6,0.6631,0.1465,0.4488,0.3945,0.247,0.3207,0.3968,0.4176,0.4072,0.3908,0.4384,0.4146
14.7,0.6744,0.1669,0.4377,0.3923,0.2676,0.33,0.3939,0.4386,0.4162,0.392,0.4309,0.4114
14.8,0.6858,0.1927,0.4294,0.3935,0.2913,0.3424,0.3939,0.463,0.4284,0.3941,0.426,0.41
14.9,0.6965,0.2242,0.425,0.3986,0.3183,0.3584,0.398,0.4909,0.4444,0.3975,0.4239,0.4107
15,0.7042,0.261,0.4255,0.4084,0.3488,0.3786,0.4066,0.5217,0.4642,0.4024,0.4251,0.4137
15.1,0.7052,0.3019,0.4309,0.4229,0.3828,0.4028,0.4199,0.5539,0.4869,0.4086,0.4289,0.4188
15.2,0.696,0.3444,0.4407,0.4411,0.4191,0.4301,0.4371,0.5857,0.5114,0.4153,0.4348,0.4251
15.3,0.6736,0.3858,0.4542,0.4614,0.4567,0.4591,0.4575,0.6154,0.5364,0.422,0.4418,0.4319
15.4,0.637,0.4243,0.4712,0.4828,0.4945,0.4887,0.4805,0.6422,0.5614,0.4286,0.4498,0.4392
15.5,0.5878,0.4596,0.4919,0.5047,0.5314,0.518,0.5058,0.666,0.5859,0.4358,0.4594,0.4476
15.6,0.5297,0.492,0.5163,0.5274,0.566,0.5467,0.5328,0.6868,0.6098,0.4439,0.471,0.4575
15.7,0.4672,0.5216,0.5436,0.5508,0.597,0.5739,0.5609,0.7039,0.6324,0.4523,0.4842,0.4683
15.8,0.4041,0.5477,0.5721,0.5741,0.6234,0.5988,0.5885,0.7164,0.6525,0.4602,0.4975,0.4789
15.9,0.3422,0.5693,0.5998,0.596,0.6443,0.6202,0.6141,0.723,0.6685,0.4669,0.5096,0.4882
16,0.2821,0.586,0.6252,0.6149,0.659,0.637,0.6363,0.7234,0.6799,0.4717,0.5192,0.4955
16.1,0.2247,0.5978,0.6482,0.6295,0.6673,0.6484,0.6545,0.7181,0.6863,0.4743,0.526,0.5002
16.2,0.1719,0.6051,0.6689,0.6396,0.6688,0.6542,0.6683,0.708,0.6881,0.4744,0.5297,0.5021
16.3,0.1269,0.6083,0.6871,0.6458,0.6638,0.6548,0.6772,0.6939,0.6855,0.4713,0.5298,0.5005
16.4,0.0924,0.6076,0.7023,0.6497,0.6534,0.6516,0.6811,0.6767,0.6789,0.4646,0.5262,0.4954
16.5,0.0704,0.6034,0.7141,0.6528,0.6391,0.6459,0.6801,0.6576,0.6689,0.4544,0.5192,0.4868
16.6,0.0613,0.5965,0.7223,0.6564,0.6225,0.6395,0.675,0.6382,0.6566,0.4416,0.5098,0.4757
16.7,0.0647,0.5879,0.7272,0.6615,0.6054,0.6334,0.6668,0.6199,0.6434,0.4269,0.499,0.4629
16.8,0.0799,0.5789,0.7287,0.6685,0.5891,0.6288,0.6559,0.6038,0.6299,0.4114,0.4875,0.4495
16.9,0.1064,0.5705,0.7261,0.6775,0.5747,0.6261,0.6428,0.5905,0.6166,0.3963,0.476,0.4361
17,0.1433,0.5638,0.7184,0.6889,0.5627,0.6258,0.6277,0.5799,0.6038,0.3825,0.4644,0.4235
17.1,0.1891,0.56,0.7051,0.7025,0.5537,0.6281,0.6117,0.572,0.5919,0.3705,0.4526,0.4115
17.2,0.2419,0.5599,0.687,0.718,0.5477,0.6328,0.5962,0.5675,0.5818,0.3601,0.4407,0.4004
17.3,0.3003,0.5645,0.6658,0.7347,0.5449,0.6398,0.5827,0.5668,0.5748,0.3513,0.4295,0.3904
17.4,0.3637,0.574,0.6429,0.7522,0.5454,0.6488,0.5728,0.5699,0.5714,0.3446,0.4197,0.3822
17.5,0.4312,0.5885,0.6191,0.7704,0.5494,0.6599,0.5678,0.5768,0.5723,0.3406,0.412,0.3763
17.6,0.5006,0.6072,0.5958,0.7889,0.5562,0.6726,0.5692,0.5876,0.5784,0.3398,0.4069,0.3733
17.7,0.5674,0.6292,0.574,0.8074,0.5651,0.6862,0.5784,0.6024,0.5904,0.3418,0.4044,0.3731
17.8,0.6261,0.6535,0.5551,0.8246,0.5751,0.6998,0.596,0.6211,0.6086,0.3465,0.4046,0.3755
17.9,0.6718,0.6794,0.5398,0.8395,0.5857,0.7126,0.6222,0.6431,0.6327,0.3534,0.4072,0.3803
18,0.7017,0.7068,0.5285,0.8512,0.597,0.7241,0.6566,0.6678,0.6622,0.3625,0.4114,0.387
18.1,0.7152,0.7354,0.5211,0.8592,0.6092,0.7342,0.6989,0.6945,0.6967,0.3737,0.4168,0.3953
18.2,0.7128,0.7642,0.5178,0.8631,0.6228,0.7429,0.7482,0.723,0.7356,0.3863,0.423,0.4047
18.3,0.6952,0.7921,0.519,0.863,0.6385,0.7508,0.8031,0.753,0.7781,0.3996,0.4297,0.4146
18.4,0.6639,0.8184,0.5243,0.8592,0.6571,0.7581,0.8611,0.7837,0.8224,0.4124,0.437,0.4247
18.5,0.6209,0.8434,0.5331,0.8519,0.6794,0.7657,0.9195,0.8139,0.8667,0.4238,0.445,0.4344
18.6,0.5693,0.8675,0.545,0.8422,0.7061,0.7741,0.9767,0.8428,0.9098,0.433,0.4534,0.4432
18.7,0.5123,0.8908,0.56,0.8311,0.737,0.784,1.0315,0.8701,0.9508,0.4399,0.4623,0.4511
18.8,0.453,0.9132,0.5787,0.8198,0.7718,0.7958,1.0826,0.8955,0.989,0.4446,0.4719,0.4583
18.9,0.3947,0.9342,0.601,0.8094,0.8094,0.8094,1.1283,0.9184,1.0234,0.4477,0.4832,0.4655
19,0.3404,0.9538,0.6266,0.8002,0.8487,0.8245,1.167,0.9382,1.0526,0.4493,0.4965,0.4729
19.1,0.2919,0.9713,0.6543,0.7923,0.8883,0.8403,1.1979,0.9543,1.0761,0.4493,0.5116,0.4804
19.2,0.2491,0.9858,0.6826,0.7851,0.9258,0.8555,1.2212,0.9662,1.0937,0.4474,0.5276,0.4875
19.3,0.2109,0.9962,0.7103,0.778,0.959,0.8685,1.2372,0.9737,1.1054,0.4439,0.5441,0.494
19.4,0.1763,1.0017,0.7368,0.7703,0.9858,0.8781,1.246,0.9771,1.1116,0.4391,0.5606,0.4999
19.5,0.1446,1.0021,0.7616,0.7616,1.0054,0.8835,1.248,0.9766,1.1123,0.4337,0.5771,0.5054
19.6,0.1156,0.9975,0.7846,0.7517,1.0172,0.8845,1.2434,0.9727,1.108,0.4285,0.5932,0.5109
19.7,0.0884,0.9876,0.8057,0.74,1.0211,0.8805,1.2334,0.9658,1.0996,0.4239,0.6086,0.5162
19.8,0.0619,0.972,0.8251,0.7258,1.0169,0.8714,1.2185,0.9566,1.0875,0.4203,0.6225,0.5214
19.9,0.035,0.9506,0.8427,0.7086,1.0045,0.8566,1.199,0.9452,1.0721,0.4179,0.6341,0.526
20,0.0077,0.9238,0.8578,0.6883,0.9841,0.8362,1.175,0.9316,1.0533,0.4169,0.6428,0.5298
20.1,-0.0186,0.8923,0.8698,0.6653,0.9561,0.8107,1.1472,0.9157,1.0315,0.4172,0.6483,0.5328
20.2,-0.0427,0.8568,0.8774,0.6407,0.921,0.7808,1.1169,0.8975,1.0072,0.4187,0.6506,0.5346
20.3,-0.065,0.8181,0.8803,0.6153,0.8798,0.7475,1.0851,0.8771,0.9811,0.4207,0.6498,0.5353
20.4,-0.0874,0.7772,0.8785,0.5899,0.8337,0.7118,1.0527,0.8551,0.9539,0.4229,0.6462,0.5345
20.5,-0.1117,0.7353,0.8726,0.5647,0.7845,0.6746,1.0204,0.8319,0.9262,0.4248,0.6399,0.5323
20.6,-0.1391,0.6944,0.8638,0.5404,0.7343,0.6374,0.9887,0.8083,0.8985,0.4261,0.6314,0.5287
20.7,-0.1702,0.6557,0.8532,0.5172,0.6848,0.601,0.9579,0.7847,0.8713,0.4268,0.6215,0.5241
