Time,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC
2.2,0.2703,0.6661,0.7087,0.6581,0.558,0.6081,0.7559,0.6326,0.6943,0.6569,0.424,0.5405
2.3,0.271,0.6911,0.711,0.6981,0.5727,0.6354,0.7598,0.6346,0.6972,0.6562,0.4437,0.55
2.4,0.27,0.7154,0.7148,0.7388,0.5871,0.663,0.7623,0.6368,0.6995,0.6554,0.4677,0.5615
2.5,0.2681,0.7384,0.7204,0.7784,0.6012,0.6898,0.763,0.6393,0.7011,0.6539,0.494,0.5739
2.6,0.2667,0.759,0.7281,0.8148,0.6139,0.7144,0.7618,0.6419,0.7018,0.6509,0.5205,0.5857
2.7,0.2678,0.7759,0.7374,0.8462,0.6241,0.7352,0.7587,0.644,0.7013,0.6462,0.5459,0.596
2.8,0.2724,0.7888,0.7473,0.872,0.6311,0.7515,0.7534,0.6451,0.6992,0.6398,0.5689,0.6043
2.9,0.2803,0.7982,0.757,0.8928,0.6349,0.7638,0.7457,0.6451,0.6954,0.6322,0.5891,0.6106
3,0.2909,0.8048,0.7665,0.91,0.6369,0.7734,0.7354,0.6444,0.6899,0.6238,0.6065,0.6151
3.1,0.3034,0.8095,0.7758,0.9243,0.6378,0.781,0.7227,0.6435,0.6831,0.6154,0.6212,0.6183
3.2,0.3169,0.812,0.7849,0.9346,0.6383,0.7864,0.7077,0.643,0.6753,0.6073,0.633,0.6202
3.3,0.33,0.8114,0.7933,0.939,0.6384,0.7887,0.6907,0.6432,0.6669,0.5999,0.6415,0.6207
3.4,0.3413,0.807,0.8011,0.936,0.6387,0.7874,0.672,0.6445,0.6582,0.5931,0.6465,0.6198
3.5,0.3496,0.7987,0.8084,0.9254,0.6398,0.7826,0.6518,0.6469,0.6493,0.5867,0.6481,0.6174
3.6,0.3542,0.7872,0.8157,0.9079,0.6425,0.7752,0.6308,0.6503,0.6406,0.5806,0.647,0.6138
3.7,0.3552,0.7738,0.8231,0.8849,0.6474,0.7662,0.6096,0.6546,0.6321,0.5749,0.6438,0.6094
3.8,0.352,0.7596,0.8305,0.8575,0.6544,0.756,0.5886,0.6596,0.6241,0.5699,0.6389,0.6044
3.9,0.3448,0.7454,0.8374,0.8273,0.6625,0.7449,0.5682,0.6651,0.6167,0.5653,0.6326,0.5989
4,0.3346,0.7314,0.8434,0.7955,0.6708,0.7332,0.5485,0.6708,0.6097,0.5606,0.625,0.5928
4.1,0.3228,0.7178,0.8483,0.7637,0.6786,0.7211,0.53,0.6762,0.6031,0.5559,0.6164,0.5862
4.2,0.3113,0.7051,0.8516,0.7331,0.6849,0.709,0.5131,0.6807,0.5969,0.5515,0.6077,0.5796
4.3,0.3018,0.6938,0.8525,0.7046,0.6894,0.697,0.4981,0.6838,0.591,0.5479,0.5991,0.5735
4.4,0.2952,0.6841,0.8504,0.6792,0.692,0.6856,0.485,0.6853,0.5852,0.5452,0.5911,0.5682
4.5,0.292,0.6756,0.8452,0.6578,0.6929,0.6753,0.4736,0.685,0.5793,0.5432,0.5843,0.5637
4.6,0.293,0.6676,0.8373,0.6409,0.6925,0.6667,0.4636,0.6826,0.5731,0.5409,0.5791,0.56
4.7,0.2977,0.66,0.8281,0.6286,0.6908,0.6597,0.4549,0.6784,0.5667,0.538,0.5757,0.5568
4.8,0.305,0.6527,0.8181,0.6204,0.6879,0.6541,0.4479,0.6725,0.5602,0.5348,0.5744,0.5546
4.9,0.3129,0.6459,0.8073,0.6154,0.6837,0.6495,0.4429,0.665,0.554,0.5321,0.5752,0.5537
5,0.3193,0.6397,0.7952,0.6132,0.6785,0.6458,0.4403,0.6563,0.5483,0.5306,0.5778,0.5542
5.1,0.3226,0.6343,0.7812,0.6132,0.6728,0.643,0.4405,0.6466,0.5435,0.5307,0.5818,0.5562
5.2,0.3216,0.63,0.7653,0.615,0.667,0.641,0.4438,0.636,0.5399,0.5327,0.587,0.5598
5.3,0.3154,0.6272,0.7477,0.618,0.6611,0.6395,0.4498,0.6249,0.5373,0.536,0.5933,0.5646
5.4,0.304,0.6258,0.7288,0.622,0.655,0.6385,0.4575,0.6132,0.5354,0.5396,0.6003,0.57
5.5,0.2877,0.6255,0.7091,0.6271,0.649,0.638,0.466,0.601,0.5335,0.5425,0.6074,0.5749
5.6,0.2666,0.6263,0.6893,0.6336,0.6438,0.6387,0.4749,0.5883,0.5316,0.544,0.6135,0.5788
5.7,0.2415,0.6283,0.6706,0.6417,0.6403,0.641,0.4848,0.576,0.5304,0.5446,0.6182,0.5814
5.8,0.2133,0.6314,0.6544,0.6513,0.6389,0.6451,0.4965,0.5653,0.5309,0.5449,0.6215,0.5832
5.9,0.1822,0.6352,0.6414,0.6608,0.6394,0.6501,0.5103,0.5575,0.5339,0.5456,0.6236,0.5846
6,0.1479,0.6391,0.6312,0.6694,0.6419,0.6557,0.5257,0.5532,0.5395,0.5467,0.6245,0.5856
6.1,0.1108,0.6433,0.6237,0.6766,0.6467,0.6616,0.5418,0.5523,0.547,0.5483,0.6245,0.5864
6.2,0.0715,0.6475,0.6183,0.682,0.6544,0.6682,0.5574,0.5546,0.556,0.5503,0.6239,0.5871
6.3,0.0309,0.6515,0.6153,0.6852,0.6651,0.6751,0.5717,0.5596,0.5656,0.553,0.6226,0.5878
6.4,-0.0108,0.6541,0.6148,0.6843,0.6783,0.6813,0.584,0.567,0.5755,0.5561,0.6208,0.5884
6.5,-0.0536,0.654,0.6169,0.6778,0.6934,0.6856,0.594,0.5762,0.5851,0.5592,0.6186,0.5889
6.6,-0.0965,0.6504,0.6212,0.6648,0.7092,0.687,0.6014,0.5867,0.594,0.5621,0.6162,0.5892
6.7,-0.1371,0.6435,0.6268,0.6461,0.7245,0.6853,0.6063,0.5974,0.6018,0.5645,0.6137,0.5891
6.8,-0.1726,0.634,0.6332,0.6242,0.7381,0.6811,0.6086,0.6075,0.6081,0.5662,0.6119,0.5891
6.9,-0.2015,0.6227,0.6398,0.6014,0.7489,0.6752,0.6084,0.6162,0.6123,0.5675,0.6114,0.5895
7,-0.2232,0.6104,0.6455,0.5799,0.7565,0.6682,0.6057,0.623,0.6143,0.5685,0.6123,0.5904
7.1,-0.2377,0.5982,0.649,0.5614,0.7611,0.6612,0.6007,0.6275,0.6141,0.5692,0.6142,0.5917
7.2,-0.2443,0.5871,0.6495,0.5467,0.7626,0.6546,0.5937,0.6292,0.6114,0.5697,0.6162,0.593
7.3,-0.2429,0.5776,0.6465,0.5366,0.7613,0.649,0.5847,0.6278,0.6062,0.5702,0.6179,0.5941
7.4,-0.2338,0.57,0.6402,0.5311,0.758,0.6445,0.5735,0.623,0.5983,0.5707,0.6186,0.5946
7.5,-0.219,0.5647,0.631,0.5299,0.7537,0.6418,0.5599,0.615,0.5875,0.5712,0.6178,0.5945
7.6,-0.2007,0.5617,0.6192,0.5327,0.7496,0.6412,0.5438,0.6041,0.574,0.5711,0.6154,0.5932
7.7,-0.1808,0.5611,0.6052,0.5393,0.7468,0.643,0.5255,0.5908,0.5582,0.5697,0.6108,0.5902
7.8,-0.1614,0.5621,0.5901,0.5493,0.7456,0.6474,0.5057,0.5761,0.5409,0.5667,0.6039,0.5853
7.9,-0.1446,0.5643,0.5745,0.5623,0.7458,0.654,0.4856,0.5606,0.5231,0.5623,0.5947,0.5785
8,-0.1321,0.5674,0.5589,0.5776,0.7473,0.6624,0.4667,0.5452,0.5059,0.5571,0.5835,0.5703
8.1,-0.1254,0.5714,0.5437,0.5946,0.7503,0.6725,0.4507,0.5307,0.4907,0.5518,0.5706,0.5612
8.2,-0.1245,0.5765,0.5289,0.613,0.7549,0.6839,0.4389,0.5178,0.4783,0.5466,0.5567,0.5516
8.3,-0.128,0.5826,0.5146,0.6323,0.7603,0.6963,0.4317,0.5065,0.4691,0.5416,0.5421,0.5418
8.4,-0.1334,0.589,0.5011,0.6521,0.7655,0.7088,0.4286,0.4971,0.4628,0.5364,0.5267,0.5316
8.5,-0.1381,0.5947,0.4892,0.6724,0.7693,0.7208,0.429,0.4897,0.4593,0.5305,0.5106,0.5205
8.6,-0.1402,0.5993,0.4796,0.6926,0.7703,0.7314,0.4321,0.4845,0.4583,0.5232,0.494,0.5086
8.7,-0.1386,0.6022,0.4727,0.7114,0.768,0.7397,0.4375,0.4815,0.4595,0.5147,0.4774,0.496
8.8,-0.1323,0.6032,0.4686,0.7277,0.7623,0.745,0.4452,0.481,0.4631,0.5056,0.4612,0.4834
8.9,-0.1209,0.6017,0.4671,0.7404,0.7532,0.7468,0.4552,0.4829,0.469,0.4968,0.4459,0.4714
9,-0.1042,0.5974,0.4676,0.7485,0.7405,0.7445,0.4676,0.4871,0.4774,0.4895,0.4319,0.4607
9.1,-0.0827,0.5901,0.4694,0.7514,0.7239,0.7376,0.4822,0.493,0.4876,0.4841,0.4195,0.4518
9.2,-0.0578,0.5795,0.4716,0.7493,0.7031,0.7262,0.4986,0.4995,0.499,0.4808,0.409,0.4449
9.3,-0.0314,0.5659,0.4732,0.7427,0.6787,0.7107,0.5159,0.505,0.5104,0.4794,0.4008,0.4401
9.4,-0.0046,0.5494,0.4731,0.7325,0.6511,0.6918,0.5331,0.5082,0.5206,0.4793,0.3948,0.4371
9.5,0.0222,0.5302,0.4706,0.7194,0.6204,0.6699,0.5497,0.5084,0.529,0.4805,0.391,0.4358
9.6,0.0495,0.5089,0.4652,0.7044,0.5869,0.6457,0.5654,0.5056,0.5355,0.483,0.3892,0.4361
9.7,0.0782,0.486,0.4576,0.6883,0.5509,0.6196,0.58,0.5002,0.5401,0.4868,0.3895,0.4382
9.8,0.1093,0.4627,0.4484,0.6721,0.5135,0.5928,0.5931,0.4927,0.5429,0.4915,0.3917,0.4416
9.9,0.1438,0.44,0.4381,0.6567,0.476,0.5664,0.6047,0.4832,0.5439,0.4965,0.3957,0.4461
10,0.1823,0.4192,0.427,0.6434,0.4394,0.5414,0.6147,0.4715,0.5431,0.5017,0.4011,0.4514
10.1,0.2246,0.4011,0.415,0.6329,0.4044,0.5187,0.6232,0.4579,0.5405,0.5072,0.4074,0.4573
10.2,0.2688,0.3858,0.4022,0.6257,0.3722,0.499,0.6302,0.4427,0.5364,0.5132,0.4144,0.4638
10.3,0.3125,0.3739,0.3891,0.6217,0.3439,0.4828,0.6359,0.4269,0.5314,0.5198,0.4223,0.471
10.4,0.3532,0.3655,0.3759,0.6199,0.3208,0.4704,0.6407,0.4114,0.526,0.5272,0.4307,0.479
10.5,0.3899,0.3606,0.3631,0.6194,0.3036,0.4615,0.6447,0.3966,0.5207,0.5347,0.4395,0.4871
10.6,0.4221,0.3587,0.3512,0.6192,0.2919,0.4555,0.6483,0.3829,0.5156,0.5414,0.448,0.4947
10.7,0.4494,0.3589,0.3408,0.619,0.285,0.452,0.6514,0.3707,0.5111,0.5461,0.4555,0.5008
10.8,0.4708,0.3605,0.3321,0.6188,0.2824,0.4506,0.6543,0.3605,0.5074,0.5474,0.4613,0.5044
10.9,0.4854,0.3633,0.3255,0.6187,0.2836,0.4511,0.6572,0.353,0.5051,0.5445,0.4656,0.505
11,0.4925,0.3675,0.3213,0.6185,0.2888,0.4536,0.6604,0.3489,0.5047,0.5371,0.4684,0.5027
11.1,0.4915,0.3736,0.3197,0.6183,0.298,0.4582,0.6637,0.3485,0.5061,0.5258,0.4698,0.4978
11.2,0.482,0.3819,0.3209,0.6183,0.3106,0.4644,0.6666,0.3516,0.5091,0.5111,0.4699,0.4905
11.3,0.4634,0.3927,0.3248,0.6186,0.3261,0.4723,0.669,0.3578,0.5134,0.4939,0.4688,0.4814
11.4,0.4358,0.4061,0.3316,0.6195,0.3439,0.4817,0.6701,0.3669,0.5185,0.4748,0.4668,0.4708
11.5,0.3999,0.4219,0.3418,0.6208,0.3636,0.4922,0.6696,0.3791,0.5243,0.4543,0.4642,0.4592
11.6,0.3566,0.4399,0.3554,0.6219,0.3842,0.503,0.6664,0.3943,0.5303,0.4327,0.4608,0.4468
11.7,0.3078,0.4594,0.372,0.6223,0.4039,0.5131,0.6599,0.4119,0.5359,0.4102,0.4567,0.4334
11.8,0.2544,0.4794,0.3908,0.622,0.4218,0.5219,0.6495,0.4312,0.5404,0.3872,0.4517,0.4195
11.9,0.1972,0.4988,0.4106,0.6214,0.438,0.5297,0.6356,0.4512,0.5434,0.3643,0.4464,0.4054
12,0.1364,0.5169,0.4303,0.6202,0.4535,0.5368,0.6189,0.4713,0.5451,0.3427,0.442,0.3923
12.1,0.0733,0.5333,0.4485,0.6184,0.4685,0.5435,0.6003,0.4907,0.5455,0.3236,0.4393,0.3815
12.2,0.0098,0.5476,0.4642,0.6165,0.4826,0.5496,0.5806,0.5088,0.5447,0.308,0.4392,0.3736
12.3,-0.0516,0.56,0.4771,0.6154,0.4954,0.5554,0.5605,0.525,0.5427,0.2961,0.4419,0.369
12.4,-0.1088,0.5706,0.4876,0.6166,0.5069,0.5618,0.5406,0.539,0.5398,0.2885,0.4475,0.368
12.5,-0.1607,0.5796,0.4966,0.6207,0.5176,0.5692,0.5217,0.5512,0.5365,0.2855,0.4564,0.3709
12.6,-0.206,0.5871,0.5049,0.6278,0.528,0.5779,0.5039,0.5622,0.533,0.2874,0.4684,0.3779
12.7,-0.2432,0.5931,0.5125,0.6367,0.5377,0.5872,0.4871,0.5719,0.5295,0.2939,0.4829,0.3884
12.8,-0.2709,0.5977,0.519,0.6463,0.5462,0.5962,0.4713,0.5802,0.5258,0.3052,0.499,0.4021
12.9,-0.288,0.6008,0.5251,0.6557,0.5531,0.6044,0.4568,0.5875,0.5221,0.3214,0.5163,0.4189
13,-0.2943,0.6028,0.5325,0.6648,0.5585,0.6117,0.4439,0.5938,0.5188,0.3431,0.5348,0.4389
13.1,-0.2906,0.6037,0.5415,0.6734,0.5631,0.6182,0.4328,0.599,0.5159,0.3699,0.5546,0.4623
13.2,-0.2789,0.6037,0.5514,0.6812,0.567,0.6241,0.4237,0.6026,0.5132,0.4013,0.5752,0.4883
13.3,-0.2609,0.6035,0.5606,0.6881,0.5701,0.6291,0.4169,0.6043,0.5106,0.4366,0.5958,0.5162
13.4,-0.2383,0.6035,0.5679,0.6942,0.5723,0.6333,0.4121,0.6037,0.5079,0.4749,0.6152,0.5451
13.5,-0.2123,0.6039,0.5725,0.6993,0.5738,0.6365,0.4091,0.6014,0.5053,0.5152,0.6328,0.574
13.6,-0.1843,0.6044,0.5745,0.7027,0.575,0.6388,0.4073,0.5978,0.5026,0.5562,0.648,0.6021
13.7,-0.1557,0.605,0.574,0.7039,0.5763,0.6401,0.4063,0.5931,0.4997,0.5962,0.66,0.6281
13.8,-0.1276,0.6057,0.5711,0.7025,0.5778,0.6402,0.4057,0.5875,0.4966,0.6333,0.6679,0.6506
13.9,-0.1001,0.6069,0.5661,0.6984,0.5793,0.6388,0.4053,0.5808,0.4931,0.6665,0.6711,0.6688
14,-0.0729,0.6088,0.559,0.6918,0.5806,0.6362,0.4053,0.573,0.4892,0.6956,0.6697,0.6827
14.1,-0.0467,0.6115,0.5501,0.6832,0.5821,0.6327,0.4054,0.5638,0.4846,0.7214,0.6643,0.6929
14.2,-0.0235,0.6153,0.5395,0.6727,0.5847,0.6287,0.4051,0.5532,0.4792,0.7455,0.6561,0.7008
14.3,-0.0053,0.6206,0.5273,0.6603,0.5895,0.6249,0.4036,0.5417,0.4727,0.7692,0.6461,0.7077
14.4,0.0073,0.6274,0.5136,0.646,0.5977,0.6219,0.4007,0.5296,0.4652,0.7933,0.6353,0.7143
14.5,0.0155,0.6353,0.4986,0.6304,0.6098,0.6201,0.3965,0.5175,0.457,0.8175,0.6242,0.7208
14.6,0.0203,0.6432,0.4824,0.6136,0.6249,0.6192,0.3917,0.5054,0.4486,0.8411,0.6132,0.7271
14.7,0.0212,0.6502,0.4652,0.5959,0.6418,0.6189,0.3871,0.4938,0.4404,0.8627,0.603,0.7328
14.8,0.0164,0.6556,0.447,0.5774,0.6603,0.6189,0.3826,0.4829,0.4327,0.8812,0.5938,0.7375
14.9,0.0051,0.6596,0.4282,0.5586,0.6808,0.6197,0.3779,0.4732,0.4256,0.8958,0.5856,0.7407
