Time,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC,Toyota - Woven City 30 Final TVC
11.8,0.0378,0.4696,0.5971,0.5756,0.5043,0.5399,0.6752,0.6611,0.6681,0.9085,0.7006,0.8045
11.9,0.0728,0.4811,0.5877,0.6018,0.5065,0.5542,0.6823,0.6677,0.675,0.9142,0.6968,0.8055
12,0.1049,0.4931,0.5806,0.6274,0.5111,0.5693,0.6893,0.6733,0.6813,0.9187,0.6966,0.8077
12.1,0.1321,0.5048,0.5758,0.6512,0.5183,0.5848,0.6957,0.6771,0.6864,0.9217,0.6994,0.8105
12.2,0.153,0.5152,0.573,0.6716,0.5284,0.6,0.701,0.6789,0.6899,0.9224,0.7044,0.8134
12.3,0.1671,0.5241,0.5719,0.6877,0.5409,0.6143,0.7049,0.6783,0.6916,0.9205,0.7114,0.8159
12.4,0.1744,0.5315,0.5721,0.6989,0.5555,0.6272,0.7077,0.6757,0.6917,0.9158,0.7202,0.818
12.5,0.1752,0.5374,0.5731,0.705,0.5711,0.6381,0.7095,0.6715,0.6905,0.9086,0.731,0.8198
12.6,0.1699,0.5414,0.5745,0.7059,0.587,0.6464,0.7106,0.666,0.6883,0.8996,0.7431,0.8213
12.7,0.1601,0.5431,0.5764,0.7012,0.6017,0.6515,0.7112,0.6591,0.6852,0.89,0.7558,0.8229
12.8,0.1488,0.5417,0.5793,0.6908,0.614,0.6524,0.712,0.6507,0.6814,0.8808,0.7684,0.8246
12.9,0.1381,0.5366,0.5834,0.6748,0.6231,0.649,0.7135,0.6403,0.6769,0.8723,0.7803,0.8263
13,0.1293,0.5281,0.5882,0.6541,0.629,0.6415,0.7158,0.628,0.6719,0.8644,0.791,0.8277
13.1,0.123,0.5169,0.5933,0.6299,0.6324,0.6312,0.7185,0.6139,0.6662,0.8568,0.7999,0.8284
13.2,0.1191,0.5042,0.5978,0.6036,0.6344,0.619,0.7208,0.5986,0.6597,0.8493,0.8067,0.828
13.3,0.1177,0.4912,0.6015,0.5767,0.6357,0.6062,0.7227,0.5828,0.6528,0.8422,0.811,0.8266
13.4,0.1187,0.4789,0.604,0.5508,0.6371,0.594,0.7246,0.5673,0.6459,0.8362,0.8131,0.8247
13.5,0.1212,0.4682,0.6053,0.5273,0.6394,0.5834,0.7273,0.5527,0.64,0.8319,0.8135,0.8227
13.6,0.1246,0.4599,0.6053,0.5073,0.6425,0.5749,0.731,0.5398,0.6354,0.8294,0.8123,0.8209
13.7,0.1281,0.4544,0.6042,0.4912,0.6461,0.5686,0.7354,0.5286,0.632,0.8284,0.8096,0.819
13.8,0.1323,0.4517,0.6019,0.4789,0.6491,0.564,0.74,0.5196,0.6298,0.828,0.8056,0.8168
13.9,0.1389,0.4522,0.5985,0.4708,0.6508,0.5608,0.7446,0.5133,0.6289,0.8277,0.8002,0.8139
14,0.1496,0.456,0.5942,0.467,0.6513,0.5592,0.7491,0.511,0.63,0.8273,0.794,0.8106
14.1,0.1646,0.4629,0.5894,0.4676,0.6511,0.5593,0.7541,0.5141,0.6341,0.8273,0.7877,0.8075
14.2,0.1822,0.4721,0.585,0.4721,0.6504,0.5613,0.7599,0.5237,0.6418,0.8288,0.782,0.8054
14.3,0.1996,0.4828,0.5818,0.4799,0.6493,0.5646,0.7668,0.5398,0.6533,0.8326,0.7777,0.8051
14.4,0.2133,0.4942,0.5802,0.4904,0.6479,0.5692,0.7747,0.5621,0.6684,0.8394,0.7754,0.8074
14.5,0.2208,0.5059,0.5801,0.5033,0.6462,0.5747,0.7834,0.5903,0.6869,0.8499,0.7756,0.8127
14.6,0.2201,0.5182,0.5816,0.5177,0.6446,0.5811,0.7929,0.6239,0.7084,0.8639,0.779,0.8214
14.7,0.2105,0.5317,0.5852,0.5332,0.6439,0.5886,0.8026,0.6622,0.7324,0.8811,0.7859,0.8335
14.8,0.1925,0.5465,0.5914,0.5493,0.645,0.5972,0.8118,0.7038,0.7578,0.9009,0.7957,0.8483
14.9,0.1672,0.5625,0.6002,0.5658,0.6482,0.607,0.8199,0.7465,0.7832,0.9222,0.8077,0.8649
15,0.1349,0.579,0.6116,0.5826,0.653,0.6178,0.8265,0.7879,0.8072,0.944,0.821,0.8825
15.1,0.0957,0.595,0.6253,0.5995,0.6588,0.6292,0.8319,0.8263,0.8291,0.9655,0.8351,0.9003
15.2,0.0498,0.6098,0.641,0.6163,0.6647,0.6405,0.8364,0.8608,0.8486,0.9859,0.8496,0.9177
15.3,-0.0015,0.6233,0.6586,0.6323,0.6698,0.651,0.8401,0.8908,0.8655,1.0047,0.8636,0.9341
15.4,-0.0563,0.6358,0.6775,0.6467,0.6732,0.66,0.8426,0.9152,0.8789,1.0213,0.8763,0.9488
15.5,-0.1133,0.6474,0.6967,0.659,0.6745,0.6668,0.8431,0.9331,0.8881,1.0353,0.887,0.9612
15.6,-0.1717,0.658,0.7154,0.6688,0.6734,0.6711,0.8408,0.9436,0.8922,1.0463,0.8955,0.9709
15.7,-0.2315,0.6674,0.7331,0.676,0.6701,0.673,0.8358,0.9469,0.8914,1.0545,0.9021,0.9783
15.8,-0.2917,0.6756,0.7493,0.681,0.6652,0.6731,0.828,0.9439,0.886,1.0601,0.907,0.9836
15.9,-0.3503,0.6829,0.7635,0.6842,0.6593,0.6718,0.8178,0.9354,0.8766,1.0637,0.9104,0.987
16,-0.4047,0.6893,0.7749,0.6859,0.6529,0.6694,0.8048,0.9217,0.8632,1.0654,0.9121,0.9887
16.1,-0.4525,0.695,0.7831,0.6864,0.6462,0.6663,0.789,0.9034,0.8462,1.0651,0.9121,0.9886
16.2,-0.4918,0.6999,0.7873,0.6862,0.6392,0.6627,0.7707,0.8814,0.826,1.0623,0.9107,0.9865
16.3,-0.5217,0.7038,0.7873,0.6855,0.6322,0.6589,0.7504,0.8567,0.8036,1.0571,0.9086,0.9828
16.4,-0.5415,0.7065,0.7833,0.6847,0.625,0.6549,0.7285,0.8304,0.7794,1.05,0.9064,0.9782
16.5,-0.5507,0.7075,0.7756,0.6836,0.6175,0.6505,0.7054,0.803,0.7542,1.042,0.9047,0.9734
16.6,-0.5491,0.7064,0.7648,0.6826,0.6095,0.646,0.6815,0.7751,0.7283,1.034,0.9039,0.9689
16.7,-0.5369,0.703,0.752,0.6824,0.6011,0.6417,0.6579,0.7478,0.7028,1.0265,0.9041,0.9653
16.8,-0.5151,0.6974,0.7384,0.6837,0.5929,0.6383,0.6356,0.7227,0.6791,1.0198,0.9051,0.9624
16.9,-0.4851,0.6901,0.7246,0.6868,0.5856,0.6362,0.6157,0.7009,0.6583,1.0137,0.9064,0.9601
17,-0.4481,0.6817,0.7112,0.6917,0.5797,0.6357,0.5984,0.683,0.6407,1.0077,0.9075,0.9576
17.1,-0.4055,0.6728,0.6985,0.6982,0.5752,0.6367,0.5839,0.6688,0.6263,1.0013,0.9078,0.9545
17.2,-0.358,0.6636,0.6874,0.7061,0.5722,0.6391,0.5725,0.658,0.6152,0.9939,0.9062,0.9501
17.3,-0.3058,0.6543,0.6781,0.7154,0.5707,0.643,0.5647,0.6503,0.6075,0.9853,0.9019,0.9436
17.4,-0.2498,0.6452,0.6703,0.7259,0.5707,0.6483,0.561,0.6454,0.6032,0.9752,0.8943,0.9348
17.5,-0.1917,0.6363,0.6637,0.737,0.5716,0.6543,0.5614,0.6427,0.602,0.9638,0.883,0.9234
17.6,-0.1338,0.6277,0.6576,0.7478,0.5729,0.6604,0.5649,0.6414,0.6031,0.9508,0.8678,0.9093
17.7,-0.0781,0.6192,0.651,0.7574,0.574,0.6657,0.5705,0.6408,0.6057,0.9362,0.8485,0.8923
17.8,-0.0255,0.6111,0.6432,0.7656,0.5744,0.67,0.5775,0.6406,0.609,0.9201,0.8255,0.8728
17.9,0.024,0.6035,0.6341,0.7723,0.5745,0.6734,0.5853,0.6407,0.613,0.9028,0.7995,0.8512
18,0.0709,0.5971,0.6245,0.7773,0.5745,0.6759,0.5938,0.6408,0.6173,0.8848,0.7718,0.8283
18.1,0.1144,0.5922,0.6154,0.7803,0.5745,0.6774,0.6026,0.6406,0.6216,0.8662,0.7435,0.8048
18.2,0.153,0.5889,0.6071,0.7804,0.5738,0.6771,0.6108,0.6395,0.6252,0.8471,0.7151,0.7811
18.3,0.1844,0.5871,0.599,0.7766,0.572,0.6743,0.618,0.6373,0.6277,0.8278,0.6876,0.7577
18.4,0.2066,0.5866,0.5905,0.7682,0.5685,0.6684,0.6243,0.6344,0.6293,0.8094,0.6625,0.736
18.5,0.2187,0.5876,0.5819,0.7547,0.5635,0.6591,0.6302,0.6314,0.6308,0.7932,0.6418,0.7175
18.6,0.2212,0.5904,0.5741,0.7361,0.5578,0.647,0.6361,0.629,0.6326,0.7803,0.6269,0.7036
18.7,0.2151,0.5949,0.5676,0.7127,0.5519,0.6323,0.6416,0.6271,0.6343,0.7707,0.6179,0.6943
18.8,0.201,0.6007,0.5622,0.6846,0.5465,0.6156,0.646,0.6254,0.6357,0.7645,0.6147,0.6896
18.9,0.1793,0.6069,0.557,0.6525,0.5418,0.5972,0.6489,0.6239,0.6364,0.7619,0.6172,0.6895
19,0.1505,0.6125,0.5513,0.6172,0.5378,0.5775,0.6506,0.6231,0.6369,0.7629,0.6249,0.6939
19.1,0.1164,0.6171,0.5449,0.5801,0.5344,0.5572,0.6516,0.6236,0.6376,0.767,0.637,0.702
19.2,0.0791,0.6201,0.5375,0.5424,0.531,0.5367,0.6521,0.6258,0.639,0.7729,0.652,0.7124
19.3,0.04,0.6209,0.5289,0.5055,0.5274,0.5164,0.6518,0.6293,0.6406,0.7793,0.6686,0.7239
19.4,0.0004,0.6185,0.5196,0.4699,0.5231,0.4965,0.6505,0.6337,0.6421,0.7852,0.6864,0.7358
19.5,-0.0386,0.6127,0.51,0.4365,0.5177,0.4771,0.6479,0.6385,0.6432,0.7904,0.7055,0.7479
19.6,-0.0762,0.6039,0.5009,0.406,0.5117,0.4589,0.6442,0.6432,0.6437,0.7942,0.7254,0.7598
19.7,-0.1126,0.5934,0.4926,0.379,0.5059,0.4424,0.6395,0.6476,0.6436,0.7958,0.7443,0.7701
19.8,-0.1485,0.5825,0.4855,0.3564,0.5013,0.4288,0.6337,0.6515,0.6426,0.7943,0.76,0.7772
19.9,-0.1844,0.5719,0.4796,0.3391,0.4985,0.4188,0.6275,0.6546,0.641,0.7895,0.7714,0.7804
20,-0.22,0.5623,0.475,0.3276,0.4977,0.4127,0.6215,0.657,0.6393,0.7818,0.7784,0.7801
20.1,-0.2546,0.554,0.4717,0.3216,0.4987,0.4102,0.6167,0.6589,0.6378,0.7723,0.7814,0.7768
20.2,-0.2874,0.5476,0.4694,0.3211,0.501,0.411,0.6133,0.6604,0.6369,0.7614,0.7805,0.7709
20.3,-0.3176,0.5432,0.4678,0.3255,0.5044,0.415,0.6112,0.6609,0.6361,0.7494,0.7757,0.7626
20.4,-0.3443,0.5411,0.4668,0.3349,0.5081,0.4215,0.6101,0.6597,0.6349,0.7368,0.7675,0.7521
20.5,-0.3668,0.5407,0.4667,0.3487,0.5111,0.4299,0.61,0.6561,0.6331,0.7242,0.7564,0.7403
20.6,-0.3842,0.5416,0.4674,0.3665,0.5124,0.4394,0.6111,0.6504,0.6308,0.7124,0.7433,0.7279
20.7,-0.3958,0.5438,0.4685,0.3875,0.5122,0.4498,0.614,0.6429,0.6285,0.702,0.729,0.7155
20.8,-0.4018,0.5474,0.4696,0.4111,0.5112,0.4612,0.6185,0.6339,0.6262,0.6934,0.7145,0.704
20.9,-0.403,0.5526,0.4704,0.4367,0.5104,0.4735,0.6243,0.6239,0.6241,0.687,0.7013,0.6941
21,-0.3998,0.5595,0.4713,0.4637,0.5101,0.4869,0.6312,0.6131,0.6222,0.6833,0.6905,0.6869
21.1,-0.3922,0.5677,0.4728,0.492,0.51,0.501,0.6396,0.6022,0.6209,0.683,0.683,0.683
